listing_id,listing_title,latitude,longitude,location_name,number_reviews,average_rating,average_nightly_price,nightly,weekend_night,property_protection_fee,cleaning_fee,tax_rate,min_stay,sleeps,bedrooms,bathrooms,property_type,internet,member_since,response_time,response_rate,calendar_last_updated,type,floor,sq_footage,max_occupancy,building_type,city,state
4244606ha,"Comfy Condo Near Domain 10 min to downtown, King Bed Gated Complex",30.40385481,-97.70879908,"North Burnet, Austin, TX, USA",2,,55,55,,,,,30,3,1,1,condo,Yes,2016,Within an hour,90%,"April 21, 2017",condo,1,688,3,building,Austin,TX
371000ha,Downtown SoCo Condo with a Bus Stop Out Front,30.24347089,-97.75242787,"Bouldin, Austin, TX, USA",2,,58,,,,50,,90,2,Studio,1,condo,Yes,2012,Within a few days,100%,"May 29, 2017",condo,1,489,2,,Austin,TX
3692986ha,"Clean, Super Cute Condo.  Close to campus & downtown.",30.3283785,-97.7336454,"Brentwood, Austin, TX, USA",3,,79,,,,35,,21,4,1,1,condo,Yes,2016,Within an hour,100%,"June 5, 2017",condo,1,,4,,Austin,TX
3570174ha,Austin 1bd Condo NW Hills 10 Minutes To downtown,30.369821,-97.744975,"The Arbors, Austin, TX, USA",10,4.5,55,55,,,60,,30,3,1,1,condo,Yes,2012,Within 12 hours,90%,"June 9, 2017",condo,2,640,3,building,Austin,TX
4130151ha,Comfy Condo In Gated Complex King Bed Near Domain 10 Min To Downtown,30.40426196,-97.70933552,"North Burnet, Austin, TX, USA",8,4.8,55,,,,,,30,2,1,1,condo,Yes,2016,Within 12 hours,90%,"May 30, 2017",condo,1,688,2,building,Austin,TX
731730,Austin Luxury Condo walking distance to Zilker and downtown,30.2654799,-97.78710069,"Treemont, Austin, TX, USA",4,,107,,,,100,,30,6,2,2,condo,Yes,2015,Within an hour,90%,"June 8, 2017",condo,1,1200,6,building,Austin,TX
654775,Beautiful Luxury Condo In The Heart Of Downtown,30.26959632,-97.74077371,"Financial District, Austin, TX, USA",4,,100,,,,100,,20,4,1,1,condo,Yes,2014,Within a day,100%,"May 18, 2017",condo,9,906,,building,Austin,TX
3779634ha,Newly Remodeled Gem In Central Austin Minutes From Soco,30.232468,-97.751919,"St. Edwards, Austin, TX, USA",12,4.7,97,,,,,,30,5,3,2,house,Yes,2014,Within a day,90%,"June 4, 2017",house,,1710,,,Austin,TX
3023784ha,Modern Cube House in 78704 SOCO/Bouldin,,,"SoFi (Austin, TX, USA)",37,,168,215,,,,15.0%,2,5,2,1,house,Yes,2012,Within a day,100%,"May 22, 2017",house,,850,5,,Austin,TX
815114,"Private, Romantic Garden House built in 2015! 1.5 mi to Downtown Austin!",30.26124033,-97.76403032,"Barton Heights, Austin, TX, USA",39,,149,149,,,,15.0%,2,2,1,1,house,Yes,2016,Within an hour,100%,"June 6, 2017",house,,534,2,house,Austin,TX
