listing_id,total_number_reviews,n_review,reviewer_name,title,stars,stayed,source,submitted,city,state
4244606ha,2,1,Jennifer W.,Perfect place,5,2016-11-01T00:00:00.000+0000,VRBO,2017-01-02T13:08:00.000+0000,Austin,TX
4244606ha,2,2,Meridith F.,Clean and efficient,5,2016-10-01T00:00:00.000+0000,VRBO,2016-12-31T15:49:00.000+0000,Austin,TX
371000ha,2,1,Dave  F.,Excellent accommodations with convenient access to Congress St and Downtown Austin,5,2016-05-31T00:00:00.000+0000,VRBO,2016-09-02T15:15:00.000+0000,Austin,TX
371000ha,2,2,elizabeth n.,Awesome location!,5,2015-01-16T00:00:00.000+0000,VRBO,2015-04-21T14:47:15.897+0000,Austin,TX
3692986ha,3,1,Brad D.,"Clean, cozy, and close to everything",5,2017-01-06T00:00:00.000+0000,VRBO,2017-03-07T05:07:00.000+0000,Austin,TX
3692986ha,3,2,Wendy R.,Adorable and comfortable!,5,2016-09-10T00:00:00.000+0000,VRBO,2016-09-26T15:40:00.000+0000,Austin,TX
3692986ha,3,3,Andy S.,I pet the kitties that wandered around the maildbox,5,2016-03-13T00:00:00.000+0000,VRBO,2016-04-29T02:52:00.000+0000,Austin,TX
3570174ha,10,1,Gabrielle M.,Cozy stay and great location.,5,2016-11-12T00:00:00.000+0000,VRBO,2017-03-07T03:48:00.000+0000,Austin,TX
3570174ha,10,2,Anonymous,Excellent stay while transitioning to a permanent property,5,2016-10-05T00:00:00.000+0000,VRBO,2016-11-06T18:33:00.000+0000,Austin,TX
3570174ha,10,3,Tina C.,Our new home away from home,5,2016-06-16T00:00:00.000+0000,VRBO,2016-08-27T03:05:09.923+0000,Austin,TX
3570174ha,10,4,Jeff F.,Was a pleasure to stay here.,5,2016-06-01T00:00:00.000+0000,VRBO,2016-07-14T21:22:00.000+0000,Austin,TX
3570174ha,10,5,Georgina K.,Nice and cozy,5,2016-03-27T00:00:00.000+0000,VRBO,2016-06-16T02:27:00.000+0000,Austin,TX
3570174ha,10,6,Phyllis A.,Very good,4,2016-01-16T00:00:00.000+0000,VRBO,2016-03-08T21:38:00.000+0000,Austin,TX
3570174ha,10,7,Russ R.,Landlord Kept deposit,1,2015-06-01T00:00:00.000+0000,VRBO,2016-02-10T21:37:54.607+0000,Austin,TX
3570174ha,10,8,Mary E.,"Clean, quiet, professionally managed apt",5,2014-11-15T00:00:00.000+0000,VRBO,2015-01-31T14:26:44.420+0000,Austin,TX
3570174ha,10,9,Destiny B.,Awesome Location. Wonderful stay.,5,2014-01-23T00:00:00.000+0000,VRBO,2014-06-01T04:37:06.603+0000,Austin,TX
3570174ha,10,10,Cindy H.,"Nice location, cozy condo",5,2013-08-17T00:00:00.000+0000,VRBO,2013-10-03T17:16:54.490+0000,Austin,TX
4130151ha,8,1,Carole B.,Would stay again!,4,2017-04-01T00:00:00.000+0000,VRBO,2017-05-05T13:17:00.000+0000,Austin,TX
4130151ha,8,2,Karen H.,Great location,4,2016-12-02T00:00:00.000+0000,VRBO,2017-01-07T18:42:00.000+0000,Austin,TX
4130151ha,8,3,Kerrie W.,Great location and Condo,5,2016-10-17T00:00:00.000+0000,VRBO,2016-11-19T21:18:00.000+0000,Austin,TX
4130151ha,8,4,Denise H.,Beautiful Condo,5,2016-09-13T00:00:00.000+0000,VRBO,2016-10-17T11:27:01.687+0000,Austin,TX
4130151ha,8,5,Brett P.,Great apartment and very welcoming host.,5,2016-09-12T00:00:00.000+0000,VRBO,2016-10-12T12:15:00.000+0000,Austin,TX
4130151ha,8,6,Janice B.,Great condo in a good location!,5,2016-05-23T00:00:00.000+0000,VRBO,2016-06-02T02:26:58.333+0000,Austin,TX
4130151ha,8,7,Macy F.,Amazing stay at WONDERFUL condo!!,5,2016-02-27T00:00:00.000+0000,VRBO,2016-05-16T02:18:00.000+0000,Austin,TX
4130151ha,8,8,Karen L.,A perfect stay!,5,2016-02-20T00:00:00.000+0000,VRBO,2016-03-02T17:35:28.087+0000,Austin,TX
731730,4,1,Paul and Monica and Ari,Great location,5,2016-10-29T00:00:00.000+0000,VRBO,2016-12-04T15:32:00.000+0000,Austin,TX
731730,4,2,mb o.,perfect choice!,5,2016-08-03T00:00:00.000+0000,VRBO,2016-09-13T13:51:00.000+0000,Austin,TX
731730,4,3,Paula A.,"Good location, nice condo",5,2016-03-13T00:00:00.000+0000,VRBO,2016-04-19T19:22:00.000+0000,Austin,TX
731730,4,4,Barbara H.,Great condo in a great location!,5,2015-12-14T00:00:00.000+0000,VRBO,2016-01-26T04:14:00.000+0000,Austin,TX
654775,4,1,Debbie B.,It was perfect!! Even better than I anticipated.,5,2017-02-13T00:00:00.000+0000,VRBO,2017-05-04T16:45:00.000+0000,Austin,TX
654775,4,2,Jerome & Janeen L.,Awesome Downtown Apartment in Austin,5,2015-04-14T00:00:00.000+0000,VRBO,2015-06-01T22:02:08.997+0000,Austin,TX
