listing_id,listing_title,latitude,longitude,location_name,number_reviews,average_rating,average_nightly_price,nightly,weekend_night,property_protection_fee,cleaning_fee,tax_rate,min_stay,sleeps,bedrooms,bathrooms,property_type,internet,member_since,response_time,response_rate,calendar_last_updated,type,floor,sq_footage,max_occupancy,building_type,city,state
4135771ha,"Victorian in Charles Village, Steps from Hopkins & Farmer's Market",39.326569,-76.610742,"Abell, Baltimore, MD, USA",9,4.9,138,138,,,80,,6,8,3,,house,Yes,2016,Within 2 days,100%,"May 23, 2017",house,,1100,8,,Camden,PA
873214,3 Bedroom 3.5 Bath Waterfront Home With Private Beach & Hot Tub -  Pet Friendly!,39.2713449,-76.451227,"Dundalk, MD, USA",15,4.9,283,325,,,175,6.5%,3,8,3,3,house,Yes,2016,Within a few days,80%,"May 23, 2017",house,,2400,8,,Camden,PA
3855270ha,"2 BDRM, Patio, 1 Block to Waterfront in Charming Fells Point-Sleeps 4",39.2832436,-76.5906688,"Fells Point, Baltimore, MD, USA",24,4.6,228,159,279,,,,2,4,2,2,townhome,Yes,2014,Within an hour,100%,"June 8, 2017",townhome,,720,,,Camden,PA
3887740ha,"3 BDRMs, Rooftop Deck, Walk To Inner Harbor/Conv. CTR/Water Taxi- Sleeps 10",39.2849902,-76.6010317,"Little Italy, Baltimore, MD, USA",40,4.8,304,209,399,,,,2,10,3,3,house,Yes,2014,Within a few hours,100%,"June 8, 2017",house,,1700,,,Camden,PA
958735,Baltimore's Mount Vernon -- Sunny & Spacious Urban Retreat,39.2982615,-76.618317,"Midtown (Baltimore, MD, USA)",4,,64,95,,,60,,1,2,1,1,apartment,Yes,2016,Within a few hours,100%,"June 6, 2017",apartment,,,2,,Camden,PA
324062,Annapolis Lakefront Contemporary/ Spectacular Views  Sleeps 8,39.04953003,-76.44828033,"Annapolis, MD, USA",1,,330,550,,,,12.0%,2,9,4,3,house,Yes,2010,,,"June 4, 2017",house,,2200,9,,Camden,PA
337370,"May/June special.  New bathroom, beds, carpet.  On water promenade in Fells!",39.28199387,-76.59023285,"Fells Point, Baltimore, MD, USA",43,4.8,345,,,,,,2,8,3,2,townhome,Yes,2011,Within 2 days,80%,"June 6, 2017",townhome,,1900,8,house,Camden,PA
750777,Gorgeous Annapolis Area Waterfront Home!,39.0683239,-76.5175189,"Severna Park, MD, USA",23,,350,350,,,150,6.0%,3,12,5,3,house,Yes,2015,Within a day,90%,"June 6, 2017",house,,,12,,Camden,PA
699586,Perfect Downtown Location - Inner Harbor/Stadiums/Federal Hill/Convention Center,39.280448,-76.616048,"Sharp Leadenhall, Baltimore, MD, USA",51,,333,375,,,,6.0%,2,8,3,2,townhome,Yes,2015,Within a few hours,100%,"June 4, 2017",townhome,,1572,8,,Camden,PA
769477,Canton Harbor A Marina Community,39.2794585,-76.5722672,"Canton, Baltimore, MD, USA",21,4.6,152,135,,,,,2,4,2,2,house,Yes,2015,Within 12 hours,100%,"June 5, 2017",house,,1100,4,,Camden,PA
3727906ha,"3 BDRMs, Rooftop Deck, Walk To Inner Harbor/Conv. CTR/Water Taxi-Sleeps 10",39.2850762,-76.6009668,"Little Italy, Baltimore, MD, USA",55,4.8,249,199,399,,,,2,10,3,2,house,Yes,2014,Within 12 hours,100%,"June 8, 2017",house,,1700,,,Camden,PA
902324,Private Room & Bath In Canton House,39.285881,-76.575539,"Canton, Baltimore, MD, USA",14,4.9,65,65,75,,,,,2,1,1,townhome,Yes,2016,Within 12 hours,100%,"June 5, 2017",townhome,,,2,,Camden,PA
4434018ha,"3 BDRMs, Roof Deck, Walk to Inner Harbor/Convention Center/Water Taxi-Sleeps 11",39.2794135,-76.6138846,"Federal Hill-Montgomery, Baltimore, MD, USA",6,,299,199,399,,,,2,10,3,2,townhome,Yes,2014,Within an hour,100%,"June 8, 2017",townhome,,2275,,,Camden,PA
3521143ha,Colorful Sunny Home in Quiet City Area near JHU and all the City has to offer,39.3322069,-76.59996,"Ednor Gardens - Lakeside, Baltimore, MD, USA",18,4.4,120,130,150,,90,,2,6,3,1,house,Yes,2013,Within an hour,100%,"June 8, 2017",house,,1300,6,,Camden,PA
932257ha,Walk To Johns Hopkins Main Campus Or Union Memorial Hospital !,39.32730175,-76.61315627,"Abell, Baltimore, MD, USA",4,4.8,191,197,247,,140,15.5%,3,4,1,1,condo,Yes,2009,Within 12 hours,100%,"June 7, 2017",condo,3,600,4,,Camden,PA
501591,Renovated Canton Rowhome Near Waterfront,39.2836928,-76.5807809,"Canton, Baltimore, MD, USA",9,4.9,204,195,230,,120,,3,3,1,1,townhome,Yes,2013,Within 12 hours,100%,"January 29, 2017",townhome,,1200,3,,Camden,PA
4128746ha,"3 BDRMs & 4 FULL BTHs, Walk to Inner Harbor/Conv. CTR/Stadiums, Patio-Sleeps 13",39.2777699,-76.6088573,"Federal Hill-Montgomery, Baltimore, MD, USA",8,4.5,330,229,419,,,,2,13,3,4,townhome,Yes,2014,Within an hour,100%,"June 8, 2017",townhome,,1750,,house,Camden,PA
617890,"Firepit, Beach, Pier and Gorgeous views without leaving your home ! ! !",,,"Pasadena, MD, USA",22,4.7,440,400,500,,,6.0%,2,14,5,3,house,Yes,2014,Within a few hours,100%,"June 8, 2017",house,,3000,14,,Camden,PA
906061,Historic Rowhouse Convenient to the best of Baltimore's  Attractions and Hopkins,39.2841994,-76.5858519,"Canton, Baltimore, MD, USA",11,4.8,363,250,275,,,6.0%,1,9,3,3,townhome,Yes,2016,Within a day,100%,"June 7, 2017",townhome,,1200,9,house,Camden,PA
807108,Waterfront Living On Back Creek!,39.131171,-76.463493,"Pasadena, MD, USA",4,4.8,300,300,,,175,6.0%,2,10,4,2,house,Yes,2016,Within a few hours,100%,"June 7, 2017",house,,2050,10,,Camden,PA
4069765ha,Rock Creek Retreat House,39.149378,-76.502297,"Riviera Beach, MD, USA",9,,196,200,,,,6.0%,2,6,3,2,house,No,2015,Within 12 hours,100%,"May 21, 2017",house,,1600,6,,Camden,PA
966774,Contemporary Baltimore City Home in Historic Fells Point and Vibrant Canton,39.284425,-76.583817,"Canton, Baltimore, MD, USA",5,,360,425,450,,150,15.5%,1,8,3,3,townhome,Yes,2016,Within 12 hours,100%,"May 24, 2017",townhome,,3000,,house,Camden,PA
805100,A Unique & Private Single Family Home,39.486349,-76.630623,"Cockeysville, MD, USA",8,4.6,533,525,,,,,2,12,5,3,house,Yes,2016,Within 12 hours,100%,"June 7, 2017",house,,5300,12,,Camden,PA
919690ha,Houseboat Scorpius: Amazing Waterfront Views from Your Own Floating Home!,39.283183,-76.5877344,"Fells Point, Baltimore, MD, USA",17,4.8,252,,,,,,2,6,2,1,house,Yes,2005,Within an hour,,"June 8, 2017",house,,0,6,,Camden,PA
360959ha,Annapolis Area Severn River Waterfront,39.067666,-76.578337,"Crownsville, MD, USA",17,4.9,457,550,,,200,,4,11,5,2,house,Yes,2009,Within 12 hours,100%,"June 8, 2017",house,,2100,11,,Camden,PA
432131,Waterfront Relaxing Retreat in Annapolis/Severna Park Area,39.072615,-76.521923,"Severna Park, MD, USA",83,,388,375,,,125,6.0%,3,10,4,3,house,Yes,2012,Within a few hours,100%,"June 4, 2017",house,,2176,10,,Camden,PA
390276ha,Houseboat Delphinus: Spacious and Comfy Floating Home Near Inner Harbor!,39.2837516,-76.5879042,"Fells Point, Baltimore, MD, USA",11,4.8,220,,,,,,2,6,2,1,house,Yes,2005,Within an hour,,"June 8, 2017",house,,0,6,,Camden,PA
981394ha,"Inner Harbor,Camden Yards, Ravens Stadium, Convention Center, Horseshoe Casino",39.283396,-76.623726,"Ridgely's Delight, Baltimore, MD, USA",30,4.8,238,200,300,,,,3,9,3,2,house,Yes,2012,Within 12 hours,100%,"June 6, 2017",house,,,9,,Camden,PA
4434253ha,"LG 3 BDRMs, 2,000SqFt, Walk To Inner Harbor & Conv. CT, Rooftop Deck-Sleeps 10.",39.2793517,-76.6136896,"Federal Hill-Montgomery, Baltimore, MD, USA",3,,299,199,399,,175,,2,12,3,2,townhome,Yes,2014,Within an hour,100%,"June 8, 2017",townhome,,2000,,,Camden,PA
958787,Cozy Park Side Condo in Midtown Baltimore,39.2982352,-76.6139922,"Midtown (Baltimore, MD, USA)",4,,120,120,,,60,,1,2,1,1,apartment,Yes,2016,Within a few days,100%,"June 6, 2017",apartment,2,,2,building,Camden,PA
168663,Gorgeous Waterfront Home Perfect for your Family Vacation!,39.15945053,-76.53050232,"Glen Burnie, MD, USA",49,4.9,436,420,500,,200,,2,12,4,3,house,Yes,2008,Within a day,100%,"June 2, 2017",house,,2900,12,,Camden,PA
3921896ha,Charming And Historic Stone Cottage In Ellicott City,39.30440934,-76.84526334,"Ellicott City, MD, USA",16,4.9,125,125,150,,,,,6,1,1,cottage,Yes,2015,Within a few days,70%,"May 28, 2017",cottage,,1100,6,,Camden,PA
