listing_id,listing_title,latitude,longitude,location_name,number_reviews,average_rating,average_nightly_price,nightly,weekend_night,property_protection_fee,cleaning_fee,tax_rate,min_stay,sleeps,bedrooms,bathrooms,property_type,internet,member_since,response_time,response_rate,calendar_last_updated,type,floor,sq_footage,max_occupancy,building_type,city
642431,Charleston SC Vacation Rental,32.84148,-80.064046,"Charleston, SC, USA",14,4.6,37,,,,,8.0%,30,5,2,2,condo,Yes,2015,Within a few hours,100%,"June 4, 2017",condo,1,900,5,building,Charleston
285078,Downtown Charleston Carriage House,32.78875351,-79.93201447,"Ansonborough, Charleston, SC, USA",6,4.5,275,275,,,125,,3,2,1,1,cottage,Yes,1999,Within a day,100%,"June 7, 2017",cottage,,850,2,,Charleston
263489,Romantic Loft Apartment in Historic Downtown with Parking,,,"Historic Old City, Charleston, SC, USA",176,4.9,235,325,,,,,2,2,1,1,studio,Yes,2009,Within an hour,100%,"June 8, 2017",studio,3,,2,,Charleston
442861,Historic Romantic Downtown Row House,,,"Harleston Village, Charleston, SC, USA",109,4.9,193,,,,,,2,2,1,1,townhome,Yes,2009,Within 12 hours,90%,"June 8, 2017",townhome,1,450,2,,Charleston
433353,"Stay in Luxury. Eat, Shop W/Locals-Upper King Street Design District",32.7884865,-79.9463232,"Cannonborough Elliotborough, Charleston, SC, USA",90,4.9,169,169,189,,75,14.0%,3,4,1,1,condo,Yes,2012,Within a few hours,100%,"June 9, 2017",condo,1,760,4,,Charleston
872331,1 Block off historic king street,32.777468,-79.934451,"Harleston Village, Charleston, SC, USA",24,4.9,375,400,,,150,,3,8,4,2,townhome,No,2016,Within a few hours,90%,"June 8, 2017",townhome,3,2250,8,,Charleston
3863646ha,"Charming, Quiet 1 Bdrm Cottage in Avondale 5 Mins From Downtown Charlesto",32.790771,-79.984817,"West Ashley, Charleston, SC, USA",43,4.9,118,99,125,,,,3,4,1,1,cottage,Yes,2014,Within a few hours,100%,"June 8, 2017",cottage,,,4,,Charleston
893026,😎🌟🏖🎏$85. Winter Special on James Island 5 Miles To Folly Beach and Downtown,32.73202183,-79.95592088,"Charleston, SC, USA",31,4.7,107,85,,,65,13.5%,2,2,1,1,condo,Yes,2015,Within an hour,100%,"June 9, 2017",condo,2,747,2,building,Charleston
425963,"Stay In Luxury. Eat,Shop W/ Locals-Upper King Street Design District",32.7884865,-79.9463232,"Cannonborough Elliotborough, Charleston, SC, USA",103,4.9,301,289,339,,80,14.0%,3,6,2,2,condo,Yes,2012,Within a few hours,100%,"June 9, 2017",condo,2,1350,6,,Charleston
885977,Charming 3BR unit in the heart of historic Charleston,32.783294,-79.933264,"Harleston Village, Charleston, SC, USA",74,4.7,319,,,,,,1,6,3,2,condo,No,2016,Within a day,,"June 9, 2017",condo,,1800,6,,Charleston
400061,Charming Cottage in Historic Charleston,32.78850555,-79.94650269,"Cannonborough Elliotborough, Charleston, SC, USA",136,,316,289,339,,80,14.0%,3,6,2,2,cottage,Yes,2012,Within a few hours,100%,"June 9, 2017",cottage,,1500,6,,Charleston
405642,Modern Studio Apartment in Historic Building on Broad St with Parking,,,"Historic Old City, Charleston, SC, USA",134,4.9,193,305,,,,,2,2,1,1,studio,Yes,2009,Within a day,90%,"June 8, 2017",studio,2,,2,,Charleston
502068,Private Historic 1770 Carriage House Located South Of Broad,32.775422,-79.933666,"South of Broad (Charleston, SC, USA)",72,4.8,246,225,275,,,,3,2,1,1,apartment,Yes,2013,Within a few days,60%,"June 8, 2017",apartment,2,650,2,,Charleston
161323,Lodge Alley - Downtown Historic District - Incredible Location,32.77946091,-79.92797852,"French Quarter, Charleston, SC, USA",208,,325,325,375,,,13.5%,3,5,2,2,townhome,Yes,2007,Within a few hours,90%,"June 3, 2017",townhome,,,5,,Charleston
763497,Historic Upper King Restoration!,32.787569,-79.938986,"Radcliffeborough, Charleston, SC, USA",44,,429,500,,,200,14.0%,3,6,2,3,condo,Yes,2015,Within a few days,70%,"June 7, 2017",condo,3,2200,6,building,Charleston
3538607ha,Folly Beach Riverfront Apartment with private dock boat ramp kayaks and bikes,32.671964,-79.9395,"Charleston, SC, USA",30,4.8,164,250,,,,12.5%,3,4,1,1,apartment,Yes,2013,Within an hour,100%,"June 6, 2017",apartment,1,1000,4,house,Charleston
513680,19 Broad: Rustic Studio Flat,32.7765879,-79.927954,"Historic Old City, Charleston, SC, USA",28,4.8,214,,,,,4.0%,3,2,Studio,1,studio,Yes,2002,Within 12 hours,100%,"June 8, 2017",studio,,850,,building,Charleston
589275,"Lake front cottage within 5 miles of historic Charleston, SC",32.743517,-79.935389,"Charleston, SC, USA",80,4.8,185,185,,,100,13.5%,3,4,2,2,house,Yes,2014,Within 12 hours,100%,"June 9, 2017",house,,1352,4,,Charleston
497500,Historic District Rental With Parking,32.7795321,-79.935681,"Harleston Village, Charleston, SC, USA",65,4.5,214,200,250,,,,2,2,1,1,townhome,Yes,2013,Within 12 hours,100%,"June 8, 2017",townhome,1,475,2,,Charleston
510094,Carriage House with Old World European Feel,32.7808149,-79.942763,"Harleston Village, Charleston, SC, USA",35,4.8,450,325,475,,,13.5%,2,4,2,1,cottage,Yes,2013,Within an hour,100%,"June 5, 2017",cottage,,1100,4,,Charleston
3552597ha,Pied-A-Terre In Heart of Downtown on Historic Scenic Street,32.7766676,-79.9282922,"Historic Old City, Charleston, SC, USA",51,4.3,174,180,200,,,,2,2,1,1,apartment,Yes,2013,Within a day,90%,"June 8, 2017",apartment,2,1200,2,,Charleston
450710,ON MARKET STREET - BEST LOCATION IN THE HEART OF HISTORIC DOWNTOWN!,32.781091,-79.930758,"Ansonborough, Charleston, SC, USA",117,4.9,227,299,,,,9.5%,1,2,1,1,studio,Yes,2010,Within 12 hours,100%,"June 7, 2017",studio,2,400,2,building,Charleston
567555,"One Block From Upper King St Shops, Restaurants. Comfortable And Convenient.",32.791271,-79.941541,"Cannonborough Elliotborough, Charleston, SC, USA",29,4.6,417,450,,,,13.5%,3,6,3,2,house,Yes,2013,Within 2 days,100%,"June 9, 2017",house,,1500,6,,Charleston
