listing_id,total_number_reviews,n_review,reviewer_name,title,stars,stayed,source,submitted
388925,18,1,Rebecca S.,Very good,4,2017-03-19T00:00:00.000+0000,VRBO,2017-04-04T21:23:00.000+0000
388925,18,2,Judith M.,Wonderful Dilworth Home!,5,2016-07-21T00:00:00.000+0000,VRBO,2016-07-24T12:55:33.960+0000
388925,18,3,Celina P.,"Our time in Dilworth, Charlotte",5,2016-04-15T00:00:00.000+0000,VRBO,2016-04-23T14:15:49.480+0000
388925,18,4,Philip C.,Good stay in Charlotte,4,2016-02-04T00:00:00.000+0000,VRBO,2016-02-21T12:00:47.683+0000
388925,18,5,Melissa F.,Exceptional experince!,5,2015-11-22T00:00:00.000+0000,VRBO,2015-12-02T16:16:43.603+0000
388925,18,6,Gene B.,Perfect Place to stay in Charlotte,5,2015-08-06T00:00:00.000+0000,VRBO,2015-08-19T14:00:25.427+0000
388925,18,7,TexanInCharlotte,The Place To Stay In Charlotte,5,2014-05-26T00:00:00.000+0000,VRBO,2014-06-07T05:30:42.523+0000
388925,18,8,E. B.,Charming Place to stay in Charlotte!,5,2013-06-29T00:00:00.000+0000,VRBO,2013-07-06T21:43:36.490+0000
388925,18,9,Alison B.,Outstanding Amenities,5,2013-02-10T00:00:00.000+0000,VRBO,2013-02-17T14:57:28.083+0000
388925,18,10,Pam I.,Perfect Oasis!! ,5,2013-02-02T00:00:00.000+0000,VRBO,2013-02-04T19:50:30.660+0000
388925,18,11,Bichon Mom,AWESOME,5,2012-10-12T00:00:00.000+0000,VRBO,2012-10-24T02:26:27.393+0000
388925,18,12,LottieSez,Just Lovely,5,2012-05-19T00:00:00.000+0000,VRBO,2012-05-30T19:46:51.440+0000
388925,18,13,Anonymous,"Awesome extended, reptitive stay accomodations or a ""one-time"" stay",5,2012-01-09T00:00:00.000+0000,VRBO,2012-05-25T14:29:19.233+0000
388925,18,14,Beachdogs,Feels Like Home,5,2012-05-07T00:00:00.000+0000,VRBO,2012-05-16T02:39:39.787+0000
388925,18,15,Daniel J.,Beyond Expectations,5,2012-04-12T00:00:00.000+0000,VRBO,2012-04-18T15:09:09.830+0000
388925,18,16,O2BINPV,Wonderful Stay in Dilworth,5,2012-04-04T00:00:00.000+0000,VRBO,2012-04-12T00:03:28.783+0000
388925,18,17,Anonymous,Top Shelf,5,2012-03-14T00:00:00.000+0000,VRBO,2012-03-19T13:58:31.303+0000
388925,18,18,Anonymous,Perfect place to stay in Charlotte,5,2012-02-16T00:00:00.000+0000,VRBO,2012-03-04T23:09:13.587+0000
466428,22,1,karen m.,Needs upgrading and updating,3,2017-03-21T00:00:00.000+0000,VRBO,2017-03-26T12:52:00.000+0000
466428,22,2,Steven M.,Wonderful stay!,5,2017-03-09T00:00:00.000+0000,VRBO,2017-03-12T15:31:00.000+0000
466428,22,3,anthony r.,Bflo-Char,4,2017-01-21T00:00:00.000+0000,VRBO,2017-02-27T22:53:00.000+0000
466428,22,4,"A guest from Charlotte, NC",4 Day Stay,5,2017-01-12T00:00:00.000+0000,VRBO,2017-01-17T12:20:00.000+0000
466428,22,5,Amber M.,Cute and cozy and very clean,5,2016-12-30T00:00:00.000+0000,VRBO,2017-01-04T18:33:00.000+0000
466428,22,6,Douglas K.,Spacious and comfortable 1 bedroom! Kind hospitality!,5,2016-11-08T00:00:00.000+0000,VRBO,2016-11-13T14:18:00.000+0000
466428,22,7,evie k.,MARVELOUS....REALLY.,5,2016-11-02T00:00:00.000+0000,VRBO,2016-11-06T00:15:00.000+0000
466428,22,8,Cortney S.,Cute and clean condo,4,2016-10-14T00:00:00.000+0000,VRBO,2016-10-19T11:58:00.000+0000
466428,22,9,Laura W.,Anniversary Trip,5,2016-08-09T00:00:00.000+0000,VRBO,2016-08-21T21:47:00.000+0000
466428,22,10,Nancy F.,A home away from home............cozy!!!! ,5,2016-06-18T00:00:00.000+0000,VRBO,2016-06-22T21:39:16.433+0000
466428,22,11,Keith U.,Truly Home Away-- Excellent,4,2016-05-04T00:00:00.000+0000,VRBO,2016-05-10T11:52:00.000+0000
466428,22,12,erica p.,What a great place to stay in Charlotte!,5,2016-03-06T00:00:00.000+0000,VRBO,2016-03-21T15:33:00.000+0000
466428,22,13,Michael K.,Large one bedroom in Elizabeth,5,2015-11-11T00:00:00.000+0000,VRBO,2015-11-20T20:57:57.587+0000
466428,22,14,Kipp C.,Great stay right in heart of Charlotte,5,2015-10-23T00:00:00.000+0000,VRBO,2015-10-28T12:37:45.737+0000
466428,22,15,Jean A.,Ideal Comfortable Abode,5,2015-10-07T00:00:00.000+0000,VRBO,2015-10-13T19:42:44.797+0000
466428,22,16,Claire M.,Great,5,2015-09-23T00:00:00.000+0000,VRBO,2015-09-30T11:01:00.000+0000
466428,22,17,Denise P.,So cute and comfortable!,5,2015-09-19T00:00:00.000+0000,VRBO,2015-09-25T02:19:04.170+0000
466428,22,18,Bobbie B.,Wonderful apartment!,5,2015-08-10T00:00:00.000+0000,VRBO,2015-08-17T15:40:30.820+0000
466428,22,19,Seth C.,excellent ,5,2015-08-08T00:00:00.000+0000,VRBO,2015-08-14T12:51:44.327+0000
466428,22,20,Karen M.,I could live here!,5,2015-05-12T00:00:00.000+0000,VRBO,2015-06-06T22:30:33.033+0000
466428,22,21,amelia p.,A lovely home away from home,5,2015-05-25T00:00:00.000+0000,VRBO,2015-06-02T00:57:25.913+0000
466428,22,22,Mary  E.,A Great Place to Stay,5,2015-01-08T00:00:00.000+0000,VRBO,2015-01-19T18:55:58.587+0000
388123,14,1,Cheryl G.,Exceptional customer service,5,2016-07-10T00:00:00.000+0000,VRBO,2016-07-18T15:31:00.000+0000
388123,14,2,Michelle T.,Adorable,5,2015-12-03T00:00:00.000+0000,VRBO,2015-12-09T16:52:00.000+0000
388123,14,3,Cydney R.,Great decor | Excellent Location | Friendly,5,2015-10-14T00:00:00.000+0000,VRBO,2015-10-19T19:14:14.807+0000
388123,14,4,anneo,Our favorite place to stay!,5,2015-05-02T00:00:00.000+0000,VRBO,2015-06-09T23:21:11.220+0000
388123,14,5,Sisters,Expecting first grandchild in Charlotte,5,2015-02-06T00:00:00.000+0000,VRBO,2015-02-09T12:13:44.473+0000
388123,14,6,Andee2,Best Rental I've Ever Had!,5,2014-10-12T00:00:00.000+0000,VRBO,2014-10-31T15:11:55.573+0000
388123,14,7,Leon L.,Outstanding!!,5,2014-10-23T00:00:00.000+0000,VRBO,2014-10-29T20:29:34.547+0000
388123,14,8,RonnAnn,Simply Charming,5,2014-10-01T00:00:00.000+0000,VRBO,2014-10-07T21:49:28.207+0000
388123,14,9,Judy E.,Wonderful apartment!,5,2014-03-18T00:00:00.000+0000,VRBO,2014-04-25T12:32:00.437+0000
388123,14,10,anneo,Wonderful experience!,5,2013-10-25T00:00:00.000+0000,VRBO,2013-10-30T23:16:44.567+0000
388123,14,11,Sharp,Royal Treatment in Queen City,5,2013-10-01T00:00:00.000+0000,VRBO,2013-10-04T12:37:02.700+0000
388123,14,12,Frank F.,wonderful!,5,2012-09-09T00:00:00.000+0000,VRBO,2012-09-17T12:48:25.527+0000
