listing_id,listing_title,latitude,longitude,location_name,number_reviews,average_rating,average_nightly_price,nightly,weekend_night,property_protection_fee,cleaning_fee,tax_rate,min_stay,sleeps,bedrooms,bathrooms,property_type,internet,member_since,response_time,response_rate,calendar_last_updated,type,floor,sq_footage,max_occupancy,building_type,city,state
589454,Ground Floor Apartment In The Heart Of Hawthorne District,45.511506,-122.627267,"Hawthorne, Portland, OR, USA",7,4.9,67,,,,150,,30,4,1,1,apartment,Yes,2014,Within 12 hours,100%,"May 23, 2017",apartment,1,800,4,,Concord,SC
7070464ha,Newly Renovated and Waterfront Condo in the Pearl District,45.5289956,-122.6743268,"Old Town Chinatown, Portland, OR, USA",14,4.7,71,,,,,,21,4,1,1,condo,Yes,2010,Within a few days,70%,"May 12, 2017",condo,1,690,4,,Concord,SC
630452,Beautifully Updated 1883 Sellwood Bungalow,45.464041,-122.655298,"Sellwood - Moreland, Portland, OR, USA",18,4.9,100,,,,100,,30,5,2,1,house,Yes,2014,Within a day,90%,"May 22, 2017",house,,1175,5,,Concord,SC
802672,#28 Urban Retreat In The Trees,45.4898346,-122.6784839,"Homestead, Portland, OR, USA",16,4.9,125,125,150,,60,12.5%,2,6,2,1,apartment,Yes,2015,Within 12 hours,100%,"June 5, 2017",apartment,2,800,6,building,Concord,SC
4082409ha,Attractive 9th Avenue Apartment,45.5184279,-122.6804518,"Downtown, Portland, OR, USA",49,4.7,293,,,,,,1,5,2,2,apartment,Yes,2011,Within an hour,,"June 9, 2017",apartment,,1000,5,,Concord,SC
473801,Northwest  Nob Hill  2 bedroom Pied-à-terre,45.5307899,-122.7024304,"Uptown, Portland, OR, USA",57,4.8,193,185,,,,,3,4,2,1,apartment,Yes,2008,Within a few hours,100%,"June 9, 2017",apartment,2,1000,4,building,Concord,SC
439210,Historic Vista Cottage- Portland Heights -Featured in the Oregonian,45.5098239,-122.6985525,"Portland Heights, Portland, OR, USA",88,4.9,145,155,,,85,13.3%,3,3,1,1,cottage,Yes,2012,Within an hour,100%,"May 20, 2017",cottage,,660,3,,Concord,SC
354752,"Location, Location, Location, Northwest Portland Classic",45.53079224,-122.7024231,"Uptown, Portland, OR, USA",84,4.9,125,125,,,,,14,5,2,1,apartment,Yes,2008,Within a few hours,100%,"June 6, 2017",apartment,1,1000,5,building,Concord,SC
120133,Garden View Hideway In Irvington Neighborhood,45.5395546,-122.65076447,"Irvington, Portland, OR, USA",97,4.8,89,85,100,,65,12.5%,,4,1,1,apartment,Yes,2006,Within an hour,100%,"June 2, 2017",apartment,1,550,4,,Concord,SC
801545,"Nob Hill Historic Victorian Pied-à-Terre, Location and Off-Street Parking!",45.53465266,-122.70741775,"Uptown, Portland, OR, USA",53,4.8,,,,,35,13.5%,30,2,1,1,house,Yes,2015,Within a day,90%,"May 28, 2017",house,,480,2,,Concord,SC
655563,Charming Cottage in Walkable Neighborhood Close to Everything,45.423465,-122.67648,"First Addition, Lake Oswego, OR, USA",39,4.7,120,135,,,75,,2,6,2,1,cottage,Yes,2014,Within a few hours,90%,"June 7, 2017",cottage,,1000,,,Concord,SC
478874,A Feathered Nest. Your Home Away from Home,,,"Slabtown, Portland, OR, USA",79,,245,245,,,,12.5%,3,4,2,2,apartment,Yes,2013,Within a few hours,100%,"June 8, 2017",apartment,1,1100,4,,Concord,SC
907710,Historic Springs Cottage- Portland Heights- featured in The Oregonian,45.5098178,-122.6986455,"Portland Heights, Portland, OR, USA",18,,145,155,,,,13.3%,3,6,2,2,house,Yes,2012,Within an hour,100%,"June 8, 2017",house,,1320,6,,Concord,SC
881382,"Spacious 4,000 Sq Ft House In Quiet Neighborhood",45.524993,-122.765412,"West Haven-Sylvan, Portland, OR, USA",19,4.7,333,350,400,,,,2,20,6,3,house,Yes,2015,Within an hour,100%,"June 8, 2017",house,,4000,20,,Concord,SC
626450,2 Fun Location! Spacious Newer condo Close To It All!,45.5363206,-122.7018322,"Uptown, Portland, OR, USA",40,4.9,173,135,145,,100,11.5%,2,4,1,1,condo,Yes,2013,Within an hour,100%,"June 9, 2017",condo,2,968,4,,Concord,SC
485443,Panoramic MT Hood And Willamette River View Minutes From City Center,45.47343,-122.676657,"Corbett - Terwilliger - Lair Hill, Portland, OR, USA",76,4.5,114,124,,,,11.5%,2,2,1,1,apartment,Yes,2013,Within a day,100%,"June 8, 2017",apartment,1,500,2,,Concord,SC
818052,"Sellwood Guest Home, 2BR/2ba Guest Home, stunning design, close to downtown.",45.465976,-122.656349,"Sellwood - Moreland, Portland, OR, USA",31,4.9,165,145,,,85,11.5%,2,4,2,2,house,Yes,2016,Within an hour,100%,"June 9, 2017",house,,750,,,Concord,SC
7106185ha,Portland Monthly Rentals Million Dollar View Condo,45.5253715,-122.7017092,"Hillside, Portland, OR, USA",10,,68,,,,100,,31,2,1,1,condo,Yes,2012,Within an hour,100%,"May 26, 2017",condo,2,670,2,building,Concord,SC
