listing_id,listing_title,latitude,longitude,location_name,number_reviews,average_rating,average_nightly_price,nightly,weekend_night,property_protection_fee,cleaning_fee,tax_rate,min_stay,sleeps,bedrooms,bathrooms,property_type,internet,member_since,response_time,response_rate,calendar_last_updated,type,floor,sq_footage,max_occupancy,building_type,city
148347,Wow! Golfer's Delight! - Myrtle Beach - Burning Ridge Golf Course,,,"Conway, SC, USA",2,,136,150,,,150,,6,5,3,2,townhome,Yes,2007,Within 2 days,80%,"March 8, 2017",townhome,,,5,,Conway
3994324ha,River Serenity With Close Proximity To Beaches,33.8509368,-78.9763131,"Conway, SC, USA",6,4.8,158,150,,,85,12.0%,2,6,3,2,house,Yes,2011,Within a day,90%,"June 8, 2017",house,,2000,6,,Conway
823942,"Exclusive Estate On Prestine Waccamaw River Near Myrtle Beach, SC",33.824845,-78.909611,"Conway, SC, USA",3,,303,295,,,,,3,8,3,2,house,Yes,2016,Within a few hours,100%,"June 8, 2017",house,,3800,8,,Conway
4208049ha,Nestled In  Quiet Residential Area. Close To Downtown Conway And Myrtle Beach,33.8105819,-79.005914,"Conway, SC, USA",1,,129,150,,,,,3,8,3,1,house,No,2014,Within a few hours,100%,"June 8, 2017",house,,,8,,Conway
579110,Enjoy The Scenic Waccamaw River From Your Dock And Porches!,33.843961,-78.9753269,"Conway, SC, USA",13,,171,185,,,90,11.0%,3,10,3,3,house,Yes,2014,Within a few hours,100%,"June 8, 2017",house,,2300,10,,Conway
455709,Waterway & Golf Course View! Shuttle to Beach*!  LINENS INCLUDED,33.79564343,-78.77066374,"North Myrtle Beach, SC, USA",64,4.9,75,69,,,,12.0%,3,6,2,2,condo,Yes,2013,Within an hour,100%,"June 9, 2017",condo,3,1050,,building,Conway
826845,"Enjoy the oceanfront balcony, bedroom, and pool.",33.5950739,-78.981547,"Surfside Beach, SC, USA",13,4.8,79,,,,,12.0%,7,6,2,2,condo,Yes,2012,Within 12 hours,100%,"June 7, 2017",condo,1,1060,6,building,Conway
560164,Ocean View Condo with Balcony! 1st Row from the Beach.,33.662957,-78.914391,"Myrtle Beach, SC, USA",39,4.6,58,70,,,,13.0%,3,6,1,1,condo,Yes,2014,Within an hour,100%,"June 8, 2017",condo,2,500,6,building,Conway
3680533ha,"Early Check in 12pm!  For remaining dates 2017. $ Dollar view, parking attched.",33.66892128,-78.905981,"Myrtle Beach, SC, USA",21,4.7,336,109,,,,13.0%,4,10,3,3,condo,Yes,2014,Within a few hours,90%,"June 9, 2017",condo,11,1400,10,building,Conway
95788,2BR Myrtle Beach Condo,33.77921677,-78.78562164,"Myrtle Beach, SC, USA",35,4.8,100,,,,,12.0%,3,6,2,1,condo,Yes,2006,Within a few days,100%,"June 9, 2017",condo,3,,6,building,Conway
274854,Urban Contemporary Myrtle Beach Condo in Barefoot Resort,33.79683685,-78.7768631,"North Myrtle Beach, SC, USA",33,,146,150,,,,,3,6,2,2,condo,Yes,2009,Within a few hours,100%,"June 8, 2017",condo,,1100,6,,Conway
404560,"LAST MINUTE RATE , Direct Oceanfront 4BR/3BA, Sleep 16, Corner, Central location",33.66924286,-78.90476227,"Myrtle Beach, SC, USA",69,4.9,156,,,,155,12.0%,7,16,4,3,condo,Yes,2007,Within an hour,100%,"June 8, 2017",condo,12,1800,16,building,Conway
614748,Executive Suite Condominium - Home Of The Famous Ocean Annie's Beach Bar,33.759933,-78.7897327,"Myrtle Beach, SC, USA",30,4.8,89,149,,,,,3,8,2,2,condo,Yes,2014,Within a few hours,100%,"June 7, 2017",condo,16,1200,8,building,Conway
929524,"On the ""Half Shell"", Adorable Beach Cottage, Steps to the Ocean, Pets Welcome!",33.5986013,-78.9808534,"Surfside Beach, SC, USA",10,4.7,130,120,,,85,11.0%,2,8,2,1,house,Yes,2012,Within an hour,100%,"June 8, 2017",house,,,,,Conway
500395,Bliss Ocean Front Studio,33.6294123,-78.9508465,"Myrtle Beach, SC, USA",28,4.8,48,,,,50,,3,6,Studio,1,condo,Yes,2013,Within a few hours,100%,"June 7, 2017",condo,4,400,6,,Conway
470229,"2BR/2Bth Condo, Internet, Pool, Vaulted Ceilings, 42'Flat TV",33.742458,-78.854229,"Myrtle Beach, SC, USA",14,4.5,127,130,,,50,,3,6,2,2,condo,Yes,2013,Within a few days,90%,"June 8, 2017",condo,4,,6,,Conway
606771,Family Friendly 3 bedroom/2 bath 1st Floor Condo,33.616253,-79.003675,"Surfside Beach, SC, USA",20,4.7,121,,,,,11.0%,6,8,3,2,condo,Yes,2014,Within a few hours,100%,"June 9, 2017",condo,1,1200,,building,Conway
129336,"Beach House: 2 Kitchens, Golf Cart, Pet-friendly, FREE Linens, Towels & WIFI",33.5919047,-78.9878129,"Surfside Beach, SC, USA",78,,149,125,,,,,5,9,3,3,house,Yes,2007,Within an hour,100%,"June 8, 2017",house,,,9,,Conway
427782,5 Star - Modern Shipwatch Pointe II Condo,33.76203218,-78.78744697,"Myrtle Beach, SC, USA",30,4.6,100,,,,,11.0%,3,6,2,2,condo,Yes,2012,Within a few hours,100%,"June 4, 2017",condo,3,1000,6,,Conway
788532,Great Condo for your Summer Vacation!,33.8015169,-78.7672376,"North Myrtle Beach, SC, USA",7,,80,100,,,,12.0%,3,6,2,2,condo,Yes,2015,Within an hour,100%,"June 9, 2017",condo,2,1050,6,villa,Conway
569282,Beautiful Ocean View Condo With 2 Bedrooms 2 Full Baths Sleeps 6-8,33.596335,-78.981418,"Myrtle Beach, SC, USA",29,4.7,107,,,,60,,3,8,2,2,condo,Yes,2014,Within a few hours,100%,"June 6, 2017",condo,3,1100,8,,Conway
822761,Gorgeous Remodeled Oceanfront 3br/2ba Condo,33.6994769,-78.8714033,"Myrtle Beach, SC, USA",43,4.8,185,,,,150,14.0%,3,10,3,2,condo,Yes,2016,Within an hour,100%,"June 7, 2017",condo,9,1400,10,building,Conway
146447ha,"HURRY May 27-June 3rd Available -In & Outdoor Pool-Lazy River~Kiddy Pool,Hot Tub",33.6699022,-78.9055566,"Myrtle Beach, SC, USA",53,4.9,213,250,265,,105,13.0%,2,8,3,3,condo,Yes,2006,Within a few hours,100%,"June 8, 2017",condo,6,1300,8,building,Conway
361152,"Ocean Front, 1st Floor with Pool, Wi-Fi!",33.61089325,-78.96669769,"Surfside Beach, SC, USA",52,4.8,136,,,,65,12.0%,4,6,2,2,condo,Yes,2011,Within a few days,70%,"June 4, 2017",condo,1,1050,6,building,Conway
375317,"Spectacular  3 or 4 BR/3bath Oceanfront, 55' Hdtv",33.66893673,-78.90598878,"Myrtle Beach, SC, USA",40,4.9,198,250,,,130,13.0%,3,14,4,3,condo,Yes,2011,Within 12 hours,100%,"June 8, 2017",condo,14,1800,,,Conway
515545,Magnolia Place Condo at Myrtlewood Golf Resort 5 Blocks From Ocean,33.733191,-78.867074,"Myrtle Beach, SC, USA",35,4.9,95,150,,,75,7.0%,3,4,1,1,condo,Yes,2011,Within an hour,100%,"June 8, 2017",condo,2,700,4,building,Conway
460853,Ocean Front Family Resort 2 BR/2 BA Updated Ocean View Condo LINENS INCLUDED,33.7251502,-78.8403842,"Myrtle Beach, SC, USA",32,4.7,126,85,,,125,13.0%,3,8,2,2,condo,Yes,2005,Within 12 hours,100%,"June 6, 2017",condo,7,900,,building,Conway
827986,Cozy & Comfortable - you'll feel right at home.   3 BR 2 Bath condo,33.73362771,-78.90811669,"Myrtle Beach, SC, USA",17,4.9,107,105,,,,11.0%,3,8,3,2,condo,Yes,2016,Within an hour,100%,"June 7, 2017",condo,1,1350,8,building,Conway
477475,Beach Paradise! Direct Ocean Front End Unit! Prime Location! Beautiful Beach!,33.5950739,-78.981547,"Surfside Beach, SC, USA",33,4.8,84,68,,,75,12.0%,3,4,1,1,condo,Yes,2013,Within a few hours,100%,"June 8, 2017",condo,3,,4,building,Conway
418855,"Last minute rate, Direct Oceanfront 3BR/2BA,park on the same floor, very central",33.6997726,-78.8715248,"Myrtle Beach, SC, USA",68,4.7,275,,,,145,12.0%,1,10,3,2,condo,Yes,2007,Within a few hours,100%,"June 8, 2017",condo,6,1400,10,,Conway
427349,Stunning!  Maisons-Sur-Mer Oceanfront Luxury!,33.761943,-78.786203,"Myrtle Beach, SC, USA",42,,138,,,,,11.0%,4,6,2,2,condo,Yes,2012,Within a few hours,100%,"June 5, 2017",condo,,,6,building,Conway
458623,"Gorgeous 3BR, 2BA Camelot Oceanfront, Newly Remodeled",33.699624,-78.871286,"Myrtle Beach, SC, USA",64,4.8,150,,,,150,12.0%,3,10,3,2,condo,Yes,2013,Within 12 hours,100%,"June 8, 2017",condo,14,1400,10,,Conway
674856,"Last minute rate, 3BR Dunes Village,Indoor Waterpark,Unobstructed View, Central",33.7246359,-78.840535,"Myrtle Beach, SC, USA",35,4.7,448,,,,145,12.0%,7,12,3,2,condo,Yes,2007,Within a few hours,100%,"June 8, 2017",condo,8,1500,12,building,Conway
113180,Beautifully Updated Villa with view of Golf Course and Pool,33.73265076,-78.86528778,"Myrtle Beach, SC, USA",30,4.7,142,150,,,100,12.0%,2,6,2,2,condo,Yes,2006,Within a few hours,90%,"June 6, 2017",condo,2,,6,,Conway
993742ha,OCEANFRONT 2ND FLOOR*****5 STAR LUXURY MYRTLE BEACH GETAWAY,33.72553538,-78.83924246,"Myrtle Beach, SC, USA",28,4.8,179,175,,,,13.0%,4,9,3,3,condo,Yes,2012,Within an hour,100%,"June 7, 2017",condo,2,1867,,,Conway
569703,Horizon 2 Bedroom 2bath Penthouse condo with ocean view,33.744736,-78.815296,"Myrtle Beach, SC, USA",24,,199,85,,,98,,3,6,2,2,condo,Yes,2014,Within an hour,100%,"June 6, 2017",condo,9,900,6,,Conway
804464,Ocean Condo - The View !! - Clean - Renovated 2 Bdrm 20th Floor - N,33.62860074,-78.9523965,"Myrtle Beach, SC, USA",18,4.7,94,280,,,,11.0%,2,6,2,2,condo,Yes,2015,Within an hour,100%,"June 8, 2017",condo,20,975,6,building,Conway
606341,"Ocean Front in Myrtle Beach, SC",,,"Myrtle Beach, SC, USA",29,4.4,62,70,,,,2.0%,2,10,2,2,condo,Yes,2014,Within 2 days,90%,"June 8, 2017",condo,3,1800,10,,Conway
349894,Beautiful Updated Clean DIRECT Oceanfront 2BR/2BA Sept dates still  available,33.668957,-78.905981,"Myrtle Beach, SC, USA",44,4.6,108,116,,,,13.0%,4,8,2,2,condo,Yes,2011,Within an hour,100%,"June 9, 2017",condo,8,1025,8,building,Conway
