listing_id,listing_title,latitude,longitude,location_name,number_reviews,average_rating,average_nightly_price,nightly,weekend_night,property_protection_fee,cleaning_fee,tax_rate,min_stay,sleeps,bedrooms,bathrooms,property_type,internet,member_since,response_time,response_rate,calendar_last_updated,type,floor,sq_footage,max_occupancy,building_type,city
4038731ha,Fully furnished 2/2 Condo in Richardson,32.9892546,-96.7268933,"Richardson, TX, USA",3,4.7,85,85,,,,,30,5,2,2,condo,Yes,2015,,,"April 21, 2017",condo,1,1072,5,building,Dallas
4236466ha,Contemporary Apartment within a Historical Building Rich in Art,32.79472826,-96.7664097,"Old East Dallas, Dallas, TX, USA",25,4.7,63,70,,,,,1,4,1,1,apartment,Yes,2016,Within a few hours,100%,"June 9, 2017",apartment,2,550,4,building,Dallas
4078747ha,Addison Area 1Br Condo,32.9485282,-96.8212101,"Far North Dallas, Dallas, TX, USA",30,4.9,105,105,130,,,13.0%,3,4,1,1,condo,Yes,2015,Within a day,100%,"June 8, 2017",condo,1,985,4,building,Dallas
4235046ha,Amazing Elm Street Apartment,32.7819446,-96.7989154,"Main Street District, Dallas, TX, USA",31,4.6,197,,,,,,1,5,2,2,apartment,Yes,2011,Within an hour,,"June 9, 2017",apartment,,,5,,Dallas
32727,2BR/2BA Condominium in North Dallas for Monthly Rentals,33.00344849,-96.79920959,"Far North Dallas, Dallas, TX, USA",4,4.8,60,,,,,,90,3,2,2,condo,Yes,2003,Within a few days,60%,"February 3, 2017",condo,2,900,3,building,Dallas
568863,House On Golf Course,32.947328,-96.8570979,"Far North Dallas, Dallas, TX, USA",8,4.8,257,275,,,,,5,8,3,2,house,Yes,2014,Within a day,100%,"June 9, 2017",house,,2500,8,,Dallas
79084,2BR/2BA House in North Dallas,,,"Far North Dallas, Dallas, TX, USA",5,4.8,80,,,,,,31,4,2,2,house,Yes,2003,Within a few days,70%,"May 10, 2017",house,,,4,,Dallas
853159,Mid Century Modern Gem in Bishop Arts District,32.7557693,-96.8282757,"Oak Cliff, Dallas, TX, USA",5,,185,185,225,,,10.0%,3,6,2,1,house,Yes,2016,Within an hour,100%,"June 1, 2017",house,,900,6,,Dallas
910503,"Newly Remodeled, Detached Garage Apartment In University Park",,,"Park Cities, TX, USA",15,4.7,84,80,95,,40,,1,2,Studio,1,studio,Yes,2016,Within 12 hours,100%,"June 9, 2017",studio,2,500,2,house,Dallas
4290921ha,Creekside living by White Rock Lake!,32.8382928,-96.7456745,"Lakewood, Dallas, TX, USA",2,4.5,404,375,550,,125,,4,10,4,3,house,Yes,2016,Within 12 hours,100%,"May 21, 2017",house,,2500,10,,Dallas
4316555ha,Love Field Landing Ranch House,,,"Northwest Dallas, Dallas, TX, USA",4,4.8,143,175,,,125,13.0%,2,9,3,2,house,Yes,2013,Within a day,80%,"June 7, 2017",house,,,,,Dallas
655065,"Luxurious White Rock Lake Home With Spa Bath, Walk To Arboretum",32.819571,-96.710178,"Little Forest Hills, Dallas, TX, USA",1,,131,,,,,,7,5,2,2,house,Yes,2014,Within 12 hours,100%,"June 9, 2017",house,,1600,5,,Dallas
749241,2624 Thomas Ave - Uptown Dallas - Walk to All the Hottest Spots in Dallas,32.794999,-96.798655,"Oak Lawn, Dallas, TX, USA",42,4.9,525,525,,,150,,2,16,4,2,house,Yes,2015,Within 2 days,100%,"June 9, 2017",house,,2503,16,,Dallas
652540,"4400 SF w/ 5 BRs, 5 Baths, Pool, Hot Tub, Game Room, Outdoor Living, 12 beds",,,"Garland, TX, USA",39,,645,595,695,,,13.0%,2,18,5,3,house,Yes,2013,Within an hour,100%,"June 8, 2017",house,,4400,18,,Dallas
905547,Lakeside Single Family Home - Nature in Your Back Yard,32.821584,-96.494125,"Heath, TX, USA",13,,166,180,220,,,6.0%,2,8,3,2,house,Yes,2007,Within a few hours,100%,"June 9, 2017",house,,1862,,,Dallas
