listing_id,total_number_reviews,n_review,reviewer_name,title,stars,stayed,source,submitted
4038731ha,3,1,Maureen W.,Comfortable and convenient condominium located in a great neighborhood.,4,2017-03-01T00:00:00.000+0000,VRBO,2017-04-11T22:29:00.000+0000
4038731ha,3,2,Mohammed A.,Amazing condo and has every thing that you need,5,2016-06-30T00:00:00.000+0000,VRBO,2016-09-18T04:01:00.000+0000
4038731ha,3,3,Trish J.,"Very nice, safe area. Condo in excellent condition & well maintained",5,2015-11-28T00:00:00.000+0000,VRBO,2016-02-17T21:50:00.000+0000
4236466ha,25,1,Jenn S.,An upbeat artsy vibe to the place.,5,2017-05-27T00:00:00.000+0000,VRBO,2017-06-09T02:33:00.000+0000
4236466ha,25,2,Elizaeth P.,Nice Getaway Option,5,2017-05-12T00:00:00.000+0000,VRBO,2017-06-08T14:05:00.000+0000
4236466ha,25,3,Michaela M.,Excellent Value,5,2017-05-16T00:00:00.000+0000,VRBO,2017-05-21T21:47:00.000+0000
4236466ha,25,4,Whitney G.,"Cozy Property, Great location",5,2017-05-06T00:00:00.000+0000,VRBO,2017-05-11T12:39:00.000+0000
4236466ha,25,5,Elba A.,"The perfect stay, my 2nd home!",5,2017-04-29T00:00:00.000+0000,VRBO,2017-05-07T17:54:00.000+0000
4236466ha,25,6,Bob and Elizabeth M.,We had a good time there!,4,2017-04-27T00:00:00.000+0000,VRBO,2017-05-01T00:19:00.000+0000
4236466ha,25,7,Erica P.,Great space! Great Value! Great Location!,5,2017-04-22T00:00:00.000+0000,VRBO,2017-04-23T21:58:00.000+0000
4236466ha,25,8,Crystal V.,A beautiful and comfortable place to stay,5,2017-04-13T00:00:00.000+0000,VRBO,2017-04-18T01:17:00.000+0000
4236466ha,25,9,Sam S.,"Great apartment, affordable",5,2017-04-06T00:00:00.000+0000,VRBO,2017-04-11T21:29:00.000+0000
4236466ha,25,10,Monica T.,Bad location-not safe neighboorhood,2,2017-03-25T00:00:00.000+0000,VRBO,2017-04-09T21:54:00.000+0000
4236466ha,25,11,Jim L.,Good time with affordable stay.,5,2017-03-22T00:00:00.000+0000,VRBO,2017-04-09T13:52:00.000+0000
4236466ha,25,12,carol z.,all you need is a tooth brush and paste...literally,5,2017-03-31T00:00:00.000+0000,VRBO,2017-04-02T23:51:00.000+0000
4236466ha,25,13,Francesca G.,Lovely apartment in older style property,5,2017-02-17T00:00:00.000+0000,VRBO,2017-03-31T15:34:00.000+0000
4236466ha,25,14,Renata T.,Great condo that was excellently priced.,5,2017-03-19T00:00:00.000+0000,VRBO,2017-03-25T15:48:00.000+0000
4236466ha,25,15,Leslie L.,"Cozy and tastefully furnished, comfortable",5,2016-07-18T00:00:00.000+0000,VRBO,2017-03-19T23:08:00.000+0000
4236466ha,25,16,David F.,Very comfortable,5,2017-01-21T00:00:00.000+0000,VRBO,2017-02-06T17:10:00.000+0000
4236466ha,25,17,Marinda L.,"clean, quiet, comfortable, would stay again",5,2017-01-03T00:00:00.000+0000,VRBO,2017-01-21T01:48:00.000+0000
4236466ha,25,18,Anuska F.,The the place was all that I expected it to be it was very clean and the owner was very nice,5,2017-01-16T00:00:00.000+0000,VRBO,2017-01-19T19:34:00.000+0000
4236466ha,25,19,Alyssa L.,A good basic launch point for Dallas,4,2016-12-29T00:00:00.000+0000,VRBO,2017-01-06T10:58:00.000+0000
4236466ha,25,20,Virginia S.,Clean and Convenient,4,2016-09-12T00:00:00.000+0000,VRBO,2016-09-13T21:29:00.000+0000
4236466ha,25,21,Phyllis A.,Convenient & Comfortable,4,2016-09-09T00:00:00.000+0000,VRBO,2016-09-12T17:58:00.000+0000
4236466ha,25,22,Alex F.,Awesome,5,2016-09-02T00:00:00.000+0000,VRBO,2016-09-05T18:06:00.000+0000
4236466ha,25,23,Juan C.,Very nice,5,2016-07-13T00:00:00.000+0000,VRBO,2016-07-28T17:12:00.000+0000
4236466ha,25,24,Alexus H.,Hidden Museum,4,2016-07-17T00:00:00.000+0000,VRBO,2016-07-22T07:50:00.000+0000
4236466ha,25,25,Chrispmac08,Excellent Host,5,2016-06-23T00:00:00.000+0000,VRBO,2016-06-29T02:02:32.243+0000
4078747ha,30,1,Brenda M.,Great Place To Stay While Visiting Dallas Area!,5,2017-05-09T00:00:00.000+0000,VRBO,2017-05-30T16:02:00.000+0000
4078747ha,30,2,Bethany D.,Excellent!,5,2017-05-24T00:00:00.000+0000,VRBO,2017-05-28T03:47:00.000+0000
4078747ha,30,3,Marian L.,What a great place ! Preston makes sure everything is so comfortable. We were very pleased !!,5,2017-01-01T00:00:00.000+0000,VRBO,2017-03-31T13:41:00.000+0000
4078747ha,30,4,Gary G.,Great location. Wonderful experience,4,2016-12-27T00:00:00.000+0000,VRBO,2016-12-30T17:28:00.000+0000
4078747ha,30,5,Emily T.,Nice neighborhoods and very close to the galleria and other Dallas attractions!,5,2016-12-13T00:00:00.000+0000,VRBO,2016-12-16T16:12:00.000+0000
4078747ha,30,6,Laura S.,Cozy apartment with all the conveniences of home!,5,2016-11-29T00:00:00.000+0000,VRBO,2016-12-05T19:56:00.000+0000
4078747ha,30,7,G.T. N.,Better than advertised!,5,2016-10-17T00:00:00.000+0000,VRBO,2016-10-22T21:58:00.000+0000
4078747ha,30,8,Cynthia L.,Extremely comfortable and impeccably clean!,5,2016-10-12T00:00:00.000+0000,VRBO,2016-10-15T19:31:00.000+0000
4078747ha,30,9,Lindsey K.,Great place! Close to everywhere! Preston is a wonderful host,5,2016-10-05T00:00:00.000+0000,VRBO,2016-10-14T13:58:00.000+0000
4078747ha,30,10,Anne D.,Great place!,5,2016-09-24T00:00:00.000+0000,VRBO,2016-09-29T12:36:00.000+0000
4078747ha,30,11,Bill P.,Awesome Rental - Great Host!,5,2016-09-01T00:00:00.000+0000,VRBO,2016-09-08T01:41:16.167+0000
4078747ha,30,12,William J.,"Everything you need for a restful few days near Beverly Beach, with great views facing west",4,2016-08-15T00:00:00.000+0000,VRBO,2016-08-29T17:30:00.000+0000
4078747ha,30,13,Ana C.,"Great place, amazing host!",5,2016-08-23T00:00:00.000+0000,VRBO,2016-08-28T17:41:00.000+0000
4078747ha,30,14,Kelly H.,Nice place in a convenient location,4,2016-08-09T00:00:00.000+0000,VRBO,2016-08-22T19:10:00.000+0000
