listing_id,listing_title,latitude,longitude,location_name,number_reviews,average_rating,average_nightly_price,nightly,weekend_night,property_protection_fee,cleaning_fee,tax_rate,min_stay,sleeps,bedrooms,bathrooms,property_type,internet,member_since,response_time,response_rate,calendar_last_updated,type,floor,sq_footage,max_occupancy,building_type,city,state
127257,"Great Condo, Close to Everything - (60 Day Minimum)",39.7454071,-104.96625519,"City Park West, Denver, CO, USA",10,4.7,47,,,,129,,30,2,1,1,condo,Yes,2007,Within a few hours,100%,"June 9, 2017",condo,,,2,,Denver,CO
733332,Excellent for the travelling professional! Pets! Walkable & transit-oriented!,39.65457399,-104.91438089,"Hampden South, Denver, CO, USA",2,,55,,,,80,,30,4,1,1,condo,Yes,2015,Within a few hours,100%,"June 9, 2017",condo,1,784,4,building,Denver,CO
675488,ICEHOUSE LOFT located historic Lower Downtown Denver (LoDo),39.75413121,-104.99783505,"LoDo, Denver, CO, USA",7,,95,,,,150,2.9%,29,4,1,1,studio,Yes,2015,Within 2 days,90%,"February 26, 2017",studio,2,1000,4,building,Denver,CO
3753669ha,Amazing Lawrence Street Apartment,39.75183,-104.991764,"Ballpark, Denver, CO, USA",76,4.8,249,,,,,,1,5,2,2,apartment,Yes,2011,Within an hour,,"June 6, 2017",apartment,,1200,5,,Denver,CO
383573,Highlands Condo-walk to everything in downtown Denver- 51 five star reviews!,39.76078796,-105.01799011,"Highlands (Denver, CO, USA)",62,4.9,65,65,,,75,,30,4,1,1,condo,Yes,2011,Within an hour,100%,"June 9, 2017",condo,2,500,4,building,Denver,CO
749810,"Urban Oasis,  Private Retreat...Great Location! Pet Friendly! VRBO Exclusive!",39.6467207,-104.9831294,"Englewood, CO, USA",22,4.9,92,,,,75,7.75%,3,4,1,1,cottage,Yes,2015,Within an hour,100%,"June 9, 2017",cottage,,500,4,,Denver,CO
795289,Charming Cottage in the heart of Englewood! Pet Friendly! VRBO exclusive!,39.66530093,-104.99164458,"South, Denver, CO, USA",31,4.9,92,,,,75,7.75%,3,2,1,1,cottage,Yes,2015,Within an hour,100%,"June 9, 2017",cottage,,500,2,,Denver,CO
656177,"Spacious & Comfortable 2-story townhome 2 bed/bath, plus office, kitchen, patio",39.661961,-104.848543,"Dam East/West, Aurora, CO, USA",22,4.8,86,,,,,,14,5,2,2,townhome,Yes,2014,Within 2 days,90%,"June 2, 2017",townhome,1,1250,5,house,Denver,CO
925469,"Beautiful Getaway in Park Setting Near Denver, Skiing, Red Rocks and much more",39.728511,-105.095964,"Eiber, Lakewood, CO, USA",19,4.9,162,155,175,,150,,2,6,3,2,house,Yes,2007,Within a few hours,100%,"June 9, 2017",house,,,6,,Denver,CO
194345,"Hip, Urban, Comfortable Apt. in Quiet Historic Neighborhood.",39.71768188,-104.99375153,"Baker, Denver, CO, USA",34,,50,,,,,,30,2,1,1,apartment,Yes,2008,Within a few days,70%,"June 9, 2017",apartment,,,2,,Denver,CO
744403,Gorgeous Loft Downtown Denver-Lodo!  Near Coors field and Confluence Park,39.75926802,-104.99883683,"Ballpark, Denver, CO, USA",27,4.7,179,179,,,75,5.9%,2,4,2,1,condo,Yes,2015,Within a few hours,90%,"May 24, 2017",condo,3,1100,4,building,Denver,CO
748083,"Spectacular, Luxury And Historic Loft With The Best Location, And Parking Garage",39.75516329,-104.99283583,"Ballpark, Denver, CO, USA",30,4.7,189,165,215,,,10.0%,3,4,1,1,condo,Yes,2015,Within a few hours,100%,"June 9, 2017",condo,2,1250,4,building,Denver,CO
975737,Tasteful Gov Park Condo,39.7246304,-104.9790843,"Alamo Placita, Denver, CO, USA",1,,55,55,,,60,,28,2,1,1,condo,No,2016,Within a few days,80%,"May 23, 2017",condo,2,,2,building,Denver,CO
995810ha,"Ultra-Modern Chic, 20 minutes to Downtown Denver!",39.832343,-105.0402919,"South Westminster, Westminster, CO, USA",52,4.9,165,150,175,,,,2,8,3,1,house,Yes,2011,Within 12 hours,100%,"June 9, 2017",house,,1500,8,,Denver,CO
3937532ha,Amazing Walnut Street Apartment,39.756459,-104.989296,"Ballpark, Denver, CO, USA",53,4.8,258,,,,,,1,5,2,2,apartment,Yes,2011,Within an hour,,"June 6, 2017",apartment,,1064,5,,Denver,CO
510202,"Luxury Lodo Denver High-Rise with Amazing Views of Denver, walk to Union Station",39.756461,-105.003145,"LoDo, Denver, CO, USA",11,,98,,,,90,,30,2,1,1,condo,Yes,2004,Within an hour,100%,"May 13, 2017",condo,9,722,2,,Denver,CO
877836,Cozy 3 bedroom 2 bath with a fenced in back yard,39.86699487,-104.9720821,"Thornton, CO, USA",6,4.2,125,145,,,,3.0%,2,8,3,2,house,Yes,2015,Within an hour,100%,"June 6, 2017",house,,1176,,,Denver,CO
490664,Beautifully Remodeled Carriage House In Denver,39.7147151,-104.9811573,"Speer, Denver, CO, USA",68,4.8,121,99,,,,14.75%,2,4,1,1,cottage,Yes,2013,Within a day,90%,"June 9, 2017",cottage,,500,4,,Denver,CO
566080,"WELL APPOINTED, CONVENIENT TWO BEDROOM CONDO",39.6972639,-104.926495,"Washington Virginia Vale, Denver, CO, USA",22,4.7,121,140,,,,,3,4,2,1,condo,Yes,2014,Within a few hours,100%,"June 9, 2017",condo,1,957,4,building,Denver,CO
640615,Charming Sunnyside Retreat,39.77257243,-105.01342475,"Sunnyside, Denver, CO, USA",17,4.7,110,,,,,,30,6,3,1,house,Yes,2014,Within a few hours,100%,"June 5, 2017",house,,1850,6,,Denver,CO
