listing_id,listing_title,latitude,longitude,location_name,number_reviews,average_rating,average_nightly_price,nightly,weekend_night,property_protection_fee,cleaning_fee,tax_rate,min_stay,sleeps,bedrooms,bathrooms,property_type,internet,member_since,response_time,response_rate,calendar_last_updated,type,floor,sq_footage,max_occupancy,building_type,city
436855,"Comfortable, cozy,-wooded, rustic, Durham/Chapel Hill Setting, Log Cabin",35.9924449,-79.004251,"North Garrett Road, Durham, NC, USA",38,4.3,199,199,,,,,3,8,4,3,house,Yes,2012,Within a few hours,100%,"June 8, 2017",house,,3250,,,Durham
4287018ha,On the Eno River - hot tub and fireplace,,,"Durham, NC, USA",29,,175,175,,,150,13.5%,2,8,4,2,house,Yes,2016,Within a day,100%,"June 8, 2017",house,,1600,8,,Durham
378906,Charming Home Nestled in Forest Near Trails and Duke,36.05066,-78.96748,"Durham, NC, USA",36,4.8,112,129,,,90,13.5%,3,6,2,1,house,Yes,2011,Within a day,100%,"June 5, 2017",house,,,6,,Durham
902685,"Welcoming Garden Retreat W 4 Br, 4 Acres &  Privacy, 12 Min. To Duke",36.083639,-78.969099,"Durham, NC, USA",7,,314,300,325,,,13.5%,2,8,4,3,house,Yes,2016,Within 2 days,100%,"May 3, 2017",house,,2850,8,,Durham
969627,New home - 1mi to downtown & 2.6mi to Duke,35.9848519,-78.906347,"Durham, NC, USA",7,4.9,183,200,250,,100,,2,8,3,2,house,Yes,2016,Within 12 hours,100%,"June 8, 2017",house,,1850,,,Durham
960937,"Everything new! Contemporary 2900 sf 4 BR near Duke/I-85, end of cul-de-sac",36.035861,-78.956625,"Durham, NC, USA",4,,360,350,375,,,13.5%,2,8,4,2,house,Yes,2016,Within 12 hours,100%,"May 24, 2017",house,,2900,8,,Durham
911054,Historic Downtown Victorian with Hot Tub!,36.00552349,-78.89236606,"Durham, NC, USA",4,,500,500,,,150,,4,12,6,3,house,Yes,2016,Within a few hours,100%,"June 8, 2017",house,,3400,12,,Durham
1040400,Beautiful Brand New Home in Downtown Durham,,,"Downtown, Durham, NC, USA",1,,167,130,150,,60,13.5%,2,6,3,2,house,Yes,2017,Within a day,80%,"May 30, 2017",house,,,6,,Durham
912295,Remodeled Bungalow Close to Everything!,36.04653,-78.966159,"Durham, NC, USA",4,4.5,126,150,,,,6.0%,3,6,3,1,house,No,2015,Within an hour,100%,"May 30, 2017",house,,,,,Durham
994502,Stay 1.5 Blocks From Duke East!,,,"Durham, NC, USA",1,,235,235,,,75,,2,7,3,2,house,Yes,2016,Within 12 hours,100%,"June 8, 2017",house,,1400,7,,Durham
