listing_id,total_number_reviews,n_review,reviewer_name,title,stars,stayed,source,submitted
436855,38,1,Dawn S.,Nice location,3,2017-05-19T00:00:00.000+0000,VRBO,2017-05-27T00:17:00.000+0000
436855,38,2,Lauren C.,Comfortable cabin in a convenient location,4,2017-04-06T00:00:00.000+0000,VRBO,2017-04-11T01:51:00.000+0000
436855,38,3,Ed and Joan Petry P.,quiet and comfortable,3,2017-03-19T00:00:00.000+0000,VRBO,2017-04-06T21:00:00.000+0000
436855,38,4,Jeffrey A.,Duke Bball campers,4,2016-06-10T00:00:00.000+0000,VRBO,2017-03-13T00:45:00.000+0000
436855,38,5,Karen V.,Great home for our Thanksgiving!,4,2016-11-22T00:00:00.000+0000,VRBO,2016-11-28T23:37:00.000+0000
436855,38,6,tonya b.,Just right,5,2016-10-20T00:00:00.000+0000,VRBO,2016-10-28T02:20:00.000+0000
436855,38,7,Neal M.,UNC trip,4,2016-10-06T00:00:00.000+0000,VRBO,2016-10-10T12:07:00.000+0000
436855,38,8,Richard A.,Awesome place,5,2016-09-21T00:00:00.000+0000,VRBO,2016-10-10T00:44:00.000+0000
436855,38,9,Maria S.,Best kept secret of Durham,4,2016-09-02T00:00:00.000+0000,VRBO,2016-09-08T15:23:00.000+0000
436855,38,10,Kay K.,The house is much nicer than the picture show.,4,2016-07-17T00:00:00.000+0000,VRBO,2016-07-24T16:45:00.000+0000
436855,38,11,Jeffrey A.,Just enough,5,2016-06-10T00:00:00.000+0000,VRBO,2016-06-18T15:20:00.000+0000
436855,38,12,Lisa D.,Fantastic!,5,2016-05-11T00:00:00.000+0000,VRBO,2016-05-21T16:01:00.000+0000
436855,38,13,Cindy C.,Needed attention to details.,3,2016-04-29T00:00:00.000+0000,VRBO,2016-05-14T18:14:00.000+0000
436855,38,14,Ed and Joan Petry P.,comfortable and cozy log cabin,4,2016-03-20T00:00:00.000+0000,VRBO,2016-03-28T16:00:00.000+0000
436855,38,15,Anonymous,Family Christmas gathering ,4,2015-12-24T00:00:00.000+0000,VRBO,2015-12-27T17:58:43.927+0000
436855,38,16,Cornell M.,Amazing Rental in Durham,5,2015-11-05T00:00:00.000+0000,VRBO,2015-11-12T16:42:37.977+0000
436855,38,17,Sylvia S.,Attractive and comfortable,4,2015-10-09T00:00:00.000+0000,VRBO,2015-11-06T15:13:53.187+0000
436855,38,18,Leroy Y.,Relaxing,5,2015-10-28T00:00:00.000+0000,VRBO,2015-11-01T01:45:44.207+0000
436855,38,19,lauren m.,Perfect house for large group,5,2015-07-20T00:00:00.000+0000,VRBO,2015-08-05T00:42:51.520+0000
436855,38,20,alison w.,Rustic but comfortable...,3,2015-07-07T00:00:00.000+0000,VRBO,2015-07-22T19:22:17.760+0000
436855,38,21,Tut,Great place for a family get togeather,5,2015-04-21T00:00:00.000+0000,VRBO,2015-05-01T18:48:08.440+0000
436855,38,22,Stephanie F.,Great rustic home with convenience to durham,5,2015-04-16T00:00:00.000+0000,VRBO,2015-04-20T17:35:30.063+0000
436855,38,23,Dianne D.,Comfortable Stay in a Beautiful Location,5,2015-01-03T00:00:00.000+0000,VRBO,2015-03-02T16:29:44.573+0000
436855,38,24,PierceRP,Great Getaway Location,5,2015-02-13T00:00:00.000+0000,VRBO,2015-02-23T14:44:05.497+0000
436855,38,25,Andrew S.,Our reunion in Durham,4,2014-05-30T00:00:00.000+0000,VRBO,2014-06-06T17:09:44.610+0000
436855,38,26,Doug M.,2014 Grad Weekend,4,2014-05-09T00:00:00.000+0000,VRBO,2014-05-17T21:33:41.510+0000
436855,38,27,Bethany H.,Wedding Weekend,5,2014-03-20T00:00:00.000+0000,VRBO,2014-03-27T02:49:42.533+0000
436855,38,28,JBellerina,Great Experience!!,5,2014-01-20T00:00:00.000+0000,VRBO,2014-02-16T22:05:48.453+0000
436855,38,29,Michael W.,Great house,4,2014-01-17T00:00:00.000+0000,VRBO,2014-01-23T18:34:54.013+0000
436855,38,30,Terry D.,Nice house and convenient location,3,2014-01-02T00:00:00.000+0000,VRBO,2014-01-09T22:18:10.680+0000
436855,38,31,Raj B.,Good deal for the price asked,4,2013-12-09T00:00:00.000+0000,VRBO,2013-12-16T15:26:05.487+0000
436855,38,32,Cheryl D.,Comfortable but needs a good cleaning,3,2013-11-28T00:00:00.000+0000,VRBO,2013-12-06T00:21:17.463+0000
436855,38,33,Jan D.,Niece's wedding,5,2013-10-18T00:00:00.000+0000,VRBO,2013-11-14T05:29:24.050+0000
436855,38,34,Stephanie Y.,Great home...have talked about staying there again,5,2013-10-02T00:00:00.000+0000,VRBO,2013-10-10T17:09:58.903+0000
436855,38,35,Sue and Jim,Awesome cabin getaway,5,2013-09-27T00:00:00.000+0000,VRBO,2013-10-02T14:30:49.093+0000
436855,38,36,Lisa G.,Comfort and style combined with rural and relaxed,5,2013-06-12T00:00:00.000+0000,VRBO,2013-06-24T21:34:11.980+0000
436855,38,37,Thomas H.,Good value,4,2012-11-21T00:00:00.000+0000,VRBO,2012-11-25T02:25:26.190+0000
436855,38,38,pxx,"Great Stay, great location",5,2012-09-14T00:00:00.000+0000,VRBO,2012-11-20T17:26:23.897+0000
4287018ha,29,1,Mercedes P.,Great,5,2017-05-22T00:00:00.000+0000,VRBO,2017-06-03T19:28:00.000+0000
4287018ha,29,2,Karin J.,So much better than a hotel on the highway!,5,2017-05-19T00:00:00.000+0000,VRBO,2017-05-25T23:47:00.000+0000
4287018ha,29,3,Mary G.,Perfect Place!,5,2017-05-04T00:00:00.000+0000,VRBO,2017-05-25T16:45:00.000+0000
4287018ha,29,4,Ren A.,Blissful Relaxation,5,2017-05-07T00:00:00.000+0000,VRBO,2017-05-20T12:55:00.000+0000
4287018ha,29,5,Sharon K.,Fabulous property,5,2017-04-28T00:00:00.000+0000,VRBO,2017-04-30T17:51:00.000+0000
4287018ha,29,6,K O.,"Beautiful home, amazing vacation",5,2017-04-21T00:00:00.000+0000,VRBO,2017-04-25T21:31:00.000+0000
