listing_id,listing_title,latitude,longitude,location_name,number_reviews,average_rating,average_nightly_price,nightly,weekend_night,property_protection_fee,cleaning_fee,tax_rate,min_stay,sleeps,bedrooms,bathrooms,property_type,internet,member_since,response_time,response_rate,calendar_last_updated,type,floor,sq_footage,max_occupancy,building_type,city,state
1065413,"Corporate Rental 4BR, 2BA - Easy Commute NYC & Jersey Shore",,,"Metuchen, NJ, USA",0,,265,265,,,150,14.0%,5,8,4,2,house,No,2017,Within 2 days,100%,"June 1, 2017",house,,,,,Edison,NJ
575900,"Charming 3BR Dutch Colonial - Walk to Rutgers, train to NYC",40.5012,-74.4314573,"Highland Park, NJ, USA",0,,73,,,,,,90,4,2,2,house,No,2014,,,"May 23, 2017",house,,,4,,Edison,NJ
4086474ha,Host up to 20 Guests!!! - Close to New York City!,40.660255,-74.230913,"Elizabeth, NJ, USA",17,4.6,164,180,,,130,,1,20,4,2,house,Yes,2015,Within an hour,100%,"June 7, 2017",house,,2250,20,,Edison,NJ
4431803ha,Beautiful Home in The Heart of Princeton for Your Adventures :),,,"Princeton, NJ, USA",2,,229,225,250,,85,,2,6,2,1,condo,Yes,2017,Within an hour,100%,"June 4, 2017",condo,2,1300,6,building,Edison,NJ
3697473ha,5 or 8 Bedroom 7500 Sqft NJ Home Sleeps 16+,40.6224139,-74.4010556,"Plainfield, NJ, USA",8,4.8,833,700,,,,,3,26,8,5,house,Yes,2014,Within a day,80%,"June 7, 2017",house,,7500,26,,Edison,NJ
3878881ha,Beautiful - 20 Minutes From Manhattan (2 Bedroom House),40.7041135,-74.2130629,"Weequahic, Newark, NJ, USA",3,4.7,87,90,95,,30,,4,5,2,1,house,Yes,2014,Within 2 days,100%,"June 7, 2017",house,,700,5,,Edison,NJ
3949229ha,"Charming Property With Proximity to Shopping, Restaurants, Beach (see video)",40.5914968,-74.0810169,"Arrochar, Staten Island, NY, USA",22,4.8,250,250,,,,5.88%,5,10,4,3,house,Yes,2015,Within a few days,70%,"April 18, 2017",house,,,10,house,Edison,NJ
4448534ha,Princeton Home Walking Distance to Town,40.368611,-74.66032,"Princeton, NJ, USA",2,,180,175,195,,85,,2,7,3,1,house,No,2017,Within an hour,100%,"June 4, 2017",house,,,,,Edison,NJ
676253,Glorious Mornings Townhouse,40.62782703,-74.15856457,"Mariners Harbor, Staten Island, NY, USA",12,4.8,150,150,,,200,8.88%,5,6,3,2,condo,Yes,2015,Within a few hours,100%,"May 29, 2017",condo,1,1300,6,building,Edison,NJ
4360486ha,Beautiful Large House 25 Minutes from New York with easy access to malls & parks,,,"Weequahic, Newark, NJ, USA",2,,184,133,,,,,4,10,4,2,house,Yes,2014,Within 12 hours,100%,"June 7, 2017",house,,,10,,Edison,NJ
388947ha,In Princeton Borough for Family,40.3584119,-74.6513614,"Princeton, NJ, USA",9,3.7,180,180,,,,,,5,2,1,house,Yes,2011,Within a few hours,100%,"June 6, 2017",house,,950,5,,Edison,NJ
3663503ha,The best of both worlds - Jersey and New York City! - Short term rental,40.611002,-74.270599,"Rahway, NJ, USA",10,4.9,183,250,,,,,3,7,2,1,townhome,Yes,2013,Within a day,100%,"June 7, 2017",townhome,,1200,7,house,Edison,NJ
4230458ha,"New Silver Lake Jewel, 10 Bus minutes to Staten Island Ferry",40.62423974,-74.09182083,"Staten Island, NY, USA",1,,90,90,,,40,,3,3,1,1,apartment,Yes,2015,Within 12 hours,100%,"May 23, 2017",apartment,1,400,3,house,Edison,NJ
4477726ha,"Large Quite 4BR/4BA Home, Staten Island, NY City Borough.",40.5102541,-74.2404298,"Tottenville, Staten Island, NY, USA",1,,329,279,,,160,,3,12,4,3,house,Yes,2013,,,"June 7, 2017",house,,3800,,,Edison,NJ
103858,Colbyco Metro-New York City Lights & Jersey Sights,,,"Hillside, NJ, USA",17,4.4,375,375,,,,,3,12,4,2,house,Yes,2001,Within a few hours,100%,"June 7, 2017",house,,3000,12,,Edison,NJ
4250216ha,New Modern Private Studio in New York,40.5710148,-74.0963746,"Midland Beach, Staten Island, NY, USA",4,4.8,75,59,79,,50,,,4,1,1,house,Yes,2017,Within 12 hours,100%,"June 7, 2017",house,,,4,,Edison,NJ
3952959ha,Entire Luxary Apartment Near Manhattan NYC.,40.742297,-74.219239,"Lower Vailsburg, Newark, NJ, USA",10,3.7,94,70,75,,35,,3,7,3,2,apartment,Yes,2015,Within an hour,100%,"June 7, 2017",apartment,2,1200,7,house,Edison,NJ
854600,Dream Home 30 Minutes  Of NYC $350 A Day,40.625313,-74.454477,"Watchung, NJ, USA",2,,289,350,375,,150,7.0%,2,8,4,3,house,Yes,2016,Within a day,80%,"June 7, 2017",house,,2843,8,,Edison,NJ
4360125ha,"Quiet, private room with key, near Manhattan 89s2",40.635137,-74.121087,"Staten Island, NY, USA",1,,40,30,,,10,,,2,3,1,house,No,2016,Within a day,100%,"May 5, 2017",house,,,,,Edison,NJ
