listing_id,listing_title,latitude,longitude,location_name,number_reviews,average_rating,average_nightly_price,nightly,weekend_night,property_protection_fee,cleaning_fee,tax_rate,min_stay,sleeps,bedrooms,bathrooms,property_type,internet,member_since,response_time,response_rate,calendar_last_updated,type,floor,sq_footage,max_occupancy,building_type,city
471227,"Family Friendly, Evanston 3 BR Home - fully equipped!",42.0300063,-87.6923361,"Evanston, IL, USA",7,4.7,,100,,,125,,180,7,3,1,house,Yes,2013,Within 12 hours,90%,"June 10, 2017",house,,1800,7,,Evanston
4462402ha,Great Place to Stay in Evanston!,,,"Evanston, IL, USA",1,,129,129,,,60,7.5%,2,4,2,1,apartment,Yes,2017,Within a day,100%,"June 9, 2017",apartment,2,990,4,house,Evanston
374086,Unique Apt. in Upscale Evanston with Easy Access  to Chicago,42.06316376,-87.70057678,"Evanston, IL, USA",39,4.8,129,150,,,60,,3,3,1,1,apartment,Yes,2011,Within a day,90%,"May 30, 2017",apartment,,,3,,Evanston
4472019ha,2 bedroom Apt  in Evanston  2,,,"Evanston, IL, USA",0,,109,98,,,65,20.0%,3,4,2,1,condo,No,2017,Within 12 hours,100%,"June 5, 2017",condo,,,,,Evanston
724271,Mid Century Elegance in Evanston Vintage Apartment. WINTER SPECIAL!,42.06308472,-87.70080549,"Evanston, IL, USA",4,,300,300,,,100,,7,6,3,2,apartment,Yes,2011,Within 2 days,80%,"June 5, 2017",apartment,3,2000,6,building,Evanston
690239,"This Apartment Has It All, So Close To Downtown, With A Neighborhood Feel",41.8966,-87.65511066,"West Town, Chicago, IL, USA",65,4.5,108,125,150,,100,,2,4,1,1,apartment,Yes,2010,Within a few hours,100%,"June 9, 2017",apartment,1,850,4,building,Evanston
578762,Large 2400 Sf Unit in Graystone - Near the Magnificent Mile - Family Friendly!,,,"Near North Side, Chicago, IL, USA",99,4.8,699,699,799,,,17.4%,2,8,3,2,apartment,Yes,2014,Within 12 hours,90%,"June 9, 2017",apartment,2,2400,8,house,Evanston
445608,"Roscoe Village Best Value - Cute, Clean & Loaded in Chicago!",41.940073,-87.68678978,"Roscoe Village, Chicago, IL, USA",47,4.7,139,169,189,,,,2,4,2,1,apartment,Yes,2010,Within a day,100%,"June 9, 2017",apartment,1,600,4,,Evanston
679790,Gorgeous Vintage and Modernized 4 Bedroom in Heart of Gallery District!  4600 SF,41.8959258,-87.6339111,"Near North Side, Chicago, IL, USA",71,4.9,664,629,699,,,20.0%,2,12,4,4,condo,Yes,2014,Within 12 hours,100%,"June 9, 2017",condo,2,4600,12,building,Evanston
3917584ha,Great townhouse at the University of Chicago Campus,41.7839579,-87.6008073,"Woodlawn, Chicago, IL, USA",32,4.9,220,220,,,,,3,6,3,2,townhome,Yes,2015,Within 12 hours,100%,"June 5, 2017",townhome,,1600,6,,Evanston
290256,Chicago Luxurious Vintage Condo on the North Shore,42.01483917,-87.68178558,"Rogers Park (Chicago, IL, USA)",52,4.8,209,219,,,,21.4%,2,8,3,2,condo,Yes,2004,Within a few hours,90%,"June 3, 2017",condo,2,2000,8,,Evanston
4261388ha,Luxurious Apartments Minutes from Michigan Avenue and the Gold Coast    - Studio Suite - BST,41.89112,-87.62737,"Near North Side, Chicago, IL, USA",18,4.7,269,,,,,,3,2,Studio,1,apartment,Yes,2016,Within an hour,,"June 10, 2017",apartment,,600,2,,Evanston
222038ha,Amazing Views of the Chicago Skyline from this Luxury Condo - w/ indoor parking,41.8832513,-87.6705754,"Near West Side, Chicago, IL, USA",102,4.7,186,175,185,,50,21.4%,2,4,2,2,condo,Yes,2008,Within a day,90%,"June 9, 2017",condo,9,1400,4,building,Evanston
3768288ha,Vintage 4-br In Lincoln Square Easily Sleeps 8 - Great Value Rate!,41.961817,-87.69025,"Lincoln Square, Chicago, IL, USA",50,4.8,225,225,,,75,16.4%,3,10,4,2,apartment,Yes,2014,Within a day,100%,"June 9, 2017",apartment,1,1800,10,building,Evanston
3790035ha,Enjoy the Sights of Chicago and Lincoln Square--Then Come Back to Relax Here...,41.960304,-87.68346,"North Center, Chicago, IL, USA",35,4.9,126,120,,,50,16.4%,3,4,1,1,apartment,Yes,2013,Within a day,90%,"June 10, 2017",apartment,2,800,4,,Evanston
265424,Chicago Luxurious Vintage Vacation Condo,42.01475143,-87.68170166,"Rogers Park (Chicago, IL, USA)",47,4.8,148,169,,,,21.4%,2,6,2,2,condo,Yes,2004,Within a day,100%,"June 9, 2017",condo,,1200,6,,Evanston
3795191ha,Luxury 2 Bedroom on 35th Floor in Magnificent Mile with Private Balcony,41.8919498,-87.6285326,"Near North Side, Chicago, IL, USA",27,4.8,362,,,,,,2,6,2,2,apartment,Yes,2010,Within a few hours,,"June 9, 2017",apartment,,1320,6,,Evanston
735859,In the heart of Logan Square. 1/2 block from blue line and revolution brewery,41.92238463,-87.69905343,"Logan Square, Chicago, IL, USA",29,4.9,199,170,,,,10.25%,2,6,2,2,condo,Yes,2015,Within a few hours,100%,"June 9, 2017",condo,3,1000,,building,Evanston
296798ha,Wonderful Urban Lincoln Park Unit near DePaul University,41.916891,-87.648842,"Lincoln Park, Chicago, IL, USA",53,4.9,326,285,310,,,20.4%,3,8,3,2,condo,Yes,2010,Within a day,100%,"June 7, 2017",condo,,1550,8,,Evanston
864022,Al Capone Unit In Beautiful Vintage Building In The Gold Coast!,41.902217,-87.625742,"Near North Side, Chicago, IL, USA",28,,249,249,229,,,17.4%,,2,1,2,apartment,Yes,2014,Within 12 hours,90%,"June 9, 2017",apartment,3,550,2,building,Evanston
870614,Celeste Celebrity Suites GOLD COAST!,41.9026583,-87.6257184,"Near North Side, Chicago, IL, USA",25,,312,299,329,,,17.4%,,4,1,,apartment,Yes,2014,Within 12 hours,90%,"June 9, 2017",apartment,3,600,4,building,Evanston
4146480ha,Bohemian Chic in Andersonville!!!,41.9879904,-87.6670308,"Edgewater, Chicago, IL, USA",22,4.7,120,120,,,50,21.4%,2,3,1,1,apartment,Yes,2016,Within 2 days,90%,"June 9, 2017",apartment,2,750,3,building,Evanston
836457,Beautifully furnished spacious loft in Old Town Lincoln Park,41.90654172,-87.63476704,"Near North Side, Chicago, IL, USA",13,4.4,235,95,135,,,,1,3,1,1,apartment,Yes,2016,Within a few hours,100%,"June 7, 2017",apartment,4,650,3,building,Evanston
