listing_id,listing_title,latitude,longitude,location_name,number_reviews,average_rating,average_nightly_price,nightly,weekend_night,property_protection_fee,cleaning_fee,tax_rate,min_stay,sleeps,bedrooms,bathrooms,property_type,internet,member_since,response_time,response_rate,calendar_last_updated,type,floor,sq_footage,max_occupancy,building_type,city,state
990762,Charming Garage Apartment in Quiet Neighborhood,35.2616933,-81.16179196,"Gastonia, NC, USA",3,,80,110,,,50,12.75%,2,4,1,1,guest house,Yes,2017,Within 12 hours,90%,"June 8, 2017",guest house,,400,4,,Gastonia,NC
870633,Farm Get Away Cabin At Whispering Hope Farm Com,35.1810573,-81.2414876,"Gastonia, NC, USA",3,3.7,50,59,,,,6.75%,,5,1,1,cabin,Yes,2016,Within 12 hours,90%,"April 27, 2017",cabin,,576,5,,Gastonia,NC
870517,Guest House At Whispering Hope Farm Com LLC,35.1810573,-81.2414876,"Gastonia, NC, USA",0,,50,69,,,,5.0%,,2,1,1,cottage,Yes,2016,Within a day,80%,"January 4, 2017",cottage,,300,2,,Gastonia,NC
602661,Nana's Lakefront Pad Near Downtown Charlotte -- Renovated,35.254703,-81.0099539,"Harbor House, Belmont, NC, USA",29,4.4,133,150,,,,8.5%,3,6,2,2,house,Yes,2014,Within 12 hours,100%,"June 8, 2017",house,,1400,6,,Gastonia,NC
453657,Romantic Lakefront Hideaway,,,"Mountain Island, Charlotte, NC, USA",49,4.7,117,135,,,,7.25%,2,3,1,1,villa,Yes,2011,Within an hour,100%,"June 8, 2017",villa,,900,3,,Gastonia,NC
793186,"Make Family Memories! Ideal location, spacious 4 bed home, book your '17 visit!",35.460335,-80.963755,"Denver, NC, USA",21,,306,350,,,150,6.75%,3,10,4,3,house,Yes,2015,Within 12 hours,100%,"June 4, 2017",house,,3400,10,,Gastonia,NC
1029515,NEW LISTING!! Private Beach + Boat! Spacious 6BR/6ba Lakefront 20 Mins from CLT,,,"Pleasant Hill Road, Tega Cay, NC, USA",6,,625,550,,,200,8.5%,1,16,6,6,house,Yes,2014,Within a day,100%,"June 8, 2017",house,,5100,16,,Gastonia,NC
353073,Lakefront Cottage on Mountain Island Lake/Lake Norman & Lake Wylie,,,"Mountain Island, Charlotte, NC, USA",78,4.8,139,150,,,,8.0%,2,4,2,1,house,Yes,2011,Within a few hours,100%,"June 8, 2017",house,,900,4,,Gastonia,NC
565029,Private Beach & BOAT! - Beautiful Spacious 5BR/4ba Lakefront - 20 Mins from CLT,,,"Pleasant Hill Road, Tega Cay, NC, USA",56,4.9,716,425,,,200,8.5%,1,14,5,4,house,Yes,2014,Within a day,100%,"June 8, 2017",house,,4200,14,,Gastonia,NC
7013236ha,Lakefront Log Cabin Getaway with dock,35.369459,-80.929306,"Huntersville, NC, USA",32,4.6,145,135,,,90,7.25%,2,6,2,2,house,Yes,2005,Within a few days,70%,"June 7, 2017",house,,,6,,Gastonia,NC
981093,Resort-Like Home / 4 Bed / 3 Bath / minutes from Charlotte,,,"Mount Holly, NC, USA",10,4.9,125,125,,,200,,3,10,4,3,house,No,2014,Within an hour,100%,"June 8, 2017",house,,1700,10,,Gastonia,NC
743093,Mid-Century Getaway with Fantastic Lake Wylie Views,35.04587,-81.034964,"Pleasant Hill Road, Tega Cay, NC, USA",23,4.8,300,300,,,,8.0%,2,10,4,3,house,Yes,2015,Within a few hours,100%,"June 8, 2017",house,,2000,10,,Gastonia,NC
233506,,,,,0,,,,,,,,,,,,,No,,,,,,,,,,Gastonia,NC
237839,Beautiful water views,35.04724121,-81.037323,"Pleasant Hill Road, Tega Cay, NC, USA",58,4.9,278,,,,,7.25%,3,8,4,3,house,Yes,2009,Within 2 days,90%,"June 8, 2017",house,,3000,,,Gastonia,NC
417871,Tranquil Lakefront Home,35.128772,-81.061215,"Lake Wylie, SC, USA",8,,271,300,,,,10.0%,4,8,3,2,house,Yes,2012,Within a few days,70%,"June 6, 2017",house,,,8,,Gastonia,NC
716775,"Intimate Hideaway With Beach, Dock, Boating, Fishing, Hot Tub, Decks and Porch",35.125877,-81.034192,"Steele Creek, Charlotte, NC, USA",29,4.8,206,209,,,,7.25%,3,6,2,2,bungalow,Yes,2011,Within 12 hours,100%,"June 8, 2017",bungalow,,800,6,,Gastonia,NC
605499,family vacation or events (wedding) Waterfront Lake wylie home - pool-hot tub,35.151468,-81.002346,"Dixie - Berryhill, Belmont, NC, USA",20,3.7,600,600,,,,,4,20,7,5,house,Yes,2014,Within a few days,80%,"June 8, 2017",house,,5750,20,,Gastonia,NC
419115,Family-Friendly Lakehouse Retreat,35.466304,-80.981618,"Denver, NC, USA",22,4.9,204,175,,,100,7.0%,3,8,2,1,cabin,Yes,2012,Within a day,100%,"June 8, 2017",cabin,,1300,8,,Gastonia,NC
703065,The Cozy Cove -- Lake House On Lake Wylie Nc,35.090395,-81.044218,"Pleasant Hill Road, Tega Cay, NC, USA",35,4.9,211,165,,,175,15.25%,3,8,3,3,house,Yes,2015,Within a day,100%,"June 8, 2017",house,,,8,,Gastonia,NC
735481,Welcoming lakefront living for up to 8 guests!,35.060074,-81.040587,"Pleasant Hill Road, Tega Cay, NC, USA",14,4.4,190,150,,,,9.0%,2,8,3,2,house,Yes,2015,Within a few hours,100%,"June 8, 2017",house,,2000,8,,Gastonia,NC
