listing_id,total_number_reviews,n_review,reviewer_name,title,stars,stayed,source,submitted
990762,3,1,Joshua R.,Nice Rental!,5,2017-04-24T00:00:00.000+0000,VRBO,2017-06-01T18:22:00.000+0000
990762,3,2,Lauren N.,Fantastic apartment close to Charlotte,5,2017-01-28T00:00:00.000+0000,VRBO,2017-04-07T18:06:00.000+0000
990762,3,3,Cathy,"Comfortable, neat, charming, convenient",5,2016-10-22T00:00:00.000+0000,VRBO,2017-01-10T21:08:19.067+0000
870633,3,1,Annie S.,Small but quaint and quiet country atmosphere,4,2017-05-20T00:00:00.000+0000,VRBO,2017-05-27T17:16:00.000+0000
870633,3,2,Peggy H.,We enjoyed the open space.,2,2017-04-16T00:00:00.000+0000,VRBO,2017-04-18T22:28:00.000+0000
870633,3,3,misty p.,Wonderful memories,5,2016-11-10T00:00:00.000+0000,VRBO,2016-11-17T19:59:00.000+0000
602661,29,1,Dean  J.,Great Spot,4,2017-05-12T00:00:00.000+0000,VRBO,2017-05-31T14:18:00.000+0000
602661,29,2,Linda F.,Awesome,5,2017-01-31T00:00:00.000+0000,VRBO,2017-04-14T15:24:00.000+0000
602661,29,3,Jill B.,Beware!!! Property is rundown. Pics are misleading. Owner was dishonest with us.,1,2016-12-21T00:00:00.000+0000,VRBO,2017-02-26T00:08:00.000+0000
602661,29,4,Dane P.,Very Cozy,5,2016-11-20T00:00:00.000+0000,VRBO,2016-12-07T20:20:00.000+0000
602661,29,5,James H.,Great place to stay in the Charlotte area.,5,2016-10-19T00:00:00.000+0000,VRBO,2016-11-03T12:18:00.000+0000
602661,29,6,JennyG,Just like staying at Nana's house,5,2016-09-23T00:00:00.000+0000,VRBO,2016-10-07T13:14:00.000+0000
602661,29,7,Debi Z.,Great Retreat Place,4,2016-08-20T00:00:00.000+0000,VRBO,2016-08-28T11:57:00.000+0000
602661,29,8,Barbara G.,Comfortable and Relaxing,5,2016-06-24T00:00:00.000+0000,VRBO,2016-07-07T13:33:00.000+0000
602661,29,9,Patricia M.,"Great time on the water, in the yard at charming house",5,2016-06-16T00:00:00.000+0000,VRBO,2016-06-26T21:28:00.000+0000
602661,29,10,Albie L O.,Wonderful Stay!,5,2016-05-29T00:00:00.000+0000,VRBO,2016-06-07T12:30:00.000+0000
602661,29,11,Anonymous,Awesome vacation !!,5,2016-05-07T00:00:00.000+0000,VRBO,2016-06-02T01:41:00.000+0000
602661,29,12,Anonymous,Wonderfully peacefulness!,5,2016-04-24T00:00:00.000+0000,VRBO,2016-05-01T17:53:00.000+0000
602661,29,13,Teresa H.,Beautiful View on a Budget,5,2016-02-24T00:00:00.000+0000,VRBO,2016-03-02T16:58:00.000+0000
602661,29,14,Lindsay V.,Just what we needed for a visit to Charlotte.,5,2016-02-03T00:00:00.000+0000,VRBO,2016-02-11T00:20:00.000+0000
602661,29,15,Aleta R.,Linda is the best! ,5,2015-11-26T00:00:00.000+0000,VRBO,2016-01-30T21:45:48.430+0000
602661,29,16,Tren L.,Great Property and attentive owner!,5,2015-09-27T00:00:00.000+0000,VRBO,2015-10-29T15:17:35.863+0000
602661,29,17,Lynne A.,Great weekend,4,2015-09-04T00:00:00.000+0000,VRBO,2015-09-18T10:59:02.900+0000
602661,29,18,Joe B.,We enjoyed our stay.,4,2015-07-29T00:00:00.000+0000,VRBO,2015-08-05T15:19:03.367+0000
602661,29,19,Tomn V.,After some dissapointments a good stay,3,2015-07-04T00:00:00.000+0000,VRBO,2015-08-02T18:10:51.137+0000
602661,29,20,Paula S.,Nana's lakefront,4,2015-07-12T00:00:00.000+0000,VRBO,2015-07-18T11:46:12.510+0000
602661,29,21,Christy G,Great home!!!,5,2015-06-20T00:00:00.000+0000,VRBO,2015-07-17T23:01:16.843+0000
602661,29,22,Renee K.,A Peaceful Place,4,2015-06-29T00:00:00.000+0000,VRBO,2015-07-07T00:00:11.743+0000
602661,29,23,Lisa W.,Great stay,5,2015-05-26T00:00:00.000+0000,VRBO,2015-06-01T16:31:37.640+0000
602661,29,24,Bigcats,Nanas lakefront pad,5,2015-05-14T00:00:00.000+0000,VRBO,2015-05-20T11:46:55.347+0000
602661,29,25,David C.,Not renter friendly,2,2015-04-04T00:00:00.000+0000,VRBO,2015-04-14T16:48:08.147+0000
602661,29,26,Michael B.,Weekend Getaway!,5,2015-03-20T00:00:00.000+0000,VRBO,2015-03-26T13:54:17.030+0000
602661,29,27,Jimmy J.,I needed a break from the hussle and bussle of life before I exploded! ,5,2015-01-07T00:00:00.000+0000,VRBO,2015-01-18T04:26:23.113+0000
602661,29,28,Betty Haas,Beautiful sunset and extremely clean nice cozy home,5,2014-10-06T00:00:00.000+0000,VRBO,2014-12-24T14:45:15.493+0000
602661,29,29,Nascar Couple ,Charming and quiet,4,2014-10-08T00:00:00.000+0000,VRBO,2014-10-22T09:09:09.117+0000
453657,49,1,Shelby S.,"Quiet, relaxing getaway!",5,2017-05-19T00:00:00.000+0000,VRBO,2017-05-26T06:14:00.000+0000
453657,49,2,heather l.,Had a great time! Relaxing and secluded...a great get-away!!,4,2017-05-04T00:00:00.000+0000,VRBO,2017-05-22T00:07:00.000+0000
453657,49,3,Sarah A.,LOVED!!!!!,5,2017-03-18T00:00:00.000+0000,VRBO,2017-05-12T13:31:00.000+0000
453657,49,4,Scott P.,Great Location and Awesome View,5,2017-01-06T00:00:00.000+0000,VRBO,2017-01-10T20:57:00.000+0000
453657,49,5,William M.,Great little property and conveniently located,4,2016-10-28T00:00:00.000+0000,VRBO,2016-10-31T13:22:00.000+0000
453657,49,6,Grace A.,We had a lovely time. The view was wonderful.,5,2016-10-07T00:00:00.000+0000,VRBO,2016-10-09T19:02:00.000+0000
453657,49,7,Vickie S.,A milliion miles away.....,4,2016-09-13T00:00:00.000+0000,VRBO,2016-09-22T19:49:05.130+0000
453657,49,8,John V.,Outstanding!,5,2016-09-08T00:00:00.000+0000,VRBO,2016-09-22T14:28:00.000+0000
453657,49,9,Diane A.,Completely the perfect place for our stay on the lake!,5,2016-09-03T00:00:00.000+0000,VRBO,2016-09-18T19:39:00.000+0000
453657,49,10,Sharron W.,Nice view,3,2016-08-23T00:00:00.000+0000,VRBO,2016-09-04T14:53:00.000+0000
453657,49,11,Maria S.,Great place!,5,2016-08-25T00:00:00.000+0000,VRBO,2016-08-30T14:56:00.000+0000
453657,49,12,Eileen L.,Excellent Communication,5,2016-07-20T00:00:00.000+0000,VRBO,2016-07-25T22:22:00.000+0000
453657,49,13,Cheryl P.,Great vacation spot,4,2016-05-25T00:00:00.000+0000,VRBO,2016-06-11T19:30:00.000+0000
453657,49,14,Catherine D.,Very clean and friendly. Very comfortable bed.,5,2016-04-28T00:00:00.000+0000,VRBO,2016-05-06T10:19:00.000+0000
453657,49,15,Ernesto L.,A+++++++ Amazing place & location. Mr. Rudolph keeps the place in great shape & cares about guests.,5,2016-04-05T00:00:00.000+0000,VRBO,2016-04-12T16:16:00.000+0000
453657,49,16,Brandi G.,Beautiful!,5,2015-09-17T00:00:00.000+0000,VRBO,2015-09-23T15:01:32.157+0000
453657,49,17,Julie F.,Relaxation on the Water at Rosella,4,2015-09-10T00:00:00.000+0000,VRBO,2015-09-19T15:59:29.937+0000
453657,49,18,Jennifer D.,Comfortable stay overlooking beautiful water,5,2015-07-24T00:00:00.000+0000,VRBO,2015-07-30T11:08:45.947+0000
453657,49,19,Linda B.,Great place to relax,5,2015-07-06T00:00:00.000+0000,VRBO,2015-07-19T17:25:41.597+0000
453657,49,20,Megan S.,Wonderful Lake Vacation,4,2015-06-25T00:00:00.000+0000,VRBO,2015-06-29T13:52:33.640+0000
453657,49,21,Laura S.,beautiful place in a great location,5,2015-06-05T00:00:00.000+0000,VRBO,2015-06-08T23:29:00.000+0000
453657,49,22,Kathi M.,Love lake access,5,2015-04-29T00:00:00.000+0000,VRBO,2015-05-07T01:32:17.403+0000
453657,49,23,Andrew M.,Rosella,4,2015-04-27T00:00:00.000+0000,VRBO,2015-05-02T14:36:04.720+0000
453657,49,24,Alyssa L.,Cozy Private Retreat Cottage,5,2014-10-08T00:00:00.000+0000,VRBO,2014-12-16T21:47:58.627+0000
453657,49,25,Kirk O'Leary,Great Getaway!,5,2014-10-28T00:00:00.000+0000,VRBO,2014-11-02T20:47:58.907+0000
453657,49,26,Joe,Very Pleased,5,2014-10-02T00:00:00.000+0000,VRBO,2014-10-09T20:01:07.657+0000
453657,49,27,Kathy and Rich,rooms with a view,5,2014-09-07T00:00:00.000+0000,VRBO,2014-09-23T18:35:05.943+0000
453657,49,28,Penelope,Perfect!,5,2014-06-24T00:00:00.000+0000,VRBO,2014-07-02T10:52:30.183+0000
453657,49,29,Em,Relaxing Getaway...,4,2014-06-21T00:00:00.000+0000,VRBO,2014-06-27T15:57:55.457+0000
453657,49,30,shana w.,Shana TN,5,2014-06-15T00:00:00.000+0000,VRBO,2014-06-22T11:43:21.187+0000
453657,49,31,Tobi,better than expected,5,2014-06-13T00:00:00.000+0000,VRBO,2014-06-18T22:47:09.877+0000
453657,49,32,Walter S.,Awesome location!!,5,2014-06-04T00:00:00.000+0000,VRBO,2014-06-09T19:03:37.607+0000
453657,49,33,Mia,Amazing!,5,2014-05-29T00:00:00.000+0000,VRBO,2014-06-06T21:40:51.357+0000
