listing_id,listing_title,latitude,longitude,location_name,number_reviews,average_rating,average_nightly_price,nightly,weekend_night,property_protection_fee,cleaning_fee,tax_rate,min_stay,sleeps,bedrooms,bathrooms,property_type,internet,member_since,response_time,response_rate,calendar_last_updated,type,floor,sq_footage,max_occupancy,building_type,city,state
920449ha,The Squeeze Box :   Rated #1 in 5 Stars  ★★ ★ ★ ★  by our guests,34.2026268,-90.5748465,"Clarksdale, MS, USA",57,,125,125,,,,7.0%,2,2,1,1,apartment,Yes,2011,Within an hour,100%,"June 9, 2017",apartment,1,425,2,,Hammond,MS
3828162ha,"The Hooker Hotel  -     'Unique, Cool, and Spacious, with a killer location'",34.2026359,-90.5747989,"Clarksdale, MS, USA",37,,195,195,,,,7.0%,2,4,2,1,apartment,Yes,2011,Within 12 hours,100%,"June 9, 2017",apartment,1,745,4,building,Hammond,MS
468311,Delta Digs - 'The Place To Lay It Down In Clarksdale',34.2026398,-90.5749025,"Clarksdale, MS, USA",49,4.9,128,125,,,,7.0%,2,2,1,1,apartment,Yes,2013,Within an hour,100%,"June 9, 2017",apartment,1,425,2,,Hammond,MS
146407,'The Land Where the Blues Began',,,"Clarksdale, MS, USA",22,4.7,125,125,,,,7.0%,2,5,2,1,house,Yes,2005,Within a day,90%,"June 1, 2017",house,,1050,5,,Hammond,MS
609130,"The Holy Moly -- Blues Central -- Downtown Clarksdale, Mississippi",34.20153542,-90.57204692,"Clarksdale, MS, USA",9,4.8,118,139,,,,7.0%,1,2,1,1,apartment,No,2014,Within 12 hours,100%,"June 7, 2017",apartment,1,900,2,,Hammond,MS
999666,"Relax on Moon Lake/Close to Clarksdale, MS  AND  Helena, Ark for the Blues!",34.4298182,-90.4983776,"Coahoma County, MS, USA",0,,298,295,,,50,,3,6,2,2,house,Yes,2017,Within 12 hours,100%,"June 7, 2017",house,,,,,Hammond,MS
3948442ha,"Get to BLUES-in' at Rusty's Roost, adjacent to downtown Clarksdale, MS",34.206304,-90.57254,"Clarksdale, MS, USA",5,,182,180,,,,7.0%,2,6,2,1,cottage,Yes,2015,Within a day,100%,"June 9, 2017",cottage,,780,6,,Hammond,MS
435815,beautiful lodge in a relaxed country setting.,34.41327947,-90.73290535,"Lake, AR, USA",2,,200,200,,,100,,2,10,3,1,lodge,Yes,2009,Within a few hours,100%,"June 8, 2017",lodge,,,10,,Hammond,MS
472087,Upscale & Unique Delta Bohemian Guest House,34.2012519,-90.584849,"Clarksdale, MS, USA",3,4.7,192,179,219,,,7.0%,1,4,2,1,house,Yes,2013,,,"June 7, 2017",house,,1000,4,,Hammond,MS
4253344ha,WEEMS' LAKE HOUSE RESORT,34.42260118,-90.49864134,"Coahoma County, MS, USA",0,,185,185,,,150,,,12,4,2,house,No,2017,,,"May 26, 2017",house,,,,,Hammond,MS
1005474,Sunflower Lofts -- Close to Everything!,,,"Clarksdale, MS, USA",0,,200,200,,,,9.0%,,4,2,2,condo,No,2017,Within a few days,66%,"June 9, 2017",condo,,,,,Hammond,MS
