listing_id,total_number_reviews,n_review,reviewer_name,title,stars,stayed,source,submitted,city,state
920449ha,57,1,Roger S.,"Pleasant, comfortable, clean, well appointed",5,2017-05-18T00:00:00.000+0000,VRBO,2017-05-20T18:36:00.000+0000,Hammond,MS
920449ha,57,2,Aoife F.,Great stay,5,2017-03-10T00:00:00.000+0000,VRBO,2017-03-13T19:54:00.000+0000,Hammond,MS
920449ha,57,3,jerry s.,Great location to everything.,5,2017-03-02T00:00:00.000+0000,VRBO,2017-03-05T16:23:00.000+0000,Hammond,MS
920449ha,57,4,Katherine T.,Loved it- great experience.,5,2017-02-24T00:00:00.000+0000,VRBO,2017-02-26T14:35:00.000+0000,Hammond,MS
920449ha,57,5,Brent B.,We enjoyed our stay. Very comfortable and cozy.,5,2017-01-20T00:00:00.000+0000,VRBO,2017-01-24T17:24:00.000+0000,Hammond,MS
920449ha,57,6,Ned B.,Ned & Nancy,5,2016-10-21T00:00:00.000+0000,VRBO,2016-10-25T14:05:36.530+0000,Hammond,MS
920449ha,57,7,Dean H.,"Too much fun in Clarksdale, The Squeeze Box.",5,2016-10-06T00:00:00.000+0000,VRBO,2016-10-20T23:51:12.950+0000,Hammond,MS
920449ha,57,8,Frank S.,Squeeze Box,5,2016-09-09T00:00:00.000+0000,VRBO,2016-09-11T23:05:00.000+0000,Hammond,MS
920449ha,57,9,Napom,Great! Exactly as I expected and more.,5,2016-09-03T00:00:00.000+0000,VRBO,2016-09-04T14:53:00.000+0000,Hammond,MS
920449ha,57,10,Allison P.,Great place to stay in a fun little MS town!,5,2016-08-26T00:00:00.000+0000,VRBO,2016-08-28T15:06:00.000+0000,Hammond,MS
920449ha,57,11,Robert S.,Great stay for the Sunflower Blues festival,5,2016-08-11T00:00:00.000+0000,VRBO,2016-08-20T14:39:17.807+0000,Hammond,MS
920449ha,57,12,Alex V.,Unique & Comfy,5,2016-06-24T00:00:00.000+0000,VRBO,2016-06-26T16:34:00.000+0000,Hammond,MS
920449ha,57,13,Bill C.,Great time was had by all! Enjoyed the Squeeze Box!,5,2016-06-10T00:00:00.000+0000,VRBO,2016-06-22T20:50:00.000+0000,Hammond,MS
920449ha,57,14,Samuel H.,Amazing Place to Stay!,5,2016-06-19T00:00:00.000+0000,VRBO,2016-06-22T17:47:00.000+0000,Hammond,MS
920449ha,57,15,Anonymous,Highly Recommended!,5,2016-06-16T00:00:00.000+0000,VRBO,2016-06-20T18:18:00.000+0000,Hammond,MS
