listing_id,listing_title,latitude,longitude,location_name,number_reviews,average_rating,average_nightly_price,nightly,weekend_night,property_protection_fee,cleaning_fee,tax_rate,min_stay,sleeps,bedrooms,bathrooms,property_type,internet,member_since,response_time,response_rate,calendar_last_updated,type,floor,sq_footage,max_occupancy,building_type,city
564139,Go COASTAL!  Front Row Ocean View! Big Beach House!,36.96805819,-76.29225902,"Willoughby Spit, Norfolk, VA, USA",24,4.9,475,395,,,,,3,12,5,4,house,Yes,2014,Within a day,100%,"June 9, 2017",house,,4500,12,,Hampton
3837956ha,**WATERFRONT**25 STEPS TO BEACH**VACANCY 6/17 TO 6/24**25 MIN TO BUSCH GARDENS**,36.96425909,-76.29092827,"Willoughby Spit, Norfolk, VA, USA",31,4.5,269,,,,,11.0%,3,16,4,3,house,Yes,2009,Within a day,100%,"June 9, 2017",house,,3400,,,Hampton
351701ha,*WATERFRONT** 2 BEACHES**10 MILE VIEW***HOT TUB** PETS****KAYAKS,36.964933,-76.291453,"Willoughby Spit, Norfolk, VA, USA",21,4.8,219,,,,,13.5%,2,11,3,2,house,Yes,2009,Within 12 hours,100%,"June 9, 2017",house,,1700,,,Hampton
680927,Life on a Sandbar! * Direct Waterfront! * Smoke-Free Property! * Two Kayaks!,36.964534,-76.289969,"Willoughby Spit, Norfolk, VA, USA",23,4.8,338,,,,,,3,8,3,2,house,Yes,2015,Within an hour,100%,"June 8, 2017",house,,1900,8,,Hampton
864766,3 BEDROOM 2 BATH ON THE WATER,,,"Willoughby Spit, Norfolk, VA, USA",6,4.5,270,175,,,100,,3,10,3,2,house,Yes,2014,Within a few hours,100%,"June 9, 2017",house,,2000,10,,Hampton
826917,Happy Helen's Beach Heaven,36.968047,-76.296537,"Willoughby Spit, Norfolk, VA, USA",3,4.7,171,200,,,,,3,4,2,1,condo,Yes,2016,Within a few days,80%,"June 8, 2017",condo,2,1000,4,,Hampton
558391,GREAT HOUSE ON LITTLE BAY WITH PIER,,,"Willoughby Spit, Norfolk, VA, USA",29,4.9,267,195,,,125,,3,12,4,3,house,Yes,2014,Within an hour,100%,"June 9, 2017",house,,2850,12,,Hampton
374166,Beachfront Cottage Directly on the Chesapeake Bay - Priv Beach,,,"Buckroe Beach, Hampton, VA, USA",31,4.8,195,195,215,,,,2,5,2,1,cottage,Yes,2011,Within 12 hours,80%,"May 31, 2017",cottage,,900,5,,Hampton
794233,"Newly Remodeled, Hardwood Floors, Fenced Yard, Pick Your Price",36.992042,-76.394664,"Newport News, VA, USA",0,,50,,,,,,60,6,2,1,house,Yes,2015,Within 12 hours,100%,"June 1, 2017",house,,,,,Hampton
878117,"Sleep 8 to 10,  Big, beautiful, and close to the beach.",37.042159,-76.293297,"Buckroe Beach, Hampton, VA, USA",3,3.3,300,300,,,,8.0%,3,10,4,2,house,Yes,2015,Within 12 hours,100%,"June 5, 2017",house,,1848,,,Hampton
459674,Beachfront Condo. Your Perfect Beach Vacation,37.0463123,-76.2880238,"Buckroe Beach, Hampton, VA, USA",12,4.9,229,,,,,14.0%,7,7,2,3,condo,Yes,2013,Within a few days,50%,"June 9, 2017",condo,,2200,7,,Hampton
822238,Calm Escape On The Bay,36.96555699,-76.29237908,"Willoughby Spit, Norfolk, VA, USA",4,4.8,113,95,,,,,3,5,2,1,apartment,Yes,2016,Within 12 hours,90%,"June 3, 2017",apartment,1,,5,building,Hampton
4219137ha,"Refreshing 3BR Bayside Norfolk Townhome w/Wifi, 2 Private Balconies & Marvelous Sunset Views - Steps to the Chesapeake Bay! Close to Dining, Willoughby Marina & Major VA Attractions!",36.96719,-76.28668,"Willoughby Spit, Norfolk, VA, USA",3,,325,,,,,,2,8,3,3,townhome,Yes,1999,Within an hour,,"June 9, 2017",townhome,,2437,8,,Hampton
854959,"Sleep 8 to 10,  Big, beautiful, and close to the beach.",37.0423851,-76.2935518,"Buckroe Beach, Hampton, VA, USA",0,,250,300,,,,8.0%,3,10,4,2,house,Yes,2015,Within a few hours,100%,"June 8, 2017",house,,1800,,,Hampton
823198,Quiet Getaway on the Bay,36.965617,-76.292422,"Willoughby Spit, Norfolk, VA, USA",3,4.3,113,95,,,,,3,5,2,2,apartment,Yes,2016,Within a day,80%,"June 8, 2017",apartment,,,5,,Hampton
857004,#1 (Private Beach) in Virginia! 5 BR 3.5 BATHS + Full outdoor Bath!On the BAY!,37.048282,-76.287374,"Buckroe Beach, Hampton, VA, USA",4,,410,410,,,,,7,10,5,3,house,Yes,2016,Within a few hours,100%,"June 9, 2017",house,,2800,10,,Hampton
1008077,"The Sandbar Life. . . . on a budget! Contemporary, close to all that is Norfolk",36.966859,-76.292608,"Willoughby Spit, Norfolk, VA, USA",2,,139,150,,,,,3,4,2,1,apartment,No,2014,Within 2 days,100%,"June 9, 2017",apartment,,,,,Hampton
935657,Walk to Buckroe Beach,37.047631,-76.300466,"Buckroe Beach, Hampton, VA, USA",2,3.5,149,130,,,150,12.0%,2,8,2,2,house,No,2015,Within 12 hours,100%,"June 9, 2017",house,,1100,,,Hampton
1021646,503 N. First Street.,,,"Buckroe Beach, Hampton, VA, USA",0,,145,,,,75,,7,6,3,2,house,No,2016,Within 12 hours,100%,"June 8, 2017",house,,,,,Hampton
