listing_id,total_number_reviews,n_review,reviewer_name,title,stars,stayed,source,submitted
564139,24,1,Debbi M.,Spacious retreat,5,2017-05-19T00:00:00.000+0000,VRBO,2017-06-06T10:54:00.000+0000
564139,24,2,Melinda A.,One of the best days ever,5,2017-04-21T00:00:00.000+0000,VRBO,2017-05-09T10:35:00.000+0000
564139,24,3,patrick k.,big beach house,4,2017-02-25T00:00:00.000+0000,VRBO,2017-03-04T15:38:00.000+0000
564139,24,4,Joyce M.,Wonderful home!,5,2017-02-15T00:00:00.000+0000,VRBO,2017-03-01T03:16:00.000+0000
564139,24,5,Mark E.,Beautiful home!,5,2016-12-16T00:00:00.000+0000,VRBO,2016-12-21T00:10:00.000+0000
564139,24,6,Frances a D.,Amazing! The house was perfec t for a Ladies retreat. plenty of room and space for 11 of us.,5,2016-12-02T00:00:00.000+0000,VRBO,2016-12-05T22:37:00.000+0000
564139,24,7,Mark C.,Great Stay,5,2016-10-20T00:00:00.000+0000,VRBO,2016-10-24T16:37:00.000+0000
564139,24,8,R M.,Gorgeous property!,5,2016-10-03T00:00:00.000+0000,VRBO,2016-10-17T16:31:38.493+0000
564139,24,9,Nick G.,Great for big family!!!,5,2016-07-02T00:00:00.000+0000,VRBO,2016-07-09T23:36:58.380+0000
564139,24,10,Rhonda J.,Perfect for Big Family,5,2015-12-25T00:00:00.000+0000,VRBO,2016-01-13T11:09:00.000+0000
564139,24,11,Kathleen J.,Family Gathering,5,2015-07-04T00:00:00.000+0000,VRBO,2015-07-29T14:07:43.747+0000
564139,24,12,Sarah A.,Beautiful home for a family reunion - PERFECT,5,2015-06-04T00:00:00.000+0000,VRBO,2015-06-08T13:24:52.563+0000
564139,24,13,Kitty,Rooms With A View,4,2015-05-14T00:00:00.000+0000,VRBO,2015-05-22T02:45:29.963+0000
564139,24,14,Christy H.,Big House....Take Me Away!!!,5,2015-03-25T00:00:00.000+0000,VRBO,2015-04-10T18:10:01.250+0000
564139,24,15,Father Deacon James C.,Most Amazing Home,5,2015-02-12T00:00:00.000+0000,VRBO,2015-02-25T13:55:18.710+0000
564139,24,16,Nancy,Beautiful home,5,2014-10-10T00:00:00.000+0000,VRBO,2014-10-29T17:20:32.313+0000
564139,24,17,Azure.seas,"Beautiful house, great setting, lots of extras.  Highly recommend!",5,2014-10-17T00:00:00.000+0000,VRBO,2014-10-23T14:01:19.433+0000
564139,24,18,Bev,beautiful house and great location,5,2014-10-02T00:00:00.000+0000,VRBO,2014-10-13T16:27:06.747+0000
564139,24,19,lina,family wedding,5,2014-08-17T00:00:00.000+0000,VRBO,2014-08-27T14:42:02.877+0000
564139,24,20,FarDC,Great family getaway,4,2014-06-07T00:00:00.000+0000,VRBO,2014-06-13T15:03:28.300+0000
564139,24,21,Addie,Weekend Getaway,5,2014-05-30T00:00:00.000+0000,VRBO,2014-06-02T23:26:34.553+0000
564139,24,22,WhiteFamily,Great Vacation Getaway and Family Reunion Site !,5,2014-04-09T00:00:00.000+0000,VRBO,2014-04-19T22:30:21.507+0000
564139,24,23,Lee and Terri,"Incredible Sunsets!  Cold outside, but cozy and beautiful by the fire",5,2014-02-15T00:00:00.000+0000,VRBO,2014-03-01T23:19:46.523+0000
564139,24,24,Betsy,We LOVED staying at this house!  ,5,2013-09-01T00:00:00.000+0000,VRBO,2014-03-01T23:10:55.910+0000
3837956ha,31,1,Iris P.,Great place for a family get away!,4,2017-05-02T00:00:00.000+0000,VRBO,2017-05-22T14:47:00.000+0000
3837956ha,31,2,Jill K.,Great place for our reunion! Thank you!,4,2017-05-05T00:00:00.000+0000,VRBO,2017-05-09T04:06:00.000+0000
3837956ha,31,3,Sonia B.,Very nice accommodations.,4,2017-04-08T00:00:00.000+0000,VRBO,2017-04-16T23:01:00.000+0000
3837956ha,31,4,Dana R.,SIMPLY AMAZING!,4,2017-03-22T00:00:00.000+0000,VRBO,2017-04-10T14:31:00.000+0000
3837956ha,31,5,Dara Y.,Best stay ever!!!,5,2017-03-15T00:00:00.000+0000,VRBO,2017-03-28T02:22:00.000+0000
3837956ha,31,6,Dana R.,SPECTACULAR!!!,4,2017-03-22T00:00:00.000+0000,VRBO,2017-03-27T22:38:00.000+0000
3837956ha,31,7,Nick D.,Nice- Peaceful Location,4,2017-02-03T00:00:00.000+0000,VRBO,2017-02-05T16:51:00.000+0000
3837956ha,31,8,Big Fun,Nicely Appointed,5,2016-09-28T00:00:00.000+0000,VRBO,2017-02-04T19:59:00.000+0000
3837956ha,31,9,Chris J.,Great comfortable home.,5,2016-12-05T00:00:00.000+0000,VRBO,2016-12-10T14:13:00.000+0000
3837956ha,31,10,Marques G.,Fantastic Weekend,5,2016-10-13T00:00:00.000+0000,VRBO,2016-10-27T17:30:00.000+0000
3837956ha,31,11,Susan B.,"Great view, excellent location, and very clean. ",5,2016-10-06T00:00:00.000+0000,VRBO,2016-10-11T21:16:45.810+0000
3837956ha,31,12,Kim,$400 for a table cloth?,1,2016-09-08T00:00:00.000+0000,VRBO,2016-10-07T00:45:29.683+0000
3837956ha,31,13,Belinda C.,Paradise Found,5,2016-09-02T00:00:00.000+0000,VRBO,2016-10-06T13:55:03.783+0000
3837956ha,31,14,Deb T.,Amazing,5,2016-10-01T00:00:00.000+0000,VRBO,2016-10-02T12:35:48.520+0000
3837956ha,31,15,Rene R.,Amazing getaway,5,2016-08-19T00:00:00.000+0000,VRBO,2016-09-03T21:34:51.100+0000
3837956ha,31,16,Brandi T.,Nice house/nice location,3,2016-08-20T00:00:00.000+0000,VRBO,2016-08-30T03:30:46.117+0000
3837956ha,31,17,Megan H.,Relaxing and perfect vacation spot ,5,2015-05-07T00:00:00.000+0000,VRBO,2016-05-07T14:42:19.887+0000
3837956ha,31,18,Ciara M.,Great place!!,5,2016-04-15T00:00:00.000+0000,VRBO,2016-04-24T13:46:29.667+0000
3837956ha,31,19,Barbara C.,"Awesome home, spacious, clean, beachfront - 5 star",4,2016-01-01T00:00:00.000+0000,VRBO,2016-01-04T14:11:21.973+0000
3837956ha,31,20,Belinda C.,Large and lovely,5,2015-11-03T00:00:00.000+0000,VRBO,2015-12-10T19:38:17.330+0000
3837956ha,31,21,Kendall J.,Perfect Place,5,2015-08-01T00:00:00.000+0000,VRBO,2015-12-10T16:53:42.637+0000
3837956ha,31,22,Melissa R.,Best place! Hands down!,5,2015-09-30T00:00:00.000+0000,VRBO,2015-10-05T01:51:54.830+0000
3837956ha,31,23,Eric S.,Great bay spot the beach is so gradual,4,2015-09-07T00:00:00.000+0000,VRBO,2015-09-14T15:18:40.997+0000
3837956ha,31,24,janet m.,Great home away from home with extras.,5,2015-08-24T00:00:00.000+0000,VRBO,2015-08-31T13:16:11.833+0000
3837956ha,31,25,Buffalo Betty,A plus,4,2015-08-08T00:00:00.000+0000,VRBO,2015-08-18T14:15:28.600+0000
3837956ha,31,26,Christina E.,2 Year anniversary / vacation,5,2015-05-26T00:00:00.000+0000,VRBO,2015-05-29T22:08:00.000+0000
3837956ha,31,27,RENA M.,Rena,5,2015-04-17T00:00:00.000+0000,VRBO,2015-04-22T18:48:51.827+0000
3837956ha,31,28,Cindy S.,Wonderful House for my family of 12  ,5,2014-09-20T00:00:00.000+0000,VRBO,2015-04-08T13:33:32.923+0000
3837956ha,31,29,David S.,Perfect,5,2015-02-26T00:00:00.000+0000,VRBO,2015-03-20T14:10:37.173+0000
3837956ha,31,30,Belinda C.,Nice open floor plan Nice location,5,2015-01-29T00:00:00.000+0000,VRBO,2015-02-04T20:27:35.033+0000
3837956ha,31,31,Belinda C.,Nice open floor plan,5,2015-01-29T00:00:00.000+0000,VRBO,2015-02-04T20:24:48.787+0000
351701ha,21,1,PETER V.,Amazing rental,5,2017-05-16T00:00:00.000+0000,VRBO,2017-05-23T21:07:00.000+0000
351701ha,21,2,Jackie E.,Perfect location...near everything. Enjoyed the view from the decks and kids enjoyed fishing!,4,2017-04-01T00:00:00.000+0000,VRBO,2017-04-16T14:02:00.000+0000
351701ha,21,3,Kerri M.,Overall ok. GREAT view! Relatively clean. Too many rules. Hidden costs. Inconsistent information.,3,2017-01-12T00:00:00.000+0000,VRBO,2017-01-15T15:19:00.000+0000
351701ha,21,4,Dani C.,Exactly what we wanted and needed.,5,2016-12-29T00:00:00.000+0000,VRBO,2017-01-02T13:24:00.000+0000
351701ha,21,5,Kay W.,"Well maintained, clean, comfortable",4,2016-12-08T00:00:00.000+0000,VRBO,2016-12-12T16:22:00.000+0000
351701ha,21,6,christine m.,Fun place to stay in Norfolk,5,2016-06-04T00:00:00.000+0000,VRBO,2016-09-15T13:39:10.180+0000
