listing_id,total_number_reviews,n_review,reviewer_name,title,stars,stayed,source,submitted
3673799ha,31,1,Lawrence M.,"Clean, well stocked and in a great neighborhood",5,2017-04-27T00:00:00.000+0000,VRBO,2017-05-17T07:32:00.000+0000
3673799ha,31,2,Roxanne H.,Relaxing Stay,5,2017-01-24T00:00:00.000+0000,VRBO,2017-02-01T18:49:00.000+0000
3673799ha,31,3,Cheryl N.,Pepperwood Condo Rental,4,2016-12-23T00:00:00.000+0000,VRBO,2017-01-07T15:07:00.000+0000
3673799ha,31,4,David and Patricia B.,Nice property - cleaning crew missed some things,3,2016-12-28T00:00:00.000+0000,VRBO,2017-01-05T20:30:00.000+0000
3673799ha,31,5,David N.,Wonderful stay and owner was very responsive!!!,5,2016-11-16T00:00:00.000+0000,VRBO,2016-12-05T17:12:00.000+0000
3673799ha,31,6,Sara K.,Comfortable home in ideal location,5,2016-08-16T00:00:00.000+0000,VRBO,2016-08-29T15:16:53.410+0000
3673799ha,31,7,MARCOS A.,Everything was great!,5,2016-08-11T00:00:00.000+0000,VRBO,2016-08-27T05:22:00.000+0000
3673799ha,31,8,Clarence H.,WONDERFUL!!!!,5,2016-07-01T00:00:00.000+0000,VRBO,2016-07-12T00:16:00.000+0000
3673799ha,31,9,Shannon R.,Great stay!,5,2016-06-21T00:00:00.000+0000,VRBO,2016-07-03T16:45:00.000+0000
3673799ha,31,10,Lisa W.,Comfortable and Clean!,5,2016-06-09T00:00:00.000+0000,VRBO,2016-06-18T16:55:00.000+0000
3673799ha,31,11,Rochelle B.,"Great Location, Quiet Neighborhood",4,2016-05-18T00:00:00.000+0000,VRBO,2016-05-27T12:18:00.000+0000
3673799ha,31,12,Judy V.,"We had a wonderful stay. The owner was very helpful, pleasant and accommodating.",5,2016-03-19T00:00:00.000+0000,VRBO,2016-03-30T19:58:00.000+0000
3673799ha,31,13,Kathy P.,Wonderful!,5,2016-01-12T00:00:00.000+0000,VRBO,2016-01-20T15:17:00.000+0000
3673799ha,31,14,Gustavo  V.,Excellent,4,2015-12-18T00:00:00.000+0000,VRBO,2016-01-14T00:07:00.000+0000
3673799ha,31,15,Sandeep R.,Amazing Property @ an Impressive location!,5,2015-11-24T00:00:00.000+0000,VRBO,2015-12-03T00:22:00.000+0000
3673799ha,31,16,kellie f.,lovely home in quiet neighbourhood,5,2015-07-28T00:00:00.000+0000,VRBO,2015-08-13T17:26:18.290+0000
3673799ha,31,17,AJay,Very cozy house in very quiet neighborhood ,5,2015-07-18T00:00:00.000+0000,VRBO,2015-08-09T21:50:44.860+0000
3673799ha,31,18,Perry S.,Excellent,5,2015-08-01T00:00:00.000+0000,VRBO,2015-08-06T01:04:46.363+0000
3673799ha,31,19,Cathe P.,Great property with everything you need!,5,2015-07-08T00:00:00.000+0000,VRBO,2015-07-20T19:27:16.140+0000
3673799ha,31,20,Seattle,"Nice location, home in very good condition, well equipped.",4,2015-06-25T00:00:00.000+0000,VRBO,2015-07-09T14:33:07.193+0000
3673799ha,31,21,Sandra L.,Family weekend wedding trip,5,2015-07-02T00:00:00.000+0000,VRBO,2015-07-05T16:54:08.947+0000
3673799ha,31,22,Patti,Home Base for a wedding at Hornings Hideout,5,2015-06-10T00:00:00.000+0000,VRBO,2015-06-20T15:48:07.177+0000
3673799ha,31,23,ALISON S.,Wonderful place for a group of friends!,5,2015-04-03T00:00:00.000+0000,VRBO,2015-04-22T15:17:04.100+0000
3673799ha,31,24,David and Patricia B.,Great family-friendly condo in Hillsboro,5,2015-03-17T00:00:00.000+0000,VRBO,2015-03-22T16:58:00.000+0000
3673799ha,31,25,Charlotte M.,Great rental. We loved the condo and area.,5,2014-10-15T00:00:00.000+0000,VRBO,2014-10-25T01:42:12.513+0000
3673799ha,31,26,Heather O.,Wonderful Accomodations,5,2014-09-17T00:00:00.000+0000,VRBO,2014-09-26T13:30:50.987+0000
3673799ha,31,27,Shamarcus G.,"Clean, Quite, & Spacious Suburban Outpost",5,2014-09-04T00:00:00.000+0000,VRBO,2014-09-22T14:21:44.323+0000
3673799ha,31,28,Ann B.,"Fabulous!!!
",5,2014-07-08T00:00:00.000+0000,VRBO,2014-07-18T18:49:33.523+0000
3673799ha,31,29,Jeannie A.,What a beautiful home.,5,2014-06-19T00:00:00.000+0000,VRBO,2014-06-25T16:15:58.883+0000
3673799ha,31,30,Jaime H.,wonderful rental with great price,5,2014-06-05T00:00:00.000+0000,VRBO,2014-06-16T00:40:20.927+0000
3673799ha,31,31,Ashlee P.,Great town home in a beautiful neighborhood.,5,2014-05-28T00:00:00.000+0000,VRBO,2014-06-05T23:05:54.990+0000
