listing_id,total_number_reviews,n_review,reviewer_name,title,stars,stayed,source,submitted,city,state
1001777,10,1,AL B.,"Serenity House is pristine, perfect and well appointed for any length stay",5,2017-05-14T00:00:00.000+0000,VRBO,2017-05-26T15:57:00.000+0000,Hinesville,GA
1001777,10,2,amanda b.,Refreshing Coastal Adventure,5,2017-04-08T00:00:00.000+0000,VRBO,2017-04-19T23:12:00.000+0000,Hinesville,GA
1001777,10,3,Victor M.,"Peaceful, relaxing solitude.",5,2017-03-26T00:00:00.000+0000,VRBO,2017-04-05T10:38:00.000+0000,Hinesville,GA
1001777,10,4,K. C. C.,Great as advertised,5,2017-03-23T00:00:00.000+0000,VRBO,2017-03-27T11:43:00.000+0000,Hinesville,GA
1001777,10,5,Sandra B.,Private R & R setting,4,2017-03-11T00:00:00.000+0000,VRBO,2017-03-21T21:28:00.000+0000,Hinesville,GA
1001777,10,6,Lorie P.,Perfectly Peaceful,5,2017-02-25T00:00:00.000+0000,VRBO,2017-03-09T11:38:00.000+0000,Hinesville,GA
1001777,10,7,Ashley C.,Perfect Relaxing Getaway,5,2017-03-03T00:00:00.000+0000,VRBO,2017-03-06T20:41:00.000+0000,Hinesville,GA
1001777,10,8,Lorie P.,Perfect Girls Getaway,5,2017-02-25T00:00:00.000+0000,VRBO,2017-02-28T02:55:00.000+0000,Hinesville,GA
1001777,10,9,Susanna L.,Fantastic home for our family getaway,5,2017-02-16T00:00:00.000+0000,VRBO,2017-02-20T18:11:00.000+0000,Hinesville,GA
1001777,10,10,Florida Five,"Beautiful, relaxing, and quiet. A perfect place for a peaceful getaway!",4,2017-02-13T00:00:00.000+0000,VRBO,2017-02-17T18:38:00.000+0000,Hinesville,GA
4052692ha,3,1,Christy B.,Beautiful house and deck.,4,2017-05-01T00:00:00.000+0000,VRBO,2017-05-07T12:35:00.000+0000,Hinesville,GA
4052692ha,3,2,Cathy G.,The location was nice and quiet and it worked well for the group we had.,4,2017-03-03T00:00:00.000+0000,VRBO,2017-03-10T17:33:00.000+0000,Hinesville,GA
4052692ha,3,3,Renee  C.,Memories of a lifetime ,5,2016-11-01T00:00:00.000+0000,VRBO,2016-11-08T07:37:05.977+0000,Hinesville,GA
795174,9,1,Justin H.,Won't be staying here again,2,2017-05-16T00:00:00.000+0000,VRBO,2017-05-21T00:00:00.000+0000,Hinesville,GA
795174,9,2,Leilani H.,Not the best,2,2017-05-16T00:00:00.000+0000,VRBO,2017-05-19T14:13:00.000+0000,Hinesville,GA
