listing_id,total_number_reviews,n_review,reviewer_name,title,stars,stayed,source,submitted,city,state
4148424ha,9,1,Anonymous,Great place with large rooms.,5,2017-02-09T00:00:00.000+0000,VRBO,2017-02-13T22:58:00.000+0000,Houston,TX
4148424ha,9,2,Sugartown,Loaded with character and charm,4,2016-11-23T00:00:00.000+0000,VRBO,2016-11-30T22:50:00.000+0000,Houston,TX
4148424ha,9,3,Diane H.,"Lovely Home, Great Stay",5,2016-10-01T00:00:00.000+0000,VRBO,2016-10-06T15:27:00.000+0000,Houston,TX
4148424ha,9,4,Brett W.,Wonderful place to stay.,5,2016-09-23T00:00:00.000+0000,VRBO,2016-09-26T16:52:00.000+0000,Houston,TX
4148424ha,9,5,Mary G.,Great Property,5,2016-09-16T00:00:00.000+0000,VRBO,2016-09-26T13:52:00.000+0000,Houston,TX
4148424ha,9,6,Aaron B.,"Great experience, will stay here again",5,2016-09-09T00:00:00.000+0000,VRBO,2016-09-12T19:07:00.000+0000,Houston,TX
4148424ha,9,7,Jeanmarie H.,Wonderful home in the Heigts and outstanding hospitality by the owner.,5,2016-08-31T00:00:00.000+0000,VRBO,2016-09-06T02:56:00.000+0000,Houston,TX
4148424ha,9,8,Cynthia L.,"Clean, cute with excellent amenities",5,2016-06-24T00:00:00.000+0000,VRBO,2016-08-04T15:25:00.000+0000,Houston,TX
4148424ha,9,9,Bonnie K.,"Lovely, Lovely",5,2016-06-21T00:00:00.000+0000,VRBO,2016-07-06T15:47:00.000+0000,Houston,TX
4023698ha,4,1,Diane B.,Lovely condo but not everything worked and there was construction across the street.,2,2017-02-05T00:00:00.000+0000,VRBO,2017-03-08T01:03:00.000+0000,Houston,TX
4023698ha,4,2,Erik v.,"NIce and clean, in a quiet neighbourhood",4,2016-08-05T00:00:00.000+0000,VRBO,2016-08-17T10:16:00.000+0000,Houston,TX
4023698ha,4,3,Luciano g.,Great Apartment,5,2015-11-26T00:00:00.000+0000,VRBO,2016-07-20T18:58:24.913+0000,Houston,TX
4023698ha,4,4,Tom F.,Liked it a lot,4,2016-06-08T00:00:00.000+0000,VRBO,2016-07-19T18:47:00.000+0000,Houston,TX
610515,7,1,William m.,Everything you'd want!,5,2016-03-22T00:00:00.000+0000,VRBO,2016-04-26T18:25:15.937+0000,Houston,TX
610515,7,2,Anne Wolfe,Worth It!,5,2016-02-13T00:00:00.000+0000,VRBO,2016-02-24T18:42:00.000+0000,Houston,TX
610515,7,3,Julia M.,Australian on holiday. ,5,2015-10-22T00:00:00.000+0000,VRBO,2015-11-23T20:32:00.000+0000,Houston,TX
610515,7,4,Rachel P.,"Excellent location!  Clean, Comfortable Condo!",5,2015-04-16T00:00:00.000+0000,VRBO,2015-04-28T06:30:00.817+0000,Houston,TX
610515,7,5,Steve R.,"Great place, you won't want to leave!",5,2015-03-01T00:00:00.000+0000,VRBO,2015-03-25T00:10:22.943+0000,Houston,TX
610515,7,6,Deb,Registered Nurse,5,2014-10-12T00:00:00.000+0000,VRBO,2014-11-10T13:40:49.037+0000,Houston,TX
610515,7,7,Mustafa M.,Mustafa from UAE,5,2014-09-27T00:00:00.000+0000,VRBO,2014-10-14T18:03:04.047+0000,Houston,TX
585760,3,1,Ashli  A.,Stay and play in the charm of the Heights:best-kept secret for INNER LOOP LIVING on VRBO in Downtown,5,2014-08-23T00:00:00.000+0000,VRBO,2015-06-16T03:49:00.400+0000,Houston,TX
585760,3,2,Jeff Z.,Super Happy,5,2014-08-06T00:00:00.000+0000,VRBO,2014-08-26T17:26:23.887+0000,Houston,TX
585760,3,3,Celine B.,Wonderful location,5,2014-07-16T00:00:00.000+0000,VRBO,2014-07-21T09:38:20.453+0000,Houston,TX
3947317ha,11,1,Mary K.,Very nice property. It was very quiet and welcoming.,4,2016-12-23T00:00:00.000+0000,VRBO,2017-01-04T17:56:00.000+0000,Houston,TX
3947317ha,11,2,Vanessa G.,Charming property!,5,2016-10-09T00:00:00.000+0000,VRBO,2016-11-04T13:02:00.000+0000,Houston,TX
3947317ha,11,3,Chandy A.,Excellent property,5,2016-09-05T00:00:00.000+0000,VRBO,2016-09-11T10:43:00.000+0000,Houston,TX
3947317ha,11,4,Catherine W.,Simply perfect! Country Charm!,5,2016-07-27T00:00:00.000+0000,VRBO,2016-09-07T11:51:00.000+0000,Houston,TX
3947317ha,11,5,louis s.,As advertised and reviewed,5,2016-07-09T00:00:00.000+0000,VRBO,2016-07-24T23:44:00.000+0000,Houston,TX
3947317ha,11,6,kathy b.,Perfect,5,2016-06-21T00:00:00.000+0000,VRBO,2016-07-01T14:06:00.000+0000,Houston,TX
3947317ha,11,7,Mary Kate R.,Perfect temporary home for our family,5,2016-05-08T00:00:00.000+0000,VRBO,2016-05-20T15:57:00.000+0000,Houston,TX
3947317ha,11,8,PAMELA W.,COMFY AND COZY,5,2015-11-13T00:00:00.000+0000,VRBO,2015-12-08T03:19:00.000+0000,Houston,TX
3947317ha,11,9,Mona C.,Awesome!!,5,2015-09-08T00:00:00.000+0000,VRBO,2015-10-01T22:41:12.000+0000,Houston,TX
3947317ha,11,10,MNtoPR,Excellent Rental in a Country-Like Setting,5,2015-08-03T00:00:00.000+0000,VRBO,2015-08-14T05:33:50.940+0000,Houston,TX
3947317ha,11,11,Gerardo,"Cozy, clean and very central!",5,2015-07-07T00:00:00.000+0000,VRBO,2015-08-12T21:13:53.563+0000,Houston,TX
791450,6,1,ALLEN L.,Very nice!,5,2017-04-14T00:00:00.000+0000,VRBO,2017-05-05T01:48:00.000+0000,Houston,TX
791450,6,2,Anonymous,Very nice area,4,2017-03-26T00:00:00.000+0000,VRBO,2017-04-29T04:34:00.000+0000,Houston,TX
791450,6,3,Aftab K.,"Peaceful neighborhood, close to shopping centers",4,2017-01-02T00:00:00.000+0000,VRBO,2017-01-30T07:59:54.523+0000,Houston,TX
791450,6,4,Pete F.,Great visit to Houston!,4,2016-11-13T00:00:00.000+0000,VRBO,2016-11-30T12:54:00.000+0000,Houston,TX
791450,6,5,Andrew R.,"Convenient Location, Roomy",4,2016-06-05T00:00:00.000+0000,VRBO,2016-07-18T13:25:00.000+0000,Houston,TX
791450,6,6,Joe S.,Great find!,4,2016-06-17T00:00:00.000+0000,VRBO,2016-07-06T19:23:00.000+0000,Houston,TX
909405,4,1,Clare S.,Perfect little apartment for a few months stay.,4,2017-03-20T00:00:00.000+0000,VRBO,2017-05-11T22:09:00.000+0000,Houston,TX
909405,4,2,Andrea D.,Hopkins Apt,5,2016-10-30T00:00:00.000+0000,VRBO,2016-12-22T17:34:47.940+0000,Houston,TX
909405,4,3,Michael H.,'BEAUTIFUL APARTMENT',5,2016-10-25T00:00:00.000+0000,VRBO,2016-11-04T17:11:00.000+0000,Houston,TX
909405,4,4,Marion L.,Very comfortable apt. in a great location,5,2016-09-30T00:00:00.000+0000,VRBO,2016-10-05T02:19:00.000+0000,Houston,TX
705661,11,1,Ursula M.,Wonderful townhouse in a perfect location,5,2017-02-01T00:00:00.000+0000,VRBO,2017-02-08T17:59:00.000+0000,Houston,TX
705661,11,2,Kimberly G.,Nicely remodeled property. Convenient location.,5,2016-10-18T00:00:00.000+0000,VRBO,2016-10-24T19:36:00.000+0000,Houston,TX
705661,11,3,Courtney S.,A Great Place to Stay,5,2016-07-12T00:00:00.000+0000,VRBO,2016-08-23T15:19:00.000+0000,Houston,TX
705661,11,4,Heidi D.,Great Location,5,2016-06-03T00:00:00.000+0000,VRBO,2016-06-20T14:17:00.000+0000,Houston,TX
