listing_id,total_number_reviews,n_review,reviewer_name,title,stars,stayed,source,submitted,city,state
4233491ha,7,1,Cathy E.,Lovely place,4,2017-05-27T00:00:00.000+0000,VRBO,2017-06-01T13:51:00.000+0000,Kingston,NY
4233491ha,7,2,Jane A.,We came back,5,2017-05-19T00:00:00.000+0000,VRBO,2017-05-30T20:52:00.000+0000,Kingston,NY
4233491ha,7,3,Robert A.,Stay in Kingston,5,2017-02-04T00:00:00.000+0000,VRBO,2017-02-06T15:41:00.000+0000,Kingston,NY
4233491ha,7,4,Becky  G.,"really cute place, and fantastic hospitality!",5,2017-01-14T00:00:00.000+0000,VRBO,2017-01-15T19:09:00.000+0000,Kingston,NY
4233491ha,7,5,Elizabeth b.,Excellent Stay!,5,2016-10-18T00:00:00.000+0000,VRBO,2016-10-27T20:18:00.000+0000,Kingston,NY
4233491ha,7,6,Krystyna B.,Weekend Get-A-Way,5,2016-10-07T00:00:00.000+0000,VRBO,2016-10-10T18:42:00.000+0000,Kingston,NY
4233491ha,7,7,Anonymous,Beautiful Kingston house in Rondout,5,2016-07-22T00:00:00.000+0000,VRBO,2016-07-31T09:13:00.000+0000,Kingston,NY
855036,11,1,Linda L.,"Pretty, Peaceful Lakehouse",5,2017-05-26T00:00:00.000+0000,VRBO,2017-06-01T13:02:00.000+0000,Kingston,NY
855036,11,2,DENNIS C.,"Quiet, Peaceful Setting",4,2017-05-09T00:00:00.000+0000,VRBO,2017-05-25T22:29:00.000+0000,Kingston,NY
855036,11,3,Marty and Shirley A.,Great Lakehouse,5,2017-05-01T00:00:00.000+0000,VRBO,2017-05-06T22:00:00.000+0000,Kingston,NY
855036,11,4,Linda T.,This house is a wonderful retreat!,5,2017-03-31T00:00:00.000+0000,VRBO,2017-04-02T12:50:00.000+0000,Kingston,NY
855036,11,5,Oliver S.,Beautiful and tranquil.,5,2016-12-30T00:00:00.000+0000,VRBO,2017-01-09T00:31:00.000+0000,Kingston,NY
855036,11,6,Paula G.,"Cozy, Quiet with Beautiful Views and Amenities",4,2016-10-29T00:00:00.000+0000,VRBO,2016-11-07T13:47:00.000+0000,Kingston,NY
