469937,Wrap Around Patio With City Lights & Mountain View,33.791858,-118.161654,"Signal Hill, CA, USA",15,4.9,96,,,,195,,30,3,1,1,condo,Yes,2013,Within 12 hours,100%,"June 7, 2017",condo,2,750,state,building,Long Beach
728056,Lovely Apartment  Steps From The Beach.,33.756291,-118.137174,"Belmont Shore, Long Beach, CA, USA",51,4.9,325,325,,,200,,3,6,3,2,apartment,Yes,2015,Within 12 hours,100%,"June 7, 2017",apartment,,1500,6,,Long Beach,CA
891015,Beautifully Remodeled Unit Right In The Heart Of Belmont Shore!!!,33.7613405,-118.1386904,"Belmont Shore, Long Beach, CA, USA",23,4.9,140,135,,,,12.0%,3,4,1,1,apartment,Yes,2014,Within 12 hours,100%,"June 8, 2017",apartment,2,650,4,house,Long Beach,CA
693632,SPECTACULAR OCEAN VIEW LIVING,33.76712028,-118.18700917,"East Village, Long Beach, CA, USA",4,,100,,,,195,,30,4,1,1,condo,Yes,2015,Within a day,90%,"May 18, 2017",condo,6,600,4,building,Long Beach,CA
3621803ha,"Modern Apt, Ocean Views, No Shared Walls, Steps to Beach, Bay and Shops",33.754487,-118.1336101,"Belmont Shore, Long Beach, CA, USA",45,4.6,130,125,150,,100,,3,4,1,1,apartment,Yes,2013,Within an hour,100%,"June 7, 2017",apartment,2,500,4,,Long Beach,CA
4315556ha,Contemporary Condo Steps to the Sand and Ocean,33.759339,-118.147489,"Belmont Shore, Long Beach, CA, USA",0,,98,,,,200,,90,4,2,1,condo,No,2013,Within a day,100%,"June 7, 2017",condo,2,,4,building,Long Beach,CA
695761,"Completely private 1 bedroom apartment, steps from the beach",33.76069564,-118.14651866,"Belmont Heights, Long Beach, CA, USA",14,4.3,125,125,150,,,,3,4,1,1,apartment,Yes,2015,Within a day,100%,"June 8, 2017",apartment,1,625,4,building,Long Beach,CA
809570,Relaxing Waterfront Condo Overlooking Marina and Southren California Mountains,33.7601654,-118.1177406,"Marina Pacifica, Long Beach, CA, USA",3,,104,99,,,200,,3,4,1,1,condo,Yes,2016,Within an hour,90%,"May 25, 2017",condo,2,1171,4,building,Long Beach,CA
843093,"Home w/hot tub on the Alamitos bay! Bay views, near local beaches.",33.761828,-118.124381,"Belmont Park, Long Beach, CA, USA",2,,,,,,,,4,8,3,2,house,Yes,2008,Within an hour,,"June 9, 2017",house,,,8,,Long Beach,CA
974596,"Completely private 1 bedroom apartment, steps from the beach",,,"Belmont Heights, Long Beach, CA, USA",0,,119,125,,,50,,3,4,1,1,apartment,No,2015,Within a day,100%,"June 8, 2017",apartment,,,,,Long Beach,CA
161891ha,Fabulous Beachfront Vacation--On the Sand!,33.76505017,-118.1760157,"Alamitos Beach, Long Beach, CA, USA",45,4.8,253,295,,,150,,3,5,2,2,condo,Yes,2006,Within 12 hours,90%,"June 8, 2017",condo,,950,5,,Long Beach,CA
