listing_id,listing_title,latitude,longitude,location_name,number_reviews,average_rating,average_nightly_price,nightly,weekend_night,property_protection_fee,cleaning_fee,tax_rate,min_stay,sleeps,bedrooms,bathrooms,property_type,internet,member_since,response_time,response_rate,calendar_last_updated,type,floor,sq_footage,max_occupancy,building_type,city
341265ha,The Garden Hide-Away | 5 Star Santa Monica Vacation Rental,34.033259,-118.491427,"Wilshire Montana, Santa Monica, CA, USA",32,4.7,130,100,,,65,,7,2,Studio,1,studio,Yes,2010,Within a few hours,100%,"May 25, 2017",studio,2,400,,building,Los Angeles
823897,High end and spacious townhome w/ high ceilings and unique furnishings,,,"Venice, Los Angeles, CA, USA",6,3.8,,,,,,,3,4,2,2,apartment,Yes,2005,Within an hour,,"June 8, 2017",apartment,,,4,,Los Angeles
719631,Luxury Venice Beach Escape Steps From The Sand with Stunning Ocean Views,33.97806489,-118.46548917,"Venice, Los Angeles, CA, USA",19,4.6,303,399,25,,175,,7,6,2,2,condo,Yes,2015,Within a few days,80%,"June 8, 2017",condo,,1400,6,building,Los Angeles
503436,VINTAGE HOME IN URBAN SILVERLAKE ( WALK EVERYWHERE),,,"Silver Lake, Los Angeles, CA, USA",22,4.9,266,265,270,,,12.0%,3,5,2,,house,Yes,2013,Within a few days,80%,"June 2, 2017",house,,1400,5,,Los Angeles
634124,5 Blocks To Beach Classic California Bungalow,34.0074202,-118.48391,"Ocean Park, Santa Monica, CA, USA",13,4.7,130,,,,100,,30,4,2,2,bungalow,Yes,2014,Within a few hours,100%,"May 26, 2017",bungalow,,800,4,,Los Angeles
842522,A Quiet Getaway Near All the Action - Close to Universal City and Hollywood,34.1559347,-118.3451321,"Burbank, CA, USA",7,4.4,125,,,,95,,7,4,1,1,condo,Yes,2016,Within a few hours,90%,"May 19, 2017",condo,1,970,4,building,Los Angeles
281153ha,Quiet country chic cottage 2 br Great Neighborhood,34.046615,-118.47592,"Sawtelle, Los Angeles, CA, USA",63,4.9,185,185,,,,,,4,2,1,cottage,Yes,2008,Within a day,100%,"June 8, 2017",cottage,,1000,4,,Los Angeles
456163,The Garden Suite | 5 Star Santa Monica Vacation Rental,34.033259,-118.491427,"Wilshire Montana, Santa Monica, CA, USA",22,,103,,,,,,31,2,Studio,1,studio,Yes,2010,Within 12 hours,90%,"May 27, 2017",studio,1,400,,building,Los Angeles
454554,Stunning Designer Done Loft (30 Day Minimum),34.04492,-118.252419,"Historic Core, Los Angeles, CA, USA",13,4.9,115,,,,,,30,4,1,1,condo,Yes,2013,Within an hour,100%,"May 15, 2017",condo,11,800,4,,Los Angeles
4144434ha,"Ocean View, Free Parking, And Steps To The Beach",33.9933426,-118.4784545,"Venice, Los Angeles, CA, USA",56,4.8,275,275,,,,14.0%,3,10,3,3,townhome,Yes,2016,Within a day,100%,"June 8, 2017",townhome,,1600,,building,Los Angeles
491211,Venice Beachwood - Spacious midcentury-design furnished city suites with 2 bedrooms and full kitchen,33.9878236,-118.4701172,"Venice, Los Angeles, CA, USA",36,4.3,310,,,,,,3,4,2,1,condo,Yes,2005,Within 2 days,,"June 8, 2017",condo,1,0,4,,Los Angeles
4130227ha,"Ocean View, Steps to Venice Beach/Adjacent to Santa Monica",33.9933426,-118.4784545,"Venice, Los Angeles, CA, USA",37,4.9,180,180,,,75,14.0%,3,5,2,1,condo,Yes,2016,Within a few days,80%,"June 8, 2017",condo,,800,5,,Los Angeles
329721ha,Most charming cottage in Santa Monica,34.0316479,-118.49507,"Wilshire Montana, Santa Monica, CA, USA",58,,175,175,,,,,5,2,1,1,cottage,Yes,2008,Within 12 hours,100%,"June 8, 2017",cottage,,600,2,,Los Angeles
906544ha,"Secluded, charming Craftsman Cottage 7 blocks to beach",34.004084,-118.47373,"Ocean Park, Santa Monica, CA, USA",68,4.6,277,265,,,100,14.0%,2,6,2,1,cottage,Yes,2011,Within an hour,100%,"June 7, 2017",cottage,,900,6,,Los Angeles
783498,Near Beaches.LAX.Bike-Path.Private-entrance.Quiet-Street.Non-Smoker.Own-Bathroom,33.992014,-118.418413,"Del Rey, Los Angeles, CA, USA",31,4.8,75,75,,,,14.0%,2,2,1,1,house,Yes,2015,Within a few hours,100%,"June 7, 2017",house,,,2,,Los Angeles
4209883ha,Elegant Townhouse In Prime Location,,,"Wilshire Montana, Santa Monica, CA, USA",14,4.9,525,525,,,,14.0%,2,6,3,3,condo,Yes,2016,Within an hour,100%,"June 8, 2017",condo,1,1993,6,house,Los Angeles
3935737ha,"Remodeled Main House  - Close to Universal Studios, Warner Brothers, Hollywood",34.145275,-118.3635,"Studio City, Los Angeles, CA, USA",38,4.9,185,,,,125,14.0%,7,5,2,1,house,Yes,2012,Within 12 hours,90%,"May 30, 2017",house,,,5,,Los Angeles
336162ha,Universal Studios Close-Up,34.142046,-118.39144,"Studio City, Los Angeles, CA, USA",118,4.7,190,190,,,,14.0%,,10,2,2,townhome,Yes,2010,Within a few hours,100%,"June 8, 2017",townhome,,1600,,building,Los Angeles
4097311ha,Hidden Oasis -an Unforgettable Experience In Hollywood Hills,34.124426,-118.322221,"Hollywoodland, Los Angeles, CA, USA",1,,268,268,,,,,10,7,3,3,estate,Yes,2010,Within 12 hours,90%,"June 3, 2017",estate,,2100,7,,Los Angeles
356051,Location Location Location!Steps from Paramount and More!,34.08251953,-118.32169342,"Larchmont, Los Angeles, CA, USA",103,,385,385,,,150,14.0%,3,6,3,2,townhome,Yes,2011,Within 2 days,90%,"June 8, 2017",townhome,,1800,6,,Los Angeles
828001,NEWLY RENOVATED LUXURY 2+2 CONDO: ALL BRAND NEW+FREE PKGS+GREAT LOCATIO,,,"Hollywood Hills, Los Angeles, CA, USA",30,4.7,173,159,169,,100,14.0%,,6,2,2,condo,Yes,2014,Within an hour,100%,"June 8, 2017",condo,2,1000,6,building,Los Angeles
860212,"Beautiful Larchmont Village Spanish home, 2 bedrooms+2 bathrooms, private yard.",34.0769504,-118.31953305,"Larchmont, Los Angeles, CA, USA",7,4.9,343,350,,,250,,3,4,2,1,house,Yes,2016,Within an hour,100%,"June 8, 2017",house,,1400,4,,Los Angeles
3926473ha,"Spa Like Serene, Hillside Retreat With Beautiful, Terraced Private Pool",34.129787,-118.227679,"Eagle Rock, Los Angeles, CA, USA",43,4.9,86,79,,,50,14.0%,2,2,1,1,house,Yes,2015,Within an hour,90%,"June 8, 2017",house,,400,2,,Los Angeles
3935413ha,Beautifully Furnished Upper Unit In Quiet Triplex. View Of The Hollywood Hills,34.0796588,-118.3524189,"Fairfax, Los Angeles, CA, USA",31,,129,125,,,,,3,4,1,1,apartment,Yes,2015,,,"May 30, 2017",apartment,2,750,4,building,Los Angeles
3782664ha,"Remodeled Upper Guest Hs. w/View - Close to Universal Studios, Warner Brothers!",34.145275,-118.3635,"Studio City, Los Angeles, CA, USA",30,4.9,128,,,,,14.0%,7,4,Studio,,studio,Yes,2012,Within a few hours,100%,"June 6, 2017",studio,2,,4,,Los Angeles
3473293ha,"Cozy Spanish Guest House - Close to Universal Studios, Disney, Warner Brothers!",34.145275,-118.3635,"Studio City, Los Angeles, CA, USA",42,4.9,128,,,,85,14.0%,7,4,Studio,1,studio,Yes,2012,Within a few hours,100%,"May 30, 2017",studio,1,,4,,Los Angeles
4014410ha,Bungalow is Few Minutes From Marina Del Rey. Very Close To All La May Offer!,33.99719364,-118.41753235,"Del Rey, Los Angeles, CA, USA",23,4.5,114,99,,,,14.0%,3,4,1,1,apartment,Yes,2013,Within an hour,100%,"June 8, 2017",apartment,2,750,4,building,Los Angeles
626962,2Bed 2bath Quiet Comfortable Westwood Westside Condo,34.056724,-118.433955,"Westwood, Los Angeles, CA, USA",6,4.5,154,,,,150,14.0%,6,5,2,,condo,Yes,2014,Within a day,90%,"June 3, 2017",condo,2,900,5,building,Los Angeles
324784ha,The Garden Casita | 5 Star Santa Monica Vacation Rental,34.033259,-118.491427,"Wilshire Montana, Santa Monica, CA, USA",34,4.9,100,100,,,65,,31,2,Studio,1,studio,Yes,2010,Within an hour,100%,"May 14, 2017",studio,2,400,,building,Los Angeles
3698654ha,34.5 ^ Modern L.A. Living Guest House,34.030543,-118.355758,"South Los Angeles, Los Angeles, CA, USA",71,4.7,92,89,99,,99,14.0%,2,4,1,1,cottage,Yes,2011,Within an hour,100%,"June 8, 2017",cottage,,,4,,Los Angeles
380826ha,Beautiful Beach Bungalow-4 Blocks to Beach and Promenade,,,"Ocean Park, Santa Monica, CA, USA",72,4.7,299,285,,,,,3,5,3,2,house,Yes,2008,Within a few hours,100%,"June 8, 2017",house,,900,5,,Los Angeles
221862ha,Charming Cottage Guest House,34.046615,-118.47592,"Sawtelle, Los Angeles, CA, USA",62,4.8,95,95,,,60,,,2,Studio,1,cottage,Yes,2008,Within 12 hours,100%,"June 8, 2017",cottage,,300,2,,Los Angeles
281094ha,Charming cottage off Montana Best location,34.0316479,-118.49507,"Wilshire Montana, Santa Monica, CA, USA",40,,175,175,,,,,5,2,1,1,cottage,Yes,2008,Within a few hours,100%,"June 8, 2017",cottage,,500,2,,Los Angeles
4146834ha,"Sunny Casita, 1 block to Montana Ave",34.03089322,-118.49229998,"Wilshire Montana, Santa Monica, CA, USA",20,4.4,132,135,145,,,14.0%,3,2,1,1,apartment,Yes,2016,Within 12 hours,100%,"June 2, 2017",apartment,1,900,2,building,Los Angeles
882574,4 Bedroom Family Ranch Style Home Pool + Pets Universal Studios,34.234203,-118.511593,"Northridge, Los Angeles, CA, USA",22,,261,225,,,180,14.5%,3,10,4,3,house,Yes,2016,Within 12 hours,100%,"June 6, 2017",house,,2500,,,Los Angeles
428126,1 BR Pet Friendly Modern Luxury Apt just blocks from Melrose Place !!,34.081659,-118.370084,"Melrose, Los Angeles, CA, USA",23,4.5,128,149,,,89,,3,2,1,1,apartment,Yes,2006,Within a few days,70%,"May 27, 2017",apartment,1,650,,building,Los Angeles
3761252ha,"Casa Del Mar is Minutes To The Beach, King Size Bed, Sleeps 4. Close to LAX,LMU.",33.996909,-118.418219,"Del Rey, Los Angeles, CA, USA",41,4.4,99,99,,,,14.0%,3,4,1,1,apartment,Yes,2013,Within an hour,100%,"June 8, 2017",apartment,2,750,4,,Los Angeles
