listing_id,listing_title,latitude,longitude,location_name,number_reviews,average_rating,average_nightly_price,nightly,weekend_night,property_protection_fee,cleaning_fee,tax_rate,min_stay,sleeps,bedrooms,bathrooms,property_type,internet,member_since,response_time,response_rate,calendar_last_updated,type,floor,sq_footage,max_occupancy,building_type,city
151803,Casa Alta with Hot Tub ~ OPEN 1 NIGHT SATURDAY 6/3 NO CLEANING FEE!!!!!,38.3032341,-122.27362061,"Alta Heights, Napa, CA, USA",80,4.8,295,,,,125,12.0%,2,6,3,2,house,Yes,2006,Within a day,100%,"June 6, 2017",house,,1260,6,,Napa
4146987ha,"Silverado Trail Vacation House: Stroll To Dining, Nightlife, Wine Tasting & more",,,"Alta Heights, Napa, CA, USA",25,4.9,295,295,,,150,12.0%,2,4,2,1,house,Yes,2007,Within a few hours,100%,"June 5, 2017",house,,1000,,,Napa
108750,Spanish Bungalow with Hot Tub ~ Close to downtown!,38.30225754,-122.29486084,"Napa, CA, USA",56,4.8,225,,,,125,12.0%,2,6,2,1,house,Yes,2006,Within a day,100%,"June 7, 2017",house,,800,6,,Napa
149091,"Napa Vacation Bungalow Stroll to Dining, Nightlife, Wine Tasting, theater & more",,,"Napa, CA, USA",50,,495,495,,,200,12.0%,2,8,3,2,bungalow,Yes,2007,Within a few hours,100%,"May 31, 2017",bungalow,,,8,,Napa
133751ha,3 Bedroom /3 Bath w/ Pool  on 2 Acres. Midway between Napa and Yountville.,38.316589,-122.332414,"Browns Valley, Napa, CA, USA",73,4.8,695,695,695,,250,12.0%,2,8,3,3,house,Yes,2006,Within 12 hours,100%,"June 2, 2017",house,,2400,8,,Napa
4284136ha,Unwind at RiverPointe Napa Valley,38.3109557,-122.2787835,"Napa, CA, USA",6,4.8,125,125,195,,,,3,4,1,1,cottage,Yes,2016,Within a day,90%,"June 7, 2017",cottage,,400,4,,Napa
4211095ha,"Mi Casa Su Casa, Napa Valley Vacation Rental",38.332125,-122.313908,"Napa, CA, USA",32,4.9,320,320,,,40,20.0%,2,4,2,2,house,Yes,2016,Within a few hours,90%,"June 5, 2017",house,,,4,,Napa
157437ha,Finest Victorian Retreat In the Heart of Downtown Napa - License #VR09-0045,38.297605,-122.296261,"Napa, CA, USA",59,4.5,310,300,350,,,12.0%,2,4,2,1,house,Yes,2005,Within an hour,100%,"June 7, 2017",house,,1400,4,,Napa
113823,The Napa Art House - Old Town Napa,38.29314804,-122.29782867,"Napa, CA, USA",62,4.8,550,550,,,120,12.0%,3,8,3,2,house,Yes,2007,Within an hour,100%,"June 8, 2017",house,,2000,,,Napa
4210985ha,Paradise Resort on Paradise Drive,38.3376386,-122.3126328,"Napa, CA, USA",30,,420,380,,,45,20.0%,2,4,2,2,house,Yes,2016,Within 12 hours,100%,"June 7, 2017",house,,1900,4,,Napa
928839,Just Listed! Napa furnished vacation rental house,,,"Napa, CA, USA",0,,150,150,,,150,,30,6,3,2,house,Yes,2016,Within a few days,50%,"June 1, 2017",house,,2106,6,,Napa
