listing_id,total_number_reviews,n_review,reviewer_name,title,stars,stayed,source,submitted
151803,80,1,Fran B.,Casa Alta .... A Lovely Little Cottage,4,2017-05-03T00:00:00.000+0000,VRBO,2017-05-17T02:11:00.000+0000
151803,80,2,megan k.,Perfect getaway,5,2017-04-27T00:00:00.000+0000,VRBO,2017-05-11T14:37:00.000+0000
151803,80,3,john a.,Just a perfect setting to enjoy family and relax.,5,2017-05-06T00:00:00.000+0000,VRBO,2017-05-08T14:22:00.000+0000
151803,80,4,Anonymous,Perfect Casita in the perfect location!,5,2017-04-13T00:00:00.000+0000,VRBO,2017-05-05T20:49:00.000+0000
151803,80,5,Jacque W.,"Charming and private, great patio!",5,2017-04-23T00:00:00.000+0000,VRBO,2017-05-01T21:20:00.000+0000
151803,80,6,Jeanne K.,Great house!,5,2017-04-19T00:00:00.000+0000,VRBO,2017-04-23T13:02:00.000+0000
151803,80,7,Nicola M.,"Perfect location, stunning outside area, quaint chalm",5,2017-04-17T00:00:00.000+0000,VRBO,2017-04-19T22:14:00.000+0000
151803,80,8,Cheryl C.,Great place for a girls weekend,5,2017-03-27T00:00:00.000+0000,VRBO,2017-04-10T11:12:00.000+0000
151803,80,9,Johanna G.,Great Accommodations and Great Location,5,2017-03-17T00:00:00.000+0000,VRBO,2017-03-30T13:59:00.000+0000
151803,80,10,Anonymous,Great location! Adorable neighborhood.,5,2017-03-25T00:00:00.000+0000,VRBO,2017-03-28T00:05:00.000+0000
151803,80,11,Melanie E.,Perfect place to stay!,5,2017-03-15T00:00:00.000+0000,VRBO,2017-03-18T17:27:00.000+0000
151803,80,12,Judy Tabuena,Great location to Downtown Napa,5,2017-03-12T00:00:00.000+0000,VRBO,2017-03-15T23:28:00.000+0000
151803,80,13,Jennifer S.,Spacious,4,2017-02-23T00:00:00.000+0000,VRBO,2017-03-09T05:46:00.000+0000
151803,80,14,Dawn M.,Perfect little bungalow for our girls long weekend getaway!,5,2017-03-02T00:00:00.000+0000,VRBO,2017-03-07T15:07:00.000+0000
151803,80,15,julie k.,Girls trip at Napa,5,2017-01-20T00:00:00.000+0000,VRBO,2017-02-05T12:44:00.000+0000
151803,80,16,Linda W.,Perfect house for our family and perfect location!,5,2017-01-30T00:00:00.000+0000,VRBO,2017-02-02T05:38:00.000+0000
151803,80,17,Heather,Holidays in Napa,5,2016-12-21T00:00:00.000+0000,VRBO,2017-01-16T19:13:00.000+0000
151803,80,18,heather G.,Lovely!,5,2016-12-08T00:00:00.000+0000,VRBO,2016-12-24T20:11:00.000+0000
151803,80,19,Clarinda B.,Awesome home !,5,2016-12-01T00:00:00.000+0000,VRBO,2016-12-05T00:10:00.000+0000
151803,80,20,Rick,Very happy with our choice to stay at Casa Alta,4,2016-11-16T00:00:00.000+0000,VRBO,2016-12-02T17:15:00.000+0000
151803,80,21,Erika,Wonderful Stay and Great Location,5,2016-11-11T00:00:00.000+0000,VRBO,2016-12-01T18:17:00.000+0000
151803,80,22,Dawn M.,Charming stay in Napa Valley,5,2016-10-20T00:00:00.000+0000,VRBO,2016-10-30T21:12:00.000+0000
151803,80,23,Colleen H.,Wonderful stay!!,5,2016-09-23T00:00:00.000+0000,VRBO,2016-09-30T02:51:00.000+0000
151803,80,24,Sarah P.,"Charming, amazing back yard, perfect location",5,2016-09-08T00:00:00.000+0000,VRBO,2016-09-22T13:36:00.000+0000
151803,80,25,Bill S.,"Location, location, location!!!",5,2016-09-12T00:00:00.000+0000,VRBO,2016-09-16T15:11:00.000+0000
151803,80,26,Gina S.,Great Location and Outdoor space,5,2016-08-29T00:00:00.000+0000,VRBO,2016-09-13T14:29:00.000+0000
151803,80,27,Joe and Judith D.,Fantastic in the Napa Valley!,5,2016-09-06T00:00:00.000+0000,VRBO,2016-09-09T23:10:00.000+0000
151803,80,28,Melissa G.,Delightful!,5,2016-08-14T00:00:00.000+0000,VRBO,2016-08-22T13:49:00.000+0000
151803,80,29,Bran P.,Great house and location,4,2016-08-04T00:00:00.000+0000,VRBO,2016-08-18T15:08:00.000+0000
151803,80,30,Michelle M.,Home Away From Home,5,2016-07-15T00:00:00.000+0000,VRBO,2016-07-19T17:11:00.000+0000
151803,80,31,Eric W.,"Tired, but cozy",3,2016-07-04T00:00:00.000+0000,VRBO,2016-07-09T12:44:00.000+0000
151803,80,32,Kristen B.,Nice location and we'll suited for our family,4,2016-06-26T00:00:00.000+0000,VRBO,2016-07-07T21:51:00.000+0000
151803,80,33,bob i.,Second time rental,3,2016-06-09T00:00:00.000+0000,VRBO,2016-06-17T18:15:00.000+0000
151803,80,34,Clayton B.,Neat little house in a quite neighborhood,5,2016-05-30T00:00:00.000+0000,VRBO,2016-06-04T13:10:00.000+0000
151803,80,35,Cathy S.,Cute Cottage in Napa,4,2016-05-08T00:00:00.000+0000,VRBO,2016-05-18T17:36:00.000+0000
151803,80,36,Jennifer K.,WONDERFUL!,5,2016-04-26T00:00:00.000+0000,VRBO,2016-05-09T13:44:00.000+0000
151803,80,37,Ann A.,Perfect,5,2016-03-31T00:00:00.000+0000,VRBO,2016-04-10T15:25:00.000+0000
151803,80,38,Leslie M.,Napa house,5,2016-03-17T00:00:00.000+0000,VRBO,2016-03-21T22:40:06.410+0000
151803,80,39,Maureen D.,Beautiful place at a convenient location,5,2016-03-09T00:00:00.000+0000,VRBO,2016-03-15T16:09:00.000+0000
151803,80,40,alan e.,Great place and great to work with.,5,2016-02-28T00:00:00.000+0000,VRBO,2016-03-13T21:04:00.000+0000
151803,80,41,mary s.,"Attractive, clean, good location, ample parking and adequately supplied",5,2016-03-03T00:00:00.000+0000,VRBO,2016-03-12T20:34:00.000+0000
151803,80,42,Laura P.,Great place!,5,2016-03-05T00:00:00.000+0000,VRBO,2016-03-10T13:15:00.000+0000
151803,80,43,Jeff K.,Fabulous,5,2016-02-21T00:00:00.000+0000,VRBO,2016-03-04T12:52:00.000+0000
151803,80,44,Randy F.,Great accommodations!,5,2016-01-07T00:00:00.000+0000,VRBO,2016-01-14T12:21:00.000+0000
151803,80,45,Stephanie K.,loved the house!!!,5,2015-12-20T00:00:00.000+0000,VRBO,2015-12-27T13:02:00.000+0000
151803,80,46,Danielle H.,Great place,5,2015-07-18T00:00:00.000+0000,VRBO,2015-12-17T21:34:07.857+0000
151803,80,47,Lucy E.,Loved the Bungalow Feel!!,5,2015-11-03T00:00:00.000+0000,VRBO,2015-11-10T02:11:17.713+0000
151803,80,48,Laine S.,Great vacation home,5,2015-10-15T00:00:00.000+0000,VRBO,2015-11-03T22:46:00.603+0000
151803,80,49,Ethan P.,Fantasic,5,2015-09-04T00:00:00.000+0000,VRBO,2015-09-17T15:14:08.270+0000
151803,80,50,Jason W.,Good for a group,4,2015-06-28T00:00:00.000+0000,VRBO,2015-08-20T20:52:38.803+0000
151803,80,51,Joel T.,The Perfect House,5,2015-08-15T00:00:00.000+0000,VRBO,2015-08-19T20:08:27.727+0000
151803,80,52,Patty K.,Great place for a girls trip!,4,2015-07-02T00:00:00.000+0000,VRBO,2015-07-15T14:03:28.087+0000
151803,80,53,Wine taster,"Overall great house, few downsides",4,2015-03-29T00:00:00.000+0000,VRBO,2015-04-07T20:23:13.510+0000
151803,80,54,Rocio P.,Highly Recommended,5,2015-03-17T00:00:00.000+0000,VRBO,2015-04-06T03:05:42.920+0000
151803,80,55,Andrea S.,Little slice of Napa,5,2015-01-23T00:00:00.000+0000,VRBO,2015-01-25T17:59:00.000+0000
151803,80,56,Denise & Bob,"Nice, but...",4,2014-12-21T00:00:00.000+0000,VRBO,2015-01-05T02:22:30.243+0000
151803,80,57,Sheri A.,Excellent Rental in Napa!!!,5,2014-10-02T00:00:00.000+0000,VRBO,2014-10-08T23:32:10.160+0000
151803,80,58,Conor U.,"Quaint, Convenient, Charming!",5,2014-04-25T00:00:00.000+0000,VRBO,2014-06-02T16:49:36.013+0000
151803,80,59,Lora A.,Charming little house!,5,2013-07-12T00:00:00.000+0000,VRBO,2013-09-20T16:19:18.407+0000
151803,80,60,Napa Happy,Great location,5,2013-08-29T00:00:00.000+0000,VRBO,2013-09-06T23:46:06.880+0000
151803,80,61,MG,A little taste of Europe in Napa!!,5,2012-12-27T00:00:00.000+0000,VRBO,2013-01-03T02:02:46.613+0000
151803,80,62,gina,Lovely & charming home that met all of our expectations! ,5,2012-12-27T00:00:00.000+0000,VRBO,2013-01-02T22:26:48.593+0000
151803,80,63,Anonymous,Fabulous alternative to a hotel,5,2011-11-27T00:00:00.000+0000,VRBO,2011-12-05T00:20:33.123+0000
151803,80,64,Cody ,Beautiful Home with an Excellent Location,5,2011-06-30T00:00:00.000+0000,VRBO,2011-07-09T19:55:55.547+0000
151803,80,65,wowitsmike,Great place!!,5,2011-03-12T00:00:00.000+0000,VRBO,2011-03-22T18:50:41.827+0000
151803,80,66,wowitsmike,Great place!!,5,2011-03-12T00:00:00.000+0000,VRBO,2011-03-22T18:49:28.110+0000
151803,80,67,Kerry,Stay Here-Don't Bother With a Hotel!,5,2010-09-13T00:00:00.000+0000,VRBO,2010-09-23T21:08:53.587+0000
151803,80,68,LoveNapa,Great house for families on vacation!,5,2010-08-07T00:00:00.000+0000,VRBO,2010-08-19T03:08:23.287+0000
151803,80,69,Dog mom,Best Napa house!!,5,2010-07-16T00:00:00.000+0000,VRBO,2010-08-07T22:56:13.580+0000
151803,80,70,Anonymous,Our Stay,4,2010-07-26T00:00:00.000+0000,VRBO,2010-08-05T14:27:41.707+0000
151803,80,71,Anonymous,I reserved this house for...,5,2009-11-17T00:00:00.000+0000,VRBO,2009-11-17T06:45:47.000+0000
151803,80,72,Kelly 7,We stayed at Casa Alta in...,5,2009-09-08T00:00:00.000+0000,VRBO,2009-09-09T02:12:23.000+0000
151803,80,73,Margie14,We enjoyed our stay at Ca...,5,2009-09-01T00:00:00.000+0000,VRBO,2009-09-01T14:57:22.000+0000
151803,80,74,Kyle C.,The place was great.  Bac...,5,2009-08-22T00:00:00.000+0000,VRBO,2009-08-22T18:44:32.000+0000
