listing_id,total_number_reviews,n_review,reviewer_name,title,stars,stayed,source,submitted,city,state
3878881ha,3,1,Kristina H.,Quiet and spacious,5,2017-03-27T00:00:00.000+0000,VRBO,2017-04-10T00:41:00.000+0000,Newark,NJ
3878881ha,3,2,Bettina S.,Great stay at a great property.,4,2016-07-18T00:00:00.000+0000,VRBO,2016-08-06T17:55:32.427+0000,Newark,NJ
3878881ha,3,3,Marie B.,Great Accomodation,5,2015-07-24T00:00:00.000+0000,VRBO,2015-08-17T10:28:50.483+0000,Newark,NJ
4360486ha,2,1,LUCY Z.,Spacious and Comfortable,5,2017-04-07T00:00:00.000+0000,VRBO,2017-04-19T16:33:00.000+0000,Newark,NJ
4360486ha,2,2,Daniel G.,"Very close to NYC , The neighborhood is great, great outlet mall, All and all a 5 star stay",5,2017-02-22T00:00:00.000+0000,VRBO,2017-02-23T20:52:00.000+0000,Newark,NJ
103858,17,1,Nelson Treehouse a.,Good location and great management,5,2016-09-08T00:00:00.000+0000,VRBO,2016-12-02T00:36:37.600+0000,Newark,NJ
103858,17,2,Gerry K.,"Conveniently located, clean, comfortable house. We enjoyed our stay while attending the PGA.",4,2016-07-28T00:00:00.000+0000,VRBO,2016-08-15T21:06:00.000+0000,Newark,NJ
103858,17,3,Robert B.,Horrible. Completely misrepresented.,1,2016-07-22T00:00:00.000+0000,VRBO,2016-07-30T20:36:00.000+0000,Newark,NJ
103858,17,4,Kijana J.,So Vintage,5,2016-05-27T00:00:00.000+0000,VRBO,2016-06-03T22:49:00.000+0000,Newark,NJ
103858,17,5,Kijana J.,Vintage,4,2016-05-27T00:00:00.000+0000,VRBO,2016-05-31T15:01:11.967+0000,Newark,NJ
103858,17,6,John W.,Beautiful fulls sized home in upscale quiet neighborhood.,4,2015-09-19T00:00:00.000+0000,VRBO,2015-09-29T17:39:00.000+0000,Newark,NJ
103858,17,7,Aude,Great Place for an affordable price,4,2014-10-30T00:00:00.000+0000,VRBO,2015-01-17T18:26:22.300+0000,Newark,NJ
103858,17,8,Jacqueline D.,A home away from home,5,2014-11-25T00:00:00.000+0000,VRBO,2015-01-15T18:25:06.910+0000,Newark,NJ
103858,17,9,Karen E.,Affordable and quiet,4,2013-10-31T00:00:00.000+0000,VRBO,2014-06-03T16:18:54.293+0000,Newark,NJ
103858,17,10,Dwight  B.,Plenty of space and comfortable!!,4,2012-11-10T00:00:00.000+0000,VRBO,2013-01-15T15:38:11.720+0000,Newark,NJ
103858,17,11,Woolson,Excellent value,5,2011-12-26T00:00:00.000+0000,VRBO,2012-01-05T00:58:58.723+0000,Newark,NJ
103858,17,12,Anonymous,Plenty of room and very comfortable!,5,2011-12-17T00:00:00.000+0000,VRBO,2011-12-25T03:28:12.203+0000,Newark,NJ
103858,17,13,Chris,Perfect for a budget!,5,2011-12-03T00:00:00.000+0000,VRBO,2011-12-13T16:02:04.183+0000,Newark,NJ
103858,17,14,ItsAGoodDay!,Great Place to Stay...,5,2011-11-23T00:00:00.000+0000,VRBO,2011-11-29T22:16:05.810+0000,Newark,NJ
103858,17,15,Simon,Unbeatable ,5,2010-11-02T00:00:00.000+0000,VRBO,2010-11-09T15:51:28.893+0000,Newark,NJ
103858,17,16,Anonymous,Lovely house at an affordable price,4,2010-07-02T00:00:00.000+0000,VRBO,2010-07-09T01:36:15.723+0000,Newark,NJ
