listing_id,listing_title,latitude,longitude,location_name,number_reviews,average_rating,average_nightly_price,nightly,weekend_night,property_protection_fee,cleaning_fee,tax_rate,min_stay,sleeps,bedrooms,bathrooms,property_type,internet,member_since,response_time,response_rate,calendar_last_updated,type,floor,sq_footage,max_occupancy,building_type,city,state
4119148ha,"Quiet, comfortable home-beautiful decor. Easy access to everything! Pets welcome",37.174815,-76.542443,"North Newport News, Newport News, VA, USA",34,4.8,103,99,119,,,14.0%,3,6,2,1,house,Yes,2016,Within a few hours,100%,"June 9, 2017",house,,1250,6,,Newport News,VA
794233,"Newly Remodeled, Hardwood Floors, Fenced Yard, Pick Your Price",36.992042,-76.394664,"Newport News, VA, USA",0,,50,,,,,,60,6,2,1,house,Yes,2015,Within 12 hours,100%,"June 1, 2017",house,,,,,Newport News,VA
759411,"Pick Your Price, Fully Furnished, Internet, Cable TV & Utilities Included",37.1466179,-76.511362,"Central Newport News, Newport News, VA, USA",0,,114,125,,,,,4,6,2,2,condo,Yes,2015,Within a few hours,100%,"May 30, 2017",condo,1,1010,,,Newport News,VA
761805,"York Co. 2 Master Bedrooms, Pool, Cable, Internet, All Utilities Included",37.11671912,-76.44409751,"Newport News, VA, USA",1,,114,120,,,,,4,6,2,2,townhome,Yes,2015,Within 12 hours,90%,"June 2, 2017",townhome,,,,,Newport News,VA
761811,"Fully Furnished, Internet, & Cable, Outfitted. Just Bring Your Suit Case",37.146757,-76.511872,"Central Newport News, Newport News, VA, USA",10,4.8,107,120,,,,,4,6,2,2,townhome,Yes,2015,Within 12 hours,80%,"June 6, 2017",townhome,,,,,Newport News,VA
3960584ha,Vacation Rental Apartment,36.9657011,-76.5963557,"Newport News, VA, USA",10,4.7,99,99,,,,,5,6,1,1,apartment,Yes,2015,Within an hour,100%,"May 24, 2017",apartment,1,800,6,house,Newport News,VA
4275580ha,"Comfortable & Affordable House Less Than 10 Min To Coliseum, Shopping, & Beaches",37.0034294,-76.38937,"Hampton, VA, USA",0,,67,65,,,,,1,4,2,1,house,Yes,2016,Within 12 hours,80%,"June 9, 2017",house,,720,,,Newport News,VA
4548130ha,Happy Kids Makes a happy Journey,37.170255,-76.545863,"North Newport News, Newport News, VA, USA",0,,118,118,148,,50,8.0%,3,10,3,2,condo,Yes,2017,,,"June 6, 2017",condo,,1710,,house,Newport News,VA
3922775ha,Perfectly Located In The Center Of Two Beaches: A Private Bch And Buckroe Bch,37.052659,-76.401764,"Coliseum Central, Hampton, VA, USA",0,,185,185,,,,,3,3,1,1,condo,No,2015,Within a few days,70%,"July 31, 2016",condo,,,3,,Newport News,VA
473889,Cottage on a Private Island in the York River,37.2838184,-76.5325181,"Gloucester Point, VA, USA",69,,175,175,,,,,2,8,3,2,cottage,Yes,2013,Within 12 hours,100%,"June 3, 2017",cottage,,1500,8,,Newport News,VA
654636,"BEACH THERAPY!  Stay on the Beach!  Fish, Swim, Kayak, Have fun!",,,"Willoughby Spit, Norfolk, VA, USA",31,4.5,416,375,,,,,3,10,4,2,cottage,Yes,2014,Within 12 hours,90%,"June 9, 2017",cottage,,2200,10,cottage,Newport News,VA
564139,Go COASTAL!  Front Row Ocean View! Big Beach House!,36.96805819,-76.29225902,"Willoughby Spit, Norfolk, VA, USA",24,4.9,475,395,,,,,3,12,5,4,house,Yes,2014,Within a day,100%,"June 9, 2017",house,,4500,12,,Newport News,VA
709019,Welcome to The Cottage at Jameslin,37.336576,-76.48248,"Hayes, VA, USA",23,4.9,150,150,,,,,2,8,2,1,cottage,No,2015,Within a few days,80%,"May 30, 2017",cottage,,1100,8,,Newport News,VA
3003179ha,Luxury Home.  Just Steps from the Chesapeake Bay,36.935884,-76.213502,"Ocean View, Norfolk, VA, USA",32,4.4,358,350,400,,,,3,6,2,1,house,Yes,2012,Within an hour,100%,"June 7, 2017",house,,1800,6,,Newport News,VA
3514546ha,Beachfront Cottage on the Historic James River near Jamestown & Williamsburg,37.1706517,-76.7714246,"Surry, VA, USA",51,4.9,217,200,,,,,3,5,3,1,cottage,No,2013,Within 12 hours,100%,"June 9, 2017",cottage,,1000,5,,Newport News,VA
