listing_id,listing_title,latitude,longitude,location_name,number_reviews,average_rating,average_nightly_price,nightly,weekend_night,property_protection_fee,cleaning_fee,tax_rate,min_stay,sleeps,bedrooms,bathrooms,property_type,internet,member_since,response_time,response_rate,calendar_last_updated,type,floor,sq_footage,max_occupancy,building_type,city,state
654636,"BEACH THERAPY!  Stay on the Beach!  Fish, Swim, Kayak, Have fun!",,,"Willoughby Spit, Norfolk, VA, USA",31,4.5,416,375,,,,,3,10,4,2,cottage,Yes,2014,Within 12 hours,90%,"June 9, 2017",cottage,,2200,10,cottage,Norfolk,VA
564139,Go COASTAL!  Front Row Ocean View! Big Beach House!,36.96805819,-76.29225902,"Willoughby Spit, Norfolk, VA, USA",24,4.9,475,395,,,,,3,12,5,4,house,Yes,2014,Within a day,100%,"June 9, 2017",house,,4500,12,,Norfolk,VA
3003179ha,Luxury Home.  Just Steps from the Chesapeake Bay,36.935884,-76.213502,"Ocean View, Norfolk, VA, USA",32,4.4,358,350,400,,,,3,6,2,1,house,Yes,2012,Within an hour,100%,"June 7, 2017",house,,1800,6,,Norfolk,VA
3837956ha,**WATERFRONT**25 STEPS TO BEACH**VACANCY 6/17 TO 6/24**25 MIN TO BUSCH GARDENS**,36.96425909,-76.29092827,"Willoughby Spit, Norfolk, VA, USA",31,4.5,269,,,,,11.0%,3,16,4,3,house,Yes,2009,Within a day,100%,"June 9, 2017",house,,3400,,,Norfolk,VA
717981,"RESERVE NOW, Only two weeks available in August.  Hurry won't last!!",36.930816,-76.193151,"Ocean View, Norfolk, VA, USA",27,4.5,452,450,,,250,10.0%,3,12,5,4,house,Yes,2015,Within an hour,100%,"June 9, 2017",house,,3800,12,,Norfolk,VA
351701ha,*WATERFRONT** 2 BEACHES**10 MILE VIEW***HOT TUB** PETS****KAYAKS,36.964933,-76.291453,"Willoughby Spit, Norfolk, VA, USA",21,4.8,219,,,,,13.5%,2,11,3,2,house,Yes,2009,Within 12 hours,100%,"June 9, 2017",house,,1700,,,Norfolk,VA
556906,"The PINK HOUSE! Beachfront! Kayaks, Dolphin, Sea Glass, Swim Close To Everything",36.9646339,-76.269071,"Willoughby Spit, Norfolk, VA, USA",31,4.5,525,425,,,,,3,10,4,2,house,Yes,2014,Within a day,90%,"June 9, 2017",house,,1900,10,,Norfolk,VA
680927,Life on a Sandbar! * Direct Waterfront! * Smoke-Free Property! * Two Kayaks!,36.964534,-76.289969,"Willoughby Spit, Norfolk, VA, USA",23,4.8,338,,,,,,3,8,3,2,house,Yes,2015,Within an hour,100%,"June 8, 2017",house,,1900,8,,Norfolk,VA
864766,3 BEDROOM 2 BATH ON THE WATER,,,"Willoughby Spit, Norfolk, VA, USA",6,4.5,270,175,,,100,,3,10,3,2,house,Yes,2014,Within a few hours,100%,"June 9, 2017",house,,2000,10,,Norfolk,VA
826917,Happy Helen's Beach Heaven,36.968047,-76.296537,"Willoughby Spit, Norfolk, VA, USA",3,4.7,171,200,,,,,3,4,2,1,condo,Yes,2016,Within a few days,80%,"June 8, 2017",condo,2,1000,4,,Norfolk,VA
