listing_id,listing_title,latitude,longitude,location_name,number_reviews,average_rating,average_nightly_price,nightly,weekend_night,property_protection_fee,cleaning_fee,tax_rate,min_stay,sleeps,bedrooms,bathrooms,property_type,internet,member_since,response_time,response_rate,calendar_last_updated,type,floor,sq_footage,max_occupancy,building_type,city,state
1023477,Room With Private Bath,,,"Ontario, CA, USA",0,,65,65,,,50,,,1,1,1,condo,No,2017,Within a few days,10%,"May 30, 2017",condo,,,,,Ontario,CA
873961,Cozy  5B Family House,,,"Rancho Cucamonga, CA, USA",0,,286,,,,,,2,10,5,4,house,Yes,2016,Within an hour,,"June 5, 2017",house,,,10,,Ontario,CA
3708353ha,"Claremont Cottage Style Comfort Near Colleges, Metro, And Downtown Village",34.09199,-117.71427234,"Claremont, CA, USA",26,,215,215,,,125,,2,6,3,2,house,Yes,2014,Within a few hours,100%,"June 8, 2017",house,,1150,6,,Ontario,CA
4021803ha,Bright & Spacious 3 BR OC Retreat,33.88394187,-117.72636432,"Yorba Linda, CA, USA",5,,286,325,,,125,,2,7,3,2,house,Yes,2016,Within a few days,90%,"May 12, 2017",house,,2400,7,,Ontario,CA
4197292ha,"Family-friendly 4 bedrooms, mountain view townhouse located in Hacienda Heights",33.9815029,-117.961015,"Hacienda Heights, CA, USA",7,4.7,165,137,192,,,9.0%,2,10,4,3,townhome,Yes,2016,Within a few hours,100%,"June 8, 2017",townhome,,,10,,Ontario,CA
717410,"Up On The Hill, Mountain View, Hiking Trails, Free Summer Concerts,",33.98320363,-117.93664468,"Hacienda Heights, CA, USA",10,4.2,339,299,,,169,,3,8,4,2,house,Yes,2004,Within a few hours,100%,"May 16, 2017",house,,2200,8,,Ontario,CA
4098048ha,4 Br/3 Bath Disneyland Family Getaway,33.902728,-117.832621,"Yorba Linda, CA, USA",4,4.8,268,299,,,350,10.0%,7,8,4,3,house,Yes,2015,Within an hour,100%,"June 5, 2017",house,,2400,8,,Ontario,CA
677560,Luxurious Mansion - Convenient Location,34.148964,-117.580402,"Rancho Cucamonga, CA, USA",13,4.9,250,,,,250,,7,8,4,4,house,Yes,2014,Within an hour,100%,"June 6, 2017",house,,4300,8,,Ontario,CA
684507,GOLF COURSE VIEW 4BD - 1700 Sq. Ft.,33.869577,-117.846189,"Placentia, CA, USA",17,4.9,253,220,250,,200,,2,8,4,2,house,Yes,2015,Within an hour,100%,"June 9, 2017",house,,1700,8,,Ontario,CA
916934,Old world Charm Modern Amenities close to UCR RCC 怀旧风情,33.984734,-117.379654,"Riverside, CA, USA",1,,270,300,320,,180,8.0%,5,8,4,3,house,Yes,2016,Within a few hours,100%,"June 9, 2017",house,,2589,8,,Ontario,CA
843285,"Charming, Comfortable, Relaxing, and Close To Everything.",33.893173,-117.872649,"Placentia, CA, USA",13,,382,399,,,300,15.0%,3,13,5,2,house,Yes,2016,Within an hour,100%,"June 8, 2017",house,,2300,13,,Ontario,CA
3872298ha,"Beautiful, Furnished Home With Golf Course View!",34.082907,-117.836181,"Bonita, San Dimas, CA, USA",7,4.1,328,365,395,,150,,3,14,5,3,house,Yes,2015,Within a few hours,100%,"June 8, 2017",house,,3640,14,,Ontario,CA
4291737ha,"Outdoor Oasis w/ Pool, Sauna, Jacuzzi, Sport Court",,,"Bonita, San Dimas, CA, USA",4,,395,395,,,250,,2,10,3,2,house,Yes,2016,Within a few hours,100%,"June 9, 2017",house,,,10,,Ontario,CA
423184,Tommy Bahama style!  Fun!  Comfortable!   Retreat!,33.946998,-117.508426,"La Sierra Hills, Riverside, CA, USA",33,,298,250,300,,,10.0%,2,10,3,2,house,Yes,2012,Within an hour,100%,"June 4, 2017",house,,2200,,,Ontario,CA
4153421ha,Large Beautiful Home Near all Orange County/San Diego,33.816653,-117.529921,"Corona, CA, USA",7,,225,225,,,200,10.0%,4,12,4,3,house,Yes,2016,Within 12 hours,100%,"May 25, 2017",house,,2750,12,,Ontario,CA
1003743,AMAZING 3BD/3BA HOUSE With POOL,,,"Claremont, CA, USA",4,,265,245,295,,250,9.0%,2,6,3,3,house,Yes,2016,Within a few days,80%,"June 8, 2017",house,,,6,,Ontario,CA
303086,"Beautiful Anaheim Hills Hideaway Near Disneyland ~ Pool, Spa, 5 Stars, WiFi",,,"Anaheim Hills, Anaheim, CA, USA",40,4.9,349,355,385,,,15.0%,3,10,4,2,house,Yes,2010,Within a few hours,100%,"June 9, 2017",house,,2600,,,Ontario,CA
333620ha,"Beautiful Anaheim Hills Hideaway Near Disneyland w/ Pool/Spa, Wi-Fi, 5 Stars!",,,"Anaheim Hills, Anaheim, CA, USA",40,4.9,352,355,385,,,15.0%,3,10,4,2,house,Yes,2010,Within a few hours,100%,"June 9, 2017",house,,2600,10,,Ontario,CA
4295359ha,Spacious 5 Bedroom 4 Bathroom with Sauna & Jacuzzi,,,"Valle Lindo, Diamond Bar, CA, USA",1,,395,395,,,250,,2,14,5,4,house,Yes,2016,Within a few hours,100%,"June 9, 2017",house,,2400,14,,Ontario,CA
668710,"Multi-Million Dollar Dream House, minutes from Disneyland. Spectacular view.",33.883764,-117.710484,"Yorba Linda, CA, USA",23,4.9,697,620,670,,300,10.0%,3,16,5,4,house,Yes,2015,Within a few hours,100%,"June 3, 2017",house,,4500,,,Ontario,CA
691368,"Multi-Million Dollar Dream Villa, Infinity Pool, Spectacular view.",33.870546,-117.789572,"Yorba Linda, CA, USA",9,4.8,861,,,,350,15.0%,5,12,5,5,house,Yes,2015,Within a few hours,100%,"June 8, 2017",house,,4300,12,,Ontario,CA
960862,"🎉DISNEYLAND, KNOTTS, BEACH, PARKS, MALL, HOLLYWOOD ~ 30 MINUTES AWAY",,,"Brea, CA, USA",3,4.7,150,150,,,,7.75%,2,8,3,2,house,No,2016,Within an hour,100%,"June 1, 2017",house,,,,,Ontario,CA
816038,"Gated Estate With Pool And Spa On One Acre Lot, Fifteen Minutes From Disneyland",33.84504018,-117.82025317,"Anaheim Hills, Anaheim, CA, USA",0,,499,499,,,395,15.0%,3,12,4,3,house,Yes,2016,Within an hour,100%,"May 29, 2017",house,,2990,12,,Ontario,CA
912282,"Cozy apartment located walking distance from beautiful downtown Glendora, CA.",34.132635,-117.864513,"Glendora, CA, USA",1,,65,65,,,50,9.0%,7,2,1,1,apartment,Yes,2016,Within 12 hours,100%,"May 28, 2017",apartment,,,2,,Ontario,CA
1022524,"Spacious Nice House 3 Beds, 3 Baths, Sleep 10, Near Disneyland, Great Location",34.0202454,-117.884385,"Walnut, CA, USA",0,,230,220,250,,185,11.0%,,10,3,3,house,Yes,2016,Within an hour,90%,"June 8, 2017",house,,1700,,,Ontario,CA
4337774ha,"Beautiful House with 4 BR, 30 mins to Disneyland or Downtown LA",,,"Walnut Valley, West Covina, CA, USA",1,,191,158,210,,150,9.0%,2,12,4,2,house,Yes,2016,Within a few hours,100%,"June 8, 2017",house,,,,,Ontario,CA
4475034ha,LARGE COMFORTABLE 4 BED ROOM HOME,,,"Rialto, CA, USA",1,,143,140,,,75,,2,12,4,2,house,Yes,2017,Within 12 hours,100%,"June 9, 2017",house,,,,,Ontario,CA
4257254ha,"6 Bedroom/3.5 Bath With 4,000 sq. ft. Huge & Comfortable House In Safe Area!",,,"Rancho Cucamonga, CA, USA",4,3.5,208,190,245,,135,,3,14,5,3,house,Yes,2016,Within an hour,100%,"June 9, 2017",house,,3980,14,,Ontario,CA
4021715ha,Majestic Celebrity Mansion In LA Area,33.81725903,-117.55949507,"Corona, CA, USA",8,4.4,,1,1,,495,10.0%,,24,6,6,estate,Yes,2015,Within a few hours,100%,"June 6, 2017",estate,,8000,24,,Ontario,CA
495341,"Nice House With 4 Bed Rm And Private Pool, 15.7 Miles To Disneyland",,,"Valle Lindo, Diamond Bar, CA, USA",8,4.8,444,390,430,,,9.0%,30,8,4,3,house,Yes,2013,Within a few hours,100%,"June 6, 2017",house,,2970,8,,Ontario,CA
4559272ha,New! Clean and Private getaway!!,,,"West Covina, CA, USA",0,,80,80,,,5,,,4,1,1,house,No,2017,,,"June 7, 2017",house,,,,,Ontario,CA
4525389ha,canyon view cabin close to Disneyland up the hill,,,"Anaheim Hills, Anaheim, CA, USA",0,,299,299,,,1,,7,5,5,3,house,No,2016,,,"June 7, 2017",house,,,,,Ontario,CA
589611,"Centrally located in So Cal, Close to attractions, beaches, and our own pool",33.899818,-117.865779,"Placentia, CA, USA",4,4.8,286,300,,,150,,5,8,4,3,house,Yes,2014,Within a day,90%,"April 25, 2017",house,,2400,8,,Ontario,CA
4445937ha,Upstairs Apartment All To Yourself,34.152381,-117.674648,"Upland, CA, USA",2,,85,85,,,55,,2,4,1,1,cottage,Yes,2017,Within a few hours,90%,"June 5, 2017",cottage,,800,,,Ontario,CA
1004099,Brand New - Smart Home 1 hour from Disneyland!!!,,,"Rancho Cucamonga, CA, USA",3,,302,299,315,,200,,,15,3,2,house,Yes,2017,Within a day,100%,"June 5, 2017",house,,2600,,,Ontario,CA
253014,"Your Home Away from Home - Spacious Relaxation, Fun and Privacy!",33.90617371,-117.85887146,"Placentia, CA, USA",26,,357,360,,,,,4,8,4,2,house,Yes,2009,Within a day,90%,"June 9, 2017",house,,,8,,Ontario,CA
