listing_id,listing_title,latitude,longitude,location_name,number_reviews,average_rating,average_nightly_price,nightly,weekend_night,property_protection_fee,cleaning_fee,tax_rate,min_stay,sleeps,bedrooms,bathrooms,property_type,internet,member_since,response_time,response_rate,calendar_last_updated,type,floor,sq_footage,max_occupancy,building_type,city,state
106406,Great New Rates!!   Book Your Stay Today!,34.17177963,-119.22563171,"Hollywood Beach (Oxnard, CA, USA)",25,4.8,86,,,,95,10.0%,7,2,1,1,condo,Yes,2006,Within a few hours,100%,"June 7, 2017",condo,3,,2,building,Oxnard,CA
737844,See and hear the ocean from this beautiful beach house,34.1546512,-119.2195292,"Silver Strand Beach, Oxnard, CA, USA",41,4.7,217,200,250,,150,,2,8,3,2,house,Yes,2015,Within an hour,100%,"June 6, 2017",house,,2178,8,,Oxnard,CA
109522,Fabulous 'Hacienda Del Sol' at the Beach,,,"Silver Strand Beach, Oxnard, CA, USA",47,4.8,134,,,,,,7,5,2,,house,Yes,2006,Within a few days,90%,"June 6, 2017",house,,700,5,,Oxnard,CA
621557,Oxnard Shores beach house,34.192222,-119.241449,"Oxnard Shores, Oxnard, CA, USA",16,,309,,,,125,10.0%,5,8,3,2,house,Yes,2014,Within 12 hours,100%,"June 6, 2017",house,,2000,8,,Oxnard,CA
910354,"VERY CLEAN, WELL APPOINTED WITH CRISP WHITE LINENS, GUEST QUARTERS INCLUDED!",34.14932685,-119.21390708,"Silver Strand Beach, Oxnard, CA, USA",9,4.7,304,350,,,350,10.0%,3,15,4,3,house,Yes,2016,Within a few hours,100%,"June 9, 2017",house,,2600,15,,Oxnard,CA
828865,"Sunny and Bright, Large Family spaces, Senior, Child & Pet friendly, large yard",34.1555168,-119.2197152,"Silver Strand Beach, Oxnard, CA, USA",12,,198,220,,,150,8.0%,3,6,3,2,house,Yes,2016,Within an hour,100%,"June 1, 2017",house,,1350,6,,Oxnard,CA
207162ha,"Silver Strand Beach great surf, cool beach house",34.154379,-119.21897,"Silver Strand Beach, Oxnard, CA, USA",131,4.9,250,195,,,,,2,5,2,1,house,Yes,2008,Within 12 hours,90%,"June 8, 2017",house,,1100,,,Oxnard,CA
925119,"The Cottage @ Hollywood Beach, Steps from the Sand",34.170257,-119.234088,"Hollywood Beach (Oxnard, CA, USA)",2,4.5,266,,,,,,3,6,3,2,house,Yes,2006,Within an hour,,"June 9, 2017",house,,,6,,Oxnard,CA
4167629ha,"Elegant beachfront condo with views of ocean, pier",34.14415539,-119.19684528,"Port Hueneme, CA, USA",15,4.9,145,135,,,,,30,6,3,2,condo,Yes,2016,Within an hour,100%,"June 5, 2017",condo,1,968,,building,Oxnard,CA
745072,Beach Front Modern Bungalow!,34.191047,-119.244577,"Oxnard Shores, Oxnard, CA, USA",17,4.8,643,700,,,,10.0%,3,10,4,3,house,Yes,2011,Within a day,100%,"June 8, 2017",house,,2359,10,,Oxnard,CA
