listing_id,listing_title,latitude,longitude,location_name,number_reviews,average_rating,average_nightly_price,nightly,weekend_night,property_protection_fee,cleaning_fee,tax_rate,min_stay,sleeps,bedrooms,bathrooms,property_type,internet,member_since,response_time,response_rate,calendar_last_updated,type,floor,sq_footage,max_occupancy,building_type,city,state
821859,The Oaks in Cherry Valley,38.240288,-122.65022,"Petaluma, CA, USA",13,4.8,155,155,185,,,10.0%,4,3,1,1,cottage,Yes,2016,Within a few hours,100%,"June 7, 2017",cottage,,700,3,,Petaluma,CA
922011,"Downtown Petaluma home, convenient to wine country, coast, San Francisco",38.231551,-122.648955,"Petaluma, CA, USA",6,,150,150,,,100,10.0%,2,4,2,1,house,Yes,2017,Within 12 hours,90%,"June 6, 2017",house,,1200,4,,Petaluma,CA
591874,"Open floor plan, updated kitchen, bathroom, outside deck and garden - sleeps 9",38.2209519,-122.623539,"Petaluma, CA, USA",11,4.9,375,350,,,125,,3,10,4,2,house,Yes,2014,Within a day,100%,"June 8, 2017",house,,1650,10,,Petaluma,CA
574792,Wine Country Executive Retreat,,,"Petaluma, CA, USA",3,,,2,,,500,15.0%,3,12,5,4,estate,Yes,2015,Within an hour,100%,"June 7, 2017",estate,,,12,,Petaluma,CA
370130,The Old Country - Vintage Home with Small Town Charm.,,,"Petaluma, CA, USA",42,,163,159,199,,,10.0%,2,4,2,1,house,Yes,2011,Within 12 hours,100%,"June 5, 2017",house,,1180,4,,Petaluma,CA
3678848ha,Charming 1BR Cottage in West Petaluma - Walk to Historic Downtown!,38.231942,-122.649703,"Petaluma, CA, USA",30,4.8,150,,,,,,2,2,1,1,cottage,Yes,1999,Within an hour,,"June 8, 2017",cottage,,,2,,Petaluma,CA
430042,******* Wine Country Wonders ******,38.237809,-122.594982,"Petaluma, CA, USA",32,4.7,549,549,,,200,10.0%,2,12,4,3,house,Yes,2012,Within 2 days,90%,"June 4, 2017",house,,2300,12,,Petaluma,CA
3768791ha,"Petaluma Home With All The Upgrades, Yard, Deck & Views",38.222588,-122.625239,"Petaluma, CA, USA",20,4.4,350,350,,,125,,3,12,3,4,house,Yes,2014,Within a day,100%,"June 8, 2017",house,,2400,12,,Petaluma,CA
619432,...'all the extras make this a must' H.C. 'Suiteoaks' Wine country cottage .,38.224572,-122.635196,"Petaluma, CA, USA",27,4.8,,145,165,,50,10.0%,2,2,1,1,cottage,Yes,2014,Within an hour,90%,"May 27, 2017",cottage,,400,2,,Petaluma,CA
973562,Private Studio with Modern Kitchenette,,,"Petaluma, CA, USA",0,,125,125,,,50,10.0%,2,2,1,1,apartment,Yes,2016,Within a few hours,100%,"May 31, 2017",apartment,1,450,2,house,Petaluma,CA
718720,Gossage Garden Cottage,38.25427,-122.658584,"Petaluma, CA, USA",11,4.9,200,200,210,,60,,2,4,1,1,house,Yes,2015,Within 12 hours,100%,"June 8, 2017",house,,805,4,,Petaluma,CA
1056577,Mid-century bungalow in wine country,,,"Petaluma, CA, USA",0,,199,199,,,50,11.0%,1,4,2,,house,Yes,2017,Within an hour,90%,"June 8, 2017",house,,1300,,,Petaluma,CA
662558,4-Bedroom / 2-Bath House With Pool on Working Winery,38.216879,-122.684123,"Petaluma, CA, USA",5,,583,600,,,120,,2,8,4,2,villa,Yes,2014,Within a few days,90%,"May 23, 2017",villa,,,8,,Petaluma,CA
3673507ha,Historic 2BR Petaluma House - Close Proximity to Wineries & Many Other Attractions!,38.2160911,-122.6037035,"Petaluma, CA, USA",12,4.8,282,,,,,,2,6,2,1,house,Yes,1999,Within an hour,,"June 8, 2017",house,,2200,6,,Petaluma,CA
