listing_id,listing_title,latitude,longitude,location_name,number_reviews,average_rating,average_nightly_price,nightly,weekend_night,property_protection_fee,cleaning_fee,tax_rate,min_stay,sleeps,bedrooms,bathrooms,property_type,internet,member_since,response_time,response_rate,calendar_last_updated,type,floor,sq_footage,max_occupancy,building_type,city
3937530ha,Amazing East Chestnut Street Apartment,39.9506755,-75.1601985,"Midtown Village, Philadelphia, PA, USA",66,4.7,244,,,,,,1,5,2,2,apartment,Yes,2011,Within an hour,,"June 8, 2017",apartment,,1005,5,,Philidelphia
668432,"Friendly 2b2b, Near Schools, Hospitals, Rittenhouse, Schuylkill Trail, Downtown",39.941462,-75.18315,"South Philadelphia, Philadelphia, PA, USA",43,4.9,143,170,,,,8.5%,3,4,2,1,house,Yes,2015,Within an hour,100%,"June 8, 2017",house,,1200,,house,Philidelphia
477685,Luxury Condo In Historic District Close To Convention Center,39.947998,-75.143482,"Center City, Philadelphia, PA, USA",61,4.8,194,200,224,,125,8.5%,2,4,2,1,apartment,Yes,2007,Within a few hours,90%,"June 8, 2017",apartment,5,1200,4,,Philidelphia
4048437ha,Attractive East Chestnut Street Apartment,39.9506755,-75.1601985,"Midtown Village, Philadelphia, PA, USA",52,4.7,244,,,,,,1,5,2,2,apartment,Yes,2011,Within an hour,,"June 7, 2017",apartment,,1005,5,,Philidelphia
583380,"Cozy townhouse steps to Convention Center, Independence Hall & The Liberty Bell",39.945625,-75.162481,"Gayborhood, Philadelphia, PA, USA",47,4.8,193,204,227,,125,8.5%,2,4,2,1,townhome,Yes,2007,Within an hour,100%,"June 8, 2017",townhome,,,4,,Philidelphia
619713,Charming Home on Walking Street Close To Convention Center & Independence Hall,39.946663,-75.160316,"Center City, Philadelphia, PA, USA",49,4.8,194,215,241,,125,8.5%,2,4,2,1,townhome,Yes,2007,Within an hour,100%,"June 8, 2017",townhome,,800,4,,Philidelphia
179041ha,Luxury Condo in Historic District Close to Convention Center,39.947998,-75.143482,"Center City, Philadelphia, PA, USA",58,4.8,195,194,218,,125,8.5%,2,4,2,1,condo,Yes,2007,Within a few hours,100%,"June 8, 2017",condo,,1200,4,,Philidelphia
3165419ha,Cozy Home in Historic Washington Square,39.9456101,-75.1625769,"Gayborhood, Philadelphia, PA, USA",45,4.6,201,200,224,,125,8.5%,2,4,2,1,townhome,Yes,2007,Within 12 hours,100%,"June 8, 2017",townhome,,,4,,Philidelphia
3991512ha,Two Bedroom And One Bathroom Apartment Easily Accessible To Center City,39.9915019,-75.220846,"West Philadelphia, Philadelphia, PA, USA",5,,158,225,,,,,2,6,2,1,apartment,Yes,2007,Within 12 hours,100%,"June 6, 2017",apartment,3,1000,6,house,Philidelphia
4179206ha,Cozy Renovated Home in Fairmount with 3+ CAR PARKING!,39.968634,-75.170107,"North Philadelphia, Philadelphia, PA, USA",13,4.3,160,150,175,,,,2,9,3,1,house,Yes,2016,Within a few days,80%,"June 8, 2017",house,,,9,,Philidelphia
