listing_id,total_number_reviews,n_review,reviewer_name,title,stars,stayed,source,submitted,city,state
3937530ha,66,1,Jennifer W.,Good location and clean,5,2017-04-20T00:00:00.000+0000,VRBO,2017-05-05T07:32:00.000+0000,Philidelphia,PA
3937530ha,66,2,Lauren T.,So perfect!,5,2017-04-23T00:00:00.000+0000,VRBO,2017-04-27T18:17:00.000+0000,Philidelphia,PA
3937530ha,66,3,Page A.,Great location,5,2017-04-12T00:00:00.000+0000,VRBO,2017-04-18T14:32:00.000+0000,Philidelphia,PA
3937530ha,66,4,Will O.,"Nice place, centrally located",4,2017-04-04T00:00:00.000+0000,VRBO,2017-04-17T17:01:00.000+0000,Philidelphia,PA
3937530ha,66,5,Jeanette C.,THe property was beautiful although the handle on the freezer door was broken. This didn't affect us,5,2017-03-29T00:00:00.000+0000,VRBO,2017-04-01T11:40:00.000+0000,Philidelphia,PA
3937530ha,66,6,Yvonne s.,Great location; walking distance to good restaurants and stores.,4,2017-03-04T00:00:00.000+0000,VRBO,2017-03-11T12:50:00.000+0000,Philidelphia,PA
3937530ha,66,7,Rodney C.,Impressive,5,2017-02-11T00:00:00.000+0000,VRBO,2017-02-12T15:31:00.000+0000,Philidelphia,PA
3937530ha,66,8,Michelle K.,"Great time, very clean!!",4,2017-02-01T00:00:00.000+0000,VRBO,2017-02-06T13:55:00.000+0000,Philidelphia,PA
3937530ha,66,9,Amanda S.,"Great place, responsive property manager.",4,2017-01-16T00:00:00.000+0000,VRBO,2017-01-26T15:44:00.000+0000,Philidelphia,PA
3937530ha,66,10,Henry S.,Perfect,5,2017-01-05T00:00:00.000+0000,VRBO,2017-01-20T06:17:00.000+0000,Philidelphia,PA
3937530ha,66,11,Andrew D.,"Great Location, Super easy to access, exceedingly clean and modern.",5,2016-12-30T00:00:00.000+0000,VRBO,2017-01-03T13:38:00.000+0000,Philidelphia,PA
3937530ha,66,12,Grant F.,Great location and very helpful management staff,5,2016-11-26T00:00:00.000+0000,VRBO,2016-12-06T21:10:00.000+0000,Philidelphia,PA
3937530ha,66,13,Mark H.,great location,4,2016-10-16T00:00:00.000+0000,VRBO,2016-11-30T21:57:00.000+0000,Philidelphia,PA
3937530ha,66,14,Rita S.,Great stay in centrally-located Condo,5,2016-11-04T00:00:00.000+0000,VRBO,2016-11-15T18:04:00.000+0000,Philidelphia,PA
3937530ha,66,15,Patricia W.,Great rental unit,5,2016-10-28T00:00:00.000+0000,VRBO,2016-11-02T11:52:00.000+0000,Philidelphia,PA
3937530ha,66,16,Tracy S.,Great Location & Great Place,5,2016-10-28T00:00:00.000+0000,VRBO,2016-10-31T20:32:00.000+0000,Philidelphia,PA
3937530ha,66,17,Anonymous,Great location and price,5,2016-10-11T00:00:00.000+0000,VRBO,2016-10-31T19:05:13.623+0000,Philidelphia,PA
3937530ha,66,18,italia4877,Incredible base in Phila!,5,2016-10-26T00:00:00.000+0000,VRBO,2016-10-31T19:00:19.667+0000,Philidelphia,PA
3937530ha,66,19,Liz S.,It was very nice.,4,2016-10-21T00:00:00.000+0000,VRBO,2016-10-30T19:53:00.000+0000,Philidelphia,PA
3937530ha,66,20,dianekaji,The perfect location!,5,2016-10-17T00:00:00.000+0000,VRBO,2016-10-28T18:56:32.310+0000,Philidelphia,PA
3937530ha,66,21,JanetC89,fabulous,5,2016-10-13T00:00:00.000+0000,VRBO,2016-10-28T18:53:52.547+0000,Philidelphia,PA
3937530ha,66,22,p'nuts,Great,5,2016-10-18T00:00:00.000+0000,VRBO,2016-10-25T21:33:00.000+0000,Philidelphia,PA
3937530ha,66,23,Jorge  W.,"Great apartment and location. Construction noise terrible, Work and deliveries compromise sleep",4,2016-10-14T00:00:00.000+0000,VRBO,2016-10-18T23:48:00.000+0000,Philidelphia,PA
3937530ha,66,24,Megan  W.,Would not stay again,2,2016-10-11T00:00:00.000+0000,VRBO,2016-10-13T13:51:00.000+0000,Philidelphia,PA
3937530ha,66,25,Ola K.,Excellent,5,2016-09-30T00:00:00.000+0000,VRBO,2016-10-02T13:01:00.000+0000,Philidelphia,PA
3937530ha,66,26,Elizabeth O.,Centrally Located. Great alternative for a hotel.,5,2016-04-09T00:00:00.000+0000,VRBO,2016-04-16T18:20:00.000+0000,Philidelphia,PA
3937530ha,66,27,charles r.,Very impressed,5,2016-03-31T00:00:00.000+0000,VRBO,2016-04-05T21:33:02.487+0000,Philidelphia,PA
3937530ha,66,28,Elizabeth B.,"Great location, well-appointed",5,2016-03-24T00:00:00.000+0000,VRBO,2016-03-30T12:51:00.000+0000,Philidelphia,PA
3937530ha,66,29,Jennica K.,"Location, Location, Location!!",4,2016-01-29T00:00:00.000+0000,VRBO,2016-02-04T17:57:00.000+0000,Philidelphia,PA
3937530ha,66,30,Shawn S.,Thanksgiving in Philly,4,2015-11-25T00:00:00.000+0000,VRBO,2015-12-10T03:04:28.923+0000,Philidelphia,PA
3937530ha,66,31,travel girl,Home away from home in Philly,5,2015-11-23T00:00:00.000+0000,VRBO,2015-12-09T15:06:49.763+0000,Philidelphia,PA
3937530ha,66,32,Anonymous,Thanksgiving in Philly,4,2015-11-24T00:00:00.000+0000,VRBO,2015-12-02T02:23:00.000+0000,Philidelphia,PA
3937530ha,66,33,Kevin T.,"Great location, roomy and clean.",4,2015-11-12T00:00:00.000+0000,VRBO,2015-11-24T18:29:00.000+0000,Philidelphia,PA
3937530ha,66,34,Judith J.,Highly Recommend,5,2015-11-16T00:00:00.000+0000,VRBO,2015-11-23T22:25:21.137+0000,Philidelphia,PA
3937530ha,66,35,Sue  M.,"Stay Alfred, Philadelphia 12th/Chestnut ",4,2015-10-12T00:00:00.000+0000,VRBO,2015-10-17T14:05:29.170+0000,Philidelphia,PA
3937530ha,66,36,C.S. ,Great option instead of hotel,5,2015-09-26T00:00:00.000+0000,VRBO,2015-10-07T22:13:14.440+0000,Philidelphia,PA
3937530ha,66,37,Randle,A terrific value!,5,2015-09-02T00:00:00.000+0000,VRBO,2015-10-07T17:50:47.867+0000,Philidelphia,PA
3937530ha,66,38,Rhonda L,Great place in philly,5,2015-09-11T00:00:00.000+0000,VRBO,2015-10-07T17:47:53.207+0000,Philidelphia,PA
3937530ha,66,39,john F,Wonderful,5,2015-09-10T00:00:00.000+0000,VRBO,2015-09-22T19:13:27.327+0000,Philidelphia,PA
3937530ha,66,40,J,Fair,2,2015-09-11T00:00:00.000+0000,VRBO,2015-09-16T11:09:57.783+0000,Philidelphia,PA
3937530ha,66,41,Rick K.,Great,5,2015-07-30T00:00:00.000+0000,VRBO,2015-08-13T21:49:16.270+0000,Philidelphia,PA
3937530ha,66,42,Roy F,All we needed,5,2015-07-13T00:00:00.000+0000,VRBO,2015-07-28T18:27:56.520+0000,Philidelphia,PA
3937530ha,66,43,Dawn Canan,"Great apartment, great central location. ",5,2015-07-08T00:00:00.000+0000,VRBO,2015-07-23T17:05:26.480+0000,Philidelphia,PA
