listing_id,total_number_reviews,n_review,reviewer_name,title,stars,stayed,source,submitted
3864096ha,7,1,Jody B.,Spacious and Clean!,5,2017-04-15T00:00:00.000+0000,VRBO,2017-04-23T14:58:00.000+0000
3864096ha,7,2,Ross D.,Good location,5,2017-01-25T00:00:00.000+0000,VRBO,2017-03-03T16:43:00.000+0000
3864096ha,7,3,Paul E.,Really Nice Place to Stay,5,2016-12-10T00:00:00.000+0000,VRBO,2016-12-16T00:58:34.593+0000
3864096ha,7,4,Tom and Patti-Jo  H.,Great Vacation,4,2016-10-14T00:00:00.000+0000,VRBO,2016-12-03T19:07:54.380+0000
3864096ha,7,5,Colin L.,"Excellent Experience, Start to Finish",5,2016-07-13T00:00:00.000+0000,VRBO,2016-08-26T15:10:00.000+0000
3864096ha,7,6,Jack B.,My Phoenix accommodations,3,2016-02-22T00:00:00.000+0000,VRBO,2016-04-14T21:18:00.000+0000
3864096ha,7,7,Dave D.,Cachet at the Legacy Phoenix Arizona,5,2016-01-16T00:00:00.000+0000,VRBO,2016-02-18T23:43:00.000+0000
765050,5,1,Denis C.,Wonderful place to stay!,4,2017-04-01T00:00:00.000+0000,VRBO,2017-05-05T16:15:00.000+0000
765050,5,2,Allen W.,Vacation 2017,5,2017-03-10T00:00:00.000+0000,VRBO,2017-04-14T12:46:00.000+0000
765050,5,3,Al  P.,a very pleasant experience,5,2017-02-27T00:00:00.000+0000,VRBO,2017-03-09T17:54:00.000+0000
765050,5,4,Barb G.,Renter,5,2016-12-01T00:00:00.000+0000,VRBO,2017-01-16T23:42:30.017+0000
765050,5,5,Ken S.,I would Recommend Staying at this Condo,4,2016-11-01T00:00:00.000+0000,VRBO,2016-12-06T20:22:00.000+0000
3850439ha,32,1,Sheila S.,Perfect hosts and location!,5,2017-05-15T00:00:00.000+0000,VRBO,2017-06-04T12:19:00.000+0000
3850439ha,32,2,Deb,Great place to stay,5,2017-05-24T00:00:00.000+0000,VRBO,2017-05-27T19:15:00.000+0000
3850439ha,32,3,Robert K.,Excellent condo,5,2017-04-20T00:00:00.000+0000,VRBO,2017-05-01T16:49:00.000+0000
3850439ha,32,4,Anonymous,Beautiful condo in a private and quiet development!,5,2017-04-02T00:00:00.000+0000,VRBO,2017-04-18T13:14:00.000+0000
3850439ha,32,5,Wanda B.,Beautiful and Serene,5,2017-04-08T00:00:00.000+0000,VRBO,2017-04-16T11:48:00.000+0000
3850439ha,32,6,Brian B.,Very Nice Place,5,2017-01-04T00:00:00.000+0000,VRBO,2017-01-09T15:38:00.000+0000
3850439ha,32,7,Char C.,Great condo!,5,2016-12-19T00:00:00.000+0000,VRBO,2016-12-29T16:55:00.000+0000
3850439ha,32,8,Jana B.,Better than Advertised,5,2016-12-15T00:00:00.000+0000,VRBO,2016-12-22T03:34:00.000+0000
3850439ha,32,9,Richard V.,Excellent property and terrific vacation experience!,5,2016-11-05T00:00:00.000+0000,VRBO,2016-11-19T12:40:00.000+0000
3850439ha,32,10,Conley,Great Value,4,2016-10-30T00:00:00.000+0000,VRBO,2016-11-16T00:55:00.000+0000
3850439ha,32,11,Robert Z.,Everything was perfect!!!!,5,2016-06-05T00:00:00.000+0000,VRBO,2016-09-17T02:50:32.367+0000
3850439ha,32,12,Rose G.,The condo was awesome located in a beautiful area of Phoenix.,5,2016-03-29T00:00:00.000+0000,VRBO,2016-06-16T15:04:00.000+0000
3850439ha,32,13,DavidandNita,Excellent - Five Star,5,2016-05-23T00:00:00.000+0000,VRBO,2016-06-01T12:54:00.000+0000
