listing_id,listing_title,latitude,longitude,location_name,number_reviews,average_rating,average_nightly_price,nightly,weekend_night,property_protection_fee,cleaning_fee,tax_rate,min_stay,sleeps,bedrooms,bathrooms,property_type,internet,member_since,response_time,response_rate,calendar_last_updated,type,floor,sq_footage,max_occupancy,building_type,city,state
916934,Old world Charm Modern Amenities close to UCR RCC 怀旧风情,33.984734,-117.379654,"Riverside, CA, USA",1,,270,300,320,,180,8.0%,5,8,4,3,house,Yes,2016,Within a few hours,100%,"June 9, 2017",house,,2589,8,,Riverside,CA
862744,Stunning Spanish Colonial,33.921747,-117.372169,"Alessandro Heights, Riverside, CA, USA",8,4.8,421,450,,,195,,2,8,4,3,house,Yes,2016,Within 12 hours,100%,"June 2, 2017",house,,4650,,,Riverside,CA
423184,Tommy Bahama style!  Fun!  Comfortable!   Retreat!,33.946998,-117.508426,"La Sierra Hills, Riverside, CA, USA",33,,298,250,300,,,10.0%,2,10,3,2,house,Yes,2012,Within an hour,100%,"June 4, 2017",house,,2200,,,Riverside,CA
901439,Pick Fruit from your Private Citrus Grove | Pool & Hot Tub | Concierge Service,33.919502,-117.3674784,"Alessandro Heights, Riverside, CA, USA",2,,595,,,,,,3,12,5,4,house,Yes,2007,Within an hour,,"June 3, 2017",house,,5400,12,,Riverside,CA
4431065ha,Private Room Near UC Riverside and San Bernardino,,,"Moreno Valley, CA, USA",0,,49,49,,,25,8.85%,,2,1,1,house,Yes,2017,Within a day,90%,"June 8, 2017",house,,,2,,Riverside,CA
4480081ha,NEW! 3BR Corona House w/ Spacious Back Yard!,33.89811,-117.50562,"La Sierra, Riverside, CA, USA",1,,200,,,,,,3,6,3,2,house,Yes,1999,Within an hour,,"June 9, 2017",house,,1400,6,,Riverside,CA
677560,Luxurious Mansion - Convenient Location,34.148964,-117.580402,"Rancho Cucamonga, CA, USA",13,4.9,250,,,,250,,7,8,4,4,house,Yes,2014,Within an hour,100%,"June 6, 2017",house,,4300,8,,Riverside,CA
601901,Mid Century 4 Bedroom Hillside,34.041972,-117.266837,"Loma Linda, CA, USA",23,4.9,250,325,,,175,,3,8,4,3,house,Yes,2014,Within an hour,100%,"June 7, 2017",house,,2400,8,,Riverside,CA
916210,Custom Estate With Million Dollar City Light And Lake Views,33.81306277,-117.39309166,"Perris, CA, USA",12,4.9,300,300,,,100,,2,8,3,3,house,Yes,2016,Within an hour,100%,"June 8, 2017",house,,3800,8,,Riverside,CA
4153421ha,Large Beautiful Home Near all Orange County/San Diego,33.816653,-117.529921,"Corona, CA, USA",7,,225,225,,,200,10.0%,4,12,4,3,house,Yes,2016,Within 12 hours,100%,"May 25, 2017",house,,2750,12,,Riverside,CA
810285,Stunning Lake Elsinore views from a contemporary setting.,33.693841,-117.40884,"Lake Elsinore, CA, USA",32,4.6,185,,,,,,2,6,4,2,house,Yes,2001,Within an hour,,"June 9, 2017",house,,,6,,Riverside,CA
668710,"Multi-Million Dollar Dream House, minutes from Disneyland. Spectacular view.",33.883764,-117.710484,"Yorba Linda, CA, USA",23,4.9,697,620,670,,300,10.0%,3,16,5,4,house,Yes,2015,Within a few hours,100%,"June 3, 2017",house,,4500,,,Riverside,CA
4475034ha,LARGE COMFORTABLE 4 BED ROOM HOME,,,"Rialto, CA, USA",1,,143,140,,,75,,2,12,4,2,house,Yes,2017,Within 12 hours,100%,"June 9, 2017",house,,,,,Riverside,CA
4257254ha,"6 Bedroom/3.5 Bath With 4,000 sq. ft. Huge & Comfortable House In Safe Area!",,,"Rancho Cucamonga, CA, USA",4,3.5,208,190,245,,135,,3,14,5,3,house,Yes,2016,Within an hour,100%,"June 9, 2017",house,,3980,14,,Riverside,CA
4021715ha,Majestic Celebrity Mansion In LA Area,33.81725903,-117.55949507,"Corona, CA, USA",8,4.4,,1,1,,495,10.0%,,24,6,6,estate,Yes,2015,Within a few hours,100%,"June 6, 2017",estate,,8000,24,,Riverside,CA
4160074ha,"Comfy, Central 2Bd, 2Ba Artist Home Incl. Office",34.052801,-117.193628,"South Redlands, Redlands, CA, USA",0,,60,,,,,,28,3,2,2,house,Yes,2016,Within 12 hours,100%,"April 1, 2017",house,,1039,3,,Riverside,CA
1004099,Brand New - Smart Home 1 hour from Disneyland!!!,,,"Rancho Cucamonga, CA, USA",3,,302,299,315,,200,,,15,3,2,house,Yes,2017,Within a day,100%,"June 5, 2017",house,,2600,,,Riverside,CA
686929,Enjoy tranquility at its best with canyon views & dock access! Bring the dog too,33.705607,-117.320429,"Lake Elsinore, CA, USA",7,4.1,121,,,,,,2,6,3,2,house,Yes,2001,Within an hour,,"June 9, 2017",house,,,6,,Riverside,CA
855253,Experience Heaven On Earth…,34.113409,-117.156967,"Highland, CA, USA",4,,400,400,,,,,,4,3,3,house,No,2016,Within 2 days,100%,"June 2, 2017",house,,,,,Riverside,CA
839861,South Corona Single-Story house,,,"Corona, CA, USA",1,,233,,,,200,,30,8,4,2,house,No,2016,Within a few days,100%,"March 2, 2017",house,,,8,,Riverside,CA
1023477,Room With Private Bath,,,"Ontario, CA, USA",0,,65,65,,,50,,,1,1,1,condo,No,2017,Within a few days,10%,"May 30, 2017",condo,,,,,Riverside,CA
4428109ha,Share Rooms in Ranch House Community,,,"Riverside, CA, USA",0,,52,,,,10,8.0%,,2,5,4,house,No,2016,Within 12 hours,100%,"June 9, 2017",house,,,,,Riverside,CA
1009044,"DJ's Bed & Bistro - Rustic Elegance, Complementary Light Breakfast up to 4 days",,,"Fontana, CA, USA",0,,150,169,,,50,,,8,1,1,house,Yes,2017,Within a few hours,100%,"June 8, 2017",house,,,8,,Riverside,CA
814517,Beautifully Decorated 4 bedroom Home with Pool,,,"South Redlands, Redlands, CA, USA",4,,183,,,,200,10.0%,30,10,4,2,house,Yes,2016,Within a day,100%,"May 26, 2017",house,,2177,,,Riverside,CA
4151468ha,"3 Bedroom, Home in Southern California, truly Home away from Home",34.058454,-117.142077,"Redlands, CA, USA",0,,214,,,,,,6,6,3,3,house,No,2016,,0%,"April 18, 2017",house,,,6,,Riverside,CA
854147,Spectacular Paradise Getaway!! Centrally Located To All So/Cal Attractions.,,,"Yorba Linda, CA, USA",0,,,1,,,300,,7,10,4,3,house,Yes,2016,Within a day,80%,"January 2, 2017",house,,3038,10,,Riverside,CA
873953,Victoria's Gateway,,,"Rancho Cucamonga, CA, USA",0,,235,,,,,,2,8,4,3,house,Yes,2016,Within an hour,,"June 7, 2017",house,,,8,,Riverside,CA
873961,Cozy  5B Family House,,,"Rancho Cucamonga, CA, USA",0,,286,,,,,,2,10,5,4,house,Yes,2016,Within an hour,,"June 5, 2017",house,,,10,,Riverside,CA
873955,Beautiful 4B Family home,,,"Fontana, CA, USA",0,,,,,,,,,9,4,3,house,Yes,2016,Within an hour,,"September 29, 2016",house,,,9,,Riverside,CA
873966,Comfortable 4B House,,,"Chino Hills, CA, USA",0,,,,,,,,5,8,4,2,house,Yes,2016,Within an hour,,"April 16, 2017",house,,,8,,Riverside,CA
4422639ha,Room in charming Dwtn historic area,,,"Bloomington, CA, USA",0,,675,675,,,,,,2,2,1,house,No,2016,,,"December 18, 2016",house,,,,,Riverside,CA
4422609ha,"historic home, right downtown!",,,"South Redlands, Redlands, CA, USA",0,,660,660,,,,,,3,2,2,house,No,2016,,0%,"December 18, 2016",house,,,,,Riverside,CA
4422707ha,Lux Suite with Private Entrance,,,"Rancho Cucamonga, CA, USA",0,,680,680,,,,,,2,2,2,house,No,2016,,0%,"December 18, 2016",house,,,,,Riverside,CA
930146,"Warm and Cozy, San Bernardino",,,"San Bernardino, CA, USA",0,,400,400,,,300,,,4,3,1,house,No,2017,Within a few days,100%,"May 24, 2017",house,,,,,Riverside,CA
4471009ha,One or two bedrooms on first floor in Corona,,,"Corona, CA, USA",0,,858,858,,,,,,4,2,2,house,No,2017,,,"February 19, 2017",house,,,,,Riverside,CA
1094129,Beautiful and Clean Custom Home Getaway,,,"Fontana, CA, USA",0,,250,250,300,,100,11.0%,,10,4,3,house,Yes,2017,,,"June 9, 2017",house,,1900,,,Riverside,CA
4606791ha,"Charming Custom Home, Welcome to Paradise",34.1271586,-117.4464905,"Fontana, CA, USA",0,,258,250,300,,100,11.0%,,10,4,3,house,Yes,2017,,,"June 9, 2017",house,,1900,,,Riverside,CA
4472099ha,Cozy Gated Apt Stay Up To 8 Ppl,,,"Chino Hills, CA, USA",1,,110,110,,,30,,2,8,2,1,apartment,No,2017,Within a day,80%,"May 31, 2017",apartment,,,,,Riverside,CA
4500802ha,Two Bedroom Apartment,34.0666738,-117.1767377,"Redlands, CA, USA",0,,70,70,,,40,,,4,2,1,apartment,Yes,2017,Within a few days,20%,"June 5, 2017",apartment,2,950,,building,Riverside,CA
4249865ha,Beautiful Spacious Relaxing One Bedroom Home.,34.05247,-117.676058,"Ontario, CA, USA",0,,125,110,125,,,,2,2,1,1,house,Yes,2016,Within an hour,100%,"June 6, 2017",house,,1300,,,Riverside,CA
4135703ha,Highlands Best Kept Secret,34.113669,-117.15696,"Highland, CA, USA",0,,350,550,,,300,,2,6,4,5,house,Yes,2016,Within a few days,40%,"March 3, 2017",house,,,6,,Riverside,CA
