listing_id,listing_title,latitude,longitude,location_name,number_reviews,average_rating,average_nightly_price,nightly,weekend_night,property_protection_fee,cleaning_fee,tax_rate,min_stay,sleeps,bedrooms,bathrooms,property_type,internet,member_since,response_time,response_rate,calendar_last_updated,type,floor,sq_footage,max_occupancy,building_type,city
754087,"Very Quaint, a little Rustic",34.240474,-117.281996,"Crestline, CA, USA",17,4.7,67,75,90,,,7.0%,2,8,2,2,cabin,Yes,2012,Within 12 hours,100%,"June 8, 2017",cabin,,900,8,,San Bernadino
394387,Secluded Forest Cabin: Relaxing Mountain Retreat,34.23455048,-117.2691803,"Crestline, CA, USA",74,4.8,86,100,115,,,7.0%,2,8,2,2,chalet,Yes,2012,Within 12 hours,100%,"June 8, 2017",chalet,,1400,8,,San Bernadino
463265,"Designer Cabin for  Couples Getaway or for Family Retreat, W/Beach Access",34.235273,-117.195214,"Crest Estates, Lake Arrowhead, CA, USA",93,4.9,150,138,150,,75,7.0%,2,6,2,1,cabin,Yes,2013,Within an hour,90%,"June 9, 2017",cabin,,1000,6,,San Bernadino
7072996ha,Mountain Cottage Surrounded by Forests ~ The Beverly Hills of the Mountains!,34.2385524,-117.1783283,"Skyforest, CA, USA",93,4.9,104,97,,,,7.0%,,2,Studio,1,studio,Yes,2010,Within a few hours,100%,"June 9, 2017",studio,,500,2,cottage,San Bernadino
853242,Lakefront A-frame on Lake Gregory near Lake Arrowhead!,34.24764666,-117.26564806,"Crestline, CA, USA",4,4.5,160,162,178,,150,,3,4,1,2,house,Yes,2008,Within a day,100%,"June 9, 2017",house,,,4,,San Bernadino
3686218ha,Relaxing Pet Friendly Retreat near Lake Gregory (Crestline) with Beautiful Views,,,"Crestline, CA, USA",64,4.8,90,89,,,55,,2,7,1,1,cabin,Yes,2014,Within a few hours,100%,"June 8, 2017",cabin,,750,,,San Bernadino
173685,Beautiful Mountain Lake Gregory View Home 2600 Sq Ft,34.2438586,-117.2728824,"Crestline, CA, USA",38,4.4,245,235,285,,,7.0%,2,14,4,3,house,Yes,2008,Within a day,90%,"June 9, 2017",house,,2600,14,,San Bernadino
855593,STUNNING VIEWS  OF LAKE GREGORY ~ FOUR FREE  PASSES TO WATER PARK ~PET PRIENDLY,34.238244,-117.282971,"Crestline, CA, USA",31,4.9,146,145,160,,85,7.0%,2,6,2,2,cabin,Yes,2016,Within an hour,100%,"June 8, 2017",cabin,,1200,6,,San Bernadino
600469,"Treetop Cabin | Luxury 3BD/2BA, Sleeps 8, Dock, In Village, MID WEEK SPECIAL",34.2455172,-117.1956509,"Lake Arrowhead, CA, USA",58,,342,224,450,,,8.0%,2,8,3,2,cabin,Yes,2013,Within an hour,90%,"June 8, 2017",cabin,,1600,,,San Bernadino
873500,"Terrace Lodge | Luxury 4BD/4BA, Game Room, Dock, In Village, MID WEEK SPECIAL",34.2481329,-117.1964229,"Lake Arrowhead, CA, USA",23,4.9,445,295,595,,,8.0%,2,10,4,2,house,Yes,2013,Within an hour,100%,"June 8, 2017",house,,2550,,,San Bernadino
465480,'Let Us Spoil You!!',34.2414869,-117.2784037,"Crestline, CA, USA",44,4.5,140,145,145,,,7.0%,,4,2,1,house,Yes,2013,Within a day,100%,"June 5, 2017",house,,1100,4,,San Bernadino
631760,Lake Gregory Home! Great for your relaxing retreat or adventurous getaway!,,,"Crestline, CA, USA",29,4.2,249,249,,,200,7.0%,2,15,5,3,house,Yes,2014,Within 12 hours,100%,"June 7, 2017",house,,2573,15,,San Bernadino
604706,Panoramic Lake View~Steps Away From The Water,34.24525216,-117.27026564,"Crestline, CA, USA",43,4.8,265,265,,,95,7.0%,2,12,4,3,cabin,Yes,2014,Within a few hours,100%,"June 6, 2017",cabin,,2400,12,,San Bernadino
306115,"Near Lake!~Gorgeous Mountain/Lake View!~Pool Table,Games,High-Speed Internet",34.24687958,-117.27106476,"Crestline, CA, USA",78,4.8,192,195,,,100,7.0%,2,10,3,2,house,Yes,2010,Within 12 hours,100%,"June 8, 2017",house,,,,,San Bernadino
