listing_id,listing_title,latitude,longitude,location_name,number_reviews,average_rating,average_nightly_price,nightly,weekend_night,property_protection_fee,cleaning_fee,tax_rate,min_stay,sleeps,bedrooms,bathrooms,property_type,internet,member_since,response_time,response_rate,calendar_last_updated,type,floor,sq_footage,max_occupancy,building_type,city,state
756297,Charming Fully FURNISHED 1 bedr 1bath HOUSE with CARPORT,32.69100553,-117.18196822,"Coronado Village, Coronado, CA, USA",3,,111,90,,,250,,26,2,1,1,house,Yes,2016,Within 12 hours,100%,"May 14, 2017",house,,,2,,San Diego,CA
4240494ha,"Furnished Bright Quiet Studio Flat In Mission Hills, San Diego",,,"MIddletown, San Diego, CA, USA",8,4.9,108,110,,,112,,3,2,1,1,studio,Yes,2016,Within a few days,70%,"May 23, 2017",studio,2,374,2,building,San Diego,CA
902086,Beautifully remodeled 2BR 2BA condo,32.8166495,-117.1783283,"Clairemont Mesa East, San Diego, CA, USA",12,4.9,67,,,,150,,60,6,2,2,condo,Yes,2016,Within an hour,100%,"June 11, 2017",condo,1,1100,,building,San Diego,CA
4172850ha,Attractive G Street Apartment,32.7121206,-117.150719,"East Village, San Diego, CA, USA",34,4.6,319,,,,,,1,7,3,2,apartment,Yes,2011,Within an hour,,"June 11, 2017",apartment,,1306,7,,San Diego,CA
376900,Cozy Cottage in Spectacular Neighborhood Village,32.76562119,-117.1177063,"Normal Heights, San Diego, CA, USA",19,4.5,126,129,,,100,,3,3,1,1,cottage,No,2008,Within a few days,10%,"June 2, 2017",cottage,,,3,,San Diego,CA
194563,#09 Big Mission Beach Ocean View 5 BR House w/ Spa and 3 Decks,32.77246475,-117.25219727,"Mission Beach, San Diego, CA, USA",15,4.7,628,,,,,,0,22,5,3,house,Yes,2008,Within an hour,,"June 11, 2017",house,,,22,,San Diego,CA
3728959ha,"Condo In Gaslamp Quarter, SD",32.71037571,-117.16054854,"Gaslamp Quarter, San Diego, CA, USA",34,4.9,73,,,,,,30,2,1,1,condo,Yes,2014,Within an hour,100%,"May 22, 2017",condo,4,754,2,,San Diego,CA
873687,"Beach Hideaway, Designer Studio, Dog Friendly With Private Patio",,,"La Jolla, San Diego, CA, USA",7,4.7,93,,,,,10.5%,7,2,Studio,1,studio,Yes,2011,Within 12 hours,100%,"June 11, 2017",studio,1,250,2,building,San Diego,CA
3838155ha,Beach Front Living At Its Best,32.7497017,-117.2518291,"Ocean Beach, San Diego, CA, USA",26,4.3,400,,,,275,10.5%,3,8,3,3,condo,Yes,2012,Within a day,100%,"June 11, 2017",condo,3,1406,8,,San Diego,CA
3871902ha,Whitewater Cliff - On The Water Ocean Front Cottage,32.738148,-117.2548363,"Ocean Beach, San Diego, CA, USA",45,4.7,229,169,,,90,11.05%,2,4,1,1,cottage,Yes,2014,Within an hour,100%,"June 9, 2017",cottage,,520,4,,San Diego,CA
685689,Steps To The Ocean From This Unique Home,32.7870105,-117.2537745,"Mission Beach, San Diego, CA, USA",18,,160,160,,,135,10.5%,3,7,2,2,house,Yes,1999,Within a few hours,100%,"June 11, 2017",house,,800,7,,San Diego,CA
434994,Location! Steps to Everything! Beautiful Views!,32.70864,-117.161469,"Pacific Terrace, San Diego, CA, USA",21,4.9,325,250,,,145,,2,7,2,2,condo,Yes,2012,Within a day,100%,"June 4, 2017",condo,5,1100,7,,San Diego,CA
4154207ha,Amazing 8th Avenue Apartment,32.7208239,-117.1574476,"Cortez Hill, San Diego, CA, USA",28,4.4,114,,,,,,1,6,2,2,apartment,Yes,2011,Within an hour,,"May 30, 2017",apartment,,,6,,San Diego,CA
336900,Luxury Studio Near Beach,32.80913925,-117.25818634,"Pacific Beach, San Diego, CA, USA",13,4.5,77,,,,,,30,4,Studio,1,condo,Yes,2011,Within a few days,50%,"June 11, 2017",condo,,,4,,San Diego,CA
4199077ha,Amazing 10th Avenue Apartment,32.7128613,-117.1552973,"East Village, San Diego, CA, USA",23,4.5,241,,,,,,1,5,2,2,apartment,Yes,2011,Within an hour,,"June 11, 2017",apartment,,904,5,,San Diego,CA
712892,"Beach Hideaway, Dog Friendly, Designer Studio With Private Patio And Parking!",32.83320046,-117.276473,"La Jolla, San Diego, CA, USA",19,4.3,93,,,,120,10.5%,7,2,1,1,apartment,Yes,2011,Within a few hours,100%,"June 11, 2017",apartment,1,150,2,building,San Diego,CA
857732,PENTHOUSE BAYFRONT CONDO WITH PANORAMIC BEACH AND WATER VIEWS!,32.78844332,-117.24055532,"Pacific Beach, San Diego, CA, USA",20,,315,,,,175,10.5%,3,10,4,2,condo,Yes,2011,Within an hour,100%,"June 11, 2017",condo,3,2030,,building,San Diego,CA
429251,Walk along bike path to Dog Beach & Surfing  See fireworks from Hot tub,32.7538682,-117.2460212,"Ocean Beach, San Diego, CA, USA",7,4.4,83,,,,,,7,4,2,2,bungalow,Yes,2012,Within an hour,100%,"May 12, 2017",bungalow,,,4,,San Diego,CA
857733,BAYFRONT ONE BEDROOM SUITE WITH PANORAMIC BEACH AND WATER VIEWS!!,32.7884343,-117.2405741,"Pacific Beach, San Diego, CA, USA",18,4.8,171,,,,125,10.5%,3,4,1,1,condo,Yes,2011,Within an hour,100%,"June 11, 2017",condo,0,,,building,San Diego,CA
738272,Crown Point Jewell Beach House,32.783169,-117.234797,"Pacific Beach, San Diego, CA, USA",5,,117,,,,,,30,4,2,2,house,Yes,2015,Within 12 hours,100%,"June 4, 2017",house,,1300,4,,San Diego,CA
486425,La Jolla Private Cottage Retreat Windandsea Beach,32.8340777,-117.2765597,"La Jolla, San Diego, CA, USA",24,4.9,298,330,,,,,3,4,1,1,cottage,Yes,2011,Within a few days,90%,"April 27, 2017",cottage,,800,4,,San Diego,CA
862152,"3 Bedroom House. 1 1/2 blocks to Beach, Private Yard, BBQ and Beach Items!",32.8070447,-117.2570969,"Pacific Beach, San Diego, CA, USA",13,4.7,234,165,,,150,10.5%,3,8,3,1,house,Yes,2009,Within a day,90%,"June 11, 2017",house,,,8,,San Diego,CA
362246,Walk to the Beach and Village,32.83297348,-117.27604675,"La Jolla, San Diego, CA, USA",46,,333,350,,,175,,3,5,2,2,townhome,Yes,2011,Within 2 days,100%,"June 9, 2017",townhome,1,1300,5,house,San Diego,CA
490539,Guest House In La Jolla,32.8369459,-117.2797682,"La Jolla, San Diego, CA, USA",28,,233,250,,,150,,3,2,1,1,cottage,Yes,2010,Within a few days,80%,"June 2, 2017",cottage,,750,2,,San Diego,CA
492840,Adorable Mission Beach Cottage-Footsteps To The Sand,32.785722,-117.252679,"Mission Beach, San Diego, CA, USA",95,4.9,195,195,,,150,10.5%,3,4,1,1,cottage,Yes,2013,Within an hour,100%,"June 11, 2017",cottage,,,4,,San Diego,CA
254776,Beautiful Studio Unit Steps from the Beach - Dover Court,32.76675034,-117.25196838,"Mission Beach, San Diego, CA, USA",32,4.7,119,95,,,85,10.5%,4,2,1,1,house,Yes,2008,Within a day,100%,"June 10, 2017",house,,,,,San Diego,CA
4058967ha,Heart of Pacific Beach Penthouse - Peek Bay and Ocean Views - Sea World Tower!,32.80282192,-117.23859219,"Pacific Beach, San Diego, CA, USA",5,,80,,,,125,,29,4,1,1,condo,Yes,2014,Within 2 days,80%,"June 9, 2017",condo,3,670,4,building,San Diego,CA
319104ha,San Diego Beachfront/Oceanfront: 180 degree oceanfront view! June 1-6 20% Discou,32.800476,-117.258128,"Pacific Beach, San Diego, CA, USA",121,4.8,299,240,,,110,10.5%,3,6,2,1,condo,Yes,2005,Within an hour,100%,"June 11, 2017",condo,6,810,,building,San Diego,CA
460677,"Dog and Family Friendly, Beautiful Beach House with Large Yard",32.832749,-117.276188,"La Jolla, San Diego, CA, USA",31,4.7,236,,,,180,10.5%,7,10,3,2,house,Yes,2011,Within 12 hours,100%,"June 11, 2017",house,,1400,10,,San Diego,CA
582172,"Two Beaches, One Location",32.7676184,-117.250117,"Mission Beach, San Diego, CA, USA",44,4.6,220,150,,,125,10.5%,3,7,2,2,condo,Yes,2014,Within an hour,100%,"June 11, 2017",condo,1,900,7,,San Diego,CA
911063,"Private Studio Apartment, Short Walk to Beach, with Pool/Spa Access",33.01337126,-117.27103898,"Cardiff, San Diego County, CA, USA",3,,60,,,,200,,31,2,Studio,1,apartment,Yes,2010,Within a day,100%,"June 8, 2017",apartment,2,400,2,house,San Diego,CA
128733,Contemporary Condo Huge Ocean View 1 Blk to Ocean 3 to Town;,32.84031296,-117.28027344,"La Jolla, San Diego, CA, USA",43,4.8,334,295,,,150,11.05%,3,6,3,2,condo,Yes,2007,Within an hour,100%,"June 11, 2017",condo,1,1300,6,building,San Diego,CA
511942,"Casa de la Playa 3683, 2nd Floor, Oceanfront, roof deck",32.782164,-117.2532833,"Mission Beach, San Diego, CA, USA",23,4.5,340,440,,,,10.5%,3,6,2,1,condo,Yes,2010,Within 12 hours,100%,"June 11, 2017",condo,2,750,6,building,San Diego,CA
2572,JUST STEPS TO THE OCEAN FRONT,32.77453995,-117.25254822,"Mission Beach, San Diego, CA, USA",49,4.4,150,150,,,100,10.5%,3,7,2,1,house,Yes,1999,Within a few hours,100%,"June 10, 2017",house,,800,7,,San Diego,CA
279405ha,Your Own Private Deck on the Beach!,32.7733111,-117.25306749,"Mission Beach, San Diego, CA, USA",165,4.8,269,275,,,150,10.5%,3,5,2,1,condo,Yes,2002,Within a day,100%,"June 11, 2017",condo,1,607,,,San Diego,CA
13845,Your Own Private Deck on the Beach!,32.77319336,-117.25281525,"Mission Beach, San Diego, CA, USA",165,4.8,269,275,,,150,10.5%,3,5,2,1,condo,Yes,2002,Within a day,100%,"June 11, 2017",condo,1,607,,,San Diego,CA
625462,The Seaview Lookout - Romantic Ocean Front Vacation Cottage,32.73802706,-117.25484929,"Ocean Beach, San Diego, CA, USA",36,4.8,155,139,,,90,11.05%,2,4,1,1,cottage,Yes,2014,Within an hour,100%,"June 11, 2017",cottage,,520,4,,San Diego,CA
708071,Newly Remodeled Condo - Great Location!,32.7538395,-117.2276252,"Point Loma Heights, San Diego, CA, USA",12,,66,,,,,,30,4,1,1,condo,Yes,2015,Within a few hours,100%,"May 31, 2017",condo,2,547,4,building,San Diego,CA
348342,OCEANFRONT CONDO WITH PANORAMIC BEACH AND OCEAN VIEWS!!,32.79590607,-117.25624084,"Pacific Beach, San Diego, CA, USA",112,4.9,192,,,,175,10.5%,3,6,2,2,condo,Yes,2011,Within an hour,100%,"June 11, 2017",condo,1,1100,,,San Diego,CA
360754,"Ocean View 'Tree House' - 1 Block to the Beach, Dog-Friendly",,,"La Jolla, San Diego, CA, USA",28,4.7,251,,,,160,10.5%,7,7,2,2,townhome,Yes,2011,Within 12 hours,100%,"June 11, 2017",townhome,2,1100,7,,San Diego,CA
478108,Beachfront Family Friendly Condo In San Diego,32.58276,-117.132168,"Imperial Beach, CA, USA",64,4.9,200,200,,,100,8.0%,4,8,2,2,condo,Yes,2013,Within 12 hours,90%,"June 9, 2017",condo,3,1200,8,,San Diego,CA
724938,"Ocean Front, Steps To Beach, Walk To Everything, Great Prices!",32.7986537,-117.25726043,"Pacific Beach, San Diego, CA, USA",14,4.7,143,,,,120,,7,4,1,1,condo,Yes,2015,Within a day,100%,"June 10, 2017",condo,2,742,4,building,San Diego,CA
792984,Conveniently Close To All Attractions,32.75335226,-117.22745354,"Point Loma Heights, San Diego, CA, USA",0,,73,,,,54,,30,4,2,1,condo,Yes,2016,Within a few hours,100%,"June 5, 2017",condo,4,980,4,building,San Diego,CA
