listing_id,listing_title,latitude,longitude,location_name,number_reviews,average_rating,average_nightly_price,nightly,weekend_night,property_protection_fee,cleaning_fee,tax_rate,min_stay,sleeps,bedrooms,bathrooms,property_type,internet,member_since,response_time,response_rate,calendar_last_updated,type,floor,sq_footage,max_occupancy,building_type,city,state
400147,Modern Inner Sunset Studio -- Walk to Golden Gate Park & UCSF,37.75868607,-122.46591949,"Inner Sunset, San Francisco, CA, USA",34,4.6,83,,,,,,30,2,Studio,1,studio,Yes,2012,Within 2 days,100%,"April 21, 2017",studio,1,450,2,house,San Francisco,CA
437751,Marina Blvd; 4 bedroom Water Front Home from $550/nt,,,"Marina District, San Francisco, CA, USA",58,4.9,650,650,,,,14.5%,4,8,4,3,house,Yes,2012,Within a day,100%,"June 6, 2017",house,,,8,,San Francisco,CA
501696,"Cozy Studio Close To Ucsf, Fillmore, Golden Gate Park/Bridge",37.7856519,-122.4435977,"Western Addition, San Francisco, CA, USA",7,4.7,83,,,,,,30,2,1,1,apartment,Yes,2010,Within 12 hours,100%,"May 30, 2017",apartment,1,500,2,,San Francisco,CA
159988,"HOLIDAY SALE!!! Modern Garden Suite, Computer, Wi-Fi, Pet Friendly, Patio, Yard.",37.76111221,-122.46798706,"Inner Sunset, San Francisco, CA, USA",162,4.6,95,135,,,75,14.0%,1,5,1,1,castle,Yes,2007,Within a few days,60%,"June 7, 2017",castle,,,5,,San Francisco,CA
387621,Stafford House1901 Edwardian Flat - Sf City Center,37.77483368,-122.43267059,"Western Addition, San Francisco, CA, USA",69,4.6,275,,,,95,15.0%,3,6,3,1,apartment,Yes,2011,Within a day,100%,"June 5, 2017",apartment,2,1700,6,,San Francisco,CA
477927,Luxury Apartment In The Heart Of Historic Marina District,,,"Marina District, San Francisco, CA, USA",80,4.9,203,195,225,,,15.0%,2,4,1,1,apartment,Yes,2013,Within a day,100%,"June 7, 2017",apartment,1,650,,building,San Francisco,CA
297503ha,"Castro Area Accommodations in San Francisco Victorian, Great Location",37.764416,-122.435031,"Duboce Triangle, San Francisco, CA, USA",142,4.8,160,,,,40,14.0%,3,3,Studio,1,studio,Yes,2009,Within a few hours,100%,"June 7, 2017",studio,1,,3,house,San Francisco,CA
613887,"Stunning, Centrally Located Apt With Backyard Oasis.  3 Bedrooms - 1,500ft/140M",37.766636,-122.449865,"Cole Valley, San Francisco, CA, USA",35,4.8,395,395,,,100,14.0%,3,6,3,1,apartment,Yes,2014,Within 12 hours,100%,"May 25, 2017",apartment,1,1500,6,,San Francisco,CA
237768,"Cozy, Comfy, Centrally-Located 2 Bedroom in Hayes Valley",37.77445602,-122.42866516,"Western Addition, San Francisco, CA, USA",95,4.7,250,250,,,,,4,5,2,1,house,Yes,2009,Within 12 hours,100%,"May 27, 2017",house,,1100,5,,San Francisco,CA
574068,Olive's Gate  Rental - Registration Number STR-0001173,37.75325014,-122.42791685,"Noe Valley, San Francisco, CA, USA",55,4.9,155,150,165,,125,14.0%,2,2,Studio,1,studio,Yes,2014,Within 12 hours,100%,"June 7, 2017",studio,,400,2,,San Francisco,CA
421110,San Francisco Golden Gate Bridge Bay View Mini Penthouse,37.7971015,-122.4320393,"Cow Hollow, San Francisco, CA, USA",10,4.9,150,,,,,,30,3,1,1,condo,Yes,2012,Within 2 days,80%,"June 4, 2017",condo,,,3,building,San Francisco,CA
317791,Luxury Townhouse with Spectacular Views - Free WIFI and Parking,,,"Glen Park, San Francisco, CA, USA",89,,307,249,299,,125,,2,6,2,2,townhome,Yes,2010,Within a few hours,100%,"June 6, 2017",townhome,,,6,,San Francisco,CA
328492ha,Ocean Beach - Golden Gate Park w/parking,,,"Sunset District, San Francisco, CA, USA",39,3.9,150,150,,,,,3,4,1,1,apartment,Yes,2006,Within a few days,70%,"June 7, 2017",apartment,,600,4,building,San Francisco,CA
892499,Beautiful Two Bedroom Flat,37.7950911,-122.4219354,"Polk Gulch, San Francisco, CA, USA",12,4.7,450,450,,,,,3,6,2,2,apartment,Yes,2016,Within a few hours,100%,"June 7, 2017",apartment,2,1300,6,building,San Francisco,CA
