listing_id,listing_title,latitude,longitude,location_name,number_reviews,average_rating,average_nightly_price,nightly,weekend_night,property_protection_fee,cleaning_fee,tax_rate,min_stay,sleeps,bedrooms,bathrooms,property_type,internet,member_since,response_time,response_rate,calendar_last_updated,type,floor,sq_footage,max_occupancy,building_type,city
892301,In-Law Unit in Modern Greenwich Farm House- close to town,41.034528,-73.633244,"Greenwich, CT, USA",6,,83,100,,,25,,2,3,1,1,house,Yes,2016,Within 12 hours,100%,"May 18, 2017",house,,450,3,,Stamford
4276853ha,Charming Tudor with English Garden,41.0651346,-73.5132039,"Newfield - Westover - Turn of River, Stamford, CT, USA",5,4.4,254,250,265,,,15.0%,3,8,4,2,house,Yes,2016,Within an hour,100%,"June 4, 2017",house,,2000,8,,Stamford
3941713ha,Bright Stylish Chic 4BR 4BA Home 1 Hour to NYC Close to Greenwich CT Shops,41.1051802,-73.5805516,"North Stamford, Stamford, CT, USA",19,,387,385,,,100,,2,8,4,4,house,Yes,2015,Within a few hours,100%,"June 6, 2017",house,,3800,8,,Stamford
1003348,Great hotel alternative!!! Brand New!!! 3 Bedroom Home - Heart of Greenwich,41.0261298,-73.6193266,"Greenwich, CT, USA",1,,757,750,,,250,,1,5,3,3,house,No,2015,Within a few hours,100%,"May 22, 2017",house,,2100,,,Stamford
4203178ha,"Long Term Spacious Rental In Greenwich Ct Near To Beach, Shopping, Dining",41.0609092,-73.5838584,"Cos Cob, Greenwich, CT, USA",0,,,1,,,,,3,11,6,4,house,Yes,2016,Within an hour,100%,"May 12, 2017",house,,4000,11,,Stamford
4327021ha,Centrally located.  Walk to Greenwich Ave and Greenwich Train Station.,41.021395,-73.617188,"Greenwich, CT, USA",2,,350,350,,,100,15.0%,3,6,3,2,townhome,Yes,2016,Within a few hours,100%,"June 7, 2017",townhome,,,6,,Stamford
995687,Waterfront Greenwich House - Amazing Views & Private -5 mins downtown Greenwich,41.05515652,-73.5851056,"Cos Cob, Greenwich, CT, USA",1,,356,350,375,,225,,3,10,4,3,house,Yes,2017,Within a few hours,100%,"May 31, 2017",house,,3800,10,,Stamford
822726,"Downtown ""Blue Nest"" Apartment",41.06341596,-73.53351203,"Newfield - Westover - Turn of River, Stamford, CT, USA",2,,93,100,,,50,,,4,1,1,apartment,Yes,2016,Within 2 days,80%,"May 28, 2017",apartment,3,427,4,building,Stamford
916556,Guest house with pool in tranquil zen  settngs on a private estate,,,"North Stamford, Stamford, CT, USA",0,,260,250,,,65,,2,3,1,2,house,Yes,2016,Within an hour,100%,"June 5, 2017",house,,1200,3,,Stamford
458986,GREENWICH JUNE 7 TO JUNE 15  AND JULY 31 TO AUGUST 5 SHORE HOME NEAR THE BEACH,41.02664,-73.559279,"Old Greenwich, Greenwich, CT, USA",1,,500,500,,,250,,5,10,5,3,house,Yes,2013,Within an hour,100%,"June 6, 2017",house,,4000,,,Stamford
1016972,Beautiful modern beach house - 1 hour from NYC,41.021717,-73.562824,"Old Greenwich, Greenwich, CT, USA",0,,540,540,,,250,,7,10,5,3,house,No,2017,Within a few days,50%,"June 5, 2017",house,,,,,Stamford
842391,"Large Four Bedroom, Two Bath Family Home With Pool In Wonderful Neighborhood.",41.03572652,-73.60019349,"Cos Cob, Greenwich, CT, USA",0,,386,,,,,,7,6,4,2,house,Yes,2016,Within a day,100%,"May 8, 2017",house,,,,,Stamford
3754841ha,Cotswold Cottage + Gardens Near New York City,41.043179,-73.6020999,"Cos Cob, Greenwich, CT, USA",2,,313,295,,,,15.0%,14,9,3,2,house,Yes,2014,Within an hour,90%,"June 2, 2017",house,,2035,9,,Stamford
4507417ha,Basement Lvl Private 2BR/1BA Family/Pet Friendly,,,"Newfield - Westover - Turn of River, Stamford, CT, USA",2,4.5,115,115,,,50,15.0%,,4,2,1,house,No,2017,Within an hour,100%,"June 6, 2017",house,,,,,Stamford
4489356ha,Luxury Apartments in the Heart of Downtown Stamford steps away from University of Connecticut - Stam,41.057318,-73.5431713,"Downtown, Stamford, CT, USA",1,,199,,,,,,2,3,1,1,apartment,Yes,2014,Within a day,,"June 7, 2017",apartment,,,3,,Stamford
933104ha,Elegant Home on an Acre of Rolling Lawns,41.0616358,-73.6132295,"Greenwich, CT, USA",0,,801,700,800,,,14.75%,2,10,3,2,house,Yes,2010,Within a few hours,100%,"June 6, 2017",house,,2700,10,,Stamford
1042976,Waterfront Property with Pool 50  minutes from New York City,,,"Cove - East Side - Shippan, Stamford, CT, USA",1,,,900,,,500,,4,10,5,4,house,Yes,2017,Within an hour,100%,"June 2, 2017",house,,,,,Stamford
935064,"Greenwich, CT Hotel Alternative Completely Renovated High End Townhouse",,,"Cos Cob, Greenwich, CT, USA",0,,300,300,,,175,,1,4,2,2,townhome,Yes,2015,Within a day,100%,"June 3, 2017",townhome,,1250,4,,Stamford
835961,"Quiet Waterfront Home - Panoramic Views, Private Dock & Short Walk to Downtown",41.017105,-73.612018,"Greenwich, CT, USA",1,,950,950,,,,,21,8,4,4,house,Yes,2016,Within a day,100%,"April 12, 2017",house,,3500,8,,Stamford
1877834ha,Great classic character house,41.1536929,-73.525225,"North Stamford, Stamford, CT, USA",0,,981,981,,,,,4,10,5,,house,Yes,2015,Within a few days,70%,"March 28, 2017",house,,4843,10,,Stamford
1062245,Old Greenwich Sound-Front Living,41.0188257,-73.5689792,"Old Greenwich, Greenwich, CT, USA",0,,,1,,,200,,3,10,5,4,house,No,2017,Within a few days,100%,"June 6, 2017",house,,,,,Stamford
4568092ha,Luxury Greenwich Estate -- minutes to  Town/40 minutes to New York City!,,,"Greenwich, CT, USA",0,,,,,,400,15.0%,7,10,6,8,house,Yes,2017,,,"June 2, 2017",house,,9800,,,Stamford
3839561ha,"Large Westchester home, 1 hour from New York City, great for Christmas",,,"North Stamford, Stamford, CT, USA",1,,825,825,,,,,2,12,4,4,house,Yes,2014,Within a few days,90%,"April 27, 2017",house,,3500,12,,Stamford
4081631ha,Elegant Home on an Acre of Rolling Lawns,41.0617469,-73.6125859,"Greenwich, CT, USA",0,,907,,,,,,4,8,3,2,house,Yes,2013,,,"June 6, 2017",house,,2700,8,,Stamford
990091,North Stamford Guest House,41.117055,-73.550486,"North Stamford, Stamford, CT, USA",0,,200,250,,,100,6.25%,3,3,2,1,guest house,No,2017,Within a few days,75%,"May 25, 2017",guest house,,,,,Stamford
3551858ha,2 Bedroom Chic Rye Bungalow,40.961348,-73.688743,"Rye, NY, USA",2,,,,,,,,30,4,2,2,bungalow,Yes,2011,Within a few days,70%,"April 9, 2017",bungalow,,800,4,,Stamford
3643547ha,Adorable Guest Cottage,41.22513905,-73.34870825,"Weston, CT, USA",12,4.9,162,175,,,45,,1,4,2,1,cottage,Yes,2015,,,"June 7, 2017",cottage,,,4,,Stamford
827398,"Perfectly located beach, town, train cottage with beach style interior",41.1248872,-73.3658509,"Westport, CT, USA",9,4.8,336,350,,,100,,3,8,4,2,house,Yes,2016,Within a few hours,100%,"May 25, 2017",house,,,8,,Stamford
991609ha,Fabulous Rye Beach Cottage,40.9634993,-73.6810395,"Rye, NY, USA",6,4.2,158,,,,,,7,4,1,1,cottage,Yes,2011,Within a few days,90%,"April 5, 2017",cottage,,500,4,,Stamford
781543,Large Home On 4+ Beautiful Acres Of Privacy In Chappaqua,41.196416,-73.789807,"Millwood, NY, USA",8,4.6,429,500,,,325,7.38%,3,10,6,2,chateau / country house,Yes,2015,Within 12 hours,100%,"June 5, 2017",chateau / country house,,5700,10,,Stamford
588047,"Pretty Stone Home, Quiet Lane in Mid-country Greenwich, Ct Privacy!",41.05862,-73.669261,"Greenwich, CT, USA",4,,297,250,,,,,3,6,2,2,house,Yes,2014,Within 2 days,80%,"May 25, 2017",house,,1750,6,,Stamford
881365,Historic Westport Two Bedroom two Bath Home,41.1531083,-73.36534081,"Westport, CT, USA",3,4.7,207,187,,,125,,7,4,2,2,house,Yes,2016,Within a day,100%,"June 4, 2017",house,,1100,4,,Stamford
3748841ha,"Studio Apartment 2 miles from Fairfield, CT Beach",41.1612199,-73.2621166,"Fairfield, CT, USA",30,,115,94,108,,,15.0%,,6,1,1,studio,Yes,2014,Within a few days,80%,"May 31, 2017",studio,1,625,6,house,Stamford
256842,Circa 1790 Newly Restored Converted Barn,,,"Ridgefield, CT, USA",14,4.9,250,250,,,,,3,4,1,1,barn,Yes,2008,Within a few days,70%,"May 30, 2017",barn,,1100,4,,Stamford
4225193ha,"3 mins drive to Fairfield Beach, 3 bed, Sleeps 6",41.1542006,-73.2471961,"Fairfield, CT, USA",0,,214,250,,,,7.75%,5,6,3,2,house,No,2016,Within a day,90%,"May 5, 2017",house,,,6,,Stamford
685435,"Lovely Home, 30 Minute Train Ride To Manhattan",40.91821633,-73.834671,"North Side, Mount Vernon, NY, USA",10,4.7,163,160,175,,,,,10,2,1,house,Yes,2016,Within a few hours,100%,"May 18, 2017",house,,,10,,Stamford
4232264ha,Two Room Pet-friendly Suite With Private Bath Near Nyc,40.94760323,-73.8382512,"Cedar Knolls, Yonkers, NY, USA",0,,83,85,,,,,2,2,1,1,house,No,2016,Within 12 hours,90%,"May 7, 2017",house,,,2,,Stamford
4303857ha,Gorgeous Quiet Old World Charm White Plains Private Apartment Parking!,41.047894,-73.754982,"White Plains, NY, USA",5,,125,125,,,40,,,3,1,1,apartment,Yes,2016,Within 2 days,100%,"June 4, 2017",apartment,1,400,3,house,Stamford
1032939,Stunning New Luxury New England Home,41.1909544,-73.249392,"Fairfield, CT, USA",1,,262,249,299,,150,,,11,5,5,house,Yes,2016,Within a few days,80%,"June 5, 2017",house,,,11,,Stamford
3992612ha,Tranquil 2BR Northport House w/3 Private Decks & Beautiful Views Overlooking Northport Harbor - Steps from Northport Village & Close to Beaches!,40.902,-73.351,"Northport, NY, USA",14,4.5,177,,,,,,2,4,2,2,house,No,1999,Within an hour,,"June 7, 2017",house,,,4,,Stamford
699729,"Great family home, close to the city,  surrounded by nature!",40.87559458,-73.6392744,"Glen Cove, NY, USA",11,4.6,577,575,,,200,,3,8,5,2,house,Yes,2015,Within a few hours,100%,"May 31, 2017",house,,3300,,,Stamford
981265,Luxury Victorian beach house - steps to 2 private beaches!,,,"Rowayton, Norwalk, CT, USA",0,,,,,,200,15.0%,7,8,5,3,house,Yes,2017,Within an hour,100%,"May 30, 2017",house,,,8,,Stamford
471970,The perfect quiet country getaway,41.2748798,-73.4072219,"Redding, CT, USA",21,4.9,125,150,,,,,,2,1,1,cottage,Yes,2013,,,"June 6, 2017",cottage,,550,2,,Stamford
864809,Great Room(s) Near Sea & Train to NYC,40.9488709,-73.723793,"Mamaroneck, NY, USA",4,4.8,90,75,,,45,,3,4,2,1,house,Yes,2016,Within a few hours,100%,"June 5, 2017",house,,300,4,,Stamford
901536,One of a kind French Summer Retreat with Pool - 1Hr from Manhattan!,41.148066,-73.451171,"New Canaan, CT, USA",1,,976,,,,,,7,10,6,5,house,Yes,2016,Within 12 hours,100%,"April 26, 2017",house,,4500,,,Stamford
4161468ha,Waterfront Contemporary w/ Tiki Bar - Accommodates up to 12 Guests,,,"Bayville, NY, USA",2,4.5,,1,,,300,,3,12,4,2,house,Yes,2016,Within an hour,100%,"June 4, 2017",house,,2970,12,,Stamford
900427,We've still got a few days available at our beautiful bungalow near the beach.,40.86575,-73.532099,"Oyster Bay Cove, NY, USA",4,4.8,199,195,220,,,,,4,Studio,1,bungalow,Yes,2016,Within 12 hours,100%,"June 7, 2017",bungalow,,450,4,,Stamford
715114,Elegant Beachfront Property!,41.1276621,-73.246632,"Fairfield, CT, USA",0,,600,,,,150,,7,10,5,3,house,Yes,2015,Within 12 hours,100%,"June 1, 2017",house,,,10,,Stamford
