listing_id,total_number_reviews,n_review,reviewer_name,title,stars,stayed,source,submitted
892301,6,1,lori m.,Great location,5,2017-01-06T00:00:00.000+0000,VRBO,2017-01-09T22:04:00.000+0000
892301,6,2,Jornelle S.,"Convenient, Quiet, and Comfortable",5,2016-12-30T00:00:00.000+0000,VRBO,2017-01-02T18:04:00.000+0000
892301,6,3,marge m.,Wonderful little getaway apartment,5,2016-11-10T00:00:00.000+0000,VRBO,2016-11-18T19:52:00.000+0000
892301,6,4,mary m.,"Stylish, convenient bedroom suite",5,2016-09-29T00:00:00.000+0000,VRBO,2016-10-04T14:09:00.000+0000
892301,6,5,Daniela F.,"Lovely, relaxing stay!",5,2016-08-21T00:00:00.000+0000,VRBO,2016-08-30T08:29:00.000+0000
892301,6,6,Winnie R.,"Quiet, Private, Comfortable , Clean!",5,2016-08-06T00:00:00.000+0000,VRBO,2016-08-24T22:35:00.000+0000
4276853ha,5,1,Aidine K.,The property was very welcoming and nice. But could use some fresh paint here and there,3,2017-05-18T00:00:00.000+0000,VRBO,2017-06-02T14:11:00.000+0000
4276853ha,5,2,Marissa H.,Just what we needed!,5,2016-11-06T00:00:00.000+0000,VRBO,2016-11-23T21:35:00.000+0000
4276853ha,5,3,kris C.,halloween rental for french family visiting,5,2016-10-30T00:00:00.000+0000,VRBO,2016-11-08T19:53:30.443+0000
4276853ha,5,4,althea B.,The house was Exactly as decribed,5,2016-11-03T00:00:00.000+0000,VRBO,2016-11-08T16:48:20.640+0000
4276853ha,5,5,Lucy B.,The house did live up to it's description.,4,2016-10-20T00:00:00.000+0000,VRBO,2016-10-31T16:21:00.000+0000
3941713ha,19,1,Jennifer G.,Happy home,5,2017-04-28T00:00:00.000+0000,VRBO,2017-05-01T15:14:00.000+0000
3941713ha,19,2,Susan S.,Amazing!!,5,2017-04-13T00:00:00.000+0000,VRBO,2017-04-16T20:27:00.000+0000
3941713ha,19,3,Joseph D.,House is everything we wanted and more. Very kid friendly big clean spacious home.,5,2017-03-31T00:00:00.000+0000,VRBO,2017-04-02T19:34:00.000+0000
3941713ha,19,4,David W.,Plenty of room and utility in a picturesque setting,5,2016-11-23T00:00:00.000+0000,VRBO,2016-12-04T19:12:00.000+0000
3941713ha,19,5,Sidney F.,Everything our family needed,5,2016-09-22T00:00:00.000+0000,VRBO,2016-10-08T19:28:00.000+0000
3941713ha,19,6,Ledgine B.,Beautiful home catering to all ages,5,2016-08-14T00:00:00.000+0000,VRBO,2016-08-30T22:00:00.000+0000
3941713ha,19,7,Matt F.,Amazing property,5,2016-06-03T00:00:00.000+0000,VRBO,2016-06-09T18:02:00.000+0000
3941713ha,19,8,Elaine D.,Amazing house,5,2016-05-26T00:00:00.000+0000,VRBO,2016-06-05T09:35:00.000+0000
3941713ha,19,9,christine g.,Terrific family house. plenty of room outside and in for family to spread out and play.,5,2016-05-11T00:00:00.000+0000,VRBO,2016-05-26T15:37:00.000+0000
3941713ha,19,10,JD1984,LOVED IT!,5,2016-01-20T00:00:00.000+0000,VRBO,2016-01-26T13:38:00.000+0000
3941713ha,19,11,amy w.,My kids love this house and didn't want to go.,5,2015-12-17T00:00:00.000+0000,VRBO,2015-12-27T02:39:00.000+0000
3941713ha,19,12,John T.,Very Special,5,2015-11-25T00:00:00.000+0000,VRBO,2015-12-01T00:36:04.777+0000
3941713ha,19,13,April N.,Charming home tucked away in the area beauty. ,5,2015-10-18T00:00:00.000+0000,VRBO,2015-10-25T18:32:24.510+0000
3941713ha,19,14,Elisabeth D.,Lovely old big house in a country setting,5,2015-10-06T00:00:00.000+0000,VRBO,2015-10-18T15:13:15.427+0000
3941713ha,19,15,Didi,Cant wait to go back!,5,2015-10-02T00:00:00.000+0000,VRBO,2015-10-06T21:23:11.517+0000
3941713ha,19,16,Kristie S.,Great house for a family gathering in Connecticut,5,2015-08-26T00:00:00.000+0000,VRBO,2015-09-02T22:42:15.920+0000
3941713ha,19,17,Erin B.,Fabulous Family Fun! ,5,2015-07-09T00:00:00.000+0000,VRBO,2015-07-16T16:02:17.907+0000
3941713ha,19,18,Joi J.,Best Graduation Ever,5,2015-05-19T00:00:00.000+0000,VRBO,2015-05-27T23:08:08.467+0000
3941713ha,19,19,Soo J K.,Amazing weekend!,5,2015-04-24T00:00:00.000+0000,VRBO,2015-04-28T14:25:58.463+0000
1003348,1,1,Jennifer E.,Beautiful house! Great caretakers.,5,2017-03-15T00:00:00.000+0000,VRBO,2017-03-22T16:01:00.000+0000
4327021ha,2,1,Mike P.,"Great location, great size, great management group.",5,2017-03-25T00:00:00.000+0000,VRBO,2017-03-31T12:33:00.000+0000
4327021ha,2,2,Sunny Y.,Awesome Location and Stay!,5,2016-12-28T00:00:00.000+0000,VRBO,2017-01-06T14:52:00.000+0000
995687,1,1,Elizabeth s.,Lovely property had everything we needed,5,2017-05-18T00:00:00.000+0000,VRBO,2017-05-22T22:55:00.000+0000
822726,2,1,JANINE K.,Wonderful stay at Blue Nest in Stamford,5,2016-11-18T00:00:00.000+0000,VRBO,2016-12-09T16:08:00.000+0000
822726,2,2,Ekaterine L.,Happy tennant,5,2016-02-01T00:00:00.000+0000,VRBO,2016-02-25T19:37:50.233+0000
458986,1,1,Babette S.,Happy Employer ,5,2014-10-07T00:00:00.000+0000,VRBO,2014-11-24T18:15:49.150+0000
3754841ha,2,1,David S.,Great house in a wonderful neighborhood.,5,2014-08-01T00:00:00.000+0000,VRBO,2014-12-18T19:59:47.167+0000
3754841ha,2,2,Linda S.,This House Has Everything!,5,2014-08-01T00:00:00.000+0000,VRBO,2014-12-17T21:21:26.387+0000
4507417ha,2,1,lori m.,"Beautiful home, excellent host, great place to stay",5,2017-04-21T00:00:00.000+0000,VRBO,2017-04-25T14:56:00.000+0000
4507417ha,2,2,Lynne S.,Excellent host,4,2017-04-13T00:00:00.000+0000,VRBO,2017-04-18T02:26:00.000+0000
4489356ha,1,1,Jim H.,Great,5,2017-03-26T00:00:00.000+0000,VRBO,2017-03-31T12:41:00.000+0000
1042976,1,1,Katherine L.,"Beautiful setting, charming house, and gracious owner",5,2017-05-28T00:00:00.000+0000,VRBO,2017-06-03T17:37:00.000+0000
835961,1,1,Hector,Fantastic!,5,2016-07-15T00:00:00.000+0000,VRBO,2016-10-17T17:28:23.957+0000
3839561ha,1,1,Heather B.,Wonderful country home with beautiful gardens!,5,2015-05-01T00:00:00.000+0000,VRBO,2016-01-05T23:21:48.527+0000
3551858ha,2,1,Diego P.,Fabulous retreat near the beach,5,2015-09-26T00:00:00.000+0000,VRBO,2015-12-18T16:42:00.287+0000
3551858ha,2,2,Tennis Bum,Cottage Near the Beach,5,2015-07-31T00:00:00.000+0000,VRBO,2015-08-27T13:45:20.753+0000
3643547ha,12,1,Elvira C.,Nice place,4,2017-05-13T00:00:00.000+0000,VRBO,2017-05-20T22:58:00.000+0000
3643547ha,12,2,kristine k.,Country retreat,5,2017-04-17T00:00:00.000+0000,VRBO,2017-04-23T16:04:00.000+0000
3643547ha,12,3,Shawn  B.,Incredible,5,2017-02-11T00:00:00.000+0000,VRBO,2017-02-13T19:00:00.000+0000
3643547ha,12,4,Natalie L.,Wonderful ,5,2016-12-12T00:00:00.000+0000,VRBO,2017-01-23T04:42:40.927+0000
3643547ha,12,5,veronica l.,confortable and cute,5,2016-10-23T00:00:00.000+0000,VRBO,2016-11-19T01:31:00.000+0000
3643547ha,12,6,Jess S.,Very nice cottage. Great place to stay if you are looking a quiet restful setting.,5,2016-09-13T00:00:00.000+0000,VRBO,2016-09-21T13:06:00.000+0000
3643547ha,12,7,Anonymous,Excellent,5,2016-08-21T00:00:00.000+0000,VRBO,2016-09-06T18:13:00.000+0000
3643547ha,12,8,Nichole M.,"Cosy, adorable cottage with everything you need",5,2016-09-03T00:00:00.000+0000,VRBO,2016-09-05T19:48:00.000+0000
3643547ha,12,9,Thomas J M.,"Quiet, peacefull, beautiful surrondings!",5,2016-07-05T00:00:00.000+0000,VRBO,2016-08-04T13:31:00.000+0000
3643547ha,12,10,Kelly C.,A nice refuge in the woods of CT,5,2016-03-16T00:00:00.000+0000,VRBO,2016-05-11T10:21:00.000+0000
3643547ha,12,11,Kevin C.,Couldn't be more pleased...,5,2015-12-23T00:00:00.000+0000,VRBO,2015-12-27T20:17:17.817+0000
