listing_id,listing_title,latitude,longitude,location_name,number_reviews,average_rating,average_nightly_price,nightly,weekend_night,property_protection_fee,cleaning_fee,tax_rate,min_stay,sleeps,bedrooms,bathrooms,property_type,internet,member_since,response_time,response_rate,calendar_last_updated,type,floor,sq_footage,max_occupancy,building_type,city,state
3597231ha,Direct Waterfront Lake Home on Tranquil Harwinton Lake,41.7856171,-73.0816187,"Northwest Harwinton, Harwinton, CT, USA",41,4.9,214,250,,,100,,3,4,2,1,cottage,Yes,2013,Within a few hours,100%,"June 7, 2017",cottage,,1000,4,,Torrington,CT
594844,Historic Ice House At Highland Lake In Winsted!,41.8906435,-73.0880408,"Winchester, CT, USA",11,4.4,150,,,,120,,7,6,2,1,house,Yes,2014,Within a few days,60%,"May 31, 2017",house,,,6,,Torrington,CT
4231080ha,Charming Victorian Lakefront - Central air - State-of-art period rebuild 2016,41.8907298,-73.09463364,"Winchester, CT, USA",4,,200,225,,,100,,2,7,3,2,house,Yes,2016,Within 12 hours,100%,"June 5, 2017",house,,,7,,Torrington,CT
997342ha,Elegant private waterfront home with peaceful sunset view from deck and dock,41.8908784,-73.0903992,"Winchester, CT, USA",10,4.6,399,400,,,150,,3,7,3,3,house,Yes,2012,Within 12 hours,100%,"June 6, 2017",house,,,7,,Torrington,CT
299027,Lakeridge Litchfield Resort Townhome  Pool  Tennis  Skiing,41.87789917,-73.10681152,"Winchester, CT, USA",4,4.8,100,,,,,,30,6,2,2,townhome,Yes,2010,Within 12 hours,100%,"June 3, 2017",townhome,,1154,6,,Torrington,CT
4564977ha,Waterfront 4 Bedroom/1.5 Bath Quaint Cottage with Amazing Views on Highland Lake,41.8912473,-73.0906568,"Winchester, CT, USA",0,,248,,,,125,,3,7,4,1,house,Yes,2017,Within a day,100%,"June 5, 2017",house,,1840,,,Torrington,CT
3011802ha,Spacious Restored Barn on 700 acre Estate with Magnficent Views,41.7004013,-73.13424784,"Thomaston, CT, USA",14,4.5,560,1,750,,,,2,12,6,6,barn,Yes,2012,Within a day,100%,"June 1, 2017",barn,,6000,12,,Torrington,CT
585115,"Pet & Kid Friendly, Solar, 13 Acres, Salt Water Pool, River Views",41.8137018,-73.3745918,"Cornwall Bridge, Cornwall, CT, USA",9,4.3,364,300,,,,,2,9,3,1,house,Yes,2014,Within an hour,100%,"June 3, 2017",house,,2000,9,,Torrington,CT
4153303ha,"Rustic Streamside Cabin, Quiet Escape near Fly fishing,  hiking, and kayaking",41.858248,-73.380135,"Cornwall, CT, USA",5,,125,159,,,,,2,3,1,1,cabin,No,2016,Within a few hours,100%,"May 24, 2017",cabin,,,3,,Torrington,CT
572212,Modern Dwell-published home - available throughout the year,41.82132,-73.431806,"Sharon, CT, USA",12,,212,200,235,,125,15.0%,3,6,3,2,house,Yes,2014,Within 12 hours,100%,"June 7, 2017",house,,2000,6,,Torrington,CT
864246,Charming Lakefront Cabin And Guest Cottage With Spectacular View,41.6975253,-73.2276937,"Morris, CT, USA",5,,535,500,,,,6.0%,3,10,5,2,cabin,Yes,2016,Within an hour,100%,"June 4, 2017",cabin,,2500,10,,Torrington,CT
4221688ha,The Beehive Cottage in Cornwall Bridge MONTHLY RENTAL,41.8011441,-73.3617904,"Cornwall Bridge, Cornwall, CT, USA",0,,70,70,,,,,20,9,4,1,cottage,No,2016,Within a day,100%,"June 1, 2017",cottage,,1400,9,,Torrington,CT
3546389ha,Beautiful Cottage and Waterfront Access,41.704989,-73.3702239,"New Preston, CT, USA",9,,220,200,250,,,,2,4,2,2,cottage,Yes,2013,Within 12 hours,100%,"June 2, 2017",cottage,,,4,,Torrington,CT
3778159ha,1770 Colonial 5 Bedrooms 4 1/2 Baths Sleeps 9,41.69517496,-73.13648123,"Thomaston, CT, USA",7,,300,300,475,,,,2,9,5,4,house,Yes,2012,Within 12 hours,100%,"May 21, 2017",house,,2900,9,,Torrington,CT
143286,"Peaceful, Secluded Brookside Home in Litchfield County",,,"Sharon, CT, USA",13,4.9,173,200,,,,,2,8,3,1,house,Yes,2007,Within 2 days,100%,"June 3, 2017",house,,2000,8,,Torrington,CT
930807ha,"Peaceful, Secluded Brookside Home in Litchfield County",,,"Sharon, CT, USA",13,4.9,167,200,,,,,2,6,3,1,house,Yes,2007,Within 2 days,100%,"June 3, 2017",house,,2500,6,,Torrington,CT
764020,Moose Lodge At Clatter Ridge Farm,41.7349699,-72.8131034,"Farmington, CT, USA",16,,400,400,,,150,,,8,4,3,house,Yes,2015,Within a few hours,100%,"June 7, 2017",house,,2600,8,,Torrington,CT
3802296ha,"Tyler Lake Cottage. Pet Friendly, Close To Litchfield For Fine Dining & Mohawk",41.8331954,-73.2566775,"Goshen, CT, USA",4,,129,,,,,,5,4,2,1,cottage,Yes,2014,Within a few hours,80%,"May 21, 2017",cottage,,900,4,,Torrington,CT
784925,"Beautiful Large Estate In The Country, Nearby Skiing, Short Or Long-Term",41.6113996,-73.3775997,"New Milford, CT, USA",13,4.9,900,750,950,,225,6.35%,1,22,6,4,house,Yes,2015,Within a few hours,100%,"June 5, 2017",house,,5600,22,,Torrington,CT
1029258,"A perfect lakeside getaway to relax, swim, grill and chill!",,,"Winchester, CT, USA",2,,400,400,,,150,15.0%,3,10,5,2,house,Yes,2017,Within 12 hours,100%,"June 7, 2017",house,,,,,Torrington,CT
887727,Scenic Lakefront Retreat,41.694885,-73.229613,"Morris, CT, USA",10,,375,500,,,,,2,8,3,2,house,Yes,2016,Within 12 hours,100%,"May 30, 2017",house,,1800,,,Torrington,CT
564227,"Complete Privacy, Tranquil Waterfront in the Litchfield Hills",41.85470535,-73.25956736,"Goshen, CT, USA",32,,350,500,,,250,,3,8,4,3,house,Yes,2014,Within an hour,100%,"May 12, 2017",house,,3200,8,,Torrington,CT
4218854ha,Dogwood Lane Simsbury,41.909832,-72.840886,"Simsbury, CT, USA",6,4.7,450,450,550,,150,,2,8,4,4,house,No,2016,Within a few hours,100%,"June 6, 2017",house,,,8,,Torrington,CT
847310,"Charming Litchfield home 1 1/2 hours from NYC in idyllic setting, 3 bedrooms",41.7196026,-73.2781296,"Litchfield, CT, USA",2,,306,,,,,6.35%,5,6,3,2,house,Yes,2016,Within a few hours,100%,"June 1, 2017",house,,,,,Torrington,CT
326527ha,"Lakefront Cottage on Quiet Lake, private dock, private beach area, boat use",41.6539083,-73.2059587,"Bethlehem Village, Bethlehem, CT, USA",11,,230,230,,,,,3,6,2,1,cottage,No,2010,Within 12 hours,100%,"May 24, 2017",cottage,,750,6,,Torrington,CT
3526558ha,House on Lake Waramaug,41.682327,-73.352474,"New Preston, Washington, CT, USA",6,4.3,288,250,400,,100,,3,7,3,2,house,Yes,2013,Within a few hours,100%,"June 7, 2017",house,,1600,7,,Torrington,CT
743269,Adorable 2 Bedroom Lake Cottage- Very Quiet and Private!,41.6526826,-73.2054677,"Bethlehem Village, Bethlehem, CT, USA",11,4.9,158,160,,,,,2,5,2,1,cottage,Yes,2015,Within a day,90%,"June 7, 2017",cottage,,790,5,,Torrington,CT
407258,5BR Woodridge Lake Rental House,,,"Goshen, CT, USA",5,,292,,,,,,6,12,5,4,house,Yes,2012,Within a few hours,100%,"June 5, 2017",house,,,12,,Torrington,CT
607259,"Lovely Cottage, Completely Remodeled Two Bedroom One Bath Can Accommodate Six.",41.70433009,-73.35566155,"New Preston, CT, USA",10,4.9,250,159,,,150,,2,6,2,1,cottage,Yes,2015,Within 2 days,90%,"June 5, 2017",cottage,,1350,6,,Torrington,CT
667038,"Cozy Cape Cod Cottage - 3BR, 1 Bath, Large Level Yard, W/D - Heat & Air Cond",41.91777304,-73.08160908,"Winsted, Winchester, CT, USA",7,4.1,117,150,,,,,2,6,3,1,cottage,No,2015,Within 12 hours,100%,"May 4, 2017",cottage,,829,6,,Torrington,CT
924064,"Adirondacks flavor bright, spacious Log Home you will never want to leave.",41.906782,-73.1506907,"Winchester Center, Winchester, CT, USA",3,,250,250,,,150,6.0%,3,7,4,2,house,Yes,2016,Within an hour,100%,"June 7, 2017",house,,,7,,Torrington,CT
829524,"Riverside Rustic on Ten Private Acres; Lakes, Hiking, Fishing Nearby",41.89076068,-73.3594485,"Cornwall, CT, USA",7,,250,250,300,,,,2,6,3,1,house,Yes,2016,Within 12 hours,100%,"June 1, 2017",house,,2000,,,Torrington,CT
439263,"Designer Hideway Near Skiing in 7 Acres of Lush Forest, Prime Foliage Viewing",,,"West Cornwall, Cornwall, CT, USA",12,4.9,362,350,375,,175,12.0%,2,10,4,3,house,Yes,2012,Within a few hours,100%,"June 5, 2017",house,,,10,,Torrington,CT
1029419,Guest Cottage on Country Estate- Newly renovated,41.61170253,-73.11384031,"Thomaston, CT, USA",2,4.5,93,93,115,,45,15.0%,2,6,2,1,cottage,Yes,2017,Within an hour,100%,"June 7, 2017",cottage,,900,6,,Torrington,CT
