listing_id,total_number_reviews,n_review,reviewer_name,title,stars,stayed,source,submitted
3597231ha,41,1,Florinda R.,Excellent,5,2017-05-15T00:00:00.000+0000,VRBO,2017-05-22T12:28:00.000+0000
3597231ha,41,2,Laura L.,"Lovely, quiet, comfortable retreat!",5,2017-02-07T00:00:00.000+0000,VRBO,2017-02-21T12:49:00.000+0000
3597231ha,41,3,Karie W.,amazing!!,5,2017-01-13T00:00:00.000+0000,VRBO,2017-01-27T13:58:00.000+0000
3597231ha,41,4,ekaterina l.,Great clean house,5,2017-01-05T00:00:00.000+0000,VRBO,2017-01-09T03:50:00.000+0000
3597231ha,41,5,Jane E.,Perfect getaway in beautiful location,5,2016-11-18T00:00:00.000+0000,VRBO,2016-11-21T15:55:00.000+0000
3597231ha,41,6,Stefanie M.,Perfect for a quiet getaway,5,2016-10-07T00:00:00.000+0000,VRBO,2016-10-12T17:56:03.860+0000
3597231ha,41,7,Artur R.,Second time staying,5,2016-10-01T00:00:00.000+0000,VRBO,2016-10-04T17:17:00.000+0000
3597231ha,41,8,Mitch & Melissa A.,Relaxing and comfortable!,5,2016-09-12T00:00:00.000+0000,VRBO,2016-10-03T15:00:00.000+0000
3597231ha,41,9,Molly C.,Wonderful relaxing weekend at a peaceful lake!,4,2016-09-17T00:00:00.000+0000,VRBO,2016-09-19T17:19:00.000+0000
3597231ha,41,10,PAUL D.,very quiet & cozy lake front getaway...,5,2016-09-01T00:00:00.000+0000,VRBO,2016-09-14T22:27:00.000+0000
3597231ha,41,11,Barbara S.,"Such a lovely, peaceful spot and a lovely home!",5,2016-09-05T00:00:00.000+0000,VRBO,2016-09-12T14:23:00.000+0000
3597231ha,41,12,Benny Z.,What a wonderful cottage and peaceful getaway,5,2016-08-26T00:00:00.000+0000,VRBO,2016-09-02T01:53:00.000+0000
3597231ha,41,13,jeanne h.,Wonderful relaxing vacation!,4,2016-08-13T00:00:00.000+0000,VRBO,2016-08-31T11:27:00.000+0000
3597231ha,41,14,Nasanna  L.,Fully equipped and gorgeous house,5,2016-08-20T00:00:00.000+0000,VRBO,2016-08-24T14:31:40.243+0000
3597231ha,41,15,Robert M.,Wonderful home.,5,2016-08-06T00:00:00.000+0000,VRBO,2016-08-14T14:12:00.000+0000
3597231ha,41,16,Ronald H.,Enjoyable visit,4,2016-07-28T00:00:00.000+0000,VRBO,2016-08-08T01:11:00.000+0000
3597231ha,41,17,Scarlett D.,Beautiful Property,5,2016-07-17T00:00:00.000+0000,VRBO,2016-07-23T11:40:00.000+0000
3597231ha,41,18,Terry & Lynn W.,Very nice quaint vacation property.,4,2016-07-09T00:00:00.000+0000,VRBO,2016-07-22T02:19:00.000+0000
3597231ha,41,19,Carmen,Another great stay at this lakefront getaway,5,2016-05-26T00:00:00.000+0000,VRBO,2016-06-22T13:12:10.857+0000
3597231ha,41,20,Carmen S.,Again a supernice stay at this great lakefront getaway,5,2016-05-26T00:00:00.000+0000,VRBO,2016-06-13T10:56:00.000+0000
3597231ha,41,21,Martha R.,Property is clean and well kept. The setting on a small lake community is tranquil.,5,2016-05-18T00:00:00.000+0000,VRBO,2016-05-24T07:09:00.000+0000
3597231ha,41,22,Two Weary Travelers,Serene Lake House,5,2016-04-14T00:00:00.000+0000,VRBO,2016-04-20T20:10:00.000+0000
3597231ha,41,23,Karen M.,Perfect for a family of 4!,5,2016-04-05T00:00:00.000+0000,VRBO,2016-04-11T14:49:00.000+0000
3597231ha,41,24,Angela C.,Fantastic lake retreat--highly recommend!,5,2015-11-29T00:00:00.000+0000,VRBO,2016-03-01T18:01:00.000+0000
3597231ha,41,25,jackie b.,Very relaxing ,5,2015-10-18T00:00:00.000+0000,VRBO,2015-10-23T10:31:18.397+0000
3597231ha,41,26,Curt A.,Tranquil setting with wonderful accomodations,5,2015-10-09T00:00:00.000+0000,VRBO,2015-10-13T17:58:10.870+0000
3597231ha,41,27,Tammy Y.,Perfect location,5,2015-09-20T00:00:00.000+0000,VRBO,2015-10-04T16:21:55.760+0000
3597231ha,41,28,Meredith L.,"Lovely home, tranquil setting",5,2015-09-23T00:00:00.000+0000,VRBO,2015-09-30T12:17:00.000+0000
3597231ha,41,29,Tammy Y.,Great fall getaway,5,2015-09-20T00:00:00.000+0000,VRBO,2015-09-26T12:26:11.383+0000
3597231ha,41,30,crystal r.,relaxing,5,2015-09-04T00:00:00.000+0000,VRBO,2015-09-15T21:07:07.900+0000
