listing_id,listing_title,latitude,longitude,location_name,number_reviews,average_rating,average_nightly_price,nightly,weekend_night,property_protection_fee,cleaning_fee,tax_rate,min_stay,sleeps,bedrooms,bathrooms,property_type,internet,member_since,response_time,response_rate,calendar_last_updated,type,floor,sq_footage,max_occupancy,building_type,city,state
4080928ha,1890 Victorian Flat (with WiFi) - Topley Estate,38.1012141,-122.2528151,"Vallejo, CA, USA",31,4.8,184,110,125,,,,2,7,2,1,house,Yes,2015,Within 12 hours,100%,"June 6, 2017",house,,1800,,,Vallejo,CA
789014,"""Rosie the Riveter"" Apt w/WiFi Internet -  San Francisco Bay Area",38.1015413,-122.2527142,"Vallejo, CA, USA",28,4.9,105,60,75,,,,2,6,1,1,apartment,Yes,2016,Within a few hours,100%,"June 6, 2017",apartment,3,700,,house,Vallejo,CA
968706,Charming Arts & Crafts House,,,"Vallejo, CA, USA",0,,100,,,,175,,60,6,3,2,house,Yes,2016,Within 12 hours,100%,"June 5, 2017",house,,1750,6,,Vallejo,CA
1039804,"Boutique Bungalow by Waterfront, Walk to Vallejo Ferry to SF and Winetrain",38.10743,-122.263575,"Vallejo, CA, USA",3,,150,135,,,75,13.0%,2,4,1,1,house,Yes,2017,Within a few hours,100%,"June 5, 2017",house,,700,,,Vallejo,CA
4500999ha,Napa Valley Gateway Home,38.105725,-122.198402,"Vallejo, CA, USA",0,,457,500,,,300,11.0%,3,12,5,3,house,Yes,2017,Within an hour,100%,"June 6, 2017",house,,2547,,,Vallejo,CA
4115020ha,Historic District Flat ~ RA66973,38.105245,-122.248373,"Vallejo, CA, USA",3,,115,,,,,,2,6,1,1,apartment,No,2012,Within an hour,,"June 8, 2017",apartment,,,,,Vallejo,CA
4327259ha,1890 Vistorian Flat (Fast Wifi) - Topley Estate ~ RA128188,38.101214,-122.252815,"Vallejo, CA, USA",0,,215,,,,,,2,7,2,1,house,Yes,2012,Within an hour,,"June 8, 2017",house,,,7,,Vallejo,CA
1015939,"Cute 1930's Home, Newly Remodeled",38.1174057,-122.2332065,"Vallejo, CA, USA",0,,62,70,,,100,,30,2,2,1,house,No,2008,,,"February 24, 2017",house,,,,,Vallejo,CA
631343,"2 Br. House 1 block from Solano Ave Near Shopping,Restaurants, And U.C Berkeley",37.89257,-122.28583,"Thousand Oaks, Berkeley, CA, USA",26,4.6,195,175,195,,95,9.5%,3,4,2,1,house,Yes,2014,Within a day,100%,"June 8, 2017",house,,1000,4,,Vallejo,CA
151803,Casa Alta with Hot Tub ~ OPEN 1 NIGHT SATURDAY 6/3 NO CLEANING FEE!!!!!,38.3032341,-122.27362061,"Alta Heights, Napa, CA, USA",80,4.8,295,,,,125,12.0%,2,6,3,2,house,Yes,2006,Within a day,100%,"June 6, 2017",house,,1260,6,,Vallejo,CA
4146987ha,"Silverado Trail Vacation House: Stroll To Dining, Nightlife, Wine Tasting & more",,,"Alta Heights, Napa, CA, USA",25,4.9,295,295,,,150,12.0%,2,4,2,1,house,Yes,2007,Within a few hours,100%,"June 5, 2017",house,,1000,,,Vallejo,CA
559049,"Gorgeous, Brand New, Fully Equipped Studio In North Berkeley, Fabulous Bay View",,,"Berkeley Hills, Berkeley, CA, USA",110,4.9,125,125,,,80,12.0%,2,2,Studio,1,studio,Yes,2014,Within 12 hours,100%,"June 7, 2017",studio,,,2,,Vallejo,CA
