listing_id,total_number_reviews,n_review,reviewer_name,title,stars,stayed,source,submitted,city,state
837207,2,1,jack n.,Perfect fit,5,2016-08-20T00:00:00.000+0000,VRBO,2016-08-30T01:50:00.000+0000,Ventura,CA
837207,2,2,Lauren B.,Amazing!,5,2016-06-25T00:00:00.000+0000,VRBO,2016-07-01T03:28:43.570+0000,Ventura,CA
821803,13,1,Allyson F.,Lovely central quiet vacation retreat!,5,2017-04-28T00:00:00.000+0000,VRBO,2017-05-08T19:04:00.000+0000,Ventura,CA
821803,13,2,Steve H.,Spring Vacation,5,2017-03-10T00:00:00.000+0000,VRBO,2017-03-21T01:51:00.000+0000,Ventura,CA
821803,13,3,Brita A.,"Location, Location, Location!",5,2016-12-25T00:00:00.000+0000,VRBO,2017-01-10T20:01:00.000+0000,Ventura,CA
821803,13,4,Shannon M.,Garden oasis,5,2016-02-08T00:00:00.000+0000,VRBO,2016-04-22T03:18:48.447+0000,Ventura,CA
821803,13,5,Tim N.,very neat and clean. Had a wonderful backyard that we were't able to use it this time,4,2015-12-17T00:00:00.000+0000,VRBO,2016-01-03T18:59:00.000+0000,Ventura,CA
821803,13,6,Anonymous,Delightful home away from home,4,2015-11-23T00:00:00.000+0000,VRBO,2015-12-04T18:31:00.000+0000,Ventura,CA
821803,13,7,Jennifer R.,Very clean and well situated for beach going and visiting Downtown and other places,4,2015-10-31T00:00:00.000+0000,VRBO,2015-11-20T17:24:00.000+0000,Ventura,CA
821803,13,8,Carol S.,Wonderful Stay,5,2015-08-31T00:00:00.000+0000,VRBO,2015-10-03T12:59:00.000+0000,Ventura,CA
821803,13,9,Diane C.,Terrific location; great stay,5,2015-06-28T00:00:00.000+0000,VRBO,2015-08-20T23:46:53.360+0000,Ventura,CA
821803,13,10,Mary and Emil,"Lovely home, lovely setting!",5,2015-08-04T00:00:00.000+0000,VRBO,2015-08-17T21:16:44.743+0000,Ventura,CA
821803,13,11,Oscar Lori H.,Great time had by all!,5,2015-07-24T00:00:00.000+0000,VRBO,2015-08-13T02:36:59.237+0000,Ventura,CA
821803,13,12,Mick,Beach idyll,5,2014-12-16T00:00:00.000+0000,VRBO,2015-03-24T20:17:28.427+0000,Ventura,CA
821803,13,13,Shannon M.,"Tranquil, quiet, the perfect beach stay!",5,2014-09-22T00:00:00.000+0000,VRBO,2015-03-02T01:46:00.427+0000,Ventura,CA
418154,66,1,Sarah B.,Simply breathtaking,5,2017-05-22T00:00:00.000+0000,VRBO,2017-05-27T01:54:00.000+0000,Ventura,CA
418154,66,2,Valerie B.,Perfect!,5,2017-05-19T00:00:00.000+0000,VRBO,2017-05-23T18:37:00.000+0000,Ventura,CA
418154,66,3,Juli F.,Fantastic Week on the Beach.,5,2017-04-24T00:00:00.000+0000,VRBO,2017-05-02T15:17:00.000+0000,Ventura,CA
418154,66,4,Patrick M.,"Beautiful, inside and out",5,2017-04-08T00:00:00.000+0000,VRBO,2017-04-27T22:10:00.000+0000,Ventura,CA
418154,66,5,Sarah S.,Great House with a Beautiful View!,5,2017-04-20T00:00:00.000+0000,VRBO,2017-04-26T15:33:00.000+0000,Ventura,CA
418154,66,6,jennifer w.,Wonderful,5,2017-04-12T00:00:00.000+0000,VRBO,2017-04-16T15:36:00.000+0000,Ventura,CA
418154,66,7,Manuela Z.,Exceptionally beautiful and amazing location!,5,2017-03-31T00:00:00.000+0000,VRBO,2017-04-04T22:53:00.000+0000,Ventura,CA
418154,66,8,LOVE TAHOE,AWESOME!,5,2017-02-23T00:00:00.000+0000,VRBO,2017-03-03T02:58:00.000+0000,Ventura,CA
418154,66,9,Courtney N.,Beautiful home and location,5,2017-02-17T00:00:00.000+0000,VRBO,2017-02-25T05:05:00.000+0000,Ventura,CA
418154,66,10,Amy T.,Beachside Oasis,5,2016-12-26T00:00:00.000+0000,VRBO,2017-01-11T04:12:00.000+0000,Ventura,CA
418154,66,11,candi b.,Fantastic!,5,2016-11-26T00:00:00.000+0000,VRBO,2016-12-11T19:07:00.000+0000,Ventura,CA
418154,66,12,Jared S.,Great location for a week on the ocean,5,2016-11-22T00:00:00.000+0000,VRBO,2016-11-29T16:05:00.000+0000,Ventura,CA
418154,66,13,Jenee G,Perfect Weekend Stay,5,2016-10-07T00:00:00.000+0000,VRBO,2016-10-13T03:03:00.000+0000,Ventura,CA
418154,66,14,Patti H.,Relaxiing Beach Front Rental,5,2016-10-03T00:00:00.000+0000,VRBO,2016-10-10T06:19:00.000+0000,Ventura,CA
418154,66,15,Shawn F.,AMAZING!!!!,5,2016-09-16T00:00:00.000+0000,VRBO,2016-10-02T15:05:00.000+0000,Ventura,CA
418154,66,16,Sue S.,The Beach House was perfect for our family.,5,2016-08-12T00:00:00.000+0000,VRBO,2016-08-21T22:00:00.000+0000,Ventura,CA
418154,66,17,Marilyn W.,This was our second time at this property. We absolutely love staying here!,5,2016-07-29T00:00:00.000+0000,VRBO,2016-08-08T12:34:00.000+0000,Ventura,CA
418154,66,18,cindi h.,PERFECT FAMILY BEACH VACATION!,5,2016-06-24T00:00:00.000+0000,VRBO,2016-07-22T00:18:00.000+0000,Ventura,CA
418154,66,19,Teri F.,Family Reuion,4,2016-07-08T00:00:00.000+0000,VRBO,2016-07-19T15:17:00.000+0000,Ventura,CA
418154,66,20,veronica e.,"Spectacular Home, Fabulous Celebration ",5,2016-05-13T00:00:00.000+0000,VRBO,2016-05-24T00:18:12.810+0000,Ventura,CA
418154,66,21,Lindsy B.,"Beautiful property, spectacular view!!",5,2016-05-04T00:00:00.000+0000,VRBO,2016-05-12T06:12:00.000+0000,Ventura,CA
418154,66,22,Patrick M.,Wonderful experience at a beautiful beachfront home,5,2016-04-14T00:00:00.000+0000,VRBO,2016-04-20T18:21:00.000+0000,Ventura,CA
418154,66,23,cindi,It was very pleasant and enjoyable right on the ocean.,5,2016-02-17T00:00:00.000+0000,VRBO,2016-02-26T16:03:00.000+0000,Ventura,CA
418154,66,24,Tawnya L.,Exceptional Property,5,2015-12-03T00:00:00.000+0000,VRBO,2016-01-08T21:29:20.357+0000,Ventura,CA
418154,66,25,Randall S.,Thanksgiving get away,5,2015-11-20T00:00:00.000+0000,VRBO,2015-12-13T13:35:44.980+0000,Ventura,CA
418154,66,26,Jennifer  O.,Refreshed and rejuvenated,5,2015-09-13T00:00:00.000+0000,VRBO,2015-11-26T04:30:17.757+0000,Ventura,CA
418154,66,27,Ventura families,Ventura families,5,2015-10-15T00:00:00.000+0000,VRBO,2015-10-23T00:48:10.653+0000,Ventura,CA
418154,66,28,Alex W.,Excellent,5,2015-10-04T00:00:00.000+0000,VRBO,2015-10-12T12:25:00.000+0000,Ventura,CA
