listing_id,total_number_reviews,n_review,reviewer_name,title,stars,stayed,source,submitted,city,state
851142,14,1,Daxiong G.,lovely house,5,2017-05-30T00:00:00.000+0000,VRBO,2017-06-07T16:09:00.000+0000,Vineland,PA
851142,14,2,Jessica H.,Lots of room! Cozy and convenient!,5,2017-02-01T00:00:00.000+0000,VRBO,2017-02-05T20:50:00.000+0000,Vineland,PA
851142,14,3,Anthony P.,"The property was just as advertised - clean, cozy & conveniently located.",5,2016-12-20T00:00:00.000+0000,VRBO,2016-12-29T20:24:00.000+0000,Vineland,PA
851142,14,4,Russell M.,Thanksgiving Week on Lake Lenape,5,2016-11-20T00:00:00.000+0000,VRBO,2016-11-28T19:44:00.000+0000,Vineland,PA
851142,14,5,John P.,Nice Well Kept Home,4,2016-11-10T00:00:00.000+0000,VRBO,2016-11-18T20:02:00.000+0000,Vineland,PA
851142,14,6,David T.,Fabulous time at a rustic location,5,2016-09-04T00:00:00.000+0000,VRBO,2016-09-14T18:01:00.000+0000,Vineland,PA
851142,14,7,Elaine H.,Fabulous house with a lovely view of the lake.,5,2016-08-21T00:00:00.000+0000,VRBO,2016-09-12T12:19:00.000+0000,Vineland,PA
851142,14,8,Lourena K.,Outstanding!!,5,2016-08-17T00:00:00.000+0000,VRBO,2016-08-24T17:25:00.000+0000,Vineland,PA
851142,14,9,Bella M.,Nice house with a lake and a park right across the street,5,2016-08-06T00:00:00.000+0000,VRBO,2016-08-22T03:20:00.000+0000,Vineland,PA
851142,14,10,Michelle R.,Great vacation spot for the family,5,2016-07-20T00:00:00.000+0000,VRBO,2016-07-29T20:28:00.000+0000,Vineland,PA
851142,14,11,Rebecca C.,Lovingly restored home - great for family!,5,2016-07-05T00:00:00.000+0000,VRBO,2016-07-26T16:01:16.610+0000,Vineland,PA
851142,14,12,Grigorii S.,Nice house in good location,5,2016-07-01T00:00:00.000+0000,VRBO,2016-07-11T03:15:00.000+0000,Vineland,PA
851142,14,13,Judy S.,Quiet and charming,5,2016-05-05T00:00:00.000+0000,VRBO,2016-06-12T04:04:00.000+0000,Vineland,PA
851142,14,14,Gerlinde B.,Tolles Haus,5,2016-07-31T00:00:00.000+0000,VRBO,2016-08-17T19:24:00.000+0000,Vineland,PA
185115ha,13,1,Christine W.,"Perfect for Fun, Rest and Relaxation",5,2016-08-17T00:00:00.000+0000,VRBO,2016-09-08T20:14:00.000+0000,Vineland,PA
185115ha,13,2,Christin K.,Beautiful location! Perfect size for my family!,5,2016-08-13T00:00:00.000+0000,VRBO,2016-08-25T17:51:00.000+0000,Vineland,PA
185115ha,13,3,Joseph D.,Perfect for my family!!!!,5,2016-07-31T00:00:00.000+0000,VRBO,2016-08-07T00:01:00.000+0000,Vineland,PA
185115ha,13,4,Felicia C.,A Remote Bayside Getaway,4,2016-05-27T00:00:00.000+0000,VRBO,2016-06-03T00:43:00.000+0000,Vineland,PA
185115ha,13,5,Jenn K.,Beautiful!,5,2015-09-24T00:00:00.000+0000,VRBO,2015-09-28T00:05:19.327+0000,Vineland,PA
185115ha,13,6,Dan Y.,Waterfront Getaway!,5,2015-08-30T00:00:00.000+0000,VRBO,2015-09-08T13:53:37.673+0000,Vineland,PA
185115ha,13,7,Cathy l.,Loved the property and the tranquility.,5,2015-08-10T00:00:00.000+0000,VRBO,2015-08-16T21:56:14.107+0000,Vineland,PA
185115ha,13,8,Heather G.,Wonderful quiet retreat!,5,2015-05-22T00:00:00.000+0000,VRBO,2015-06-09T18:33:40.257+0000,Vineland,PA
185115ha,13,9,Kelly M.,"I WILL DEFINITELY BE BACK, YOU SHOULD GO TOO :)",5,2014-08-29T00:00:00.000+0000,VRBO,2014-09-11T15:31:48.577+0000,Vineland,PA
185115ha,13,10,Leanne L.,Best vacation I had,5,2014-08-14T00:00:00.000+0000,VRBO,2014-08-19T03:14:54.233+0000,Vineland,PA
185115ha,13,11,Myounghee C.,"Water front, quiet and unique location. ,Vineland,PA
",5,2014-08-11T00:00:00.000+0000,VRBO,2014-08-18T01:44:47.537+0000,Vineland,PA
185115ha,13,12,kim h.,"Best part of Jersey, HANDS DOWN!",5,2014-07-26T00:00:00.000+0000,VRBO,2014-08-06T22:34:54.773+0000,Vineland,PA
185115ha,13,13,Carolynne  W.,Great Vacation!,5,2011-07-26T00:00:00.000+0000,VRBO,2011-08-05T02:27:49.237+0000,Vineland,PA
4268723ha,2,1,Stephanie H.,Amazing property!,5,2017-04-08T00:00:00.000+0000,VRBO,2017-04-16T19:13:00.000+0000,Vineland,PA
4268723ha,2,2,chaim k.,Amazing!,5,2016-10-13T00:00:00.000+0000,VRBO,2016-10-26T20:42:00.000+0000,Vineland,PA
321797ha,13,1,Alina M.,Beautiful outdoor wedding,5,2016-05-13T00:00:00.000+0000,VRBO,2016-06-01T02:05:30.057+0000,Vineland,PA
321797ha,13,2,Charles L.,"Still feeling wonderful""",5,2015-08-20T00:00:00.000+0000,VRBO,2015-08-26T23:47:20.753+0000,Vineland,PA
321797ha,13,3,Charles L.,"Remarkable,",5,2015-08-20T00:00:00.000+0000,VRBO,2015-08-24T17:22:53.030+0000,Vineland,PA
321797ha,13,4,Denise P.,Lovely!!!,5,2015-08-20T00:00:00.000+0000,VRBO,2015-08-24T00:21:58.980+0000,Vineland,PA
321797ha,13,5,Adam G.,Couldn't have picked a better wedding venue!,5,2014-05-16T00:00:00.000+0000,VRBO,2014-10-17T20:24:01.597+0000,Vineland,PA
