listing_id,listing_title,latitude,longitude,location_name,number_reviews,average_rating,average_nightly_price,nightly,weekend_night,property_protection_fee,cleaning_fee,tax_rate,min_stay,sleeps,bedrooms,bathrooms,property_type,internet,member_since,response_time,response_rate,calendar_last_updated,type,floor,sq_footage,max_occupancy,building_type,city
573177,"-Beautiful Ocean Front Condo, Ocean View From Every Room, Pool+Roof Top Sundeck-",36.832403,-75.970355,"Northeast Virginia Beach, Virginia Beach, VA, USA",39,4.8,194,,,,,14.0%,3,6,2,2,condo,Yes,2014,Within 2 days,100%,"June 8, 2017",condo,8,,6,,Virginia Beach
406824,"Beautiful Luxury Condo, Best Location at Va Beach Oceanfront",36.8557663,-75.97957611,"Northeast Virginia Beach, Virginia Beach, VA, USA",30,4.7,147,,,,,14.0%,7,6,2,2,condo,Yes,2012,Within a day,100%,"June 9, 2017",condo,2,,,building,Virginia Beach
424783,"Luxury Condo, Prime location 1.5 Blocks From Ocean, Handicap Access",36.85630897,-75.97911792,"Northeast Virginia Beach, Virginia Beach, VA, USA",32,4.7,137,,,,,14.0%,7,6,2,2,condo,Yes,2012,Within a day,100%,"June 9, 2017",condo,3,,,building,Virginia Beach
729906,"Ocean View Luxury Penthouse Style Condo, Top Floor",36.85601794,-75.97903586,"Northeast Virginia Beach, Virginia Beach, VA, USA",13,4.8,167,,,,,14.0%,7,6,1,2,condo,Yes,2012,Within a few hours,100%,"June 9, 2017",condo,3,1000,,building,Virginia Beach
568748,"Cozy, Dog-friendly Duplex At The North End Short Walk To The Beach!",36.909439,-75.993602,"Northeast Virginia Beach, Virginia Beach, VA, USA",71,4.9,143,,,,100,8.0%,3,4,2,1,condo,Yes,2014,Within an hour,100%,"June 9, 2017",condo,1,950,4,,Virginia Beach
619834,This Condo Is Located 5 Minutes From The Virgina Beach Board Walk And Beach,36.8327545,-75.9740791,"Northeast Virginia Beach, Virginia Beach, VA, USA",21,4.9,102,,,,,14.0%,7,6,2,1,condo,Yes,2014,Within 2 days,90%,"June 7, 2017",condo,1,,6,building,Virginia Beach
4216224ha,Dog Friendly North End Beach Cottage - Private Walkway To The Beach!,36.910607,-75.99265,"Northeast Virginia Beach, Virginia Beach, VA, USA",21,,295,275,,,,14.0%,3,10,4,3,cottage,Yes,2016,Within a few hours,100%,"June 9, 2017",cottage,,1750,10,,Virginia Beach
98786,"Resort/Beach/Boardwalk/Convention Center Area, 3 short blocks to Beach, Con. Cen",36.84353256,-75.97938538,"Northeast Virginia Beach, Virginia Beach, VA, USA",26,4.7,191,95,,,100,10.0%,1,5,2,2,house,Yes,2006,Within an hour,100%,"June 9, 2017",house,,1800,5,,Virginia Beach
165005ha,"4 Bedroom, Cape Cod with Pool, 100 yds to beach/ A 100 metres de la plage",36.725164,-75.9379697,"Sandbridge Beach, Virginia Beach, VA, USA",60,4.8,242,195,,,,15.5%,3,8,4,2,house,Yes,2007,Within a day,100%,"June 9, 2017",house,,1500,8,,Virginia Beach
4089378ha,Lovely Original Sandbridge Beach Cottage-Sleeps 14,36.752474,-75.948693,"Sandbridge Beach, Virginia Beach, VA, USA",27,4.9,349,225,,,,15.5%,3,14,6,4,house,Yes,2007,Within 2 days,100%,"June 9, 2017",house,,2500,14,,Virginia Beach
3011066ha,"Best Deal- Beautiful 1947 Built Beach House, 2 Blocks from the Oceanfront - 18+",36.848129,-75.9777469,"Northeast Virginia Beach, Virginia Beach, VA, USA",20,4.7,150,99,,,,13.5%,1,6,2,1,house,Yes,2012,Within a few hours,100%,"June 9, 2017",house,,1200,6,,Virginia Beach
903196,"Home at the VB Oceanfront! Walk to the Beach, Convention Center, Dining, Markets",36.852483,-75.983621,"Northeast Virginia Beach, Virginia Beach, VA, USA",20,4.8,300,300,,,,14.0%,2,10,3,3,house,Yes,2016,Within an hour,100%,"June 9, 2017",house,,2600,10,,Virginia Beach
570381,Resort Style Condo on the Beach!,36.697275,-75.925477,"Sandbridge Beach, Virginia Beach, VA, USA",12,4.9,114,125,,,,,4,7,2,2,condo,Yes,2014,Within a few hours,100%,"June 9, 2017",condo,4,1500,7,building,Virginia Beach
3528871ha,"Oceanfront Complex, Modern Studio on VA Beach's Famous Boardwalk",36.868258,-75.980175,"Northeast Virginia Beach, Virginia Beach, VA, USA",33,4.8,124,,,,,14.0%,3,4,Studio,1,studio,Yes,2013,Within 12 hours,100%,"June 8, 2017",studio,2,400,4,,Virginia Beach
985848ha,Remodeled Surfside Ave Virginia Beach 1 Block from Beach,36.8202039,-75.969874,"Dam Neck, Virginia Beach, VA, USA",33,4.5,266,,,,,10.0%,2,16,5,3,house,Yes,2012,Within 12 hours,100%,"June 8, 2017",house,,3000,,,Virginia Beach
999782ha,"Best Deal- Beautiful 100 Year old Beach House, 2 Blocks from Oceanfront!  18yrs+",36.8498291,-75.9788704,"Northeast Virginia Beach, Virginia Beach, VA, USA",31,4.5,189,115,125,,,13.5%,1,6,3,1,house,Yes,2012,Within a few hours,100%,"June 9, 2017",house,,1500,6,,Virginia Beach
948790,"Walk to beach! Rooftop deck for entertaining, elevator, completely remodeled!!",36.903959,-75.993376,"Northeast Virginia Beach, Virginia Beach, VA, USA",18,4.8,224,,,,100,9.0%,2,8,3,3,condo,Yes,2016,Within a day,90%,"June 9, 2017",condo,3,1625,8,house,Virginia Beach
863447,Beautiful Bay Front Property/ 2BR/2BA,36.914268,-76.065785,"Northeast Virginia Beach, Virginia Beach, VA, USA",8,,288,,,,100,8.0%,7,6,2,2,townhome,Yes,2016,Within 12 hours,100%,"June 3, 2017",townhome,1,1800,6,house,Virginia Beach
761863,Charming Chic's Nest,36.9163407,-76.1268987,"Chic's Beach, Virginia Beach, VA, USA",15,4.9,207,125,125,,,14.0%,3,6,2,1,townhome,Yes,2015,Within 2 days,100%,"June 1, 2017",townhome,,1200,6,,Virginia Beach
780420,Luxury Two Bedroom Cottage,36.8495519,-75.9793288,"Northeast Virginia Beach, Virginia Beach, VA, USA",8,4.9,250,250,,,150,8.3%,2,4,2,2,cottage,Yes,2015,Within a few hours,100%,"June 9, 2017",cottage,,1300,4,,Virginia Beach
138778ha,Kaelee's Kastle: NON-SMOKING. 12th Great Season!  Reserve  early. Many thanks!!!,,,"Sandbridge Beach, Virginia Beach, VA, USA",26,4.8,234,,,,,15.0%,3,8,3,2,condo,Yes,2006,Within an hour,100%,"June 8, 2017",condo,1,1600,8,building,Virginia Beach
7097804ha,Great Location !  1 Short Block To The Boardwalk,36.8375765,-75.9734091,"Northeast Virginia Beach, Virginia Beach, VA, USA",40,4.8,129,85,,,60,14.0%,3,5,2,1,condo,Yes,2012,Within 12 hours,100%,"June 9, 2017",condo,1,,5,,Virginia Beach
391482,Architectural Ocean Front Gem on Widest most Private Beach in Virginia Beach,36.90873337,-75.99240875,"Northeast Virginia Beach, Virginia Beach, VA, USA",41,,429,,,,,14.0%,4,16,5,2,house,Yes,2011,Within a few hours,100%,"June 9, 2017",house,,3200,16,,Virginia Beach
403818,Va. Beach Paradise 2 Br 2 Ba Condo 1 Block to Beach and on Golden Pond,36.83776093,-75.9748764,"Northeast Virginia Beach, Virginia Beach, VA, USA",39,4.7,96,125,,,,,2,4,2,2,condo,Yes,2012,Within a day,100%,"June 6, 2017",condo,1,1000,4,building,Virginia Beach
3469983ha,"Start of Summer Sale! Charming Condo 1 block to Beach JUNE SALE!  2Q cable, WiFi",36.83770808,-75.9729343,"Northeast Virginia Beach, Virginia Beach, VA, USA",13,4.4,127,185,200,,81,12.0%,4,5,2,1,condo,Yes,2006,Within 12 hours,100%,"June 2, 2017",condo,1,,5,building,Virginia Beach
595335,Cozy private family beach house,36.8941977,-75.9911935,"Northeast Virginia Beach, Virginia Beach, VA, USA",18,4.4,152,152,,,,8.0%,2,6,3,1,cottage,Yes,2014,Within a day,100%,"June 6, 2017",cottage,,,6,,Virginia Beach
873241,Mid century modern 1 bedroom apartment,36.893982,-75.988299,"Northeast Virginia Beach, Virginia Beach, VA, USA",8,4.9,200,200,,,80,8.0%,2,4,Studio,1,apartment,Yes,2014,Within 12 hours,90%,"June 8, 2017",apartment,1,,,house,Virginia Beach
871736,Beautiful Original Old Beach Charm! 5 min walk to the beach! Available 7/2 -7/8,36.8538791,-75.98157,"Northeast Virginia Beach, Virginia Beach, VA, USA",10,,357,,,,175,14.0%,6,8,3,2,house,Yes,2016,Within an hour,100%,"June 9, 2017",house,,2300,8,,Virginia Beach
4230593ha,The Retreat at Sandbridge Beach – Charming RV Cottage On The Bay,36.69869739,-75.93244059,"Sandbridge Beach, Virginia Beach, VA, USA",7,4.6,149,115,,,75,16.6%,3,4,1,1,recreational vehicle,Yes,2016,Within 12 hours,100%,"June 3, 2017",recreational vehicle,,400,4,,Virginia Beach
588170,New Construction Just Completely Renovated Handicap Friendly,36.893982,-75.988299,"Northeast Virginia Beach, Virginia Beach, VA, USA",21,,450,450,,,190,8.0%,2,9,4,3,house,Yes,2014,Within a few days,80%,"June 8, 2017",house,,3000,9,,Virginia Beach
462437,Bike to the Beach...Avoid Expensive and Hectic Parking! Also see listing 701927!,36.836827,-75.995795,"Northeast Virginia Beach, Virginia Beach, VA, USA",32,4.7,193,179,229,,,8.0%,2,9,4,2,house,Yes,2013,Within an hour,100%,"June 9, 2017",house,,1400,9,,Virginia Beach
3649599ha,Resort Living at the Beach!,36.826002,-75.970209,"Dam Neck, Virginia Beach, VA, USA",16,4.8,315,,,,,,7,9,3,2,house,Yes,2013,Within a few hours,100%,"June 1, 2017",house,,,9,,Virginia Beach
246304,Pristine Home Just One Half Block from Beach. Sleeps 8.,,,"Northeast Virginia Beach, Virginia Beach, VA, USA",23,4.9,325,325,,,,14.0%,2,8,4,3,house,Yes,2009,Within 12 hours,100%,"June 9, 2017",house,,2400,8,,Virginia Beach
740705,Cottage on Back Bay Wild Life Refuge at Sandbridge Beach,36.6976135,-75.9277199,"Sandbridge Beach, Virginia Beach, VA, USA",10,,121,125,150,,50,11.0%,2,5,2,1,recreational vehicle,Yes,2014,Within 12 hours,100%,"June 9, 2017",recreational vehicle,,400,,,Virginia Beach
4198434ha,"New, Upscale, Family-Friendly House only 2 Blocks to the Beach and Boardwalk.",36.853783,-75.97937,"Northeast Virginia Beach, Virginia Beach, VA, USA",24,,400,,,,150,14.0%,1,10,3,3,house,Yes,2015,Within an hour,100%,"June 9, 2017",house,,1600,10,,Virginia Beach
870516,fireplace; two bedroom;two bath  walk to amenities - Very spacious,36.8378798,-75.9754386,"Northeast Virginia Beach, Virginia Beach, VA, USA",7,,236,285,,,100,8.0%,5,6,2,2,condo,Yes,2016,Within 2 days,90%,"May 25, 2017",condo,1,1150,6,building,Virginia Beach
953067,Waterfront House with Docking -Boaters Paradise- Walk or Ride Your Bike to Beach,36.903367,-76.063548,"Cape Story by the Sea, Virginia Beach, VA, USA",13,4.8,283,275,,,120,14.0%,2,10,4,3,house,Yes,2012,Within a few hours,100%,"June 9, 2017",house,,2100,,,Virginia Beach
420470,Luxurious Beachfront Retreat - Many upgrades and million dollar views,36.917246,-76.125206,"Chic's Beach, Virginia Beach, VA, USA",20,4.7,292,350,,,150,14.0%,3,8,3,2,townhome,Yes,2012,Within an hour,100%,"June 5, 2017",townhome,,1500,8,,Virginia Beach
187889ha,"KELLYE'S VILLA: CONDO, BEACH FRONT, Ocean View, NO Smoking, Children Welcome",36.697275,-75.925477,"Sandbridge Beach, Virginia Beach, VA, USA",22,4.8,213,165,,,,15.5%,4,6,2,2,condo,Yes,2008,Within 12 hours,100%,"June 9, 2017",condo,1,1485,,building,Virginia Beach
598512,Cottage on Back Bay Wild Life Refuge at Sandbridge Beach,36.70276669,-75.93116937,"Sandbridge Beach, Virginia Beach, VA, USA",21,4.9,117,120,135,,50,11.0%,2,6,1,1,recreational vehicle,Yes,2014,Within an hour,100%,"June 9, 2017",recreational vehicle,,400,,,Virginia Beach
721511,Newly remodeled!   A block and a half walk to the ocean.,36.8376231,-75.9745407,"Northeast Virginia Beach, Virginia Beach, VA, USA",28,4.9,159,140,,,,11.0%,2,6,2,2,condo,Yes,2015,Within an hour,100%,"June 8, 2017",condo,2,1050,6,building,Virginia Beach
890182,"Condo, Prime Location 1.5 Blocks From Beach",36.85596926,-75.97933262,"Northeast Virginia Beach, Virginia Beach, VA, USA",0,,147,,,,,14.0%,7,6,2,2,condo,Yes,2016,Within a few hours,100%,"June 9, 2017",condo,,,6,,Virginia Beach
