listing_id,listing_title,latitude,longitude,location_name,number_reviews,average_rating,average_nightly_price,nightly,weekend_night,property_protection_fee,cleaning_fee,tax_rate,min_stay,sleeps,bedrooms,bathrooms,property_type,internet,member_since,response_time,response_rate,calendar_last_updated,type,floor,sq_footage,max_occupancy,building_type,city
4251178ha,"Location, Location, Location",38.892957,-77.001774,"Stanton Park, Washington, DC, USA",27,4.9,125,125,,,,10.0%,,5,1,1,townhome,Yes,2016,Within an hour,100%,"June 8, 2017",townhome,1,,5,house,Washington
449777,"Dupont, Close To Metro, Best Location,within Walking Distance",38.913837,-77.040738,"Dupont Circle, Washington, DC, USA",22,,110,110,,,,14.5%,3,3,1,1,townhome,Yes,2012,Within a few days,30%,"June 7, 2017",townhome,1,600,3,,Washington
4055097ha,Amazing M Street Apartment,38.90601,-77.0298862,"Logan Circle, Washington, DC, USA",36,4.6,311,,,,,,1,5,2,2,apartment,Yes,2011,Within an hour,,"June 9, 2017",apartment,,1020,5,,Washington
197087,Penthouse with Lush Garden in the Sky!,38.92209244,-77.0450592,"Adams Morgan, Washington, DC, USA",24,4.9,179,,,,100,,2,2,1,1,condo,Yes,2003,Within 2 days,80%,"June 2, 2017",condo,3,725,2,,Washington
4213897ha,"The Space You Need, Unbeatable Location",38.89620793,-76.97454975,"Northeast Washington, Washington, DC, USA",2,,100,100,,,,,30,7,4,1,house,Yes,2016,Within a day,80%,"May 3, 2017",house,,1300,,,Washington
4088901ha,Amazing Massachusetts Avenue Apartment,38.8995499,-77.0158474,"Mount Vernon Triangle, Washington, DC, USA",21,4.4,304,,,,,,1,5,2,2,apartment,Yes,2011,Within an hour,,"June 9, 2017",apartment,,1315,5,,Washington
453512,"Capitol Hill/Eastern Market Stunner, Walk to Metro, 1,000sqft, FREE Parking",38.881115,-77.000337,"Capitol Hill, Washington, DC, USA",110,4.9,189,189,,,75,14.5%,,6,1,1,house,Yes,2013,Within a few hours,100%,"June 8, 2017",house,,1000,6,,Washington
4058061ha,Amazing 8th Street Apartment,38.895654,-77.022662,"Chinatown, Washington, DC, USA",36,4.7,538,,,,,,1,5,2,2,apartment,Yes,2011,Within an hour,,"June 9, 2017",apartment,,983,5,,Washington
471027,Welcome to the best block on the Hill.,38.892224,-76.993295,"Hill East, Washington, DC, USA",79,4.9,115,125,125,,60,14.5%,2,4,1,1,apartment,Yes,2013,Within a day,100%,"June 7, 2017",apartment,1,660,4,house,Washington
3583114ha,Modern English Basement Apartment In Washington's Most Trendy Neighborhood,38.914704,-77.030028,"Cardozo, Washington, DC, USA",45,4.7,155,155,,,,,3,3,1,1,apartment,Yes,2012,Within 12 hours,90%,"June 7, 2017",apartment,0,900,3,,Washington
228440,Capitol Hill Rowhouse - Best Location to See D.C.!,38.89687347,-77.00229645,"Stanton Park, Washington, DC, USA",135,4.9,375,375,,,150,14.5%,3,8,3,2,house,Yes,2009,Within a few hours,100%,"June 9, 2017",house,,1850,8,,Washington
453903,"New Studio Apartment In Heart Of Adams Morgan Washington, DC.",38.9200469,-77.0410696,"Adams Morgan, Washington, DC, USA",11,4.7,110,,,,60,,7,2,1,1,studio,Yes,2013,Within a few days,60%,"May 23, 2017",studio,1,400,2,house,Washington
504156,WINTER SALE!!! $75 On Select Nights!!,38.887369,-76.994758,"Hill East, Washington, DC, USA",61,4.7,165,165,,,,14.5%,,5,2,1,apartment,Yes,2014,Within a day,90%,"June 6, 2017",apartment,1,800,5,,Washington
3526541ha,Capitol Hill: As Close as You Can Get to U.S. Capitol.,38.8885735,-77.0017611,"Capitol Hill, Washington, DC, USA",76,4.9,345,350,380,,200,14.5%,3,8,3,3,house,Yes,2003,Within a few hours,90%,"June 7, 2017",house,,1200,8,,Washington
601885,New Hip Apartment Minutes To Metro And Washington's Best Sites,38.938491,-77.02004,"Petworth, Washington, DC, USA",101,,121,125,,,35,,2,3,1,1,apartment,Yes,2014,Within 12 hours,100%,"June 8, 2017",apartment,,850,3,,Washington
669638,Ground Level Apartment Close Proximity To Metro Station,38.8900756,-76.9352707,"Capitol View, Washington, DC, USA",48,4.7,83,90,,,,,3,6,2,1,apartment,Yes,2015,Within 12 hours,90%,"June 3, 2017",apartment,1,915,6,building,Washington
345800,Dupont Circle - 6 Blocks to The National Mall and White House,38.90854263,-77.03913879,"Dupont Circle, Washington, DC, USA",48,4.8,119,109,,,100,14.5%,5,3,1,1,condo,Yes,2011,Within a day,90%,"June 10, 2017",condo,1,600,3,,Washington
780120,Amazing Rowhouse-Steps From U.S. Capitol,38.884738,-77.008705,"Capitol Hill, Washington, DC, USA",39,4.9,256,255,,,,14.5%,3,6,2,1,townhome,Yes,2013,Within a few hours,100%,"June 9, 2017",townhome,2,1000,6,house,Washington
606350,Capitol Hill Rowhouse At Seward Square - Unit 1,38.886718,-76.999744,"Capitol Hill, Washington, DC, USA",70,4.9,295,295,,,130,14.5%,3,6,2,2,townhome,Yes,2009,Within a few hours,100%,"June 9, 2017",townhome,1,900,6,,Washington
922985,Gorgeous Hill Home! Best location & family friendly! Per diem friendly! Flexible,38.887369,-76.994758,"Southeast Washington, Washington, DC, USA",18,4.7,375,375,,,135,14.5%,,8,4,2,house,Yes,2014,Within 2 days,80%,"June 4, 2017",house,,2800,8,,Washington
698259,Location & Beauty On Capitol Hill!,38.89224,-76.999753,"Stanton Park, Washington, DC, USA",64,4.7,169,169,,,100,14.5%,2,4,1,1,apartment,Yes,2014,Within a day,80%,"June 7, 2017",apartment,,,4,building,Washington
458832,"Sleek Modern, Prime Cap Hill Location, PARKING Blocks To Capitol,Bikes",38.8898194,-76.9949526,"Hill East, Washington, DC, USA",62,4.7,150,150,,,80,14.5%,3,4,1,1,apartment,Yes,2012,Within 12 hours,100%,"June 8, 2017",apartment,1,420,4,house,Washington
390722,Charming English Basement Apartment in Historic Dupont Circle,38.91431427,-77.03484344,"Dupont Circle, Washington, DC, USA",92,4.8,149,149,,,,,3,4,1,1,apartment,Yes,2011,Within a few hours,100%,"June 9, 2017",apartment,0,650,4,house,Washington
179524,Top Location - Close to the Dupont Circle - Walk to the White House,,,"Dupont Circle, Washington, DC, USA",115,4.9,314,340,,,100,,2,5,2,2,condo,Yes,2008,Within 12 hours,100%,"June 8, 2017",condo,,1200,,,Washington
4159086ha,Attractive M Street Apartment,38.906058,-77.0299179,"Logan Circle, Washington, DC, USA",24,,298,,,,,,1,5,2,2,apartment,Yes,2011,Within an hour,,"June 9, 2017",apartment,,1020,5,,Washington
477263,Best Location-As Close to the Capitol as You Can Get!!,38.884738,-77.008705,"Capitol Hill, Washington, DC, USA",105,,299,300,,,150,14.5%,3,6,3,1,house,Yes,2013,Within 12 hours,100%,"June 9, 2017",house,,1600,6,,Washington
913567ha,Elequent Row House located 1/2 block from Senate Office building,38.893369,-77.002461,"Capitol Hill, Washington, DC, USA",70,4.8,355,345,365,,,14.5%,3,6,3,3,house,Yes,2003,Within 12 hours,90%,"June 7, 2017",house,,1500,6,,Washington
606355,Capitol Hill Rowhouse At Seward Square - Unit 4,38.886718,-76.999744,"Capitol Hill, Washington, DC, USA",56,4.9,295,295,,,130,14.5%,3,6,2,2,townhome,Yes,2009,Within a few hours,100%,"June 9, 2017",townhome,0,950,6,,Washington
173746,"Capitol Hill  Carriage House - Close to Everything, Walk to the Mall",38.89006042,-76.99678802,"Capitol Hill, Washington, DC, USA",175,4.9,150,175,,,90,14.5%,3,4,1,1,apartment,Yes,2008,Within 12 hours,100%,"June 7, 2017",apartment,,,4,,Washington
213906ha,Quiet elegant townhome 1.5 miles from National Mall/U.S. Capitol/Smithsonians,38.916064,-77.014958,"Le Droit Park, Washington, DC, USA",84,4.7,313,350,400,,150,,4,14,4,3,townhome,Yes,2008,Within 12 hours,90%,"June 7, 2017",townhome,,3500,14,,Washington
606822,Victorian Flat in Capitol Hill- US Capitol/Eastern Market/Union Station,38.890626,-76.990612,"Hill East, Washington, DC, USA",60,4.9,129,125,,,125,,3,4,1,1,apartment,Yes,2014,Within an hour,90%,"June 9, 2017",apartment,,700,4,house,Washington
4044460ha,Petworth Garden Apartment,38.938468,-77.020703,"Petworth, Washington, DC, USA",38,4.9,103,120,,,40,15.0%,3,4,1,1,townhome,Yes,2015,Within a few days,80%,"June 9, 2017",townhome,0,700,4,house,Washington
215793,"Dupont Circle Luxury, Walk to the White House and the Mall",,,"Dupont Circle, Washington, DC, USA",97,4.8,329,350,,,100,,2,6,2,2,condo,Yes,2008,Within 12 hours,100%,"June 3, 2017",condo,2,1200,,building,Washington
3550803ha,4 bathrooms for 3 bedrooms,38.8885735,-77.0017611,"Capitol Hill, Washington, DC, USA",77,4.9,360,355,370,,200,14.5%,3,8,3,4,house,Yes,2003,Within an hour,100%,"June 7, 2017",house,,1400,8,,Washington
340116ha,"Walk to Metro, Museums & Nightlife. Private parking. Popular Neighborhood.",38.9155779,-77.01609,"Le Droit Park, Washington, DC, USA",61,4.5,254,320,375,,150,,2,10,3,2,townhome,Yes,2010,Within an hour,100%,"June 9, 2017",townhome,,2100,10,,Washington
418771,Stunning Apt! Prime Location-Blks To Capitol  - Bikes/Parking,38.8898058,-76.9949527,"Capitol Hill, Washington, DC, USA",63,4.7,190,190,,,80,14.25%,3,6,2,1,apartment,Yes,2012,Within a few days,80%,"June 4, 2017",apartment,,,6,,Washington
642996,Private Suite Fully Equipped & Brief Walk To Metro,38.940038,-77.031276,"Petworth, Washington, DC, USA",56,4.4,99,99,105,,55,,2,4,1,1,townhome,Yes,2014,Within an hour,100%,"June 9, 2017",townhome,0,750,4,,Washington
980349,Light-Filled Townhouse In H St-Capitol Hill,,,"Hill East, Washington, DC, USA",13,,125,125,,,75,14.5%,3,4,1,1,house,Yes,2016,Within an hour,100%,"June 6, 2017",house,,672,4,,Washington
