listing_id,total_number_reviews,n_review,reviewer_name,title,stars,stayed,source,submitted,city,state
4251178ha,27,1,Brianne W.,Great Little Apartment and Great Location!,5,2017-05-12T00:00:00.000+0000,VRBO,2017-05-26T13:03:00.000+0000,Washington,DC
4251178ha,27,2,Kathryn W.,Excellent location that is perfect for a couple.,4,2017-04-24T00:00:00.000+0000,VRBO,2017-05-12T06:23:00.000+0000,Washington,DC
4251178ha,27,3,Shirley S.,Saw much. More to see. Must come back.,4,2017-04-30T00:00:00.000+0000,VRBO,2017-05-06T14:15:00.000+0000,Washington,DC
4251178ha,27,4,Slim,"Comfortable, affordable and enjoyable",5,2017-03-26T00:00:00.000+0000,VRBO,2017-04-01T16:45:00.000+0000,Washington,DC
4251178ha,27,5,Heather M.,Great Basement Apartment within walking distance to Union Station,5,2017-03-17T00:00:00.000+0000,VRBO,2017-03-26T21:55:00.000+0000,Washington,DC
4251178ha,27,6,Carmen B.,Great location,5,2017-03-11T00:00:00.000+0000,VRBO,2017-03-16T21:14:00.000+0000,Washington,DC
4251178ha,27,7,Cindy N.,Fabulous Location!,5,2017-03-04T00:00:00.000+0000,VRBO,2017-03-15T00:24:00.000+0000,Washington,DC
4251178ha,27,8,Bill M.,perfect ground floor DC apartment,5,2017-02-25T00:00:00.000+0000,VRBO,2017-03-14T13:27:00.000+0000,Washington,DC
4251178ha,27,9,Kacey B.,Perfect stay for one looking to explore DC,5,2017-02-20T00:00:00.000+0000,VRBO,2017-02-27T22:02:00.000+0000,Washington,DC
4251178ha,27,10,Anonymous,I loved it,5,2017-02-14T00:00:00.000+0000,VRBO,2017-02-17T12:44:00.000+0000,Washington,DC
4251178ha,27,11,Josina M.,Perfect location and wonderful amenities!,5,2017-02-08T00:00:00.000+0000,VRBO,2017-02-12T14:11:00.000+0000,Washington,DC
4251178ha,27,12,Shannon S.,Perfect!,5,2017-01-02T00:00:00.000+0000,VRBO,2017-01-09T22:34:00.000+0000,Washington,DC
4251178ha,27,13,Kristi C.,"Great location, great accomodations and great experience!",5,2016-12-24T00:00:00.000+0000,VRBO,2016-12-30T21:25:00.000+0000,Washington,DC
4251178ha,27,14,Ilana B.,"Cozy, Convenient, Well Taken Care Of!",5,2016-12-06T00:00:00.000+0000,VRBO,2016-12-11T22:06:00.000+0000,Washington,DC
4251178ha,27,15,Joan Z.,Great get away with everything one would need for a long weekend away. The location is excellent .,4,2016-11-11T00:00:00.000+0000,VRBO,2016-11-26T04:22:00.000+0000,Washington,DC
4251178ha,27,16,Henry M.,It was perfect for us. Very cozy and comfortable. Location excellent. Would stay there againin,5,2016-10-25T00:00:00.000+0000,VRBO,2016-11-07T23:21:00.000+0000,Washington,DC
4251178ha,27,17,Delilah M.,Perfect location!,5,2016-10-21T00:00:00.000+0000,VRBO,2016-10-24T23:25:00.000+0000,Washington,DC
4251178ha,27,18,Luckywin,Couldn't ask for better,5,2016-10-16T00:00:00.000+0000,VRBO,2016-10-24T21:32:00.000+0000,Washington,DC
4251178ha,27,19,Rudy H.,Affordable and cozy home very close to the DC Mall,5,2016-10-10T00:00:00.000+0000,VRBO,2016-10-24T02:48:00.000+0000,Washington,DC
4251178ha,27,20,Bruce & Janet,Wonderful location for visiting the National Mall!,4,2016-10-08T00:00:00.000+0000,VRBO,2016-10-19T15:11:00.000+0000,Washington,DC
4251178ha,27,21,Rich & Andrea Bennett,great location in an awesome neighborhood,5,2016-10-02T00:00:00.000+0000,VRBO,2016-10-09T17:10:00.000+0000,Washington,DC
4251178ha,27,22,Casey W.,Very Quaint,5,2016-09-18T00:00:00.000+0000,VRBO,2016-09-28T18:34:00.000+0000,Washington,DC
4251178ha,27,23,Victor S.,Very Satisfied!,5,2016-09-13T00:00:00.000+0000,VRBO,2016-09-19T00:35:00.000+0000,Washington,DC
4251178ha,27,24,Brigitte F.,LOCATION LOCATION LOCATION! !!,5,2016-08-21T00:00:00.000+0000,VRBO,2016-08-25T17:54:00.000+0000,Washington,DC
4251178ha,27,25,Rachel H.,Above and Beyond Our Expectations,5,2016-08-16T00:00:00.000+0000,VRBO,2016-08-21T02:05:00.000+0000,Washington,DC
4251178ha,27,26,Jennifer S.,Perfect!,5,2016-08-01T00:00:00.000+0000,VRBO,2016-08-07T00:43:00.000+0000,Washington,DC
4251178ha,27,27,Mariano F.,Limpio y sin problemas. Nevera llena,5,2017-04-01T00:00:00.000+0000,VRBO,2017-04-06T11:51:00.000+0000,Washington,DC
449777,22,1,Kelly M.,Nice,4,2017-05-24T00:00:00.000+0000,VRBO,2017-05-27T17:38:00.000+0000,Washington,DC
449777,22,2,michael c.,Great location,5,2017-05-18T00:00:00.000+0000,VRBO,2017-05-23T00:59:00.000+0000,Washington,DC
449777,22,3,Troy R.,"Excellent location, large, spacious apartment",4,2017-05-14T00:00:00.000+0000,VRBO,2017-05-18T00:54:00.000+0000,Washington,DC
449777,22,4,Ines C.,Cozy and comfy place on the best location!,5,2017-05-04T00:00:00.000+0000,VRBO,2017-05-14T21:31:00.000+0000,Washington,DC
449777,22,5,Olha O.,Great location !,4,2017-05-10T00:00:00.000+0000,VRBO,2017-05-14T19:05:00.000+0000,Washington,DC
