listing_id,listing_title,latitude,longitude,location_name,number_reviews,average_rating,average_nightly_price,nightly,weekend_night,property_protection_fee,cleaning_fee,tax_rate,min_stay,sleeps,bedrooms,bathrooms,property_type,internet,member_since,response_time,response_rate,calendar_last_updated,type,floor,sq_footage,max_occupancy,building_type,city
588399,"Better amenities than a hotel in Akron, Ohio",41.07838,-81.57247,"West Akron, Akron, OH, USA",11,4.7,125,125,,,100,6.5%,2,6,3,2,house,Yes,2014,Within 12 hours,100%,"June 6, 2017",house,,1500,6,,Akron
159220ha,Peaceful Lakefront Cottage... Relaxation?  Romantic escape?  Fishing getaway?,41.006163,-81.546306,"Akron, OH, USA",83,4.9,125,125,150,,,,3,4,1,1,cottage,Yes,2007,Within an hour,100%,"June 6, 2017",cottage,,900,4,,Akron
3997520ha,"1890 Victorian Home in Country Setting, conveniently located",41.0843289,-81.411571,"Tallmadge, OH, USA",17,4.5,113,125,,,,,,6,3,1,farmhouse,Yes,2015,Within a day,90%,"June 7, 2017",farmhouse,,1700,6,,Akron
3591310ha,"Timeless Lakefront With Peaceful Mornings,Fun Filled Days & Crimson Evenings",41.006537,-81.546117,"Akron, OH, USA",39,4.6,153,149,189,,,,,6,2,1,chateau / country house,Yes,2013,Within a few hours,100%,"June 5, 2017",chateau / country house,,1200,6,,Akron
4162008ha,"Guest Suite With Secret Passage Akron, Oh",41.092685,-81.560789,"West Akron, Akron, OH, USA",3,,135,135,,,,,1,2,1,1,house,No,2016,Within an hour,100%,"April 28, 2017",house,,,2,,Akron
792987,Lakefront Retreat! A Family Friendly Get Away Between Akron And Canton OH,41.03446,-81.445463,"Akron, OH, USA",3,4.3,233,295,,,,,3,6,3,2,cottage,Yes,2012,Within a few hours,100%,"June 6, 2017",cottage,,1320,6,,Akron
4440338ha,Total Home access in Bath/Akron OH,41.145929,-81.610348,"Akron, OH, USA",1,,185,185,,,50,6.75%,,6,2,2,house,Yes,2017,Within 12 hours,100%,"May 19, 2017",house,,2850,6,,Akron
433936,Lakefront Cottage with Spectacular Views,41.028959,-81.435473,"Akron, OH, USA",12,4.9,158,215,,,,,3,4,1,1,cottage,Yes,2012,Within 12 hours,100%,"February 27, 2017",cottage,,,4,,Akron
769217,"Elegant, Family-Friendly Home on Quiet Cul-De-Sac",41.146705,-81.515987,"Merriman Valley, Cuyahoga Falls, OH, USA",1,,457,500,,,150,,,10,4,3,house,Yes,2015,Within a few hours,100%,"June 7, 2017",house,,3700,,,Akron
4546365ha,"Heaven like home , place you would like to be",,,"Cuyahoga Falls, OH, USA",0,,180,95,,,20,5.0%,1,3,2,1,apartment,No,2017,,,"May 31, 2017",apartment,,,,,Akron
878048,Charming 2 Bedroom Condo in the Heart of Downtown Hudson,41.24184,-81.449485,"Hudson, OH, USA",5,,54,,,,,,30,4,2,1,condo,Yes,2016,Within a few hours,100%,"May 18, 2017",condo,3,,4,building,Akron
576008,Offering monthly rentals,41.19545767,-81.33807961,"Kent, OH, USA",7,,83,,,,250,,30,12,5,3,house,Yes,2014,Within 12 hours,90%,"May 3, 2017",house,,2600,12,,Akron
730514,"Luxury Lakefront Home | Akron, OH",40.988608,-81.52589,"Akron, OH, USA",6,,400,400,,,125,6.75%,4,8,4,4,house,Yes,2014,Within 12 hours,100%,"June 5, 2017",house,,2659,8,,Akron
3525155ha,COMFORT COTTAGE  -On the Lake and Golf Course View,40.972491,-81.534495,"Akron, OH, USA",35,4.9,200,200,230,,,,3,6,2,1,house,Yes,2013,Within an hour,100%,"June 6, 2017",house,,,6,,Akron
3604133ha,Luxury Portage Lakefront Private Home,40.989168,-81.522904,"Portage Lakes, OH, USA",28,4.8,300,300,,,,6.5%,3,6,2,3,house,Yes,2013,Within 12 hours,100%,"June 7, 2017",house,,3200,6,,Akron
614976,Private 13 Acre Horse Farm With Luxury Guest House,41.249878,-81.729104,"Hinckley, OH, USA",30,,195,195,,,,,2,4,2,1,farmhouse,Yes,2014,Within 12 hours,100%,"June 6, 2017",farmhouse,,1200,4,,Akron
604872,Cuyahoga Valley Natl Park Luxury Home,41.2409825,-81.5550876,"Peninsula, OH, USA",38,4.9,500,500,,,,6.75%,1,10,4,4,house,Yes,2014,Within an hour,90%,"June 1, 2017",house,,4000,,,Akron
4276300ha,"Quiet, Comfortable, Country House In Hinckley. 30 Minutes To Cleveland And Akron",41.23430075,-81.75493758,"Hinckley, OH, USA",6,4.7,132,114,129,,,,2,8,3,2,house,Yes,2016,Within a few hours,90%,"June 5, 2017",house,,,8,,Akron
740903,Beautiful Lakefront Vacation Home,40.991371,-81.538177,"Portage Lakes, OH, USA",13,,225,200,250,,150,6.75%,3,8,3,1,house,Yes,2015,Within 12 hours,100%,"June 1, 2017",house,,1500,,,Akron
4218100ha,"Beautiful Garden Apartment Easy Access to Akron, Cleveland, and Amish Country",41.037012,-81.665586,"Norton, OH, USA",5,4.2,64,85,,,,,2,4,1,1,apartment,No,2016,Within a day,100%,"June 6, 2017",apartment,1,425,4,house,Akron
796575,Located In The Heart Of Beautiful Downtown Peninsula On The Towpath Trail,41.241629,-81.550637,"Peninsula, OH, USA",6,4.5,250,300,250,,,6.75%,,6,2,2,house,Yes,2014,Within a few hours,100%,"June 4, 2017",house,,1600,6,,Akron
953326ha,"Newly updated!Charming Country Living Richfield, OH",41.250022,-81.637541,"Richfield, OH, USA",12,3.8,193,200,225,,35,,4,8,4,2,house,No,2012,Within a day,90%,"May 15, 2017",house,,2200,8,,Akron
4151727ha,"Country Living Cleveland, Akron - pet friendly house -",41.251381,-81.639141,"Richfield, OH, USA",5,4.6,157,150,200,,50,,4,7,4,2,house,No,2012,Within a few hours,100%,"May 31, 2017",house,,,7,,Akron
894727,Designer House Overlooking Serene Metropark,41.245787,-81.6245129,"Richfield, OH, USA",1,,250,250,,,100,,2,8,3,2,house,Yes,2016,Within a day,100%,"May 30, 2017",house,,2500,8,,Akron
663243,5th Generation Family Farm Located In the CVNP Minutes From Cleveland And Akron,41.2380252,-81.5554995,"Peninsula, OH, USA",13,4.8,169,175,,,35,,,4,1,1,apartment,Yes,2015,Within 12 hours,90%,"June 6, 2017",apartment,1,1000,4,farmhouse,Akron
439371,Cozy Bungalow...Your Home Away from Home!,40.852292,-81.387799,"Canton, OH, USA",13,4.7,78,,,,,,7,5,3,1,house,Yes,2012,Within a few hours,80%,"May 28, 2017",house,,1400,5,,Akron
1003070,Modern Minimalist House in Cuyahoga Valley National Park,,,"Peninsula, OH, USA",2,,170,170,,,70,7.0%,,6,3,1,house,Yes,2017,Within a day,100%,"June 5, 2017",house,,1300,,,Akron
3791742ha,Relax On The Beautiful Portage Lakes,40.975307,-81.547941,"New Franklin, OH, USA",25,4.8,230,200,250,,,,2,8,2,2,house,Yes,2014,Within an hour,100%,"June 2, 2017",house,,1500,8,,Akron
608564,Luxury Lakefront Home,40.988924,-81.526271,"Portage Lakes, OH, USA",1,,400,400,,,100,,5,8,4,3,house,Yes,2014,Within a few days,90%,"June 5, 2017",house,,3500,8,,Akron
892636,Home sold no longer available,41.260325,-81.405762,"Hudson, OH, USA",0,,600,600,,,300,,3,12,5,3,house,No,2016,Within a few days,100%,"May 28, 2017",house,,3022,12,,Akron
776847,Luxury Home Great for Entertaining the RNC - In-ground Pool - close to Cleveland,,,"Twinsburg, OH, USA",0,,,1,,,,7.5%,3,10,4,3,house,Yes,2016,Within a few days,40%,"February 4, 2017",house,,2700,10,,Akron
4480219ha,Home Away From Home in Canton,,,"Canton, OH, USA",0,,57,57,,,125,,2,5,3,1,apartment,No,2017,Within a few days,50%,"March 9, 2017",apartment,,,,,Akron
872376,Republican National Convention housing,41.20437,-81.733909,"Hinckley, OH, USA",0,,,2,,,,,5,6,3,3,house,No,2016,,0%,"May 30, 2016",house,,,6,,Akron
4236656ha,Private Luxurious Country Club Penthouse,40.84185873,-81.46797995,"Canton, OH, USA",0,,801,985,,,,,,6,2,3,condo,Yes,2016,,0%,"May 11, 2017",condo,,,6,,Akron
394344,Historic House in National Park Access to Scenic Hiking Trails,41.27374649,-81.56251526,"Peninsula, OH, USA",13,4.9,650,600,900,,,,2,31,9,3,farmhouse,Yes,2012,Within a few days,80%,"April 13, 2017",farmhouse,,,31,,Akron
490685,The Generations Luxury Cabin With Inground Pool Sleeps 21,41.017352,-81.250454,"Hartville, OH, USA",10,4.9,458,449,665,,150,,2,21,5,3,cabin,Yes,2011,Within an hour,100%,"May 12, 2017",cabin,,,21,,Akron
845711,Rent for RNC in Cleveland,40.815235,-81.506519,"Massillon, OH, USA",0,,417,600,,,,,,10,5,4,house,No,2016,,0%,"February 26, 2017",house,,,10,,Akron
