listing_id,listing_title,latitude,longitude,location_name,number_reviews,average_rating,average_nightly_price,nightly,weekend_night,property_protection_fee,cleaning_fee,tax_rate,min_stay,sleeps,bedrooms,bathrooms,property_type,internet,member_since,response_time,response_rate,calendar_last_updated,type,floor,sq_footage,max_occupancy,building_type,city
511097,Beautiful Lake Front Home with Spectacular Views!,35.29924817,-80.08154999,"Mt Gilead, NC, USA",42,4.8,175,175,,,100,,3,10,4,2,house,Yes,2013,Within a few hours,100%,"June 6, 2017",house,,1500,10,,Albemarle
872400,Amazing water front home on Badin Lake with private pier and gorgeous views,35.494663,-80.104074,"New London, NC, USA",16,4.9,255,200,,,150,7.0%,2,8,4,2,cottage,Yes,2016,Within a few hours,90%,"June 6, 2017",cottage,,,8,,Albemarle
564990,New and Updated Waterfront Retreat,35.506837,-80.104424,"New London, NC, USA",29,4.8,150,150,,,75,7.0%,2,5,2,1,cottage,No,2014,Within a day,90%,"June 7, 2017",cottage,,,5,,Albemarle
724125,Lakefront Home at Badin Lake,35.47905,-80.085496,"New London, NC, USA",31,4.5,108,110,,,,3.0%,2,4,1,1,cottage,Yes,2015,Within an hour,100%,"June 7, 2017",cottage,,,4,,Albemarle
803439,"Beautiful 5 Bedroom, 3 Bath Lakefront House On Badin Lake North Carolina",35.499817,-80.114423,"New London, NC, USA",7,4.6,200,200,,,100,10.0%,3,12,5,3,house,Yes,2016,Within an hour,100%,"June 6, 2017",house,,2800,12,,Albemarle
3966941ha,NEW! Custom Luxury Lakefront Retreat in GATED community with dock & boat ramp,35.597062,-80.2691407,"Salisbury, NC, USA",9,,328,325,350,,250,6.75%,3,12,5,3,house,Yes,2015,Within a few hours,100%,"June 7, 2017",house,,4953,12,,Albemarle
923804,Gorgeous Waterfront Retreat with Large Private Pier - Summer's Almost Here,35.4799777,-80.0885591,"New London, NC, USA",1,,229,250,,,125,7.0%,3,8,3,3,house,Yes,2016,Within a few hours,100%,"June 7, 2017",house,,2800,,,Albemarle
866554,Charming Waterfront Cottage,35.240955,-80.0871219,"Mt Gilead, NC, USA",4,,158,200,,,100,10.0%,3,8,2,2,cottage,Yes,2016,Within an hour,100%,"June 4, 2017",cottage,,1000,8,,Albemarle
349094,"Secluded Lakefront Cabin,Hot Tub, Private Dock,fire place& pit, quiet, $265night",35.6047501,-80.2417743,"Richfield, NC, USA",55,,265,265,,,,7.0%,2,6,2,1,house,No,2011,Within a few days,100%,"June 6, 2017",house,,1600,6,,Albemarle
857593,This Updated Home Has Everything!,35.4879279,-80.109412,"New London, NC, USA",15,4.9,228,230,,,125,7.0%,3,10,5,2,house,Yes,2016,Within a day,90%,"June 7, 2017",house,,2000,10,,Albemarle
255001ha,"12 acres borders 1,000 acres of Gameland; Secluded, Private, Peaceful, LOVE PETS",35.5328942,-80.2006065,"Richfield, NC, USA",3,,185,195,,,,,3,6,3,2,house,Yes,2009,Within 2 days,100%,"June 5, 2017",house,,1500,,,Albemarle
838031,Lakefront Getaway For The Family!,35.489107,-80.095896,"New London, NC, USA",6,4.8,315,315,330,,200,,3,8,3,3,house,Yes,2016,Within an hour,100%,"June 1, 2017",house,,,8,,Albemarle
882211,Uwharrie Cottage--Uwharrie National Forest--Badin Lake Area,35.43918125,-80.02087237,"Troy, NC, USA",14,4.8,100,100,,,,3.0%,2,4,2,1,cottage,Yes,2016,Within an hour,100%,"June 5, 2017",cottage,,1000,4,,Albemarle
390958,Lake View Home-Fishing-Lowes Motor Speedway-NC State Zoo-Old North State Golf Cl,35.5032196,-80.10796356,"New London, NC, USA",26,4.8,95,95,,,,,2,4,2,2,house,Yes,2012,Within a few hours,100%,"May 28, 2017",house,,1770,4,,Albemarle
219449ha,Tranquility at Lake Tillery - Small Dogs OK,35.242404,-80.10626,"Norwood, NC, USA",21,4.7,220,,,,,12.0%,7,10,3,2,house,Yes,2005,Within 12 hours,100%,"May 18, 2017",house,,,10,,Albemarle
4159306ha,Country Retreat !!!!,35.38703905,-80.12545839,"Albemarle, NC, USA",2,4.5,80,80,115,,50,,,4,1,1,farmhouse,Yes,2016,Within an hour,90%,"June 6, 2017",farmhouse,,1000,4,,Albemarle
1031875,WATER FRONT LAKE TILLERY PROPERTY,35.30274,-80.088014,"Albemarle, NC, USA",0,,97,105,,,50,6.75%,2,2,1,1,house,Yes,2017,Within an hour,100%,"June 1, 2017",house,,500,2,,Albemarle
7040455ha,Sunrise Retreat /Enjoy The Autum Experience on Badin Lake,35.471492,-80.0825617,"New London, NC, USA",3,,350,350,,,200,7.5%,2,6,3,3,house,Yes,2008,Within a few days,40%,"June 6, 2017",house,,,,,Albemarle
472351,Nice Lake Cottage On Quiet Cove Near Marina,35.231001,-80.065535,"Mt Gilead, NC, USA",19,4.4,165,165,,,,4.75%,3,10,3,2,house,No,2013,Within 12 hours,100%,"June 1, 2017",house,,1600,,,Albemarle
4225678ha,Sleep In A Barn!!!!!!,35.387179,-80.127175,"Albemarle, NC, USA",1,,40,40,50,,,,,12,4,1,barn,Yes,2016,Within an hour,100%,"June 6, 2017",barn,,1500,,,Albemarle
1038528,The Farmhouse in Uwharrie--New to the vacation rental market!,,,"Troy, NC, USA",2,,125,125,,,,3.0%,2,4,2,1,house,Yes,2016,Within 12 hours,100%,"June 5, 2017",house,,1000,,,Albemarle
4193965ha,Morrow Mountain Farmhouse,35.387179,-80.127175,"Albemarle, NC, USA",0,,110,110,155,,50,,,8,2,1,farmhouse,No,2016,Within a day,100%,"June 6, 2017",farmhouse,,1500,8,,Albemarle
4156864ha,Country Getaway Room To Roam!,35.387179,-80.127175,"Albemarle, NC, USA",0,,124,125,170,,75,,1,12,3,2,farmhouse,Yes,2016,Within 12 hours,100%,"June 6, 2017",farmhouse,,2200,12,,Albemarle
4209087ha,Full Service Camping,35.387179,-80.127175,"Albemarle, NC, USA",1,,21,10,15,,,,,50,Studio,1,barn,Yes,2016,Within an hour,100%,"June 6, 2017",barn,,,50,,Albemarle
4464534ha,Country RV Park/Camp w Hook-ups!,,,"Albemarle, NC, USA",0,,42,50,65,,,,,10,1,2,recreational vehicle,No,2016,,,"June 6, 2017",recreational vehicle,,,10,,Albemarle
4212380ha,Famous NC Writer Fred T. Morgan's Home,35.387179,-80.127175,"Albemarle, NC, USA",1,,171,200,250,,100,,,12,3,2,farmhouse,Yes,2016,Within 12 hours,85%,"June 6, 2017",farmhouse,,2200,12,,Albemarle
4208987ha,Country Wedding/Event Space,35.387794,-80.124629,"Albemarle, NC, USA",0,,79,50,250,,200,,,99,1,1,barn,Yes,2016,Within a few hours,100%,"June 6, 2017",barn,,,99,,Albemarle
1077185,Charming Cottage In Historical Gold Hill Village,,,"Gold Hill, NC, USA",0,,120,120,,,,,,4,1,1,house,No,2017,,,"June 4, 2017",house,,,,,Albemarle
241086,Huge 4500+ SF Lake Front-NO SECURITY DEPOSIT! Mid-Week Fall Discount-BOOK NOW,35.48818207,-80.11048126,"New London, NC, USA",66,,325,325,,,,,3,13,4,2,house,Yes,2009,Within 2 days,80%,"May 22, 2017",house,,4500,13,,Albemarle
254164,Private Waterfront Unforgettable Views of Badin Lake & The Uwharrie Mtns Hot Tub,35.47121048,-80.08326721,"New London, NC, USA",48,,196,195,225,,,7.0%,3,4,2,2,house,Yes,2009,Within a day,100%,"June 6, 2017",house,,1000,,,Albemarle
705062,"Relax and Enjoy Great Outdoors, Lake Fun, 4 Bedroom, 4 Bath",35.317912,-80.076909,"Mt Gilead, NC, USA",15,4.7,175,175,,,100,,2,13,5,4,house,Yes,2015,Within an hour,100%,"June 6, 2017",house,,3000,13,,Albemarle
513690,Take Ten On Tillery Right Away!!,35.258743,-80.119351,"Norwood, NC, USA",19,4.9,200,225,,,,,3,12,3,2,house,Yes,2014,Within a few hours,100%,"June 4, 2017",house,,2400,12,,Albemarle
554462,"Great Fishing, Swimming, boating & Skiing",35.261806,-80.101031,"Norwood, NC, USA",8,,271,275,,,100,15.25%,2,10,3,3,house,Yes,2014,Within a day,100%,"June 4, 2017",house,,2200,10,,Albemarle
218947ha,Lake Tillery Treehouse Ski swim fish new fully equipped luxury home,35.242213,-80.10615,"Norwood, NC, USA",2,,210,210,,,,,3,10,3,3,house,Yes,2005,Within a day,100%,"June 2, 2017",house,,1800,10,,Albemarle
798977,Lake Front Home With Magnificant Views,35.488287,-80.109053,"New London, NC, USA",4,,214,225,,,,,3,7,3,2,house,Yes,2016,Within 12 hours,90%,"May 15, 2017",house,,2000,7,,Albemarle
7024085ha,Badin lakefront Escape,35.4775301,-80.0856034,"New London, NC, USA",18,4.9,171,,,,,,3,8,3,2,house,Yes,2006,Within a day,90%,"May 31, 2017",house,,,8,,Albemarle
816384,Beautiful Uwharrie Point (Badin Lake/Old North State Golf) Rental,35.468569,-80.096213,"New London, NC, USA",0,,367,500,,,,,2,8,4,4,house,Yes,2016,Within a few days,40%,"October 17, 2016",house,,2900,8,,Albemarle
298648,July 11 FIREWORKS over the lake!!!,35.60491055,-80.24168869,"Richfield, NC, USA",30,,250,250,,,150,,2,12,3,3,house,No,2010,Within an hour,100%,"June 5, 2017",house,,,12,,Albemarle
840445,"Lakefront Getaway Cottage
4 night minimum",35.211457,-80.077869,"Norwood, NC, USA",8,4.3,125,125,,,65,,3,4,2,1,cottage,Yes,2016,Within a day,100%,"June 7, 2017",cottage,,,4,,Albemarle
1019391,"Charming Lake Front Cottage W/ Oversized Pier And Gazebo On High Rock Lake, NC",35.591964,-80.34272,"Salisbury, NC, USA",0,,245,245,,,125,,3,6,4,2,house,Yes,2017,Within a few days,40%,"June 2, 2017",house,,1900,6,,Albemarle
