listing_id,listing_title,latitude,longitude,location_name,number_reviews,average_rating,average_nightly_price,nightly,weekend_night,property_protection_fee,cleaning_fee,tax_rate,min_stay,sleeps,bedrooms,bathrooms,property_type,internet,member_since,response_time,response_rate,calendar_last_updated,type,floor,sq_footage,max_occupancy,building_type,city
656177,"Spacious & Comfortable 2-story townhome 2 bed/bath, plus office, kitchen, patio",39.661961,-104.848543,"Dam East/West, Aurora, CO, USA",22,4.8,86,,,,,,14,5,2,2,townhome,Yes,2014,Within 2 days,90%,"June 2, 2017",townhome,1,1250,5,house,Aurora
737655,Fantastic Home 2 Blocks From The Hospital,39.736362,-104.8426719,"Jewell Heights - Hoffman Heights, Aurora, CO, USA",25,4.8,166,198,,,,,3,8,3,2,house,Yes,2013,Within 12 hours,100%,"June 5, 2017",house,,1412,8,,Aurora
622825,"Fantastic Ranch Home in Aurora, 4 blocks from Hospital",,,"Jewell Heights - Hoffman Heights, Aurora, CO, USA",37,4.8,166,198,,,125,,3,6,3,2,house,Yes,2013,Within 12 hours,100%,"June 5, 2017",house,,,6,,Aurora
504654,Beautiful Ranch Home,39.736344,-104.829496,"Jewell Heights - Hoffman Heights, Aurora, CO, USA",37,4.9,166,198,,,125,,3,6,3,1,house,Yes,2013,Within 12 hours,100%,"June 5, 2017",house,,1421,6,,Aurora
814901,Luxury one bedroom plus den loft in Denver Tech Center,39.579877,-104.870831,"Englewood, CO, USA",11,4.9,97,,,,,6.25%,30,2,1,1,condo,Yes,2016,Within a few hours,100%,"June 5, 2017",condo,2,980,2,building,Aurora
4267466ha,Luxurious Greenwood Village 1 Bedroom,39.59796343,-104.87287576,"Englewood, CO, USA",4,4.5,107,119,139,,40,4.25%,3,4,1,1,condo,Yes,2016,Within a few hours,100%,"June 5, 2017",condo,1,712,4,building,Aurora
900927,"Great Location, Kid Friendly, Dog Friendly, Open Floor Plan",39.676526,-104.878351,"Southeast, Denver, CO, USA",8,4.6,88,98,,,50,,4,4,1,1,apartment,Yes,2016,Within 12 hours,90%,"June 5, 2017",apartment,,1100,4,house,Aurora
4233105ha,Recently Finished Cozy and Family Friendly Basement Near Denver Airport,39.7719465,-104.7510152,"Green Valley Ranch, Denver, CO, USA",5,,70,70,,,,14.75%,1,4,1,1,house,Yes,2016,Within an hour,100%,"June 7, 2017",house,,1000,4,,Aurora
4119292ha,"Beautiful Walkout Basement, Close To Dia easy Access To Highway I70, I225, & I25",39.774312,-104.752784,"Green Valley Ranch, Denver, CO, USA",22,4.7,120,120,,,50,14.75%,2,6,2,1,house,Yes,2016,Within a day,100%,"June 7, 2017",house,,1074,,,Aurora
825365,Condo In Dtc/centennial/greenwood Village Area - Perfect Locataion,39.6010608,-104.8804536,"Greenwood Village, CO, USA",10,4.7,70,,,,65,,30,2,1,1,condo,Yes,2008,,,"April 29, 2017",condo,2,650,2,building,Aurora
