listing_id,listing_title,latitude,longitude,location_name,number_reviews,average_rating,average_nightly_price,nightly,weekend_night,property_protection_fee,cleaning_fee,tax_rate,min_stay,sleeps,bedrooms,bathrooms,property_type,internet,member_since,response_time,response_rate,calendar_last_updated,type,floor,sq_footage,max_occupancy,building_type,city
460365,SUNNY DESIGNER DOWNTOWN CONDO!!!,40.02193117,-105.28250277,"Central Boulder, Boulder, CO, USA",3,,103,,,,150,,31,2,1,1,condo,Yes,2013,Within an hour,100%,"May 24, 2017",condo,2,816,2,building,Boulder
470546,"Downtown Boulder, Walk Everywhere!",40.013271,-105.28155,"Central Boulder, Boulder, CO, USA",4,,117,,,,,,30,5,3,2,condo,Yes,2013,Within a few hours,100%,"June 6, 2017",condo,3,1000,5,building,Boulder
459461,Lux Victorian Carriage House - 1 Block to Pearl Street Mall,40.0201234,-105.2750702,"Central Boulder, Boulder, CO, USA",61,4.9,191,185,205,,50,7.5%,3,2,Studio,1,studio,Yes,2013,Within a few hours,100%,"May 31, 2017",studio,2,500,2,,Boulder
396745,Artist's Retreat on  Boulder Creek,40.01238251,-105.30150604,"Boulder, CO, USA",81,,292,195,,,,,,8,2,2,guest house,Yes,2012,Within a day,100%,"June 6, 2017",guest house,,900,8,,Boulder
596633,Downtown Historic Charm,40.0182556,-105.2834932,"Central Boulder, Boulder, CO, USA",15,4.4,90,,,,75,,30,4,2,1,apartment,Yes,2010,Within an hour,100%,"June 6, 2017",apartment,2,800,4,,Boulder
619964,Fantastic Location in Central Boulder,40.00683,-105.25735,"East Boulder, Boulder, CO, USA",24,4.9,139,139,,,55,,,4,1,1,condo,Yes,2014,Within 12 hours,90%,"May 20, 2017",condo,1,650,4,,Boulder
495886,SPECIAL PRICE: Sweet Mapleton Hill Bungalow -- Large Studio with Sunny Yard,40.0212976,-105.2900255,"Central Boulder, Boulder, CO, USA",13,4.8,67,67,,,65,,30,3,Studio,1,bungalow,Yes,2013,Within a few hours,100%,"May 31, 2017",bungalow,,700,,,Boulder
467141,"The Peace of the Mountains, minutes from downtown Boulder",,,"Sunshine Canyon, Boulder, CO, USA",35,4.7,513,500,550,,200,4.8%,3,14,4,2,house,Yes,2013,Within 2 days,90%,"June 4, 2017",house,,4200,14,,Boulder
928414,Spacious Studio Carriage House in the Heart of Boulder - Amazing Flatiron View,,,"Central Boulder, Boulder, CO, USA",0,,60,,,,150,,30,2,1,1,condo,No,2012,Within a few days,70%,"June 6, 2017",condo,,600,,,Boulder
398752,"Charming Newlands Home, Close to Hiking & Downtown Boulder",40.03475952,-105.28629303,"Central Boulder, Boulder, CO, USA",3,4.3,155,,,,,,30,6,3,2,house,Yes,2012,Within a day,90%,"April 24, 2017",house,,,6,,Boulder
