listing_id,listing_title,latitude,longitude,location_name,number_reviews,average_rating,average_nightly_price,nightly,weekend_night,property_protection_fee,cleaning_fee,tax_rate,min_stay,sleeps,bedrooms,bathrooms,property_type,internet,member_since,response_time,response_rate,calendar_last_updated,type,floor,sq_footage,max_occupancy,building_type,city
3768273ha,"Clean, Comfortable Home Near Shore, Town & Trains",41.1455294,-73.2422595,"Fairfield, CT, USA",8,4.9,400,400,,,,,6,4,2,1,house,Yes,2014,Within a few hours,100%,"June 5, 2017",house,,1450,4,,Bridgeport
709123,Historic Black Rock town home with views of Long Island Sound,41.1543474,-73.219067,"Black Rock, Bridgeport, CT, USA",0,,167,,,,,,31,4,2,2,townhome,Yes,2015,Within a day,100%,"April 17, 2017",townhome,,1750,4,,Bridgeport
4482522ha,Hidden Gem in Black Rock!,,,"Black Rock, Bridgeport, CT, USA",0,,160,160,,,150,6.35%,30,6,2,2,townhome,No,2017,,,"May 1, 2017",townhome,,,,,Bridgeport
4536067ha,Luxury House 5 Bedroom near Train and Beach,41.1674378,-73.2348,"Fairfield, CT, USA",0,,300,300,,,200,,,6,5,3,house,No,2017,,,"May 27, 2017",house,,2600,,,Bridgeport
4507167ha,"St. Mary's By the Sea Summer Rental in Historic Black Rock, CT  & Walk to Metro",41.1539954,-73.2215797,"Black Rock, Bridgeport, CT, USA",1,,350,350,,,125,,6,2,1,1,guest house,Yes,2008,,,"April 13, 2017",guest house,,1600,2,,Bridgeport
3643547ha,Adorable Guest Cottage,41.22513905,-73.34870825,"Weston, CT, USA",12,4.9,162,175,,,45,,1,4,2,1,cottage,Yes,2015,,,"June 6, 2017",cottage,,,4,,Bridgeport
827398,"Perfectly located beach, town, train cottage with beach style interior",41.1248872,-73.3658509,"Westport, CT, USA",9,4.8,336,350,,,100,,3,8,4,2,house,Yes,2016,Within a few hours,100%,"May 25, 2017",house,,,8,,Bridgeport
3465310ha,Elegant Country Estate Guest House,,,"Newtown, CT, USA",18,4.9,125,,,,,,3,4,1,1,cottage,Yes,2006,Within 12 hours,100%,"April 20, 2017",cottage,,800,4,,Bridgeport
881365,Historic Westport Two Bedroom two Bath Home,41.1531083,-73.36534081,"Westport, CT, USA",3,4.7,207,187,,,125,,7,4,2,2,house,Yes,2016,Within a day,100%,"June 4, 2017",house,,1100,4,,Bridgeport
3748841ha,"Studio Apartment 2 miles from Fairfield, CT Beach",41.1612199,-73.2621166,"Fairfield, CT, USA",30,,115,94,108,,,15.0%,,6,1,1,studio,Yes,2014,Within a few days,80%,"May 31, 2017",studio,1,625,6,house,Bridgeport
708730,"Bay View Cottage Milford, Ct. 3 Bedrooms, 1.5 Baths, 1/2 Block to Bay View Beach",41.20874014,-73.03107817,"Milford, CT, USA",14,4.9,129,,,,,,7,7,3,1,cottage,Yes,2015,Within a few hours,100%,"June 6, 2017",cottage,,1068,,,Bridgeport
806033,Silver Sands Beach Cottage,41.2041842,-73.0641115,"Devon / Walnut Beach, Milford, CT, USA",3,,143,70,,,,15.0%,5,6,3,1,bungalow,Yes,2016,Within 12 hours,90%,"June 6, 2017",bungalow,,588,6,,Bridgeport
256842,Circa 1790 Newly Restored Converted Barn,,,"Ridgefield, CT, USA",14,4.9,250,250,,,,,3,4,1,1,barn,Yes,2008,Within a few days,70%,"May 30, 2017",barn,,1100,4,,Bridgeport
591289,"Gorgeous Updated House, Directly On A Private Beach",41.206068,-73.061006,"Devon / Walnut Beach, Milford, CT, USA",16,4.3,357,,,,125,,4,8,4,1,house,Yes,2014,Within 12 hours,100%,"June 2, 2017",house,,1200,8,,Bridgeport
4225193ha,"3 mins drive to Fairfield Beach, 3 bed, Sleeps 6",41.1542006,-73.2471961,"Fairfield, CT, USA",0,,214,250,,,,7.75%,5,6,3,2,house,No,2016,Within a day,90%,"May 5, 2017",house,,,6,,Bridgeport
455282,LUXURY Beachfront 3 bedroom weekly rental,41.2080699,-73.0291443,"Milford, CT, USA",14,,594,600,,,,,2,8,3,2,house,Yes,2013,Within 12 hours,100%,"June 1, 2017",house,,,8,,Bridgeport
972820,Resort-like Setting 2.5 Miles from Merritt; Will PU at Train,41.26954649,-73.10628878,"Shelton, CT, USA",1,,130,100,125,,35,15.0%,,2,1,1,apartment,Yes,2008,Within 12 hours,100%,"June 6, 2017",apartment,1,,2,house,Bridgeport
3848366ha,Beach Front Arts & Crafts House With Gorgeous Views Of The Sound,41.228524,-72.990014,"Woodmont, Milford, CT, USA",15,,575,575,,,,,2,12,6,3,house,Yes,2014,Within a few hours,100%,"June 6, 2017",house,,,12,,Bridgeport
871761,"Beachfront Home- Quiet,  On The Water In Milford Connecticut",41.201703,-73.064036,"Devon / Walnut Beach, Milford, CT, USA",5,,390,250,600,,,,2,8,4,3,house,Yes,2016,Within 12 hours,100%,"May 10, 2017",house,,2400,8,,Bridgeport
1007140,Milford Beach House - New Construction!,41.200724,-73.064533,"Devon / Walnut Beach, Milford, CT, USA",1,,490,390,490,,200,15.0%,2,8,3,2,house,Yes,2017,Within an hour,100%,"June 5, 2017",house,,2200,8,,Bridgeport
4276853ha,Charming Tudor with English Garden,41.0651346,-73.5132039,"Newfield - Westover - Turn of River, Stamford, CT, USA",5,4.4,254,250,265,,,15.0%,3,8,4,2,house,Yes,2016,Within an hour,100%,"June 4, 2017",house,,2000,8,,Bridgeport
1032939,Stunning New Luxury New England Home,41.1909544,-73.249392,"Fairfield, CT, USA",1,,262,249,299,,150,,,11,5,5,house,Yes,2016,Within a few days,80%,"June 5, 2017",house,,,11,,Bridgeport
4068996ha,Charming Rustic 1900-Oysterman's Cottage In Historic Quinnipiac River Waterfront,41.3105515,-72.8892468,"Fair Haven Heights, New Haven, CT, USA",24,4.9,128,120,,,50,15.0%,1,4,2,1,cottage,Yes,2015,Within 12 hours,100%,"June 6, 2017",cottage,,1000,4,,Bridgeport
922085,Westville Comfort Central. New Haven,41.3288538,-72.956988,"West New Haven, New Haven, CT, USA",1,,92,89,109,,75,2.0%,,4,2,2,townhome,Yes,2016,Within a few hours,100%,"June 5, 2017",townhome,1,1450,4,building,Bridgeport
981265,Luxury Victorian beach house - steps to 2 private beaches!,,,"Rowayton, Norwalk, CT, USA",0,,,,,,200,15.0%,7,8,5,3,house,Yes,2017,Within an hour,100%,"May 30, 2017",house,,,8,,Bridgeport
3813789ha,"Storybook Lakefront Estate, 7 acres, Private Dock, Cedar Sauna, 1 hr from NYC",41.2527062,-73.1454324,"Stratford, CT, USA",24,4.9,600,,,,,6.35%,2,15,5,5,estate,Yes,2014,Within a day,100%,"June 6, 2017",estate,,5000,,,Bridgeport
3565544ha,Luminous Private Home On the Sea,41.2353123,-72.9801488,"Woodmont, Milford, CT, USA",8,,279,,,,,6.35%,7,4,2,2,house,Yes,2005,Within a day,80%,"June 4, 2017",house,,1250,4,,Bridgeport
471970,The perfect quiet country getaway,41.2748798,-73.4072219,"Redding, CT, USA",21,4.9,125,150,,,,,,2,1,1,cottage,Yes,2013,,,"June 6, 2017",cottage,,550,2,,Bridgeport
593573,Elegant 5 Bedroom Beachfront,41.179841,-73.096084,"Devon / Walnut Beach, Milford, CT, USA",5,4.6,600,600,,,150,,7,10,5,3,house,Yes,2014,Within 12 hours,90%,"June 6, 2017",house,,2350,10,,Bridgeport
