listing_id,total_number_reviews,n_review,reviewer_name,title,stars,stayed,source,submitted
4135771ha,9,1,Jonathan L.,Such a great vacation!!!,5,2017-04-29T00:00:00.000+0000,VRBO,2017-06-02T00:58:00.000+0000
4135771ha,9,2,John H.,Very Enjoyable Stay with Very Responsive Owner,5,2017-05-15T00:00:00.000+0000,VRBO,2017-05-30T08:46:00.000+0000
4135771ha,9,3,Kenneth L.,great place - great host,5,2017-04-21T00:00:00.000+0000,VRBO,2017-05-01T19:41:00.000+0000
4135771ha,9,4,Jacquelyn C.,A very agreeable experience--EXCELLENT. We highly recommend this rental!,5,2016-08-07T00:00:00.000+0000,VRBO,2016-09-12T16:23:00.000+0000
4135771ha,9,5,Mike J.,Great place to stay,5,2016-05-31T00:00:00.000+0000,VRBO,2016-07-03T15:28:00.000+0000
4135771ha,9,6,achel B.,Baltimore,5,2016-03-11T00:00:00.000+0000,VRBO,2016-03-23T13:45:52.537+0000
4135771ha,9,7,Tiffany S.,Good place to stay,4,2015-10-15T00:00:00.000+0000,VRBO,2016-02-27T13:37:09.653+0000
4135771ha,9,8,John B.,Very nice experience,5,2016-01-29T00:00:00.000+0000,VRBO,2016-02-16T19:38:21.203+0000
4135771ha,9,9,Andrea B.,"Sunny, cozy and convenient ",5,2016-02-03T00:00:00.000+0000,VRBO,2016-02-13T20:15:49.447+0000
873214,15,1,David L.,Short week on the river,5,2017-05-07T00:00:00.000+0000,VRBO,2017-06-04T11:32:00.000+0000
873214,15,2,Sandra M.,"Beautiful, very accommodating, great owners",5,2017-05-19T00:00:00.000+0000,VRBO,2017-05-22T23:46:00.000+0000
873214,15,3,Aaron R.,Great spot!,5,2017-04-24T00:00:00.000+0000,VRBO,2017-05-09T14:36:00.000+0000
873214,15,4,Patrick F.,Great Home Base for Baltimore Area,5,2017-01-03T00:00:00.000+0000,VRBO,2017-02-19T18:23:00.000+0000
873214,15,5,Lauren W.,Beautiful View,5,2016-12-09T00:00:00.000+0000,VRBO,2017-01-11T15:39:20.357+0000
873214,15,6,Lara F.,"Beautiful Home, Perfect Vacation Spot",5,2016-12-30T00:00:00.000+0000,VRBO,2017-01-02T18:57:00.000+0000
873214,15,7,Deborah M.,Beautiful home with a view.,5,2016-10-24T00:00:00.000+0000,VRBO,2016-11-07T14:45:00.000+0000
873214,15,8,Becky N.,Relaxed and Recharged!,5,2016-10-28T00:00:00.000+0000,VRBO,2016-11-02T15:36:42.877+0000
873214,15,9,Joanne W.,Scrapbook weekend getaway,5,2016-10-28T00:00:00.000+0000,VRBO,2016-11-02T14:00:02.110+0000
873214,15,10,Mary Jo S.,A Little Piece of Heaven,5,2016-10-13T00:00:00.000+0000,VRBO,2016-10-19T15:37:00.000+0000
873214,15,11,Marina H.,Beautiful home- Not private,3,2016-09-23T00:00:00.000+0000,VRBO,2016-10-08T14:42:00.000+0000
873214,15,12,Albert G.,Great family-friendly place,5,2016-09-01T00:00:00.000+0000,VRBO,2016-09-08T13:28:00.000+0000
873214,15,13,S&J,Fun weekend getaway,5,2016-08-19T00:00:00.000+0000,VRBO,2016-09-02T14:22:00.000+0000
873214,15,14,Chris F.,IMPECCABLE!!,5,2016-07-27T00:00:00.000+0000,VRBO,2016-08-01T01:33:00.000+0000
873214,15,15,TONYA S.,Way beyond expected hospitality and enjoyment!!!,5,2016-07-08T00:00:00.000+0000,VRBO,2016-07-19T18:41:36.033+0000
3855270ha,24,1,Jackie D.,Just what we were looking for!!,5,2017-03-16T00:00:00.000+0000,VRBO,2017-04-21T21:26:00.000+0000
3855270ha,24,2,Justin U.,Small space but cute,5,2017-03-23T00:00:00.000+0000,VRBO,2017-03-27T00:05:00.000+0000
3855270ha,24,3,Patricia B.,Amazing property,5,2017-03-10T00:00:00.000+0000,VRBO,2017-03-21T00:40:00.000+0000
3855270ha,24,4,Mark H.,Great place and location!,5,2017-02-17T00:00:00.000+0000,VRBO,2017-02-21T01:59:00.000+0000
3855270ha,24,5,JoeMarr W.,Amazing Host,5,2016-12-16T00:00:00.000+0000,VRBO,2016-12-19T18:23:00.000+0000
3855270ha,24,6,Michael V.,Army/Navy weekend,5,2016-12-09T00:00:00.000+0000,VRBO,2016-12-12T16:37:00.000+0000
3855270ha,24,7,Neil E.,Perfect for our needs.,5,2016-12-05T00:00:00.000+0000,VRBO,2016-12-08T13:18:00.000+0000
3855270ha,24,8,Anonymous,Great location,5,2016-11-20T00:00:00.000+0000,VRBO,2016-11-23T15:05:00.000+0000
3855270ha,24,9,Josiah S.,Great place to come back to after a fun day of wandering the city.,5,2016-11-07T00:00:00.000+0000,VRBO,2016-11-11T15:19:00.000+0000
3855270ha,24,10,Victor M.,COMFORTABLE AND WELL SUITED FOR US,5,2016-10-12T00:00:00.000+0000,VRBO,2016-11-06T23:32:00.000+0000
3855270ha,24,11,Mark R.,Perfect location and accomadations for 4 adults,5,2016-08-21T00:00:00.000+0000,VRBO,2016-08-24T22:58:00.000+0000
3855270ha,24,12,Matthew S.,Perfect location in Fells Point,5,2016-08-16T00:00:00.000+0000,VRBO,2016-08-21T21:08:00.000+0000
3855270ha,24,13,Nicole S.,"Charming, comfortable, and clean home in the heart of Fells Point",4,2016-08-07T00:00:00.000+0000,VRBO,2016-08-11T01:25:00.000+0000
3855270ha,24,14,Lisa B.,Great Home in a Great Location,5,2016-03-19T00:00:00.000+0000,VRBO,2016-07-02T14:17:47.017+0000
3855270ha,24,15,Lauren S.,Perfect home away from home!,4,2016-06-13T00:00:00.000+0000,VRBO,2016-06-29T03:02:00.000+0000
3855270ha,24,16,Austin D.,Awesome!,5,2016-06-22T00:00:00.000+0000,VRBO,2016-06-28T17:23:00.000+0000
3855270ha,24,17,Sheila C.,Lovely property and great location.,3,2016-06-10T00:00:00.000+0000,VRBO,2016-06-13T12:48:00.000+0000
3855270ha,24,18,Sherman L.,Perfect spot for two couples,5,2016-06-03T00:00:00.000+0000,VRBO,2016-06-10T13:02:00.000+0000
3855270ha,24,19,Renata D.,Perfect Baltimore experience,5,2016-03-24T00:00:00.000+0000,VRBO,2016-03-31T11:08:00.000+0000
3855270ha,24,20,Lynn N.,We didn't want to leave!,5,2015-08-13T00:00:00.000+0000,VRBO,2015-08-28T17:06:11.487+0000
3855270ha,24,21,Noname,Good location,4,2015-06-27T00:00:00.000+0000,VRBO,2015-07-09T11:46:55.373+0000
3855270ha,24,22,Angela S.,Ok Stay ???,3,2015-05-15T00:00:00.000+0000,VRBO,2015-05-26T21:40:13.453+0000
3855270ha,24,23,Amir H.,"Nice little place, great location. ",3,2015-04-23T00:00:00.000+0000,VRBO,2015-05-01T13:35:47.407+0000
3855270ha,24,24,Quincy W.,Incredible ,5,2015-01-30T00:00:00.000+0000,VRBO,2015-02-03T19:38:00.000+0000
3887740ha,39,1,michael c.,Best location in Harbor East,5,2017-05-03T00:00:00.000+0000,VRBO,2017-05-09T15:33:00.000+0000
3887740ha,39,2,Hillary K.,The perfect house!!,5,2017-04-21T00:00:00.000+0000,VRBO,2017-04-23T13:09:00.000+0000
3887740ha,39,3,Paul L.,Wonderful property in Little Italy,5,2017-04-03T00:00:00.000+0000,VRBO,2017-04-06T21:48:00.000+0000
3887740ha,39,4,Pam C.,Even better than the pictures!,5,2017-03-24T00:00:00.000+0000,VRBO,2017-03-27T11:59:00.000+0000
3887740ha,39,5,Natalia J.,Nice condo in great location,3,2017-03-17T00:00:00.000+0000,VRBO,2017-03-27T00:00:00.000+0000
3887740ha,39,6,JB C.,Amazing location and very spacious,5,2017-03-20T00:00:00.000+0000,VRBO,2017-03-23T13:39:00.000+0000
3887740ha,39,7,Sue B.,Perfect for a stay at Johns Hopkins,4,2017-03-12T00:00:00.000+0000,VRBO,2017-03-15T15:22:00.000+0000
3887740ha,39,8,Lisa K.,"Wonderful location, ample space",5,2017-02-23T00:00:00.000+0000,VRBO,2017-02-28T17:55:00.000+0000
3887740ha,39,9,Natalia S.,Wonderful Rental!,5,2017-02-10T00:00:00.000+0000,VRBO,2017-02-16T21:19:00.000+0000
3887740ha,39,10,Tova P.,"Great deal, perfect location",5,2017-01-19T00:00:00.000+0000,VRBO,2017-02-02T17:54:00.000+0000
3887740ha,39,11,Bob C.,Great Location & House,5,2016-12-28T00:00:00.000+0000,VRBO,2017-01-04T22:26:00.000+0000
3887740ha,39,12,Leigh G.,Love this Little Italy gem!,5,2016-12-26T00:00:00.000+0000,VRBO,2016-12-29T04:33:00.000+0000
3887740ha,39,13,Deb H.,Very nice property,4,2016-12-23T00:00:00.000+0000,VRBO,2016-12-28T20:32:00.000+0000
3887740ha,39,14,Don C.,Great Property-GreatLocation!,5,2016-11-11T00:00:00.000+0000,VRBO,2016-11-16T10:58:00.000+0000
3887740ha,39,15,Kate  D.,Just Amazing!,5,2016-11-04T00:00:00.000+0000,VRBO,2016-11-07T23:50:00.000+0000
3887740ha,39,16,Paul H.,Excellent,4,2016-09-16T00:00:00.000+0000,VRBO,2016-09-18T15:14:00.000+0000
3887740ha,39,17,Richard W.,Little Italy Charmer,5,2016-08-24T00:00:00.000+0000,VRBO,2016-09-02T01:53:00.323+0000
3887740ha,39,18,Lindsey W,Beautiful place in the city! ,5,2016-08-27T00:00:00.000+0000,VRBO,2016-08-29T14:00:44.367+0000
3887740ha,39,19,Cindy G.,Great location with quality ,5,2016-08-24T00:00:00.000+0000,VRBO,2016-08-27T17:04:02.607+0000
3887740ha,39,20,Frances G.,Great holiday home - well located,5,2016-08-16T00:00:00.000+0000,VRBO,2016-08-20T05:28:00.000+0000
3887740ha,39,21,Joshua S.,Great property!,5,2016-08-12T00:00:00.000+0000,VRBO,2016-08-14T18:01:00.000+0000
3887740ha,39,22,Roxanne B.,"The house was beautiful, thanks Susan for being so awesome!",5,2016-08-01T00:00:00.000+0000,VRBO,2016-08-10T20:22:00.000+0000
3887740ha,39,23,Andrew S.,Perfect Place. Perfect location.,5,2016-07-28T00:00:00.000+0000,VRBO,2016-08-09T15:51:17.293+0000
3887740ha,39,24,Diana S.,Better than expected!,5,2016-07-22T00:00:00.000+0000,VRBO,2016-07-28T16:38:00.000+0000
3887740ha,39,25,Dani S.,This was a wonderful property in a great location,5,2016-07-15T00:00:00.000+0000,VRBO,2016-07-18T23:23:00.000+0000
3887740ha,39,26,Cathleen H.,Lovely stay and location location location!,5,2016-07-05T00:00:00.000+0000,VRBO,2016-07-18T14:18:00.000+0000
3887740ha,39,27,Eric T.,"Beautiful, Spacious and Prime location!",5,2016-07-08T00:00:00.000+0000,VRBO,2016-07-11T18:05:29.183+0000
3887740ha,39,28,Kate K.,Beautiful Row House in Little Italy,5,2016-06-19T00:00:00.000+0000,VRBO,2016-07-07T15:48:00.000+0000
3887740ha,39,29,Ines V.,Great place in the heart of Baltimore,5,2016-06-23T00:00:00.000+0000,VRBO,2016-07-02T14:38:00.000+0000
3887740ha,39,30,Christina A.,"Fantastic property, perfect location.",5,2016-06-14T00:00:00.000+0000,VRBO,2016-06-19T14:07:00.000+0000
3887740ha,39,31,Tim G.,"very nice home, perfect location",5,2016-05-19T00:00:00.000+0000,VRBO,2016-05-25T14:51:00.000+0000
3887740ha,39,32,y s.,Great home right near Inner Harbor,5,2016-05-15T00:00:00.000+0000,VRBO,2016-05-19T17:15:00.000+0000
3887740ha,39,33,Stephanie S.,Great Rowhome/Super Location!,5,2016-04-08T00:00:00.000+0000,VRBO,2016-04-11T17:28:47.000+0000
3887740ha,39,34,Lisa D.,Perfect Bachelorette Getaway,5,2016-03-25T00:00:00.000+0000,VRBO,2016-03-28T20:04:08.353+0000
3887740ha,39,35,Rahmi O.,Excellent!..,5,2016-03-13T00:00:00.000+0000,VRBO,2016-03-21T22:34:00.000+0000
3887740ha,39,36,Lisa K.,"Perfectly appointed and perfect location, but HVAC issues",5,2016-02-17T00:00:00.000+0000,VRBO,2016-02-25T07:42:00.000+0000
3887740ha,39,37,Christina K.,Awesome house,5,2015-11-06T00:00:00.000+0000,VRBO,2015-11-11T17:24:56.633+0000
3887740ha,39,38,Susan M.,Perfect Location and Beautiful Place!,5,2015-09-16T00:00:00.000+0000,VRBO,2015-09-21T14:41:08.080+0000
3887740ha,39,39,Hillary S.,"Awesome location, gorgeous decor, lots of space",4,2015-09-11T00:00:00.000+0000,VRBO,2015-09-17T13:29:41.660+0000
958735,4,1,Justin Ck,Mt Vernon Flats was the best home in Baltimore for my Johns Hopkins MBA stay.,5,2015-12-20T00:00:00.000+0000,VRBO,2016-12-19T00:44:25.813+0000
958735,4,2,Mary Ann,Really great furnished rental in historic and charming Mt Vernon,5,2016-12-14T00:00:00.000+0000,VRBO,2016-12-17T17:15:57.150+0000
