listing_id,listing_title,latitude,longitude,location_name,number_reviews,average_rating,average_nightly_price,nightly,weekend_night,property_protection_fee,cleaning_fee,tax_rate,min_stay,sleeps,bedrooms,bathrooms,property_type,internet,member_since,response_time,response_rate,calendar_last_updated,type,floor,sq_footage,max_occupancy,building_type,city
388925,Charlotte Furnished Apartment in Historic Dilworth-most walkable neighborhood,,,"Dilworth, Charlotte, NC, USA",18,4.9,163,,,,,,2,4,1,1,apartment,Yes,2011,Within an hour,,"June 6, 2017",apartment,,,4,,Charlotte
466428,Large 1 BR/1 BA In Elizabeth/plaza Midwood With Front Porch,,,"Elizabeth, Charlotte, NC, USA",22,4.8,134,,,,,,2,4,1,1,apartment,Yes,2011,Within an hour,,"June 6, 2017",apartment,1,1000,4,,Charlotte
388123,Corporate Apartment in Charlotte NC-Historic Dilworth,35.20226669,-80.85321808,"Dilworth, Charlotte, NC, USA",14,,167,,,,,,2,4,1,1,apartment,Yes,2011,Within an hour,,"June 7, 2017",apartment,2,,4,,Charlotte
599295,Exquisite Luxury in the Heart of Myers Park-1 mile to Uptown Charlotte,35.205228,-80.827322,"Myers Park, Charlotte, NC, USA",12,4.9,352,,,,,,2,6,2,2,apartment,Yes,2011,Within an hour,,"June 6, 2017",apartment,1,1300,6,building,Charlotte
357976,Gracious Myers Park 2BR Residence--1 Mile from Uptown,35.20713806,-80.82807159,"Cherry, Charlotte, NC, USA",35,4.9,221,,,,,,2,6,2,1,condo,Yes,2011,Within an hour,,"June 7, 2017",condo,1,950,6,building,Charlotte
359556,Historic Dilworth Remodeled 1920's Apt.-1.5 Miles from Uptown,,,"Dilworth, Charlotte, NC, USA",23,4.8,167,,,,,,2,2,1,1,apartment,Yes,2011,Within an hour,,"June 7, 2017",apartment,1,,2,,Charlotte
375899,Furnished Apartment in Dilworth-Charlotte NC-2br with Screened Porch,,,"Dilworth, Charlotte, NC, USA",17,4.9,204,,,,,,2,4,2,1,apartment,Yes,2011,Within an hour,,"June 7, 2017",apartment,,,4,,Charlotte
491319,"Large 1br/1ba Sleeps 4--no Car Needed-walk To Restaurants, Parks--Gigapower wifi",,,"Elizabeth, Charlotte, NC, USA",20,4.9,134,,,,,,2,4,1,1,apartment,Yes,2011,Within an hour,,"June 6, 2017",apartment,1,1000,4,,Charlotte
453657,Romantic Lakefront Hideaway,,,"Mountain Island, Charlotte, NC, USA",49,4.7,117,135,,,,7.25%,2,3,1,1,villa,Yes,2011,Within an hour,100%,"June 6, 2017",villa,,900,3,,Charlotte
388133,Luxury Apartment in Charlotte-No Car Needed-Dilworth-Longterm or short,,,"Dilworth, Charlotte, NC, USA",16,4.9,234,,,,,,3,6,2,2,apartment,Yes,2011,Within an hour,,"June 7, 2017",apartment,2,,6,,Charlotte
3776027ha,Townhome Loft in Charlotte's Historic Arts District,35.249884,-80.7974748,"North Charlotte, Charlotte, NC, USA",19,4.4,99,75,76,,100,15.25%,1,8,2,2,townhome,Yes,2014,Within a few hours,100%,"May 23, 2017",townhome,3,1450,8,building,Charlotte
388129,Myers Park Furnished Apartment in Charlotte-2br/1ba with screened porch,,,"Cherry, Charlotte, NC, USA",23,,214,,,,,,2,5,2,1,condo,Yes,2011,Within an hour,,"June 6, 2017",condo,1,,5,,Charlotte
373524,"Stylish Intown Getaway 2 miles to Uptown-walk to grocery, dozens of restaurants",,,"Dilworth, Charlotte, NC, USA",25,4.9,201,,,,,,2,4,2,1,apartment,Yes,2011,Within an hour,,"June 6, 2017",apartment,2,1000,4,,Charlotte
755797,"Dilworth! Most walkable neighborhood in Charlotte, quiet street, screened porch.",35.202267,-80.85330573,"Dilworth, Charlotte, NC, USA",3,,165,,,,,,2,4,1,1,apartment,Yes,2011,Within an hour,,"June 6, 2017",apartment,1,800,4,building,Charlotte
695857,Gorgeous 2bd 1.5ba Townhome on Golf Course,35.0841319,-80.793434,"Raintree, Charlotte, NC, USA",31,4.5,111,135,145,,,,2,5,2,1,townhome,Yes,2015,Within an hour,100%,"June 5, 2017",townhome,,1100,5,house,Charlotte
415205,Luxury Furnished Apartment-Charlotte-Myers Park 1 Mile to Cmc & Presby,35.20713806,-80.82807159,"Cherry, Charlotte, NC, USA",22,,251,,,,,,2,6,2,2,condo,Yes,2011,Within an hour,,"June 7, 2017",condo,1,1000,6,,Charlotte
833198,Comfortable One Bedroom In The Hart Of Charlotte,35.185085,-80.750684,"Charlotte, NC, USA",1,,71,80,,,,,2,4,1,1,apartment,Yes,2016,Within a few hours,90%,"May 25, 2017",apartment,2,687,4,building,Charlotte
353073,Lakefront Cottage on Mountain Island Lake/Lake Norman & Lake Wylie,,,"Mountain Island, Charlotte, NC, USA",78,4.8,139,150,,,,8.0%,2,4,2,1,house,Yes,2011,Within a few hours,100%,"June 6, 2017",house,,900,4,,Charlotte
390420,Elegant Myers Park Pied-a-Terre,35.20713806,-80.82807159,"Cherry, Charlotte, NC, USA",10,,214,,,,,,2,5,2,1,condo,Yes,2011,Within an hour,,"June 7, 2017",condo,2,1050,5,,Charlotte
870225,"Is It Orange Or Is It Yellow - Secluded In The City, Minutes From Anywhere!",35.159301,-80.7531039,"Charlotte, NC, USA",29,,125,130,145,,80,15.25%,1,6,3,2,house,Yes,2016,Within 12 hours,100%,"May 20, 2017",house,,1500,6,,Charlotte
491323,Sweet Furnished Apartment In Historic Elizabeth-Take Streetcar Uptown,,,"Elizabeth, Charlotte, NC, USA",10,,145,,,,,,2,4,1,1,apartment,Yes,2011,Within an hour,,"June 7, 2017",apartment,2,1000,4,,Charlotte
7013236ha,Lakefront Log Cabin Getaway with dock,35.369459,-80.929306,"Huntersville, NC, USA",32,4.6,147,135,,,90,7.25%,2,6,2,2,house,Yes,2005,Within a few days,80%,"June 6, 2017",house,,,6,,Charlotte
627898,4 Bed/ 2 Bath Fantastic Renovation - Close to Everything,35.16679,-80.859539,"Madison Park, Charlotte, NC, USA",41,4.8,217,229,,,125,15.25%,3,8,4,2,house,Yes,2014,Within an hour,100%,"June 7, 2017",house,,1654,8,,Charlotte
679741,"Fantastic 4br/2bth Fully Renovated Close to Southpark, Downtown, Myers Park",35.140637,-80.79285,"Olde Providence North, Charlotte, NC, USA",19,4.8,234,259,,,125,15.25%,3,8,3,2,house,Yes,2014,Within an hour,100%,"June 7, 2017",house,,1784,8,,Charlotte
782417,Fantastic 3 Bed/2 Full Bath South Charlotte,35.071624,-80.7887159,"Piper Glen Estates, Charlotte, NC, USA",21,4.8,229,229,,,125,15.25%,3,7,3,2,house,Yes,2014,Within an hour,100%,"June 7, 2017",house,,1575,7,,Charlotte
682659,NoDa Historic Arts District Bungalow Home,35.2483357,-80.8022227,"North Charlotte, Charlotte, NC, USA",54,4.8,175,175,,,75,15.25%,2,8,3,2,bungalow,Yes,2015,Within a few hours,100%,"June 7, 2017",bungalow,,1600,8,,Charlotte
365102,Charlotte Furnished Apartment in Myers Park-deck and sunporch,35.20713806,-80.82807159,"Cherry, Charlotte, NC, USA",27,,167,,,,,,7,4,2,1,condo,Yes,2011,Within an hour,,"June 7, 2017",condo,2,1000,4,,Charlotte
491325,C-Level Accommodations in Charlotte's Best Neighborhood-1 Mile to Uptown,35.205228,-80.827322,"Myers Park, Charlotte, NC, USA",3,,357,,,,,,5,6,2,2,apartment,Yes,2011,Within an hour,,"June 7, 2017",apartment,2,1300,6,,Charlotte
936454,Charming Carriage House in historic Dilworth just steps away from shops/dining!,,,"Dilworth, Charlotte, NC, USA",11,4.6,100,100,115,,50,15.25%,,4,1,1,bungalow,Yes,2016,Within 12 hours,100%,"June 6, 2017",bungalow,,980,4,,Charlotte
742923,The Zen Retreat..An Urban Escape with Fully Renovated Dream Kitchen,35.133419,-80.755532,"Sardis Forest, Charlotte, NC, USA",29,4.7,169,169,189,,,7.25%,,5,3,2,house,Yes,2015,Within a few hours,90%,"June 7, 2017",house,,1800,5,,Charlotte
491322,Comfortable Stay In Eclectic Elizabeth--no Car Needed 1 Mile To Uptown,35.217461,-80.819596,"Elizabeth, Charlotte, NC, USA",7,4.9,158,,,,,,5,4,1,1,apartment,Yes,2011,Within an hour,,"June 7, 2017",apartment,2,1000,4,,Charlotte
898202,"Modern Bungalow Near Uptown, Historic Quiet Neighborhood",35.221951,-80.800115,"Plaza Midwood, Charlotte, NC, USA",23,,147,147,157,,,,2,4,2,1,house,Yes,2016,Within an hour,100%,"June 5, 2017",house,,900,4,,Charlotte
599294,"Charming Cotswold Home with Fenced Yard--Best Schools, 3 Miles to SouthPark",35.170972,-80.785013,"Sherwood Forest, Charlotte, NC, USA",3,,463,,,,,,3,8,4,2,house,Yes,2011,Within an hour,,"June 7, 2017",house,,,8,,Charlotte
723715,"Gorgeous, Large, Updated   Home Close To Uptown and University Area.",35.248398,-80.729331,"Oak Forest, Charlotte, NC, USA",9,4.2,147,175,,,,,2,8,4,2,house,Yes,2015,Within an hour,100%,"June 4, 2017",house,,1900,8,,Charlotte
4190828ha,Best place in Charlotte!,35.116499,-80.82617,"Charlotte, NC, USA",24,4.8,140,115,135,,40,15.25%,3,4,2,1,condo,Yes,2016,Within a few hours,100%,"June 4, 2017",condo,1,1100,,building,Charlotte
390228,2br/2ba In-Town Condo with Sleeping Porch - Myers Park,,,"Cherry, Charlotte, NC, USA",12,4.9,296,,,,,,2,6,2,2,condo,Yes,2011,Within an hour,,"June 7, 2017",condo,2,1000,6,,Charlotte
436793,Five-Star Luxury Residence in the Heart of Myers Park-1 Mile to Uptown,35.205228,-80.827322,"Myers Park, Charlotte, NC, USA",3,,350,,,,,,2,6,2,2,condo,Yes,2011,Within an hour,,"June 6, 2017",condo,1,,6,,Charlotte
293899ha,"This beautiful, charming yet quiet vacation home  is located in University area",35.2944,-80.685542,"Charlotte, NC, USA",19,4.3,183,175,200,,150,,3,8,4,2,house,Yes,2010,Within a day,90%,"June 7, 2017",house,,1945,8,,Charlotte
1005742,"Luxury 2 Bedroom near Eastover in Elizabeth, less than 2 mi to Uptown w/ Pool",35.20499595,-80.81675782,"Elizabeth, Charlotte, NC, USA",4,4.5,172,165,175,,85,15.25%,2,6,2,1,condo,Yes,2014,Within a day,100%,"May 30, 2017",condo,2,800,6,building,Charlotte
908223,2 bedroom 2.5 bath close to uptown Charlotte,35.178281,-80.8658729,"Charlotte, NC, USA",11,4.9,,158,178,,,15.25%,2,6,3,2,house,Yes,2016,Within an hour,100%,"May 2, 2017",house,,1400,6,,Charlotte
920564,Dilworth/Southend/Uptown Convenient Temp Housing,35.201498,-80.8458,"Dilworth, Charlotte, NC, USA",2,4.5,172,200,,,100,15.25%,3,4,3,1,townhome,Yes,2006,Within a few days,70%,"May 25, 2017",townhome,1,1200,4,building,Charlotte
1032509,Beautiful South End Luxury Mini Apartment,35.2196499,-80.856494,"Wilmore, Charlotte, NC, USA",0,,100,100,,,35,,2,2,1,1,townhome,Yes,2017,Within 12 hours,100%,"June 5, 2017",townhome,1,410,2,,Charlotte
