listing_id,listing_title,latitude,longitude,location_name,number_reviews,average_rating,average_nightly_price,nightly,weekend_night,property_protection_fee,cleaning_fee,tax_rate,min_stay,sleeps,bedrooms,bathrooms,property_type,internet,member_since,response_time,response_rate,calendar_last_updated,type,floor,sq_footage,max_occupancy,building_type,city
690239,"This Apartment Has It All, So Close To Downtown, With A Neighborhood Feel",41.8966,-87.65511066,"West Town, Chicago, IL, USA",65,4.5,108,125,150,,100,,2,4,1,1,apartment,Yes,2010,Within a few hours,100%,"June 6, 2017",apartment,1,850,4,building,Chicago
578762,Large 2400 Sf Unit in Graystone - Near the Magnificent Mile - Family Friendly!,,,"Near North Side, Chicago, IL, USA",99,4.8,599,599,649,,,17.4%,2,8,3,2,apartment,Yes,2014,Within 12 hours,100%,"June 3, 2017",apartment,2,2400,8,house,Chicago
445608,"Roscoe Village Best Value - Cute, Clean & Loaded in Chicago!",41.940073,-87.68678978,"Roscoe Village, Chicago, IL, USA",47,4.7,163,169,189,,,,2,4,2,1,apartment,Yes,2010,Within a day,100%,"June 6, 2017",apartment,1,600,4,,Chicago
679790,Gorgeous Vintage and Modernized 4 Bedroom in Heart of Gallery District!  4600 SF,41.8959258,-87.6339111,"River North, Chicago, IL, USA",71,4.9,664,629,699,,,20.0%,2,12,4,4,condo,Yes,2014,Within a day,90%,"June 4, 2017",condo,2,4600,12,building,Chicago
3917584ha,Great townhouse at the University of Chicago Campus,41.7839579,-87.6008073,"South Side, Chicago, IL, USA",32,4.9,220,220,,,,,3,6,3,2,townhome,Yes,2015,Within 12 hours,100%,"June 5, 2017",townhome,,1600,6,,Chicago
290256,Chicago Luxurious Vintage Condo on the North Shore,42.01483917,-87.68178558,"Rogers Park (Chicago, IL, USA)",52,4.8,209,219,,,,21.4%,2,8,3,2,condo,Yes,2004,Within a few hours,90%,"June 3, 2017",condo,2,2000,8,,Chicago
222038ha,Amazing Views of the Chicago Skyline from this Luxury Condo - w/ indoor parking,41.8832513,-87.6705754,"Near West Side, Chicago, IL, USA",102,4.7,190,175,185,,50,21.4%,2,4,2,2,condo,Yes,2008,Within a day,90%,"June 6, 2017",condo,9,1400,4,building,Chicago
4261388ha,Luxurious Apartments Minutes from Michigan Avenue and the Gold Coast    - Studio Suite - BST,41.89112,-87.62737,"River North, Chicago, IL, USA",18,4.7,285,,,,,,3,2,Studio,1,apartment,Yes,2016,Within an hour,,"June 7, 2017",apartment,,600,2,,Chicago
265424,Chicago Luxurious Vintage Vacation Condo,42.01475143,-87.68170166,"Rogers Park (Chicago, IL, USA)",47,4.8,148,169,,,,21.4%,2,6,2,2,condo,Yes,2004,Within a day,100%,"June 2, 2017",condo,,1200,6,,Chicago
3790035ha,Enjoy the Sights of Chicago and Lincoln Square--Then Come Back to Relax Here...,41.960304,-87.68346,"North Center, Chicago, IL, USA",35,4.9,127,120,,,50,16.4%,3,4,1,1,apartment,Yes,2013,Within a day,90%,"June 7, 2017",apartment,2,800,4,,Chicago
3768288ha,Vintage 4-br In Lincoln Square Easily Sleeps 8 - Great Value Rate!,41.961817,-87.69025,"Lincoln Square, Chicago, IL, USA",50,4.8,225,225,,,75,16.4%,3,10,4,2,apartment,Yes,2014,Within a day,100%,"June 6, 2017",apartment,1,1800,10,building,Chicago
870614,Celeste Celebrity Suites GOLD COAST!,41.9026583,-87.6257184,"Near North Side, Chicago, IL, USA",25,,312,299,329,,,17.4%,,4,1,,apartment,Yes,2014,Within 12 hours,90%,"June 3, 2017",apartment,3,600,4,building,Chicago
864022,Al Capone Unit In Beautiful Vintage Building In The Gold Coast!,41.902217,-87.625742,"Near North Side, Chicago, IL, USA",28,,205,199,229,,,17.4%,,2,1,2,apartment,Yes,2014,Within 12 hours,90%,"June 3, 2017",apartment,3,550,2,building,Chicago
735859,In the heart of Logan Square. 1/2 block from blue line and revolution brewery,41.92238463,-87.69905343,"Logan Square, Chicago, IL, USA",28,4.9,199,170,,,,10.25%,2,6,2,2,condo,Yes,2015,Within a few hours,100%,"June 5, 2017",condo,3,1000,,building,Chicago
3795191ha,Luxury 2 Bedroom on 35th Floor in Magnificent Mile with Private Balcony,41.8919498,-87.6285326,"Near North Side, Chicago, IL, USA",27,4.8,462,,,,,,2,6,2,2,apartment,Yes,2010,Within a few hours,,"June 6, 2017",apartment,,1320,6,,Chicago
4146480ha,Bohemian Chic in Andersonville!!!,41.9879904,-87.6670308,"Edgewater, Chicago, IL, USA",22,4.7,120,120,,,50,21.4%,2,3,1,1,apartment,Yes,2016,Within 2 days,90%,"June 5, 2017",apartment,2,750,3,building,Chicago
3751630ha,"Cozy 1 BDR in popular Lincoln Square neighborhood, close to train",41.960304,-87.68346,"North Center, Chicago, IL, USA",39,4.7,104,95,,,40,16.4%,3,4,1,1,apartment,Yes,2013,Within a day,90%,"June 7, 2017",apartment,2,400,4,,Chicago
836457,Beautifully furnished spacious loft in Old Town Lincoln Park,41.90654172,-87.63476704,"Near North Side, Chicago, IL, USA",13,4.4,235,95,135,,,,1,3,1,1,apartment,Yes,2016,Within a few hours,100%,"May 28, 2017",apartment,4,650,3,building,Chicago
871091,Celeste Celebrity Theme Unit In Gold Coast.   In 7 Unit Building Gold Coast!,41.9026583,-87.6257184,"Near North Side, Chicago, IL, USA",13,,329,299,329,,,17.4%,1,2,1,1,apartment,Yes,2014,Within a few hours,100%,"June 7, 2017",apartment,2,600,2,building,Chicago
3833362ha,Quiet And Comfy 2-BR In Lincoln Square Easily Sleeps 4 to 5 - Great Intro Rates,41.96182201,-87.6902395,"Lincoln Square, Chicago, IL, USA",43,4.7,150,125,,,50,16.4%,3,5,2,1,apartment,Yes,2014,Within an hour,90%,"June 6, 2017",apartment,2,800,5,,Chicago
742485,7 Gorgeous Units!   Celebrity Themed- Elizabeth Taylor Unit,41.9027067,-87.6257166,"Near North Side, Chicago, IL, USA",22,4.5,205,199,229,,,17.4%,,2,Studio,1,apartment,Yes,2014,Within 12 hours,80%,"June 7, 2017",apartment,1,700,2,building,Chicago
4172462ha,High-Rise living in this 2 Bedroom on 38th Floor (01) with Balcony,41.89195,-87.628533,"Near North Side, Chicago, IL, USA",9,4.9,489,,,,,,2,6,2,2,apartment,Yes,2010,Within a few hours,,"June 6, 2017",apartment,,1320,6,,Chicago
622632,Luxurious North Shore Chicago Condo,42.0150126,-87.6817741,"Rogers Park (Chicago, IL, USA)",29,4.4,167,229,,,100,21.4%,2,8,3,2,condo,Yes,2004,Within 12 hours,100%,"May 31, 2017",condo,3,1800,8,,Chicago
870495,Celeste Celebrity Themed Unit In Gold Coast.   In 7 Unit Building Gold Coast!,41.902217,-87.625742,"Near North Side, Chicago, IL, USA",23,4.8,234,229,249,,,17.4%,,2,1,1,apartment,Yes,2014,Within a few hours,100%,"June 6, 2017",apartment,1,600,2,building,Chicago
939473ha,"Wonderful Lincoln Park/DePaul Apartment, Central and Ideal City Location",41.916891,-87.648843,"Lincoln Park, Chicago, IL, USA",45,4.9,310,285,310,,,20.5%,3,8,3,2,condo,Yes,2010,Within a day,100%,"June 5, 2017",condo,2,1500,8,,Chicago
627209,"Amazing 3200 Sq Ft, 4 Bed Room, Duplex in Lincoln Park",41.9218608,-87.6584955,"Lincoln Park, Chicago, IL, USA",63,,492,475,,,125,21.4%,3,10,4,2,apartment,Yes,2014,Within a few hours,100%,"June 6, 2017",apartment,3,3200,10,,Chicago
358020ha,48th Floor 2 bed / 2 bath with Balcony & great views in the Magnificent Mile,41.8921349,-87.6283586,"Near North Side, Chicago, IL, USA",76,4.9,498,,,,,,2,6,2,2,apartment,Yes,2010,Within a few hours,,"June 7, 2017",apartment,,1210,6,,Chicago
3645846ha,Enjoy Lincoln Square's 'Little Europe'/Music/Microbrewery/Dining/Close to Train,41.960304,-87.68346,"North Center, Chicago, IL, USA",44,4.7,155,145,,,75,16.4%,3,8,2,1,apartment,Yes,2013,Within 2 days,80%,"June 7, 2017",apartment,1,1200,8,,Chicago
3720918ha,Modern 2 BR 2 Bath Condo with Garage,41.895935,-87.660291,"West Town, Chicago, IL, USA",60,4.9,195,185,195,,,21.4%,3,6,2,2,condo,Yes,2014,Within a day,100%,"June 6, 2017",condo,3,1450,6,building,Chicago
856957,Gold Coast Wow Celebrity Themed Unit On Cedar!,41.90187664,-87.62512013,"Near North Side, Chicago, IL, USA",27,4.9,412,429,329,,,17.4%,,4,2,1,apartment,Yes,2014,Within a day,80%,"June 3, 2017",apartment,4,1500,4,building,Chicago
