listing_id,total_number_reviews,n_review,reviewer_name,title,stars,stayed,source,submitted
690239,65,1,Katrina L.,Perfect Chicago Jumping Off Point,4,2017-04-01T00:00:00.000+0000,VRBO,2017-05-23T03:26:00.000+0000
690239,65,2,Jodi F.,Perfect location for us!,5,2017-05-17T00:00:00.000+0000,VRBO,2017-05-22T00:14:00.000+0000
690239,65,3,Dena S.,Great Location,5,2017-05-07T00:00:00.000+0000,VRBO,2017-05-12T14:01:00.000+0000
690239,65,4,Paul R.,"Location, location",4,2017-05-03T00:00:00.000+0000,VRBO,2017-05-07T15:13:00.000+0000
690239,65,5,Jessica S.,Great,5,2017-03-25T00:00:00.000+0000,VRBO,2017-04-09T18:02:00.000+0000
690239,65,6,John H.,"Small apartment but good location, very responsive owner",4,2017-03-18T00:00:00.000+0000,VRBO,2017-04-04T20:15:00.000+0000
690239,65,7,elizabeth a.,It was good.,4,2017-03-29T00:00:00.000+0000,VRBO,2017-04-02T14:45:00.000+0000
690239,65,8,Mallory R.,Cozy and Spacious One Bedroom Getaway,5,2016-12-23T00:00:00.000+0000,VRBO,2016-12-27T17:51:00.000+0000
690239,65,9,Karlo S.,Cozy apartment,5,2016-12-12T00:00:00.000+0000,VRBO,2016-12-16T19:05:00.000+0000
690239,65,10,Tess L.,Excellent location! Comfortable and clean. Good parking on the street.,4,2016-11-26T00:00:00.000+0000,VRBO,2016-12-09T14:43:00.000+0000
690239,65,11,Bruce,Perfect apartnent,5,2016-10-01T00:00:00.000+0000,VRBO,2016-10-13T14:14:51.747+0000
690239,65,12,Lindsay B.,Great Location and Amenities,4,2016-09-19T00:00:00.000+0000,VRBO,2016-10-04T19:45:00.000+0000
690239,65,13,John B.,Super convenient and super easy.,5,2016-09-16T00:00:00.000+0000,VRBO,2016-09-21T13:20:00.000+0000
690239,65,14,Dale J.,Not to bad,3,2016-09-13T00:00:00.000+0000,VRBO,2016-09-20T14:00:00.000+0000
690239,65,15,Dot F.,"Great apartment, great location",5,2016-08-13T00:00:00.000+0000,VRBO,2016-09-13T22:40:07.563+0000
