listing_id,total_number_reviews,n_review,reviewer_name,title,stars,stayed,source,submitted
148347,2,1,Porter Family,"Fantastic, the house was a dream and the location was perfect.",5,2016-05-30T00:00:00.000+0000,VRBO,2016-07-09T05:06:00.000+0000
148347,2,2,MIHAIELA M.,Travel nurse,5,2015-04-27T00:00:00.000+0000,VRBO,2015-08-07T12:05:39.080+0000
823942,3,1,Safia K.,This house was amazing! The ownerswete so warm and inviting! Will be back next year with pur family.,5,2016-08-18T00:00:00.000+0000,VRBO,2016-08-29T13:09:00.000+0000
823942,3,2,David T.,Very accomodating!,5,2016-07-21T00:00:00.000+0000,VRBO,2016-07-27T14:37:00.000+0000
823942,3,3,Rhonda P.,Wonderful stay!,5,2015-12-28T00:00:00.000+0000,VRBO,2016-06-08T09:15:38.823+0000
3994324ha,6,1,Steve G.,Enjoyed our stay,4,2017-05-26T00:00:00.000+0000,VRBO,2017-06-01T11:00:00.000+0000
3994324ha,6,2,Karen U.,What a find!,5,2017-05-04T00:00:00.000+0000,VRBO,2017-05-27T03:05:00.000+0000
3994324ha,6,3,Peggy M.,Very nice home,5,2017-04-27T00:00:00.000+0000,VRBO,2017-05-02T15:30:00.000+0000
3994324ha,6,4,Dawn V.,#RiverLife at the finest!,5,2017-04-13T00:00:00.000+0000,VRBO,2017-04-28T22:42:00.000+0000
3994324ha,6,5,Mark F.,Property was nice and quiet.,5,2017-04-02T00:00:00.000+0000,VRBO,2017-04-09T15:55:00.000+0000
3994324ha,6,6,Denise B.,Amazing Owners,5,2015-10-15T00:00:00.000+0000,VRBO,2015-10-23T12:53:25.693+0000
4208049ha,1,1,Gregory G.,Great stay with excellent service from the owner! Well worth the price and location!,5,2016-06-21T00:00:00.000+0000,VRBO,2016-06-28T01:33:00.000+0000
579110,13,1,Jenett O.,Amazin'!,5,2016-08-12T00:00:00.000+0000,VRBO,2016-08-19T12:53:00.000+0000
579110,13,2,Karen m.,Loved our stay!!!!,5,2016-07-31T00:00:00.000+0000,VRBO,2016-08-16T18:56:00.000+0000
579110,13,3,Michelle R.,Relaxing Getaway!,5,2016-07-14T00:00:00.000+0000,VRBO,2016-07-28T14:56:00.000+0000
579110,13,4,Brice F.,Great Place,5,2016-07-17T00:00:00.000+0000,VRBO,2016-07-27T11:54:00.000+0000
579110,13,5,Marie H.,Amazing Spot!,5,2016-07-07T00:00:00.000+0000,VRBO,2016-07-21T18:39:00.000+0000
579110,13,6,Andy W.,8/1/2015,5,2015-08-01T00:00:00.000+0000,VRBO,2015-08-09T23:16:20.823+0000
579110,13,7,Kim R.,"River house Conway, SC",5,2015-07-07T00:00:00.000+0000,VRBO,2015-07-21T00:47:54.847+0000
579110,13,8,Dana D.,Wonderful Vacation!!,5,2015-06-18T00:00:00.000+0000,VRBO,2015-06-25T17:55:27.257+0000
579110,13,9,Lin,LHM,5,2015-05-14T00:00:00.000+0000,VRBO,2015-05-20T13:46:42.543+0000
579110,13,10,CKB,Great House Great Location,5,2015-03-01T00:00:00.000+0000,VRBO,2015-03-10T02:07:36.513+0000
579110,13,11,"Rod, Charlene, and Madeline","Relaxing, scenic, fun...did I mention Relaxing!",5,2014-07-18T00:00:00.000+0000,VRBO,2014-07-22T03:21:10.230+0000
579110,13,12,DiMarias,Fantastic Place to Relax!,5,2014-07-07T00:00:00.000+0000,VRBO,2014-07-18T00:40:56.863+0000
579110,13,13,Julie,Perfect River Getaway,5,2014-05-18T00:00:00.000+0000,VRBO,2014-07-16T18:12:10.960+0000
455709,64,1,stephanie t.,Beautiful and relaxing!!,5,2017-05-27T00:00:00.000+0000,VRBO,2017-06-07T02:32:00.000+0000
