listing_id,total_number_reviews,n_review,reviewer_name,title,stars,stayed,source,submitted
4086474ha,17,1,FLOYD M.,Nice,4,2017-05-25T00:00:00.000+0000,VRBO,2017-05-27T13:05:00.000+0000
4086474ha,17,2,SUE A.,This house was wonderful!!!,5,2017-05-03T00:00:00.000+0000,VRBO,2017-05-19T13:30:00.000+0000
4086474ha,17,3,Bergin P.,Lovely Home & Great owners,5,2017-05-09T00:00:00.000+0000,VRBO,2017-05-15T01:41:00.000+0000
4086474ha,17,4,Jen V.,"Affordable, convenient, safe,accommodating & well maintained.",5,2017-04-08T00:00:00.000+0000,VRBO,2017-04-13T20:25:00.000+0000
4086474ha,17,5,Juan P.,Nice oweners but had too many issues,2,2017-04-01T00:00:00.000+0000,VRBO,2017-04-10T17:12:00.000+0000
4086474ha,17,6,Nicole R.,Great Property for a Large Group,4,2017-01-01T00:00:00.000+0000,VRBO,2017-01-19T04:32:00.000+0000
4086474ha,17,7,sonia B.,My famIly and I enjoyed our stay.,5,2016-11-23T00:00:00.000+0000,VRBO,2016-11-28T05:26:00.000+0000
4086474ha,17,8,Rafael S.,Exairet,5,2016-10-04T00:00:00.000+0000,VRBO,2016-10-07T15:47:00.000+0000
4086474ha,17,9,Jessica S.,Great find!,4,2016-09-09T00:00:00.000+0000,VRBO,2016-09-12T15:20:00.000+0000
4086474ha,17,10,John C.,"Great property, perfect for large group, good neighborhood",5,2016-09-03T00:00:00.000+0000,VRBO,2016-09-08T18:23:00.000+0000
4086474ha,17,11,Alma M.,Family Reunion 2016,5,2016-08-04T00:00:00.000+0000,VRBO,2016-08-10T06:56:00.000+0000
4086474ha,17,12,Porsche C.,Great property!,4,2016-07-07T00:00:00.000+0000,VRBO,2016-07-15T16:49:00.000+0000
4086474ha,17,13,Lewis M.,Fantastic house and Great Owners,5,2016-06-10T00:00:00.000+0000,VRBO,2016-06-19T11:30:00.000+0000
4086474ha,17,14,Earl T.,Lots of room and clean,5,2016-06-06T00:00:00.000+0000,VRBO,2016-06-13T11:22:00.000+0000
4086474ha,17,15,Ajeldin H.,GREAT STAY!,5,2016-02-06T00:00:00.000+0000,VRBO,2016-03-10T03:26:00.000+0000
4086474ha,17,16,Charles J.,Simply Amazing!,5,2016-01-22T00:00:00.000+0000,VRBO,2016-03-08T16:51:51.370+0000
4086474ha,17,17,Shay S.,Awesome!!!,5,2016-03-05T00:00:00.000+0000,VRBO,2016-03-08T15:44:10.393+0000
4431803ha,2,1,Tom G.,Wonderful property in priceless location!,5,2017-04-29T00:00:00.000+0000,VRBO,2017-05-04T16:38:00.000+0000
4431803ha,2,2,Kathleen B.,The property was cheerful and comfortable!,5,2017-02-24T00:00:00.000+0000,VRBO,2017-03-25T13:32:00.000+0000
3697473ha,8,1,Jeanne J.,Great house for several families,4,2017-05-26T00:00:00.000+0000,VRBO,2017-05-29T14:33:00.000+0000
3697473ha,8,2,LaNiecia K.,The most beautiful house in the neighborhood!,5,2017-05-12T00:00:00.000+0000,VRBO,2017-05-29T01:44:00.000+0000
3697473ha,8,3,Daniel K.,"Great space, great time, lots of fun all under one roof!",5,2017-01-13T00:00:00.000+0000,VRBO,2017-01-17T23:24:00.000+0000
3697473ha,8,4,Ria F.,Perfect Weekend,5,2016-07-27T00:00:00.000+0000,VRBO,2016-08-20T02:47:57.207+0000
3697473ha,8,5,Jennifer P.,The pictures do not do justice to the house,4,2016-07-16T00:00:00.000+0000,VRBO,2016-07-25T22:38:00.000+0000
3697473ha,8,6,anita c.,Just perfect for our stay near New York,5,2016-06-11T00:00:00.000+0000,VRBO,2016-06-25T14:20:00.000+0000
3697473ha,8,7,Meredith W.,Perfect Stay in New Jersey,5,2016-05-22T00:00:00.000+0000,VRBO,2016-05-31T15:28:00.000+0000
3697473ha,8,8,Varun K.,"Great location, and the home has a lot of charm and character!",5,2016-05-11T00:00:00.000+0000,VRBO,2016-05-19T09:00:00.000+0000
3878881ha,3,1,Kristina H.,Quiet and spacious,5,2017-03-27T00:00:00.000+0000,VRBO,2017-04-10T00:41:00.000+0000
3878881ha,3,2,Bettina S.,Great stay at a great property.,4,2016-07-18T00:00:00.000+0000,VRBO,2016-08-06T17:55:32.427+0000
3878881ha,3,3,Marie B.,Great Accomodation,5,2015-07-24T00:00:00.000+0000,VRBO,2015-08-17T10:28:50.483+0000
3949229ha,22,1,Kenny W.,Beautiful home and spacious!,5,2017-04-23T00:00:00.000+0000,VRBO,2017-04-29T18:17:00.000+0000
3949229ha,22,2,Rena T.,"Wonderful time in this spacious, perfectly equipped house",5,2017-04-09T00:00:00.000+0000,VRBO,2017-04-24T14:29:00.000+0000
3949229ha,22,3,Parvaneh n.,"NO RUNNING WATER, misrepresentation",1,2017-04-16T00:00:00.000+0000,VRBO,2017-04-21T21:04:00.000+0000
