listing_id,listing_title,latitude,longitude,location_name,number_reviews,average_rating,average_nightly_price,nightly,weekend_night,property_protection_fee,cleaning_fee,tax_rate,min_stay,sleeps,bedrooms,bathrooms,property_type,internet,member_since,response_time,response_rate,calendar_last_updated,type,floor,sq_footage,max_occupancy,building_type,city
4030638ha,Elizabeth City Ranch House,36.35893816,-76.27896873,"Elizabeth City, NC, USA",2,,233,275,300,,,,3,8,3,2,house,Yes,2015,Within 12 hours,100%,"May 10, 2017",house,,1500,8,,Elizabeth City
744605,Beautiful Waterfront Vacation Rental On The Currituck Sound,36.4268519,-75.965928,"Currituck, NC, USA",15,4.9,195,175,195,,,12.75%,3,7,3,3,cottage,Yes,2016,Within a few hours,100%,"June 6, 2017",cottage,,2100,,,Elizabeth City
736535,Waterfront views- nearby to outer banks- charming quiet cottage,36.350328,-75.9472739,"Coinjock, NC, USA",14,4.4,125,179,,,,12.75%,1,10,3,1,cottage,Yes,2015,Within 2 days,80%,"June 4, 2017",cottage,,1850,10,,Elizabeth City
4349046ha,Spacious Home on Gorgeous Waterfront Property w/ Boat Ramp near the Outer Banks,36.2876649,-76.126954,"Camden, NC, USA",2,,180,180,,,175,6.75%,2,12,5,4,house,Yes,2016,Within 12 hours,90%,"June 6, 2017",house,,,,,Elizabeth City
585472,Overlooking the intracoastal waterway with dockage included,36.348674,-75.948265,"Coinjock, NC, USA",14,4.4,150,179,,,,12.75%,2,12,4,2,house,Yes,2015,Within 12 hours,90%,"June 5, 2017",house,,1700,12,,Elizabeth City
430506,Cozy Country Cottage~SPRING SUMMER Getaway~POOL Jacuzzi Picnic Table COMFY BEDS,36.2751859,-76.5511419,"Belvidere, NC, USA",40,4.9,129,125,,,75,6.0%,2,5,2,1,cottage,Yes,2012,Within a few hours,100%,"June 6, 2017",cottage,,700,5,,Elizabeth City
294252ha,"Waterfront, fishing and romantic get away.",36.387495,-75.969947,"Barco, NC, USA",29,4.8,176,150,,,,12.75%,2,7,3,1,house,Yes,2010,Within a few hours,100%,"June 5, 2017",house,,1700,7,,Elizabeth City
441951,Quiet Soundfront Getaway on 150' of waterfront w/beaches in Inner Banks not OBX,36.082291,-76.390727,"Hertford, NC, USA",32,4.8,239,185,190,,85,6.0%,1,7,3,2,house,Yes,2012,Within 12 hours,100%,"June 4, 2017",house,,1250,7,,Elizabeth City
893129,Waterfront Custom Home On The Perquimans River,36.1062134,-76.3622624,"Hertford, NC, USA",1,,230,230,,,,3.0%,3,10,4,4,house,No,2016,Within a few hours,100%,"March 6, 2017",house,,2744,10,,Elizabeth City
4479081ha,Waterfront Estate-Boat dock-Private & Gated,36.457584,-76.020178,"Currituck, NC, USA",1,,910,650,,,300,,1,16,7,7,house,Yes,2017,Within a few hours,100%,"June 5, 2017",house,,8100,,,Elizabeth City
428593,Hidden Treasure on Tulls Bay,36.49456,-76.069594,"Moyock, NC, USA",8,4.6,300,300,,,200,7.5%,3,6,3,2,house,Yes,2012,Within a day,100%,"June 7, 2017",house,,2300,6,,Elizabeth City
