listing_id,total_number_reviews,n_review,reviewer_name,title,stars,stayed,source,submitted
836689,5,1,Shelton V.,Good for large groups,4,2017-05-19T00:00:00.000+0000,VRBO,2017-05-27T00:35:00.000+0000
836689,5,2,Dan B.,Great stay at Boxwood!,5,2016-10-07T00:00:00.000+0000,VRBO,2016-10-09T12:13:00.000+0000
836689,5,3,John B.,"Spacious, enjoyable & relaxing",5,2016-07-21T00:00:00.000+0000,VRBO,2016-07-25T15:39:00.000+0000
836689,5,4,Benjamin M.,"Lovely property, lots of potential, but it isn't rental ready yet",2,2016-07-01T00:00:00.000+0000,VRBO,2016-07-10T00:42:00.000+0000
836689,5,5,romane g.,Very spacious and comfortable house,4,2016-05-27T00:00:00.000+0000,VRBO,2016-06-02T13:08:00.000+0000
4431803ha,2,1,Tom G.,Wonderful property in priceless location!,5,2017-04-29T00:00:00.000+0000,VRBO,2017-05-04T16:38:00.000+0000
4431803ha,2,2,Kathleen B.,The property was cheerful and comfortable!,5,2017-02-24T00:00:00.000+0000,VRBO,2017-03-25T13:32:00.000+0000
612371,13,1,Chris S.,This home is spectacular,5,2017-04-21T00:00:00.000+0000,VRBO,2017-04-30T01:35:00.000+0000
612371,13,2,Kym M.,"Beautiful, relaxing, and just perfect for our family!",5,2016-08-06T00:00:00.000+0000,VRBO,2016-08-13T13:38:00.000+0000
612371,13,3,Rachel E.,Wonderful property with wonderful hosts,5,2016-05-28T00:00:00.000+0000,VRBO,2016-06-14T14:26:00.000+0000
612371,13,4,katie l.,Best Vacation Oasis!,5,2016-05-20T00:00:00.000+0000,VRBO,2016-05-25T10:45:00.000+0000
612371,13,5,Janet B.,One of the loveliest homes I have stayed in!,5,2016-04-21T00:00:00.000+0000,VRBO,2016-05-04T16:01:00.000+0000
612371,13,6,ellen f.,Multi-generation family gatherings,5,2015-12-29T00:00:00.000+0000,VRBO,2016-01-05T14:16:00.000+0000
612371,13,7,Borbala C.,"Beatiful, comfortable retreat",5,2015-10-16T00:00:00.000+0000,VRBO,2015-12-29T16:30:57.587+0000
612371,13,8,Mom of nearby college boys!,Beyond Compare!!,5,2014-11-22T00:00:00.000+0000,VRBO,2015-09-01T18:54:02.490+0000
612371,13,9,Dumbodarling,"Read, nap, relax and repeat....",5,2014-09-25T00:00:00.000+0000,VRBO,2015-08-17T13:51:24.467+0000
612371,13,10,Lee B.,A Special Retreat,5,2015-06-10T00:00:00.000+0000,VRBO,2015-08-11T21:57:43.183+0000
612371,13,11,Laney,Serenity in a house,5,2015-05-01T00:00:00.000+0000,VRBO,2015-08-10T17:06:26.630+0000
612371,13,12,Josh,"Peace, Beauty + Serenity",5,2015-07-24T00:00:00.000+0000,VRBO,2015-08-08T23:37:35.650+0000
612371,13,13,Veronica ,Gorgeous Retreat,5,2013-08-03T00:00:00.000+0000,VRBO,2014-08-03T18:48:09.597+0000
751059,23,1,Kimberly S.,Beautiful home! Rest and relaxation await!,5,2017-05-05T00:00:00.000+0000,VRBO,2017-05-09T01:39:00.000+0000
751059,23,2,Brandi E.,Beautiful Home on the Delaware River complete with everything you need for a wonderful vacation!,5,2017-04-23T00:00:00.000+0000,VRBO,2017-05-07T15:46:00.000+0000
751059,23,3,Leslie S.,Like stepping into another time and place,5,2017-04-15T00:00:00.000+0000,VRBO,2017-04-16T23:28:00.000+0000
751059,23,4,Stuart S.,The cottage is a beautiful place for a quiet get away.,5,2017-03-24T00:00:00.000+0000,VRBO,2017-03-27T11:07:00.000+0000
751059,23,5,Jamie R.,Excellent Holiday Weekend Stay!,5,2016-12-23T00:00:00.000+0000,VRBO,2016-12-28T19:36:00.000+0000
751059,23,6,Kathy B.,Terrific for family holiday,5,2016-11-22T00:00:00.000+0000,VRBO,2016-12-06T23:29:00.000+0000
751059,23,7,Gale W.,"LIKE BEING AWAY IN THE MOUNTAINS, BEAUTIFUL HOME AND SURROUNDINGS",5,2016-11-25T00:00:00.000+0000,VRBO,2016-11-30T14:15:00.000+0000
751059,23,8,gayle e.,Autumn on the canal,5,2016-11-04T00:00:00.000+0000,VRBO,2016-11-10T16:29:00.000+0000
751059,23,9,Maureen M.,"Beautiful setting, every amenity",5,2016-09-23T00:00:00.000+0000,VRBO,2016-09-26T00:26:00.000+0000
751059,23,10,Yu Z.,"Wonderful, nice, just like being at home!",5,2016-09-04T00:00:00.000+0000,VRBO,2016-09-21T08:13:07.940+0000
751059,23,11,Jack c.,WOW,5,2016-08-28T00:00:00.000+0000,VRBO,2016-09-01T15:50:00.000+0000
751059,23,12,Dave,Perfect getaway home,5,2016-08-25T00:00:00.000+0000,VRBO,2016-08-28T14:58:05.800+0000
751059,23,13,Spencer N.,Peaceful house on the river,5,2016-05-26T00:00:00.000+0000,VRBO,2016-07-04T20:58:00.000+0000
751059,23,14,Terry from Monroe,Outstanding!,5,2016-06-10T00:00:00.000+0000,VRBO,2016-06-29T11:53:00.000+0000
751059,23,15,Leslie S.,Delightful and luxurious with an authentic rustic feel,5,2016-06-23T00:00:00.000+0000,VRBO,2016-06-29T11:05:00.000+0000
751059,23,16,Monika L.,LOVED IT!,5,2016-04-27T00:00:00.000+0000,VRBO,2016-05-20T03:07:00.000+0000
751059,23,17,Julie,Comfortable and accomodating,5,2016-05-06T00:00:00.000+0000,VRBO,2016-05-12T11:49:00.000+0000
751059,23,18,John G.,Relaxing three night stay,5,2016-04-14T00:00:00.000+0000,VRBO,2016-04-25T19:39:00.000+0000
751059,23,19,James W.,The Perfect Cozy Getaway,5,2016-01-27T00:00:00.000+0000,VRBO,2016-02-03T15:04:00.000+0000
751059,23,20,Stephanie S.,"Great place to rest, relax, tour the sites",5,2015-12-18T00:00:00.000+0000,VRBO,2016-01-05T01:30:42.507+0000
751059,23,21,Leslie S.,Charming cottage with unexpected luxuries exceeded my expectations,5,2015-10-28T00:00:00.000+0000,VRBO,2015-11-04T12:27:00.000+0000
751059,23,22,BNC Appleseed,Loved it!!!,5,2015-10-14T00:00:00.000+0000,VRBO,2015-10-24T18:51:11.303+0000
751059,23,23,Niki,Great vacation home for a relaxing get-away,5,2015-08-22T00:00:00.000+0000,VRBO,2015-08-28T11:29:49.077+0000
742528,14,1,Teresa S.,GREAT PEACEFUL GETAWAY!!,5,2017-05-13T00:00:00.000+0000,VRBO,2017-05-23T01:29:00.000+0000
742528,14,2,Constance P.,A True Bucks County Reatreat!,5,2017-04-27T00:00:00.000+0000,VRBO,2017-05-03T16:00:00.000+0000
742528,14,3,michael p.,Perfect Fall Getaway!,5,2016-10-21T00:00:00.000+0000,VRBO,2016-11-10T01:52:00.000+0000
742528,14,4,Carey N.,A slice of heaven!,5,2016-09-23T00:00:00.000+0000,VRBO,2016-10-11T19:22:20.453+0000
